date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,78.34,79.72,78.01,78.9,1298137,AAP,,
2013-02-11,78.65,78.91,77.23,78.39,758016,AAP,-0.006463878326996262,
2013-02-12,78.39,78.63,77.5132,78.6,876859,AAP,0.0026789131266742408,
2013-02-13,78.9,79.13,77.85,78.97,1038574,AAP,0.0047073791348601094,
2013-02-14,78.66,79.72,78.585,78.84,1005376,AAP,-0.0016461947575027915,
2013-02-15,78.83,79.18,77.93,79.0,1247063,AAP,0.00202942668696089,
2013-02-19,79.12,81.44,78.57,80.72,1730690,AAP,0.021772151898734163,
2013-02-20,80.42,80.94,79.39,79.5,648693,AAP,-0.01511397423191277,
2013-02-21,79.26,80.05,78.56,79.06,915160,AAP,-0.005534591194968525,
2013-02-22,79.2,79.46,78.63,79.21,538188,AAP,0.0018972931950416326,
2013-02-25,79.46,79.74,78.36,78.36,579811,AAP,-0.010730968312081738,
2013-02-26,78.42,78.925,76.42,77.15,990145,AAP,-0.015441551812148976,
2013-02-27,77.29,77.58,76.22,77.3,720813,AAP,0.0019442644199610041,
2013-02-28,77.35,77.59,76.34,76.34,1180713,AAP,-0.01241914618369979,
2013-03-01,76.37,76.66,75.623,76.37,1272624,AAP,0.000392978779145941,
2013-03-04,76.24,77.25,76.1,77.02,1098428,AAP,0.008511195495613348,
2013-03-05,77.07,77.49,76.72,76.95,1288012,AAP,-0.0009088548428978601,
2013-03-06,77.1,77.24,75.97,76.18,1255676,AAP,-0.01000649772579592,
2013-03-07,76.04,76.75,75.7,76.22,965808,AAP,0.0005250721974270417,
2013-03-08,76.44,77.16,75.6302,76.84,736386,AAP,0.008134347940173243,
2013-03-11,76.88,78.06,76.84,77.53,689362,AAP,0.008979698073919804,
2013-03-12,77.26,77.66,76.89,77.36,660535,AAP,-0.0021926996001548006,
2013-03-13,77.54,78.85,77.32,78.77,644976,AAP,0.01822647362978279,
2013-03-14,78.9,79.12,77.36,77.67,763234,AAP,-0.01396470737590446,
2013-03-15,77.9,79.59,77.41,79.57,1237958,AAP,0.024462469421913113,
2013-03-18,79.09,80.76,79.0101,80.7,1219201,AAP,0.014201332160362068,
2013-03-19,80.64,80.9399,79.77,80.07,1370222,AAP,-0.007806691449814246,
2013-03-20,80.07,80.704,79.8005,80.22,728484,AAP,0.0018733608092919407,
2013-03-21,79.91,80.72,79.85,80.03,616238,AAP,-0.0023684866616803506,
2013-03-22,80.12,80.44,78.972,79.81,586660,AAP,-0.0027489691365737705,78.38833333333334
2013-03-25,79.83,80.94,79.33,80.53,1150900,AAP,0.009021425886480377,78.44266666666665
2013-03-26,80.86,81.61,80.56,81.6,969581,AAP,0.013286973798584293,78.54966666666668
2013-03-27,81.02,81.7,80.9601,81.64,551193,AAP,0.0004901960784314492,78.65100000000001
2013-03-28,81.34,83.07,81.29,82.65,1287266,AAP,0.012371386575208294,78.77366666666667
2013-04-01,82.54,83.03,81.66,82.34,749343,AAP,-0.0037507562008469724,78.89033333333333
2013-04-02,82.49,82.9099,81.33,82.83,956279,AAP,0.005950935146951601,79.018
2013-04-03,82.8,82.95,81.5,82.12,846044,AAP,-0.00857177351201248,79.06466666666667
2013-04-04,82.2,82.97,81.93,82.2,819476,AAP,0.0009741841207988102,79.15466666666666
2013-04-05,81.62,81.62,80.75,80.95,913888,AAP,-0.015206812652068125,79.21766666666667
2013-04-08,81.0,81.15,80.35,80.63,837488,AAP,-0.0039530574428660575,79.265
2013-04-09,79.97,79.97,78.5,78.71,1462823,AAP,-0.0238124767456282,79.27666666666666
2013-04-10,79.0,81.85,79.0,81.23,1758927,AAP,0.03201626222843362,79.41266666666667
2013-04-11,81.03,83.37,80.81,83.01,1041745,AAP,0.021913086298165716,79.60300000000001
2013-04-12,82.96,83.52,81.58,81.99,1009086,AAP,-0.012287676183592462,79.79133333333333
2013-04-15,81.89,82.2,79.99,80.27,1004499,AAP,-0.02097816806927673,79.92133333333332
2013-04-16,80.69,80.97,79.8,80.47,720223,AAP,0.002491590880777412,80.03633333333333
2013-04-17,80.25,80.25,79.05,79.82,762815,AAP,-0.008077544426494417,80.132
2013-04-18,79.8,79.86,78.805,78.92,651867,AAP,-0.0112753695815584,80.22333333333333
2013-04-19,79.14,80.69,77.98,79.93,1044797,AAP,0.012797769893563167,80.347
2013-04-22,79.85,79.9699,78.75,79.07,564056,AAP,-0.010759414487676887,80.42133333333332
2013-04-23,79.55,81.23,79.53,80.55,653790,AAP,0.018717592007082385,80.522
2013-04-24,80.47,81.43,80.47,81.18,663747,AAP,0.00782122905027945,80.64933333333333
2013-04-25,82.6,84.01,82.05,83.0,1280254,AAP,0.022419315102241846,80.79033333333334
2013-04-26,83.04,83.26,82.47,82.94,710347,AAP,-0.0007228915662650876,80.966
2013-04-29,83.0,83.58,82.76,83.02,764828,AAP,0.0009645526886905992,81.08099999999999
2013-04-30,83.0,83.93,82.33,83.88,792369,AAP,0.010358949650686575,81.187
2013-05-01,83.85,84.97,83.44,84.34,688085,AAP,0.0054840247973296135,81.32933333333332
2013-05-02,84.44,84.98,83.93,84.59,674663,AAP,0.0029641925539483044,81.475
2013-05-03,85.02,85.74,84.14,84.56,694591,AAP,-0.0003546518501004981,81.62599999999999
2013-05-06,84.71,85.05,84.03,84.91,394037,AAP,0.004139072847682052,81.796
2013-05-07,85.31,85.7,84.61,85.58,429232,AAP,0.007890707808267597,81.96433333333334
2013-05-08,85.5,85.87,84.61,85.12,502835,AAP,-0.005375087637298361,82.08166666666666
2013-05-09,84.92,85.7,84.59,84.72,428060,AAP,-0.004699248120300818,82.18433333333333
2013-05-10,84.8,85.97,84.52,85.43,537369,AAP,0.008380547686496789,82.277
2013-05-13,85.25,85.38,83.66,85.0,727903,AAP,-0.0050333606461431205,82.36566666666667
2013-05-14,85.18,86.23,84.96,86.12,387664,AAP,0.013176470588235348,82.47533333333334
2013-05-15,85.96,86.54,85.42,86.4,348660,AAP,0.003251277287505819,82.618
2013-05-16,86.32,86.92,85.04,85.42,610588,AAP,-0.011342592592592638,82.72533333333334
