date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,30.31,30.48,30.16,30.22,4789484,ADM,,
2013-02-11,30.26,30.445,30.13,30.28,4418487,ADM,0.0019854401058902143,
2013-02-12,30.22,30.83,30.08,30.81,5535196,ADM,0.017503302509907448,
2013-02-13,30.91,31.16,30.66,31.16,6749912,ADM,0.011359948068808875,
2013-02-14,31.03,31.54,30.96,31.4,7250119,ADM,0.0077021822849806946,
2013-02-15,31.72,32.57,31.72,32.57,15805985,ADM,0.03726114649681534,
2013-02-19,32.58,33.1,32.51,33.08,7385582,ADM,0.01565858151673313,
2013-02-20,33.09,33.09,32.43,32.5,7775251,ADM,-0.017533252720677097,
2013-02-21,32.32,32.43,31.975,32.11,6469524,ADM,-0.012000000000000018,
2013-02-22,32.4,32.46,32.04,32.1,4842672,ADM,-0.00031142946122697014,
2013-02-25,32.28,32.43,31.7,31.7,5625133,ADM,-0.012461059190031218,
2013-02-26,31.66,31.875,31.21,31.83,4872346,ADM,0.004100946372239717,
2013-02-27,31.82,32.1,31.615,32.0,4741498,ADM,0.005340873389883811,
2013-02-28,32.05,32.16,31.86,31.86,5567921,ADM,-0.004375000000000018,
2013-03-01,31.7,31.99,31.39,31.97,3819805,ADM,0.003452605147520384,
2013-03-04,31.91,32.12,31.71,32.02,3918668,ADM,0.0015639662183298175,
2013-03-05,32.14,32.37,32.06,32.21,4101151,ADM,0.005933791380387186,
2013-03-06,32.24,32.41,32.16,32.32,3860954,ADM,0.003415088481837921,
2013-03-07,32.45,32.62,32.32,32.57,3024827,ADM,0.007735148514851485,
2013-03-08,32.48,32.77,32.385,32.54,4476075,ADM,-0.0009210930303961049,
2013-03-11,32.41,32.66,32.23,32.46,2967257,ADM,-0.002458512599877022,
2013-03-12,32.41,32.685,32.3,32.56,3665364,ADM,0.003080714725816433,
2013-03-13,32.55,32.95,32.425,32.93,4843290,ADM,0.011363636363636284,
2013-03-14,32.99,32.99,32.78,32.91,3649215,ADM,-0.0006073489219557584,
2013-03-15,32.8,33.01,32.6,33.0,6448781,ADM,0.0027347310847767674,
2013-03-18,32.72,33.0,32.55,32.69,3063716,ADM,-0.009393939393939463,
2013-03-19,32.75,32.9,32.52,32.7,3608576,ADM,0.000305903946161062,
2013-03-20,32.87,33.13,32.82,33.01,2780844,ADM,0.009480122324158872,
2013-03-21,32.86,32.97,32.49,32.61,2467505,ADM,-0.012117540139351669,
2013-03-22,32.65,32.82,32.62,32.78,2078981,ADM,0.0052131248083410525,32.163333333333334
2013-03-25,32.92,33.0,32.5,32.57,2736460,ADM,-0.006406345332519855,32.24166666666667
2013-03-26,32.71,32.95,32.68,32.83,2210399,ADM,0.007982806263432545,32.32666666666667
2013-03-27,32.65,32.98,32.57,32.97,3384306,ADM,0.004264392324093834,32.39866666666667
2013-03-28,32.93,33.77,32.87,33.73,5914750,ADM,0.02305125872004847,32.48433333333333
2013-04-01,33.73,33.8,33.26,33.69,3460610,ADM,-0.0011858879335902505,32.56066666666666
2013-04-02,33.75,34.28,33.61,34.11,6840393,ADM,0.012466607301870042,32.612
2013-04-03,34.05,34.1,33.07,33.23,6548603,ADM,-0.025798885957197377,32.617
2013-04-04,33.22,33.59,33.1,33.59,4015573,ADM,0.010833584110743501,32.653333333333336
2013-04-05,33.2,33.25,32.84,33.17,3286154,ADM,-0.012503721345638633,32.68866666666666
2013-04-08,33.09,33.32,32.98,33.32,2741935,ADM,0.004522158577027391,32.72933333333334
2013-04-09,33.25,33.25,32.365,32.73,6111115,ADM,-0.017707082833133356,32.76366666666667
2013-04-10,32.79,33.22,32.62,33.17,4021253,ADM,0.01344332416743064,32.80833333333333
2013-04-11,33.11,33.2,32.8743,32.98,3258542,ADM,-0.005728067530901562,32.841
