date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,49.83,50.95,49.495,50.6,3844057,AET,,
2013-02-11,50.52,50.65,49.93,50.38,4020642,AET,-0.004347826086956499,
2013-02-12,50.96,51.1,49.99,50.15,3122364,AET,-0.004565303691941325,
2013-02-13,50.26,50.42,49.4,49.51,3604101,AET,-0.01276171485543371,
2013-02-14,49.33,49.98,48.99,49.56,2194849,AET,0.0010098969905070543,
2013-02-15,49.57,49.84,49.14,49.2,2747560,AET,-0.0072639225181597945,
2013-02-19,47.57,48.86,46.9,48.71,6720464,AET,-0.009959349593495976,
2013-02-20,48.75,48.82,48.045,48.24,3187050,AET,-0.009648942722233603,
2013-02-21,48.26,48.59,47.36,47.76,3346636,AET,-0.009950248756218987,
2013-02-22,47.87,48.11,47.37,47.58,2698382,AET,-0.003768844221105522,
2013-02-25,47.74,48.14,46.65,46.7,4789056,AET,-0.01849516603614955,
2013-02-26,46.83,46.94,46.045,46.56,3791605,AET,-0.0029978586723768855,
2013-02-27,46.54,47.73,46.46,47.53,3041941,AET,0.020833333333333308,
2013-02-28,47.52,47.59,46.91,47.19,3415947,AET,-0.007153376814643455,
2013-03-01,47.02,47.59,46.53,47.5,2388135,AET,0.006569188387370254,
2013-03-04,47.24,47.62,46.86,47.14,3312284,AET,-0.007578947368421041,
2013-03-05,47.24,47.95,47.22,47.85,1999069,AET,0.015061518879932135,
2013-03-06,48.15,49.04,48.11,49.03,3865298,AET,0.024660397074190172,
2013-03-07,48.89,49.71,48.89,49.59,3163097,AET,0.011421578625331476,
2013-03-08,49.71,50.69,49.66,50.52,3382555,AET,0.018753781004234717,
2013-03-11,50.29,50.41,49.48,49.9,4162951,AET,-0.01227236737925583,
2013-03-12,49.81,51.24,49.6,51.24,3873953,AET,0.026853707414829727,
2013-03-13,51.18,51.46,50.79,51.46,2663695,AET,0.004293520686963288,
2013-03-14,51.6,51.73,50.91,51.23,2724598,AET,-0.004469490866692654,
2013-03-15,51.01,51.28,50.82,50.87,4399858,AET,-0.00702713253952761,
2013-03-18,50.52,50.97,50.24,50.57,3063762,AET,-0.0058973854924316334,
2013-03-19,50.75,50.91,50.38,50.52,2878795,AET,-0.0009887284951551742,
2013-03-20,50.77,50.83,49.98,50.03,2582826,AET,-0.00969912905779893,
2013-03-21,49.77,50.39,49.68,50.24,3525900,AET,0.004197481511093361,
2013-03-22,50.39,50.47,49.78,49.91,2083613,AET,-0.006568471337579725,49.242333333333335
2013-03-25,50.04,50.56,49.9,50.05,2826359,AET,0.002805049088359058,49.224000000000004
2013-03-26,50.29,51.155,50.16,50.6,2541640,AET,0.010989010989011075,49.23133333333333
2013-03-27,50.45,50.92,50.39,50.87,1884019,AET,0.005335968379446562,49.255333333333326
2013-03-28,50.89,51.19,50.48,51.13,2108159,AET,0.005111067426774231,49.309333333333335
2013-04-01,51.03,54.05,50.4,52.38,5603718,AET,0.024447486798357128,49.40333333333333
2013-04-02,55.02,55.37,54.06,54.3,9969090,AET,0.03665521191294377,49.57333333333333
2013-04-03,54.34,55.62,53.93,54.43,5520095,AET,0.002394106813996364,49.764
2013-04-04,54.45,55.081,54.25,54.6,3142491,AET,0.0031232776042623865,49.976000000000006
2013-04-05,54.27,54.47,53.63,54.0,2292568,AET,-0.010989010989011014,50.184000000000005
2013-04-08,53.96,54.59,53.36,54.49,2294679,AET,0.009074074074074111,50.41433333333334
2013-04-09,54.51,55.89,54.37,55.53,3798788,AET,0.019086070838685982,50.708666666666666
2013-04-10,55.76,56.47,55.56,56.09,2519458,AET,0.010084638933909639,51.02633333333333
