date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,35.5,35.58,34.78,35.42,7049683,AKAM,,
2013-02-11,35.56,35.64,34.9,35.31,7253000,AKAM,-0.003105590062111785,
2013-02-12,35.36,36.91,35.0836,36.74,9682277,AKAM,0.04049844236760124,
2013-02-13,36.82,37.44,36.0801,37.31,6338839,AKAM,0.015514425694066419,
2013-02-14,37.26,37.93,36.63,37.87,5145953,AKAM,0.01500938086303927,
2013-02-15,37.83,39.0,37.83,38.49,6736887,AKAM,0.01637179825719579,
2013-02-19,38.44,38.81,38.07,38.58,3905760,AKAM,0.002338269680436381,
2013-02-20,38.62,38.76,37.37,37.4,4099689,AKAM,-0.030585795749092787,
2013-02-21,37.3,37.53,36.47,37.07,2987596,AKAM,-0.00882352941176466,
2013-02-22,37.17,37.41,36.0,36.27,5544645,AKAM,-0.021580793094146133,
2013-02-25,37.18,37.3,36.31,36.31,4400522,AKAM,0.0011028398125172082,
2013-02-26,36.36,36.73,36.0,36.36,2212458,AKAM,0.0013770311209032541,
2013-02-27,36.36,36.775,36.05,36.58,2411337,AKAM,0.006050605060506019,
2013-02-28,36.6,37.19,36.6,36.96,2756810,AKAM,0.01038819026790603,
2013-03-01,36.7,36.83,36.149,36.65,2846307,AKAM,-0.008387445887445949,
2013-03-04,36.64,37.74,36.5601,37.4,2814732,AKAM,0.020463847203274217,
2013-03-05,37.48,37.9,37.145,37.49,2169701,AKAM,0.0024064171122995565,
2013-03-06,37.54,38.19,37.3,37.53,2882538,AKAM,0.0010669511869831727,
2013-03-07,37.7,37.75,37.05,37.28,3385687,AKAM,-0.006661337596589395,
2013-03-08,37.38,37.55,37.0,37.24,2655136,AKAM,-0.001072961373390535,
2013-03-11,37.22,37.49,34.94,35.6,13468777,AKAM,-0.044038668098818484,
2013-03-12,35.48,35.54,34.55,34.77,8246171,AKAM,-0.023314606741572985,
2013-03-13,34.89,34.92,34.3,34.66,4262501,AKAM,-0.0031636468219731527,
2013-03-14,34.75,35.085,34.445,34.66,3524388,AKAM,0.0,
2013-03-15,35.35,35.41,34.54,34.69,6118330,AKAM,0.0008655510675130161,
2013-03-18,34.3,35.03,34.26,34.55,3928839,AKAM,-0.004035745171519186,
2013-03-19,34.55,35.07,34.26,34.67,4509912,AKAM,0.0034732272069465863,
2013-03-20,35.09,35.6,34.81,35.45,4430116,AKAM,0.02249783674646672,
2013-03-21,35.06,35.51,34.866,35.01,2368638,AKAM,-0.012411847672778697,
2013-03-22,35.2,35.28,34.685,34.78,2158408,AKAM,-0.0065695515566979975,36.30333333333333
2013-03-25,34.79,34.9883,34.35,34.4,3285480,AKAM,-0.010925819436457807,36.26933333333333
2013-03-26,34.61,35.15,34.54,35.08,2589414,AKAM,0.01976744186046511,36.26166666666666
2013-03-27,34.98,35.21,34.56,35.16,1496655,AKAM,0.0022805017103762343,36.208999999999996
2013-03-28,35.07,35.34,34.85,35.32,1904038,AKAM,0.004550625711035373,36.14266666666666
2013-04-01,35.37,35.41,34.81,34.9,2191478,AKAM,-0.011891279728199368,36.04366666666667
2013-04-02,35.04,35.35,34.79,34.84,2087884,AKAM,-0.0017191977077362513,35.922
2013-04-03,34.9,35.15,34.68,34.78,2529576,AKAM,-0.001722158438576414,35.79533333333333
2013-04-04,34.64,34.84,34.03,34.06,4128439,AKAM,-0.0207015526164462,35.684000000000005
2013-04-05,33.65,34.58,33.46,34.18,4049607,AKAM,0.003523194362888944,35.587666666666664
2013-04-08,34.28,34.52,33.92,34.49,2194636,AKAM,0.009069631363370459,35.52833333333333
2013-04-09,34.48,34.79,34.36,34.67,3217306,AKAM,0.005218904030153659,35.47366666666667
2013-04-10,34.83,36.165,34.81,36.04,4245021,AKAM,0.039515431208537566,35.462999999999994
2013-04-11,36.0,36.14,35.59,35.79,2443442,AKAM,-0.0069367369589345175,35.43666666666666
2013-04-12,35.71,35.89,35.21,35.41,2230448,AKAM,-0.010617490919251259,35.385
2013-04-15,35.14,35.3099,34.29,34.44,2602349,AKAM,-0.02739339169726063,35.31133333333334
2013-04-16,34.74,35.01,34.56,34.79,2798621,AKAM,0.010162601626016302,35.224333333333334
2013-04-17,34.46,34.966,33.86,34.18,2850329,AKAM,-0.01753377407300947,35.114000000000004
2013-04-18,34.13,34.22,33.27,33.74,4051104,AKAM,-0.012873025160912748,34.98766666666667
2013-04-19,33.6,33.7,33.36,33.55,2938750,AKAM,-0.005631298162418637,34.86333333333334
2013-04-22,32.72,34.73,32.635,34.28,3797388,AKAM,0.021758569299553027,34.76466666666667
2013-04-23,34.57,35.6,34.54,35.47,3354690,AKAM,0.03471411901983657,34.76033333333333
2013-04-24,35.39,36.36,35.15,36.091,7017825,AKAM,0.017507753030730256,34.80436666666667
2013-04-25,42.25,43.68,41.81,42.482,16795354,AKAM,0.17708015848826572,35.0651
2013-04-26,42.28,42.85,41.63,42.61,5641733,AKAM,0.0030130408172873244,35.3301
2013-04-29,42.48,43.225,42.26,43.03,3296016,AKAM,0.0098568411171087,35.6081
2013-04-30,43.09,44.21,42.992,43.91,3885597,AKAM,0.02045084824541007,35.9201
2013-05-01,43.8699,44.15,43.47,43.64,2015527,AKAM,-0.00614894101571387,36.219100000000005
2013-05-02,43.52,44.47,43.52,44.32,1967981,AKAM,0.01558203483043079,36.51476666666667
2013-05-03,44.79,45.71,44.5,45.27,2442334,AKAM,0.02143501805054158,36.856766666666665
2013-05-06,45.29,45.48,44.75,45.06,1709888,AKAM,-0.0046388336646786136,37.19943333333334
2013-05-07,45.31,45.82,44.88,45.15,1514591,AKAM,0.0019973368841543788,37.557766666666666
2013-05-08,44.83,45.44,44.75,45.29,2051385,AKAM,0.003100775193798462,37.8981
2013-05-09,45.28,45.85,45.01,45.61,2219748,AKAM,0.007065577390152358,38.246433333333336
2013-05-10,45.86,46.88,45.47,46.7,2711783,AKAM,0.02389826792370102,38.62576666666667
2013-05-13,46.41,47.53,46.15,46.71,2610132,AKAM,0.00021413276231259121,39.01943333333334
2013-05-14,46.65,47.07,46.5,46.9,1474701,AKAM,0.004067651466495349,39.42143333333333
2013-05-15,46.61,48.44,46.42,48.03,2880201,AKAM,0.02409381663113012,39.8631
2013-05-16,48.0,48.47,46.72,46.93,3003312,AKAM,-0.022902352696231552,40.2921
2013-05-17,47.45,47.75,47.08,47.49,2257603,AKAM,0.011932665672277909,40.73576666666667
2013-05-20,47.49,48.225,47.4,47.89,1728850,AKAM,0.008422825858075354,41.18243333333333
2013-05-21,47.85,47.99,47.06,47.28,1957171,AKAM,-0.012737523491334295,41.60276666666667
2013-05-22,47.42,47.83,45.87,46.12,2980405,AKAM,-0.024534686971235273,41.938766666666666
2013-05-23,45.94,46.58,45.72,46.35,1818253,AKAM,0.004986990459670512,42.29076666666666
2013-05-24,45.93,46.14,45.45,46.04,1203093,AKAM,-0.006688241639698,42.6451
2013-05-28,46.52,46.98,46.18,46.56,1979607,AKAM,0.011294526498696854,43.049099999999996
2013-05-29,46.365,46.89,46.05,46.36,2593562,AKAM,-0.004295532646048171,43.43476666666666
2013-05-30,46.38,47.695,46.36,47.09,2904831,AKAM,0.01574633304572916,43.8651
2013-05-31,46.78,47.34,46.11,46.12,2721772,AKAM,-0.020598853259715565,44.27776666666667
2013-06-03,46.22,46.44,44.912,45.91,2536797,AKAM,-0.004553339115351276,44.689766666666664
2013-06-04,45.92,46.18,44.61,44.65,2488893,AKAM,-0.027445001089087304,45.03543333333333
2013-06-05,44.58,45.06,44.1688,44.3,1669635,AKAM,-0.007838745800671924,45.329766666666664
2013-06-06,44.3,44.7,43.91,44.56,1320149,AKAM,0.005869074492099439,45.61206666666667
2013-06-07,44.97,45.28,44.61,45.26,1038109,AKAM,0.015709156193895773,45.70466666666667
2013-06-10,45.19,45.19,44.39,44.75,1093741,AKAM,-0.011268228015908044,45.775999999999996
2013-06-11,44.33,44.51,43.75,43.84,1746392,AKAM,-0.020335195530726182,45.803
2013-06-12,43.9,43.99,42.21,42.52,3188140,AKAM,-0.030109489051094895,45.75666666666667
2013-06-13,42.42,42.86,41.66,42.64,2620634,AKAM,0.0028222013170272208,45.723333333333336
2013-06-14,42.68,43.165,42.09,42.56,1614114,AKAM,-0.0018761726078798848,45.66466666666667
2013-06-17,43.07,43.645,42.78,42.94,1644260,AKAM,0.00892857142857132,45.587
2013-06-18,42.58,43.02,42.44,42.84,1646963,AKAM,-0.0023288309268745767,45.513
2013-06-19,42.92,43.14,42.49,42.56,1422052,AKAM,-0.006535947712418327,45.42666666666667
2013-06-20,41.99,42.48,41.12,41.25,1768943,AKAM,-0.030780075187969977,45.29200000000001
2013-06-21,41.46,41.69,40.46,40.75,3178455,AKAM,-0.012121212121212121,45.13
2013-06-24,40.47,41.685,40.08,41.41,2489258,AKAM,0.016196319018404823,44.95366666666666
2013-06-25,42.07,42.38,41.74,41.91,2030571,AKAM,0.01207437816952427,44.793666666666674
2013-06-26,42.18,43.0999,42.0,42.76,1931568,AKAM,0.020281555714626618,44.65566666666667
2013-06-27,42.9,43.1,42.67,42.69,1136817,AKAM,-0.0016370439663236738,44.47766666666667
2013-06-28,42.43,43.0,42.2801,42.55,1660060,AKAM,-0.003279456547200763,44.33166666666667
2013-07-01,42.74,43.035,42.5,42.97,1816599,AKAM,0.009870740305522955,44.181000000000004
