date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,45.05,45.29,44.89,45.14,3510945,ALL,,
2013-02-11,45.03,45.45,44.91,45.25,2357686,ALL,0.0024368630926007847,
2013-02-12,45.19,45.67,45.15,45.61,2702968,ALL,0.007955801104972363,
2013-02-13,45.59,45.91,45.48,45.88,2424640,ALL,0.005919754439815898,
2013-02-14,45.68,46.08,45.46,45.88,3968755,ALL,0.0,
2013-02-15,45.99,46.19,45.72,45.85,3815132,ALL,-0.0006538796861377754,
2013-02-19,45.85,46.75,45.85,46.74,4273843,ALL,0.019411123227917132,
2013-02-20,46.71,47.08,46.35,46.41,5044762,ALL,-0.0070603337612324645,
2013-02-21,46.38,46.53,46.15,46.47,4037755,ALL,0.0012928248222366361,
2013-02-22,46.64,46.85,46.54,46.74,2443775,ALL,0.005810200129115626,
2013-02-25,46.87,46.88,45.36,45.36,4534011,ALL,-0.02952503209242624,
2013-02-26,45.27,45.72,45.02,45.56,4348191,ALL,0.004409171075837806,
2013-02-27,45.44,46.14,45.11,46.05,2914117,ALL,0.010755048287971792,
2013-02-28,45.98,46.34,45.77,46.02,3876898,ALL,-0.0006514657980454731,
2013-03-01,45.96,46.36,45.5,46.35,3861744,ALL,0.007170795306388489,
2013-03-04,46.12,46.54,45.91,46.54,3114322,ALL,0.004099244875943856,
2013-03-05,46.77,47.42,46.76,47.21,5247467,ALL,0.014396218306832869,
2013-03-06,47.5,47.75,47.13,47.33,2542559,ALL,0.002541834357127673,
2013-03-07,47.35,47.44,47.2,47.29,1705995,ALL,-0.0008451299387280614,
2013-03-08,47.32,47.61,47.1175,47.42,3018624,ALL,0.00274899555931492,
2013-03-11,47.39,47.76,47.26,47.75,2619108,ALL,0.006959088991986467,
2013-03-12,47.74,47.88,47.55,47.71,2453674,ALL,-0.0008376963350785162,
2013-03-13,47.75,47.98,47.73,47.93,2361252,ALL,0.004611192622091781,
2013-03-14,47.99,48.28,47.83,48.2,2623909,ALL,0.005633215105362051,
2013-03-15,48.0,48.3,47.89,47.98,4529309,ALL,-0.004564315352697219,
2013-03-18,47.36,48.23,47.19,47.86,3312630,ALL,-0.0025010421008753118,
