date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-11-18,49.75,50.0,47.49,48.475,587184,ALLE,,
2013-11-19,48.99,49.0,45.3,45.8,1682041,ALLE,-0.055183084063950574,
2013-11-20,45.98,46.0,43.99,44.65,1106908,ALLE,-0.025109170305676828,
2013-11-21,44.5,45.15,43.04,43.79,730214,ALLE,-0.019260918253079497,
2013-11-22,43.9,44.1,43.25,43.99,947693,ALLE,0.004567252797442404,
2013-11-25,44.28,45.62,43.7,44.18,727314,ALLE,0.004319163446237729,
2013-11-26,45.0,45.0,43.04,43.2,873717,ALLE,-0.022181982797645924,
2013-11-27,43.55,43.55,42.5,43.24,1153343,ALLE,0.0009259259259259061,
2013-11-29,42.75,43.85,42.75,43.24,949924,ALLE,0.0,
2013-12-02,43.9,44.74,41.52,43.14,5130708,ALLE,-0.002312673450508821,
2013-12-03,42.8,44.9,42.7,42.9,3239252,ALLE,-0.005563282336578627,
2013-12-04,42.43,42.605,41.6501,41.83,2777748,ALLE,-0.02494172494172495,
2013-12-05,42.28,42.28,40.63,41.05,3380502,ALLE,-0.01864690413578774,
2013-12-06,40.75,41.06,40.64,40.7,4662340,ALLE,-0.008526187576126536,
2013-12-09,40.7,41.27,40.24,41.18,3073953,ALLE,0.011793611793611715,
2013-12-10,41.07,42.84,41.04,42.56,3289354,ALLE,0.033511413307430855,
2013-12-11,42.32,43.015,42.0,42.46,3367890,ALLE,-0.002349624060150409,
2013-12-12,42.01,43.1,42.0,42.97,1770490,ALLE,0.0120113047574187,
2013-12-13,42.92,43.8,42.92,43.25,683791,ALLE,0.006516174074936028,
2013-12-16,43.01,43.99,42.11,43.69,1953878,ALLE,0.010173410404624226,
2013-12-17,43.43,44.0,43.16,43.75,1396938,ALLE,0.00137331197070273,
2013-12-18,43.65,44.5,43.1,44.27,1225195,ALLE,0.011885714285714357,
2013-12-19,43.96,44.5,43.82,44.45,593011,ALLE,0.004065958888637897,
2013-12-20,44.3,44.45,43.91,44.26,2878557,ALLE,-0.004274465691788635,
2013-12-23,44.17,44.85,43.55,44.65,773646,ALLE,0.008811568007230017,
2013-12-24,44.76,45.02,44.25,44.58,304706,ALLE,-0.001567749160134385,
2013-12-26,44.86,45.01,44.44,44.7,513177,ALLE,0.0026917900403769525,
2013-12-27,44.77,44.97,44.09,44.64,393256,ALLE,-0.0013422818791946818,
2013-12-30,44.45,44.88,44.0,44.12,381478,ALLE,-0.011648745519713332,
2013-12-31,44.23,44.5,43.76,44.19,874161,ALLE,0.0015865820489573954,43.6635
2014-01-02,44.08,44.18,43.27,43.65,992872,ALLE,-0.012219959266802425,43.50266666666667
2014-01-03,43.57,44.32,43.17,43.96,378396,ALLE,0.007101947308132927,43.44133333333333
2014-01-06,43.97,43.98,43.37,43.68,597834,ALLE,-0.006369426751592382,43.409
