date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,146.84,147.165,145.73,146.45,292176,AMG,,
2013-02-11,146.42,146.66,145.3,145.57,282470,AMG,-0.006008876749743909,
2013-02-12,145.89,146.42,145.43,145.75,386947,AMG,0.0012365185134300119,
2013-02-13,145.99,146.52,145.144,146.47,337315,AMG,0.004939965694682668,
2013-02-14,146.15,147.586,145.69,147.34,254905,AMG,0.005939782890694371,
2013-02-15,147.29,147.72,146.16,146.51,245691,AMG,-0.005633229265644173,
2013-02-19,147.0,149.37,146.9,148.62,435917,AMG,0.014401747321002073,
2013-02-20,148.28,148.45,145.23,145.42,309353,AMG,-0.02153142241959371,
2013-02-21,144.81,144.95,142.62,143.13,359586,AMG,-0.015747490028881806,
2013-02-22,144.3,146.39,144.26,146.37,313111,AMG,0.022636763781178015,
2013-02-25,147.26,147.9,142.46,142.46,441359,AMG,-0.02671312427409986,
2013-02-26,143.4,144.284,141.9,143.56,362452,AMG,0.007721465674575279,
2013-02-27,143.24,146.47,142.84,146.04,240146,AMG,0.017275006965728545,
2013-02-28,146.05,147.82,145.54,146.23,314694,AMG,0.0013010134209805377,
2013-03-01,145.16,146.77,142.96,146.02,411088,AMG,-0.0014360938247964135,
2013-03-04,145.7,147.03,144.63,147.03,324047,AMG,0.006916860704013086,
2013-03-05,148.26,149.59,147.7,149.15,277823,AMG,0.014418826089913654,
2013-03-06,149.81,150.41,149.01,150.01,170328,AMG,0.005766007375125613,
2013-03-07,149.99,150.35,149.02,150.19,268681,AMG,0.0011999200053330232,
2013-03-08,151.0,151.43,149.5018,151.17,363845,AMG,0.006525068246887208,
2013-03-11,151.07,151.07,149.75,150.79,513274,AMG,-0.0025137262684394755,
2013-03-12,151.54,151.55,149.405,150.04,305389,AMG,-0.004973804628954175,
2013-03-13,152.0,154.66,150.1,154.49,582976,AMG,0.029658757664622882,
2013-03-14,154.88,156.095,154.12,155.18,661828,AMG,0.004466308498931954,
2013-03-15,155.09,155.22,153.58,154.41,918121,AMG,-0.004961979636551168,
2013-03-18,152.94,154.77,151.74,153.74,346173,AMG,-0.004339097208729924,
2013-03-19,153.89,154.78,150.68,151.86,318448,AMG,-0.012228437621959121,
2013-03-20,152.92,154.21,152.15,153.95,242462,AMG,0.013762676149084517,
2013-03-21,152.31,152.75,150.05,150.44,250402,AMG,-0.022799610263072367,
2013-03-22,151.33,151.67,150.35,151.49,206668,AMG,0.006979526721616667,148.66266666666667
2013-03-25,152.28,152.86,150.524,151.54,342243,AMG,0.0003300547890948772,148.83233333333334
2013-03-26,152.21,152.3099,150.81,151.56,298818,AMG,0.00013197835554975738,149.03199999999998
2013-03-27,150.72,151.63,149.67,151.33,242836,AMG,-0.0015175508049616638,149.218
2013-03-28,151.8,153.9,151.1101,153.57,247497,AMG,0.014802088151721274,149.45466666666667
2013-04-01,153.41,154.48,151.48,152.05,275358,AMG,-0.00989776649085096,149.61166666666668
2013-04-02,152.89,153.13,151.76,152.38,180759,AMG,0.0021703387043734567,149.80733333333333
2013-04-03,154.57,154.66,149.04,149.59,416769,AMG,-0.018309489434308913,149.83966666666666
2013-04-04,150.51,151.406,148.64,149.6,334555,AMG,6.6849388328036e-05,149.97899999999998
2013-04-05,147.71,147.94,145.76,147.74,444010,AMG,-0.012433155080213806,150.13266666666667
2013-04-08,147.6,150.49,147.6,150.34,313308,AMG,0.017598483822932137,150.265
2013-04-09,150.88,151.91,149.74,151.01,230568,AMG,0.004456565119063373,150.55
2013-04-10,151.44,154.38,151.26,153.97,266169,AMG,0.0196013509039137,150.89700000000002
2013-04-11,153.91,156.24,153.64,155.51,277193,AMG,0.010001948431512581,151.21266666666668
2013-04-12,155.06,155.2,153.43,153.76,283767,AMG,-0.011253295607999486,151.46366666666665
2013-04-15,152.99,153.49,147.7001,148.02,232537,AMG,-0.03733090530697178,151.53033333333335
2013-04-16,149.94,149.97,146.95,148.04,556843,AMG,0.00013511687609770172,151.564
2013-04-17,146.64,146.69,143.574,145.71,412180,AMG,-0.015738989462307378,151.44933333333336
