date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,56.01,56.56,55.88,56.53,2069181,AON,,
2013-02-11,56.47,56.72,56.2,56.66,1656442,AON,0.0022996638952767637,
2013-02-12,56.62,56.82,56.335,56.7,2702710,AON,0.0007059654076951333,
2013-02-13,56.76,57.44,56.5,57.28,1382960,AON,0.010229276895943532,
2013-02-14,57.18,57.53,57.05,57.3,1593327,AON,0.00034916201117311487,
2013-02-15,57.29,57.38,56.82,57.0,2939778,AON,-0.005235602094240789,
2013-02-19,57.1,57.92,57.1,57.91,2695460,AON,0.015964912280701696,
2013-02-20,58.02,59.44,58.01,59.02,3457707,AON,0.01916767397686076,
2013-02-21,58.81,59.5,58.6,59.42,3668478,AON,0.006777363605557414,
2013-02-22,59.6,60.85,59.39,60.79,3669035,AON,0.023056210030292786,
2013-02-25,60.9,61.48,59.45,59.45,2869498,AON,-0.022043099193946314,
2013-02-26,60.32,60.55,59.2,60.05,3195318,AON,0.010092514718250534,
2013-02-27,60.2,60.945,59.97,60.83,2828277,AON,0.01298917568692758,
2013-02-28,60.93,61.87,60.7102,61.09,3514598,AON,0.004274206805852459,
2013-03-01,60.8,61.05,60.3,60.89,2513651,AON,-0.0032738582419381706,
2013-03-04,60.05,60.66,59.86,60.49,2692613,AON,-0.006569223189357835,
2013-03-05,60.82,61.03,60.705,60.75,1982785,AON,0.004298231112580559,
2013-03-06,61.0,61.0,60.28,60.34,1880696,AON,-0.006748971193415582,
2013-03-07,60.35,60.69,60.06,60.29,4026119,AON,-0.0008286377195890663,
2013-03-08,60.62,60.62,59.985,60.21,6544137,AON,-0.0013269198872117812,
2013-03-11,60.2,60.23,59.88,60.1,3254552,AON,-0.001826939046669979,
2013-03-12,60.05,60.1,59.56,59.64,2566586,AON,-0.00765391014975043,
2013-03-13,59.83,59.83,59.48,59.7,2180243,AON,0.001006036217303861,
2013-03-14,59.73,60.08,59.705,60.03,2860557,AON,0.005527638190954745,
2013-03-15,59.67,60.03,59.55,59.9,2836482,AON,-0.0021655838747293445,
2013-03-18,59.21,59.47,58.815,58.96,4084151,AON,-0.015692821368948208,
2013-03-19,59.0,59.22,58.66,59.01,3063738,AON,0.0008480325644504267,
2013-03-20,59.05,59.79,58.97,59.71,4131909,AON,0.011862396204033263,
2013-03-21,59.48,59.89,59.38,59.45,2504373,AON,-0.004354379500921085,
2013-03-22,59.64,60.31,59.56,60.27,1702533,AON,0.013793103448275865,59.32566666666666
2013-03-25,60.46,61.22,60.19,61.16,2515891,AON,0.014766882362701069,59.480000000000004
2013-03-26,61.41,61.84,61.1,61.82,1884920,AON,0.010791366906474881,59.652
