date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,87.55,88.49,87.33,88.35,782915,APD,,
2013-02-11,88.47,88.74,88.11,88.42,744599,APD,0.0007923033389927266,
2013-02-12,88.43,88.88,87.79,88.83,929048,APD,0.004636959963809055,
2013-02-13,88.94,89.05,88.35,88.78,856548,APD,-0.0005628729032984033,
2013-02-14,88.49,88.8664,88.03,88.69,660901,APD,-0.0010137418337463776,
2013-02-15,88.71,88.8,87.96,88.23,800357,APD,-0.005186605028751762,
2013-02-19,88.63,89.13,88.18,88.7,558836,APD,0.005326986285843804,
2013-02-20,88.64,88.8,87.55,87.61,1276047,APD,-0.012288613303269486,
2013-02-21,87.21,87.75,85.0,85.67,2003368,APD,-0.022143590914279167,
2013-02-22,86.02,86.1,85.32,86.09,1368480,APD,0.004902532975370628,
2013-02-25,86.49,86.51,84.22,84.23,997593,APD,-0.021605296782436976,
2013-02-26,84.59,84.93,84.15,84.34,1235923,APD,0.001305947999525103,
2013-02-27,84.43,85.94,84.27,85.56,1039911,APD,0.014465259663267711,
2013-02-28,85.48,86.83,85.44,86.34,1195693,APD,0.009116409537166914,
2013-03-01,85.85,86.65,85.32,86.34,739891,APD,0.0,
2013-03-04,86.12,86.53,85.57,86.34,577902,APD,0.0,
2013-03-05,86.75,87.72,86.625,86.9,866919,APD,0.006485985638174685,
2013-03-06,87.2,87.28,86.62,86.71,649540,APD,-0.002186421173763083,
2013-03-07,86.87,87.94,86.68,87.85,904129,APD,0.013147272517587367,
2013-03-08,88.27,89.23,88.11,89.1,1205892,APD,0.014228799089356859,
2013-03-11,88.84,89.03,88.16,88.83,888563,APD,-0.0030303030303029856,
2013-03-12,88.83,89.31,88.44,88.91,702889,APD,0.0009005966452774772,
2013-03-13,88.91,89.12,88.08,89.0,681643,APD,0.0010122595883478057,
2013-03-14,89.2,89.9,89.0001,89.9,658433,APD,0.010112359550561861,
2013-03-15,89.56,90.34,89.344,90.17,1904607,APD,0.0030033370411567963,
2013-03-18,89.23,89.28,88.5,88.92,942677,APD,-0.01386270378174559,
2013-03-19,88.95,89.28,87.66,88.21,839568,APD,-0.007984705353126495,
2013-03-20,88.59,89.09,88.33,88.84,889497,APD,0.0071420473869176935,
2013-03-21,86.85,87.9499,86.58,87.1,1396827,APD,-0.019585772174696186,
2013-03-22,87.77,88.04,87.23,87.52,836860,APD,0.004822043628013797,87.68266666666666
2013-03-25,87.99,88.14,87.15,87.47,977859,APD,-0.0005712979890310462,87.65333333333334
2013-03-26,87.79,88.07,87.445,87.92,749202,APD,0.005144621012918748,87.63666666666667
2013-03-27,86.54,86.55,85.65,86.28,983321,APD,-0.018653321201091907,87.55166666666668
2013-03-28,86.3,87.27,86.06,87.12,1339829,APD,0.009735744089012557,87.49633333333333
2013-04-01,86.69,86.83,85.24,85.51,1277346,APD,-0.018480257116620744,87.39033333333333
2013-04-02,85.96,86.07,84.7,85.01,966267,APD,-0.00584726932522512,87.28299999999999
2013-04-03,85.14,85.2,84.04,84.28,1105572,APD,-0.008587225032349181,87.13566666666667
2013-04-04,84.45,85.4,84.32,85.37,781010,APD,0.012933080208827757,87.06099999999999
2013-04-05,84.58,85.18,84.06,85.13,665810,APD,-0.0028112920229589914,87.04299999999999
2013-04-08,85.2,85.68,84.71,85.65,498664,APD,0.006108304945377778,87.02833333333335
2013-04-09,85.97,86.4,85.38,86.0,667549,APD,0.004086398131932216,87.08733333333333
2013-04-10,86.2,86.43,85.86,86.34,1278097,APD,0.003953488372093063,87.154
2013-04-11,86.43,87.32,86.228,87.24,1231832,APD,0.010423905489923458,87.21000000000001
2013-04-12,87.02,87.2,86.43,86.93,1084435,APD,-0.0035534158642823027,87.22966666666666
2013-04-15,86.45,86.63,84.85,84.86,2014162,APD,-0.023812262740135825,87.18033333333334
2013-04-16,85.16,86.58,85.16,86.5,931172,APD,0.01932594862125855,87.18566666666668
2013-04-17,86.06,86.46,85.48,85.78,1220134,APD,-0.008323699421965305,87.14833333333333
2013-04-18,86.08,86.375,84.66,84.85,1060595,APD,-0.01084168803917005,87.08633333333334
2013-04-19,85.08,85.92,85.08,85.71,1613468,APD,0.010135533294048314,87.015
2013-04-22,85.71,86.51,85.64,86.29,837340,APD,0.006767005016917659,86.92133333333335
2013-04-23,85.72,86.4,84.53,85.18,2129386,APD,-0.012863599490091544,86.79966666666668
2013-04-24,85.41,86.18,85.31,85.8,1706210,APD,0.007278703921108127,86.69599999999998
2013-04-25,85.62,86.69,85.33,86.01,836462,APD,0.0024475524475525406,86.59633333333333
2013-04-26,86.0,86.08,85.45,85.59,581417,APD,-0.004883153121730051,86.45266666666667
2013-04-29,85.93,86.67,85.59,86.54,695722,APD,0.011099427503213025,86.33166666666668
2013-04-30,86.52,86.96,86.03,86.96,768342,APD,0.004853247053385573,86.26633333333334
2013-05-01,86.69,86.77,85.63,85.69,654609,APD,-0.014604415823367021,86.18233333333335
2013-05-02,88.95,90.9,87.54,89.04,5214572,APD,0.03909441008285691,86.18900000000001
2013-05-03,89.99,90.22,89.51,89.8,1911036,APD,0.008535489667565037,86.279
2013-05-06,90.0,90.0,88.53,89.38,1212374,APD,-0.0046770601336303085,86.341
2013-05-07,89.59,90.1899,89.29,90.03,938734,APD,0.007272320429626378,86.42633333333335
2013-05-08,89.88,91.17,89.7,91.15,989467,APD,0.012440297678551645,86.534
2013-05-09,90.91,91.38,90.675,91.01,1142512,APD,-0.001535929786066929,86.69166666666666
2013-05-10,91.18,91.42,90.52,91.21,956549,APD,0.0021975607076144227,86.828
2013-05-13,90.97,91.21,90.5,90.84,640649,APD,-0.004056572744216537,87.00566666666667
2013-05-14,90.97,91.64,90.57,91.59,890335,APD,0.008256274768824306,87.225
2013-05-15,91.42,92.45,90.92,92.38,1248803,APD,0.008625395785566023,87.49499999999999
2013-05-16,92.1,92.96,92.03,92.77,971940,APD,0.0042216930071444095,87.74166666666666
2013-05-17,93.0,94.49,92.87,94.33,1060286,APD,0.016815780963673626,88.04833333333333
2013-05-20,94.08,95.41,94.06,94.81,1124584,APD,0.005088519028940994,88.35366666666667
2013-05-21,95.0,95.49,94.54,94.86,673023,APD,0.0005273705305347238,88.64899999999999
2013-05-22,94.75,96.155,94.53,95.12,1973663,APD,0.0027408812987561155,88.94166666666666
2013-05-23,93.47,94.38,93.11,94.17,1378987,APD,-0.009987384356602217,89.17266666666666
2013-05-24,93.71,94.06,93.26,93.93,917039,APD,-0.0025485823510671647,89.40599999999999
