date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2017-12-05,88.89,89.66,86.16,88.77,3522147,APTV,,
2017-12-06,88.44,89.64,85.18,85.36,2692557,APTV,-0.038413878562577414,
2017-12-07,84.8,85.42,83.87,84.38,2962311,APTV,-0.011480787253983177,
2017-12-08,84.96,85.93,84.23,85.22,2677552,APTV,0.009954965631666313,
2017-12-11,86.3,86.94,85.04,85.89,3697224,APTV,0.0078620042243605,
2017-12-12,86.61,86.62,85.38,85.67,2630578,APTV,-0.0025614157643497363,
2017-12-13,85.99,86.07,83.44,83.56,2130947,APTV,-0.024629391852457095,
2017-12-14,84.13,84.63,82.97,83.05,2042428,APTV,-0.0061033987553854125,
2017-12-15,83.92,84.48,83.42,84.4,2947483,APTV,0.016255267910897153,
2017-12-18,85.24,85.47,84.13,84.24,1676089,APTV,-0.0018957345971565259,
2017-12-19,84.905,86.91,84.65,85.62,2233932,APTV,0.016381766381766496,
2017-12-20,85.82,86.39,85.3,85.87,1646447,APTV,0.0029198785330530248,
2017-12-21,86.78,86.79,84.88,84.98,1661784,APTV,-0.010364504483521608,
2017-12-22,84.7,85.19,84.16,84.79,907072,APTV,-0.002235820192986558,
2017-12-26,84.64,85.12,84.46,84.88,335650,APTV,0.001061445925226904,
2017-12-27,85.03,85.47,84.61,84.73,691896,APTV,-0.0017672007540055546,
2017-12-28,85.03,85.59,84.72,85.56,965728,APTV,0.009795822022896238,
2017-12-29,85.65,85.97,84.83,84.83,884818,APTV,-0.008532024310425478,
2018-01-02,84.89,86.454,84.5,86.11,1469923,APTV,0.015089001532476732,
2018-01-03,86.09,87.86,85.73,87.54,1542261,APTV,0.016606665892463207,
2018-01-04,87.94,89.42,87.94,88.91,1708544,APTV,0.015649988576650564,
2018-01-05,89.8,91.71,89.5175,91.57,2271147,APTV,0.0299178945000562,
2018-01-08,92.5,92.97,91.12,91.93,1791062,APTV,0.003931418586873579,
2018-01-09,92.29,93.69,92.23,92.75,2765617,APTV,0.008919830305667282,
2018-01-10,92.19,92.44,90.18,90.46,2333864,APTV,-0.024690026954177966,
2018-01-11,90.56,92.27,90.14,92.06,2031599,APTV,0.017687375635640157,
2018-01-12,92.33,93.2931,92.06,92.91,1401989,APTV,0.009233108842059464,
2018-01-16,93.96,94.02,92.19,92.56,2331889,APTV,-0.003767086427725695,
2018-01-17,92.38,94.18,91.93,93.56,2119459,APTV,0.010803802938634399,
2018-01-18,93.92,94.0,92.45,93.1,1450126,APTV,-0.0049166310389056,87.50866666666667
2018-01-19,93.47,94.04,92.74,93.52,2515335,APTV,0.00451127819548874,87.667
2018-01-22,94.09,94.38,92.18,93.55,1893389,APTV,0.0003207869974337162,87.94
2018-01-23,93.23,93.55,92.32,92.83,1489794,APTV,-0.007696419027258139,88.22166666666665
2018-01-24,93.71,94.69,92.87,93.54,1944175,APTV,0.007648389529247097,88.499
2018-01-25,94.0,94.34,92.07,92.49,1851534,APTV,-0.011225144323284277,88.71900000000001
2018-01-26,93.17,94.74,92.75,94.48,2662855,APTV,0.021515839550221745,89.01266666666668
2018-01-29,95.23,95.47,94.16,94.89,3313098,APTV,0.00433954276037253,89.39033333333333
2018-01-30,94.41,95.27,93.99,94.63,1490160,APTV,-0.0027400147539256518,89.77633333333333
2018-01-31,95.26,95.97,94.14,94.88,3162947,APTV,0.002641868329282469,90.12566666666666
2018-02-01,90.83,96.91,90.8,96.02,2753387,APTV,0.012015177065767291,90.51833333333335
2018-02-02,95.8,95.985,94.11,94.21,2546866,APTV,-0.01885023953343056,90.80466666666668
2018-02-05,93.88,95.625,91.01,91.14,2658375,APTV,-0.03258677422778891,90.98033333333333
2018-02-06,89.81,93.39,88.91,92.6,3273314,APTV,0.01601931095018646,91.23433333333332
2018-02-07,92.53,95.345,92.2395,93.69,1868427,APTV,0.011771058315334811,91.53099999999999
