date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,26.76,26.91,26.7,26.82,3333740,ARNC,,
2013-02-11,26.7,26.79,26.58,26.61,2791559,ARNC,-0.007829977628635378,
2013-02-12,26.61,27.12,26.55,27.09,5419631,ARNC,0.01803833145434049,
2013-02-13,27.15,27.3,27.09,27.3,6273361,ARNC,0.007751937984496155,
2013-02-14,27.21,28.11,27.12,27.87,10368995,ARNC,0.020879120879120888,
2013-02-15,28.02,28.08,27.6,27.96,9927535,ARNC,0.0032292787944025784,
2013-02-19,27.93,27.96,27.15,27.18,8057467,ARNC,-0.027896995708154546,
2013-02-20,27.21,27.24,26.25,26.28,9810713,ARNC,-0.0331125827814569,
2013-02-21,26.25,26.445,25.8,25.98,8894203,ARNC,-0.011415525114155278,
2013-02-22,26.16,26.19,25.83,25.92,6079333,ARNC,-0.002309468822170851,
2013-02-25,26.1,26.16,25.23,25.26,8042930,ARNC,-0.02546296296296297,
2013-02-26,25.425,25.5,25.05,25.23,7304351,ARNC,-0.001187648456057052,
2013-02-27,25.26,25.71,25.2,25.62,5943026,ARNC,0.01545778834720573,
2013-02-28,25.59,25.8,25.41,25.56,7523100,ARNC,-0.0023419203747073484,
2013-03-01,25.35,25.5,25.14,25.32,7014777,ARNC,-0.009389671361502287,
2013-03-04,25.17,25.26,24.9,25.05,6795289,ARNC,-0.010663507109004723,
2013-03-05,25.29,25.35,25.05,25.05,5514577,ARNC,0.0,
2013-03-06,25.32,25.89,25.17,25.71,5406976,ARNC,0.026347305389221563,
2013-03-07,25.8,25.98,25.68,25.92,3915109,ARNC,0.008168028004667477,
2013-03-08,26.04,26.1,25.8,25.83,5166080,ARNC,-0.0034722222222223534,
2013-03-11,25.83,26.04,25.74,26.01,3674870,ARNC,0.006968641114982705,
2013-03-12,26.01,26.1,25.7166,25.86,3816582,ARNC,-0.005767012687427994,
2013-03-13,25.83,25.89,25.44,25.62,4363691,ARNC,-0.00928074245939669,
2013-03-14,25.56,25.725,25.53,25.65,4341684,ARNC,0.0011709601873535356,
2013-03-15,25.65,25.89,25.56,25.89,4289903,ARNC,0.009356725146198909,
2013-03-18,25.5,25.95,25.5,25.68,4174011,ARNC,-0.008111239860950206,
2013-03-19,25.68,25.86,25.245,25.44,6923738,ARNC,-0.009345794392523303,
2013-03-20,25.56,25.77,25.44,25.62,5827491,ARNC,0.0070754716981131964,
2013-03-21,25.5,25.62,25.35,25.35,2967403,ARNC,-0.010538641686182652,
2013-03-22,25.41,25.5,25.26,25.35,3517274,ARNC,0.0,26.000999999999998
2013-03-25,25.44,25.44,25.11,25.26,3140338,ARNC,-0.00355029585798816,25.948999999999998
2013-03-26,25.32,25.44,25.05,25.26,6210171,ARNC,0.0,25.904000000000003
2013-03-27,25.08,25.56,24.99,25.47,3732221,ARNC,0.008313539192398942,25.85
2013-03-28,25.32,25.65,25.23,25.56,5335381,ARNC,0.0035335689045936343,25.791999999999998
2013-04-01,25.53,25.62,24.99,25.17,7080155,ARNC,-0.015258215962441198,25.701999999999998
2013-04-02,25.26,25.26,24.81,24.9,5831927,ARNC,-0.010727056019070445,25.6
2013-04-03,24.9,24.96,24.6,24.81,6270748,ARNC,-0.0036144578313252957,25.521
2013-04-04,24.87,25.17,24.6,24.66,7611565,ARNC,-0.006045949214026545,25.467
2013-04-05,24.42,24.87,24.315,24.72,8078732,ARNC,0.0024330900243308483,25.425
2013-04-08,24.9,25.23,24.6,25.17,13685112,ARNC,0.018203883495145748,25.4
2013-04-09,24.9,25.5,24.84,25.17,13855442,ARNC,0.0,25.397000000000002
2013-04-10,25.29,25.41,24.9,24.93,6941743,ARNC,-0.009535160905840364,25.387
2013-04-11,24.9,25.2,24.81,24.96,4393128,ARNC,0.0012033694344164114,25.365000000000002
2013-04-12,24.9,24.96,24.51,24.66,7150153,ARNC,-0.012019230769230798,25.335
2013-04-15,24.42,24.51,24.03,24.12,10819086,ARNC,-0.02189781021897807,25.295
2013-04-16,24.225,24.6,24.18,24.3,7608707,ARNC,0.007462686567164167,25.27
2013-04-17,24.12,24.24,23.79,23.88,9080078,ARNC,-0.017283950617284022,25.230999999999998
2013-04-18,24.0,24.24,23.7,24.09,6359960,ARNC,0.008793969849246267,25.177
2013-04-19,24.27,24.33,24.0,24.24,5220566,ARNC,0.006226650062266441,25.121
2013-04-22,24.36,24.45,23.97,24.33,4919484,ARNC,0.003712871287128707,25.071
2013-04-23,24.36,24.51,24.12,24.36,5418548,ARNC,0.0012330456226880863,25.016000000000002
2013-04-24,24.36,25.35,24.36,25.23,7343671,ARNC,0.035714285714285754,24.994999999999997
2013-04-25,25.26,25.5,25.0305,25.17,6131972,ARNC,-0.002378121284185443,24.980000000000004
2013-04-26,25.05,25.08,24.78,24.81,5046871,ARNC,-0.014302741358760546,24.951999999999998
2013-04-29,24.87,25.32,24.81,25.26,4024943,ARNC,0.018137847642079923,24.930999999999997
2013-04-30,25.14,25.56,24.93,25.5,4966733,ARNC,0.009501187648455995,24.925
2013-05-01,25.35,25.56,24.96,25.29,6727563,ARNC,-0.008235294117647092,24.92
2013-05-02,25.38,25.47,25.11,25.38,3381354,ARNC,0.003558718861209959,24.912
2013-05-03,25.56,26.1,25.5,25.86,7056207,ARNC,0.01891252955082744,24.929
2013-05-06,25.98,26.16,25.8,26.07,3475458,ARNC,0.00812064965197219,24.953
2013-05-07,26.1,26.25,25.83,25.92,4111522,ARNC,-0.005753739930955066,24.975
2013-05-08,25.95,26.64,25.95,26.61,6968572,ARNC,0.02662037037037028,25.019999999999996
2013-05-09,26.46,26.64,26.25,26.37,5169377,ARNC,-0.009019165727170177,25.05
