date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,39.11,39.43,39.065,39.25,1003986,AVY,,
2013-02-11,39.17,39.33,39.09,39.21,863860,AVY,-0.0010191082802547553,
2013-02-12,39.21,39.7,39.2,39.43,811419,AVY,0.005610813567967326,
2013-02-13,39.5,39.86,39.43,39.61,708337,AVY,0.004565051990869889,
2013-02-14,39.58,40.72,39.55,39.69,1309910,AVY,0.002019691996970419,
2013-02-15,39.72,40.04,39.5,39.73,777852,AVY,0.001007810531620034,
2013-02-19,39.71,40.21,39.68,40.07,1018744,AVY,0.008557764913163943,
2013-02-20,40.06,40.105,39.57,39.64,810207,AVY,-0.01073122036436236,
2013-02-21,39.55,39.62,38.97,39.31,1227660,AVY,-0.008324924318869786,
2013-02-22,39.48,39.68,39.2401,39.6,673797,AVY,0.007377257695242919,
2013-02-25,39.75,39.89,38.8,38.8,937776,AVY,-0.020202020202020308,
2013-02-26,38.98,39.84,38.96,39.82,898847,AVY,0.026288659793814517,
2013-02-27,39.9,40.865,39.79,40.72,972325,AVY,0.02260170768458058,
2013-02-28,40.72,41.29,40.52,40.85,1270550,AVY,0.003192534381139552,
2013-03-01,40.63,41.01,40.35,40.88,916219,AVY,0.0007343941248470291,
2013-03-04,40.41,41.22,40.27,41.13,938436,AVY,0.00611545988258317,
2013-03-05,41.34,41.93,41.34,41.8,911836,AVY,0.016289812788718563,
2013-03-06,41.92,42.16,41.61,41.7,819258,AVY,-0.0023923444976075197,
2013-03-07,41.77,42.0,41.61,41.78,483121,AVY,0.0019184652278177049,
2013-03-08,41.93,42.22,41.81,42.16,724863,AVY,0.009095260890378062,
2013-03-11,42.06,42.65,42.0,42.63,769836,AVY,0.01114800759013297,
2013-03-12,42.63,42.885,42.56,42.88,793999,AVY,0.005864414731409805,
2013-03-13,42.87,43.28,42.68,43.01,1204262,AVY,0.0030317164179103416,
2013-03-14,43.08,43.64,43.08,43.58,1023194,AVY,0.013252731922808656,
2013-03-15,43.35,43.52,42.48,43.27,1483966,AVY,-0.007113354749885158,
2013-03-18,43.0,43.54,42.75,43.4,588615,AVY,0.003004391033048196,
2013-03-19,43.57,43.64,42.73,42.9,837027,AVY,-0.01152073732718894,
2013-03-20,43.11,43.28,42.9,43.1,665104,AVY,0.004662004662004729,
2013-03-21,42.92,43.05,42.57,42.76,696940,AVY,-0.007888631090487317,
2013-03-22,42.9,43.06,42.65,42.95,707689,AVY,0.0044434050514500665,41.18866666666667
2013-03-25,43.11,43.38,42.61,42.85,547076,AVY,-0.0023282887077998,41.30866666666667
2013-03-26,43.1,43.22,42.81,42.91,620715,AVY,0.001400233372228592,41.432
2013-03-27,42.62,42.92,42.37,42.79,583870,AVY,-0.0027965509205312854,41.544
2013-03-28,42.86,43.15,42.41,43.07,842722,AVY,0.006543584949754642,41.65933333333333
2013-04-01,43.08,43.1375,42.3,42.39,499922,AVY,-0.015788251683306238,41.74933333333333
2013-04-02,42.54,42.76,42.07,42.2,864029,AVY,-0.004482189195564938,41.83166666666666
2013-04-03,42.19,42.41,41.0901,41.57,1061721,AVY,-0.014928909952606696,41.88166666666667
2013-04-04,41.63,42.235,41.46,41.82,900357,AVY,0.0060139523694972335,41.95433333333333
2013-04-05,41.23,41.73,41.12,41.51,1067817,AVY,-0.007412721186035444,42.02766666666666
2013-04-08,41.58,42.56,41.39,42.46,865760,AVY,0.022886051553842518,42.123000000000005
2013-04-09,42.6,43.17,42.35,43.07,1019872,AVY,0.014366462552991037,42.26533333333334
2013-04-10,43.14,43.2497,42.45,43.12,1793475,AVY,0.0011609008590665697,42.37533333333333
2013-04-11,43.11,43.49,43.01,43.42,851228,AVY,0.006957328385899914,42.46533333333333
2013-04-12,43.31,43.31,42.67,42.81,991816,AVY,-0.01404882542607092,42.53066666666667
2013-04-15,42.66,42.74,41.25,41.25,908651,AVY,-0.0364400840925018,42.543000000000006
2013-04-16,41.54,41.89,41.45,41.66,831207,AVY,0.009939393939393857,42.56066666666666
2013-04-17,41.41,42.87,40.43,40.78,906370,AVY,-0.021123379740758414,42.526666666666664
2013-04-18,40.9,40.93,39.92,40.13,1253959,AVY,-0.015939185875429095,42.474333333333334
2013-04-19,40.24,41.14,40.23,40.81,800265,AVY,0.016944928980812353,42.442
2013-04-22,40.9,41.19,40.51,40.89,526428,AVY,0.001960303847096258,42.39966666666667
2013-04-23,41.12,41.46,40.89,41.29,739515,AVY,0.009782342871117598,42.355000000000004
2013-04-24,41.22,42.8,40.17,42.25,2597747,AVY,0.0232501816420441,42.333999999999996
2013-04-25,42.45,42.52,41.38,41.55,1093105,AVY,-0.016568047337278173,42.285333333333334
2013-04-26,41.48,41.74,41.29,41.45,492624,AVY,-0.002406738868832595,42.214333333333336
2013-04-29,41.57,41.86,41.06,41.71,759352,AVY,0.006272617611580169,42.162333333333336
2013-04-30,41.7,41.7,41.03,41.45,1132813,AVY,-0.006233517142172093,42.09733333333334
2013-05-01,41.22,41.42,40.67,40.69,698415,AVY,-0.01833534378769614,42.02366666666667
2013-05-02,40.6,41.4,39.72,41.3,975827,AVY,0.014991398377979834,41.96366666666666
2013-05-03,41.66,42.62,41.66,42.39,673598,AVY,0.026392251815980716,41.95133333333333
2013-05-06,42.34,42.58,42.08,42.54,399359,AVY,0.0035385704175512757,41.937666666666665
2013-05-07,42.58,43.06,42.43,43.02,488400,AVY,0.01128349788434424,41.943333333333335
2013-05-08,42.98,43.49,42.86,43.47,850617,AVY,0.010460251046025005,41.961999999999996
2013-05-09,43.43,43.61,42.8,42.91,591895,AVY,-0.012882447665056413,41.966
