date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,68.6,69.25,68.45,69.0,1994376,BAX,,
2013-02-11,68.88,69.05,68.51,68.73,1839900,BAX,-0.003913043478260812,
2013-02-12,68.79,69.3,68.64,68.68,2868758,BAX,-0.0007274843590862382,
2013-02-13,68.84,69.03,67.99,68.15,2618875,BAX,-0.007716948165404792,
2013-02-14,68.31,69.04,67.9,68.17,3086932,BAX,0.0002934702861334706,
2013-02-15,68.3,68.42,68.02,68.17,2275333,BAX,0.0,
2013-02-19,68.2,68.375,68.01,68.32,2039367,BAX,0.002200381399442445,
2013-02-20,68.2,68.25,67.53,67.54,2232320,BAX,-0.011416861826697702,
2013-02-21,67.37,67.62,66.405,66.42,3221285,BAX,-0.016582765768433587,
2013-02-22,66.73,67.3899,66.48,67.0,3232027,BAX,0.00873230954531765,
2013-02-25,67.32,67.91,67.09,67.1,4066842,BAX,0.001492537313432751,
2013-02-26,67.43,67.7,66.71,66.77,4267672,BAX,-0.004918032786885221,
2013-02-27,66.77,67.42,66.7,67.31,4958179,BAX,0.008087464430133388,
2013-02-28,67.41,67.99,67.31,67.6,3603010,BAX,0.004308423711186927,
2013-03-01,67.41,68.99,67.21,68.9,3438128,BAX,0.019230769230769402,
2013-03-04,68.45,69.18,68.28,69.18,3702650,BAX,0.004063860667634269,
2013-03-05,68.98,70.41,68.69,70.24,3833443,BAX,0.015322347499277073,
2013-03-06,69.44,70.53,69.365,69.97,2940182,BAX,-0.0038439635535306954,
2013-03-07,69.88,70.09,69.18,69.29,2620971,BAX,-0.0097184507646133,
2013-03-08,69.59,70.11,69.32,69.89,2165435,BAX,0.008659258190214956,
2013-03-11,69.66,70.1,69.58,69.97,1522208,BAX,0.0011446558878236985,
2013-03-12,69.94,69.99,69.13,69.28,3616057,BAX,-0.009861369158210629,
2013-03-13,69.25,69.77,69.14,69.63,2642108,BAX,0.005051963048498763,
2013-03-14,69.78,70.3416,69.72,70.06,3217891,BAX,0.0061754990664944255,
2013-03-15,69.85,69.95,68.94,69.41,3486374,BAX,-0.009277761918355776,
2013-03-18,68.96,69.27,68.66,68.9,1808816,BAX,-0.007347644431637962,
2013-03-19,69.12,69.4,68.58,69.37,2356857,BAX,0.006821480406386049,
2013-03-20,69.65,70.04,69.41,69.92,2594325,BAX,0.007928499351304557,
2013-03-21,69.57,70.23,69.47,70.06,2065011,BAX,0.0020022883295194587,
2013-03-22,70.23,70.95,69.89,70.94,2734363,BAX,0.012560662289466106,68.799
2013-03-25,70.9,71.337,70.45,70.8,2860670,BAX,-0.001973498731322252,68.859
