date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,87.96,88.67,87.8,88.25,1429840,BDX,,
2013-02-11,87.81,88.36,87.78,88.31,914059,BDX,0.0006798866855524337,
2013-02-12,88.25,88.95,88.22,88.55,978327,BDX,0.002717699014834049,
2013-02-13,88.89,89.16,88.24,88.47,1095045,BDX,-0.0009034443817052321,
2013-02-14,88.32,88.41,87.62,88.39,1221136,BDX,-0.0009042613315247914,
2013-02-15,88.41,88.66,88.04,88.49,1099357,BDX,0.001131349700192265,
2013-02-19,88.46,88.76,88.13,88.57,1188552,BDX,0.0009040569555881829,
2013-02-20,88.37,88.56,87.3099,87.42,1417597,BDX,-0.012984080388393266,
2013-02-21,87.4,87.62,86.41,86.83,1324822,BDX,-0.006749027682452567,
2013-02-22,86.98,88.12,86.65,87.91,1141554,BDX,0.012438097431763197,
2013-02-25,88.19,88.57,86.85,86.85,1137447,BDX,-0.012057786372426372,
2013-02-26,87.27,87.76,86.38,86.86,1110013,BDX,0.00011514104778359375,
2013-02-27,86.97,88.33,86.61,88.17,1052464,BDX,0.015081740732212783,
2013-02-28,88.25,88.58,87.89,88.06,1285667,BDX,-0.0012475898831802135,
2013-03-01,88.0,88.77,87.71,88.75,1127824,BDX,0.007835566659096046,
2013-03-04,88.5,88.66,87.54,88.66,1245135,BDX,-0.001014084507042292,
2013-03-05,88.9,89.3,88.9,89.19,1038923,BDX,0.005977893074667282,
2013-03-06,88.71,88.95,88.04,88.12,1093100,BDX,-0.011996860634600216,
2013-03-07,88.12,88.72,87.87,88.24,1091344,BDX,0.0013617793917384286,
2013-03-08,88.45,88.89,87.975,88.84,992140,BDX,0.006799637352674621,
2013-03-11,88.78,89.75,88.41,89.61,967903,BDX,0.008667266996848222,
2013-03-12,89.39,90.17,88.99,90.14,970980,BDX,0.005914518468920892,
2013-03-13,89.98,91.07,89.66,91.07,1548429,BDX,0.010317284224539524,
2013-03-14,91.09,92.52,90.71,92.5,2112207,BDX,0.01570220709344468,
2013-03-15,92.49,92.6,91.705,92.3,2206577,BDX,-0.002162162162162193,
2013-03-18,91.78,92.1,91.34,91.85,928979,BDX,-0.004875406283857019,
2013-03-19,92.06,92.08,91.26,91.74,1076556,BDX,-0.0011976047904191556,
2013-03-20,92.22,93.14,92.05,92.99,990873,BDX,0.013625463265751037,
2013-03-21,92.54,93.0,91.79,91.93,1024608,BDX,-0.011399075169372924,
2013-03-22,92.19,92.78,91.9102,92.72,804031,BDX,0.008593495050581877,89.326
2013-03-25,93.04,93.22,91.89,92.43,805488,BDX,-0.0031276962899050046,89.46533333333333
2013-03-26,92.85,93.94,92.418,93.91,769539,BDX,0.01601211727793995,89.652
2013-03-27,93.71,95.2,93.09,95.16,1386468,BDX,0.013310616547758492,89.87233333333332
2013-03-28,95.45,95.73,94.81,95.61,998746,BDX,0.004728877679697382,90.11033333333333
2013-04-01,95.65,96.24,95.34,95.71,676247,BDX,0.0010459156991945854,90.35433333333334
2013-04-02,96.13,96.93,95.94,96.58,1551214,BDX,0.00908995925190685,90.624
2013-04-03,96.82,97.14,95.97,96.41,1757014,BDX,-0.0017601987989231901,90.88533333333334
2013-04-04,96.55,96.99,96.41,96.56,1405944,BDX,0.0015558552017426168,91.19000000000001
2013-04-05,95.6,96.535,95.19,96.11,1091196,BDX,-0.004660314830157444,91.49933333333333
2013-04-08,95.93,95.99,95.26,95.46,1009461,BDX,-0.006763083966288687,91.75099999999999
2013-04-09,95.86,96.42,95.29,96.04,1158502,BDX,0.006075843285145742,92.05733333333333
2013-04-10,96.23,96.81,96.02,96.41,957518,BDX,0.003852561432736259,92.37566666666666
2013-04-11,96.4,97.1,96.34,96.65,891275,BDX,0.002489368322788187,92.65833333333333
2013-04-12,96.19,96.59,95.85,96.36,738445,BDX,-0.0030005173305743013,92.93499999999999
2013-04-15,96.12,96.38,94.84,94.84,898720,BDX,-0.01577418015774176,93.13799999999999
2013-04-16,95.26,95.49,94.43,95.42,1280263,BDX,0.006115563053563879,93.36333333333333
2013-04-17,94.97,95.05,93.53,94.55,1032902,BDX,-0.009117585411863388,93.54199999999999
2013-04-18,94.68,94.68,93.06,93.65,1266736,BDX,-0.009518773135906837,93.72633333333333
2013-04-19,93.6025,94.76,93.496,94.56,1612540,BDX,0.009717031500266914,93.93699999999998
2013-04-22,94.57,95.48,94.4,95.16,719415,BDX,0.006345177664974559,94.14766666666668
2013-04-23,95.43,96.35,94.94,95.84,554832,BDX,0.00714585960487607,94.35533333333333
2013-04-24,96.07,96.16,94.94,94.96,694097,BDX,-0.009181969949916628,94.516
2013-04-25,95.4,96.75,95.17,96.39,812535,BDX,0.015058972198820629,94.69333333333334
2013-04-26,96.09,96.3,94.61,94.62,1257355,BDX,-0.018362900715841853,94.764
