date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,46.6066,46.89,46.5366,46.7333,1263060,BEN,,
2013-02-11,46.65,46.83,46.5566,46.72,1321854,BEN,-0.00028459364093699735,
2013-02-12,46.9733,47.47,46.9266,47.4166,2490273,BEN,0.014910102739726106,
2013-02-13,47.41,47.5866,47.2206,47.5166,1505547,BEN,0.0021089660583001376,
2013-02-14,47.35,48.18,47.1266,48.1433,2801679,BEN,0.0131890749759033,
2013-02-15,48.0166,48.1966,47.85,48.1866,2815110,BEN,0.0008993982547933981,
2013-02-19,48.18,48.71,48.0433,48.6933,2190396,BEN,0.010515371493319764,
2013-02-20,48.5866,48.6633,47.6733,47.6933,2915466,BEN,-0.020536706281973086,
2013-02-21,47.6033,47.6033,46.87,46.9466,2009652,BEN,-0.015656287151444837,
2013-02-22,47.2733,47.7633,47.2733,47.7466,1583289,BEN,0.017040637660661353,
2013-02-25,47.9966,48.0633,46.6533,46.6533,1865523,BEN,-0.022897965509586008,
2013-02-26,46.8966,47.115,46.3666,46.5,2079237,BEN,-0.00328594118744015,
2013-02-27,46.4566,47.3966,46.36,47.2733,994026,BEN,0.0166301075268817,
2013-02-28,47.2833,47.4766,47.0466,47.0833,1628334,BEN,-0.00401918207529404,
2013-03-01,46.6933,47.025,46.32,46.9433,2821305,BEN,-0.0029734534325334154,
2013-03-04,46.9166,47.4766,46.7233,47.4433,1184412,BEN,0.01065114723506869,
2013-03-05,47.7266,48.57,47.7266,48.3566,2236200,BEN,0.019250347256619997,
2013-03-06,48.6333,48.865,48.4733,48.7333,1371333,BEN,0.00779004313785501,
2013-03-07,48.8066,48.83,48.4533,48.7333,1424319,BEN,0.0,
2013-03-08,49.09,49.1466,48.4566,48.9466,1248606,BEN,0.004376883978716745,
2013-03-11,48.8466,49.3333,48.8033,49.32,1366602,BEN,0.007628721913268822,
2013-03-12,49.33,49.4366,49.0366,49.3833,1351020,BEN,0.0012834549878345122,
2013-03-13,49.38,49.7,49.2466,49.6133,1893597,BEN,0.004657444925713834,
2013-03-14,49.7933,50.1999,49.7166,50.0299,1903380,BEN,0.008396941949033735,
2013-03-15,49.8766,50.0599,48.2933,49.9666,3668436,BEN,-0.001265243384456058,
2013-03-18,49.41,49.6033,49.32,49.3966,2824749,BEN,-0.011407620290353962,
2013-03-19,49.53,49.6966,48.9866,49.2933,1735917,BEN,-0.002091237048703702,
2013-03-20,49.6433,49.9546,49.5266,49.7066,1764690,BEN,0.008384506616517854,
2013-03-21,49.4566,49.61,49.0,49.0466,1741263,BEN,-0.013277914804070359,
2013-03-22,49.3166,49.56,49.1466,49.5466,1219740,BEN,0.01019438656298296,48.25884333333333
2013-03-25,49.7533,49.8866,49.3383,49.49,1395498,BEN,-0.001142358910601252,48.35073333333333
2013-03-26,49.62,50.2733,49.4,50.2399,2392665,BEN,0.015152556071933656,48.46806333333334
2013-03-27,49.7933,49.9116,49.5633,49.8566,1441860,BEN,-0.007629394166787721,48.54939666666667
2013-03-28,49.8766,50.3466,49.7266,50.2699,1514241,BEN,0.008289775074914846,48.64117333333333
2013-04-01,50.2166,50.4499,49.72,49.8966,1115202,BEN,-0.007425914911308763,48.699616666666664
2013-04-02,50.0333,50.3299,49.8383,50.2033,1200345,BEN,0.006146711399173477,48.76684
2013-04-03,50.2833,50.2833,48.5033,48.6633,1705206,BEN,-0.03067527433455568,48.765840000000004
2013-04-04,48.6566,49.8066,48.6566,49.7433,2992404,BEN,0.022193316112963945,48.83417333333333
2013-04-05,48.84,49.4166,48.5733,49.3566,1604835,BEN,-0.007773911260410902,48.91450666666666
2013-04-08,49.39,49.8366,49.0433,49.8233,1045548,BEN,0.009455675634059134,48.98373
2013-04-09,49.9,50.8199,49.75,50.5799,1869819,BEN,0.015185666144153414,49.11461666666666
2013-04-10,50.8366,51.9499,50.7783,51.7299,2057493,BEN,0.022736304342238688,49.28894666666667
2013-04-11,51.6566,52.2099,51.3849,52.0033,1427112,BEN,0.005285144568228478,49.44661333333333
2013-04-12,51.7733,51.9366,51.3499,51.7566,1034001,BEN,-0.004743929712152962,49.60239
2013-04-15,51.6133,51.6666,50.0599,50.0699,1307271,BEN,-0.03258908042645772,49.70661
2013-04-16,50.4966,51.0033,50.1799,50.9366,1569447,BEN,0.01730980089834415,49.82305333333333
2013-04-17,50.3966,50.3999,49.0,49.2733,1881480,BEN,-0.03265431929104023,49.85361
