date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,7.64,7.73,7.58,7.7,16664053,BSX,,
2013-02-11,7.7,7.715,7.59,7.63,25170823,BSX,-0.009090909090909127,
2013-02-12,7.67,7.73,7.53,7.59,29098640,BSX,-0.005242463958060293,
2013-02-13,7.6,7.62,7.31,7.45,34767913,BSX,-0.01844532279314884,
2013-02-14,7.4,7.6201,7.36,7.53,24557444,BSX,0.010738255033557057,
2013-02-15,7.51,7.56,7.44,7.54,17839301,BSX,0.0013280212483399452,
2013-02-19,7.49,7.53,7.36,7.5,20657395,BSX,-0.005305039787798413,
2013-02-20,7.48,7.54,7.28,7.29,23769305,BSX,-0.027999999999999994,
2013-02-21,7.26,7.35,7.165,7.26,21821651,BSX,-0.004115226337448594,
2013-02-22,7.27,7.4,7.22,7.37,16170251,BSX,0.015151515151515195,
2013-02-25,7.4,7.47,7.22,7.23,14461480,BSX,-0.018995929443690593,
2013-02-26,7.24,7.34,7.18,7.31,19867807,BSX,0.011065006915629208,
2013-02-27,7.27,7.395,7.17,7.33,18302795,BSX,0.002735978112175166,
2013-02-28,7.31,7.445,7.29,7.39,16266876,BSX,0.008185538881309632,
2013-03-01,7.35,7.43,7.26,7.37,15926036,BSX,-0.0027063599458727436,
2013-03-04,7.37,7.4,7.24,7.36,16034768,BSX,-0.001356852103120731,
2013-03-05,7.4,7.44,7.28,7.38,15437682,BSX,0.002717391304347768,
2013-03-06,7.43,7.62,7.35,7.52,25953495,BSX,0.018970189701896976,
2013-03-07,7.53,7.6,7.42,7.43,11564942,BSX,-0.011968085106382961,
2013-03-08,7.45,7.565,7.4099,7.49,11780840,BSX,0.00807537012113062,
2013-03-11,7.47,7.52,7.33,7.5,13266897,BSX,0.0013351134846461665,
2013-03-12,7.48,7.645,7.46,7.59,19515030,BSX,0.011999999999999981,
2013-03-13,7.58,7.58,7.45,7.53,7493354,BSX,-0.007905138339920898,
2013-03-14,7.58,7.58,7.48,7.52,8545466,BSX,-0.0013280212483400631,
2013-03-15,7.48,7.49,7.36,7.39,13346381,BSX,-0.01728723404255318,
2013-03-18,7.3,7.39,7.295,7.32,9509870,BSX,-0.009472259810554723,
2013-03-19,7.35,7.43,7.24,7.27,11274146,BSX,-0.006830601092896272,
2013-03-20,7.31,7.52,7.3,7.45,14122213,BSX,0.0247592847317745,
2013-03-21,7.41,7.49,7.345,7.37,15274225,BSX,-0.010738255033557057,
2013-03-22,7.38,7.48,7.35,7.4,10343310,BSX,0.004070556309362313,7.433666666666666
2013-03-25,7.42,7.43,7.285,7.32,11806207,BSX,-0.01081081081081082,7.421000000000001
2013-03-26,7.32,7.46,7.28,7.44,14323288,BSX,0.016393442622950834,7.414666666666666
2013-03-27,7.38,7.715,7.31,7.65,43993566,BSX,0.028225806451612896,7.416666666666667
2013-03-28,7.65,7.85,7.6,7.81,49203698,BSX,0.020915032679738464,7.4286666666666665
2013-04-01,7.83,7.86,7.72,7.8,29659941,BSX,-0.0012804097311139293,7.437666666666667
2013-04-02,7.83,7.95,7.8,7.89,14036636,BSX,0.01153846153846152,7.449333333333333
2013-04-03,7.79,7.85,7.685,7.75,19796777,BSX,-0.01774397972116599,7.457666666666666
2013-04-04,7.77,7.94,7.72,7.92,19238346,BSX,0.021935483870967734,7.478666666666667
2013-04-05,7.82,7.91,7.77,7.86,15638459,BSX,-0.0075757575757575265,7.498666666666666
2013-04-08,7.83,7.87,7.74,7.81,20338553,BSX,-0.006361323155216375,7.513333333333333
2013-04-09,7.84,7.88,7.79,7.82,13054218,BSX,0.001280409731114043,7.533
2013-04-10,7.83,7.87,7.78,7.79,13606909,BSX,-0.003836317135549904,7.549
2013-04-11,7.82,7.91,7.65,7.67,22500403,BSX,-0.015404364569961502,7.560333333333333
2013-04-12,7.68,7.76,7.61,7.66,29403946,BSX,-0.0013037809647978862,7.569333333333333
2013-04-15,7.63,7.69,7.46,7.47,14095768,BSX,-0.024804177545691957,7.572666666666666
2013-04-16,7.5,7.54,7.2825,7.43,20330715,BSX,-0.005354752342704155,7.575
2013-04-17,7.36,7.4,7.18,7.28,18504507,BSX,-0.02018842530282631,7.571666666666667
2013-04-18,7.27,7.29,7.07,7.09,17823047,BSX,-0.026098901098901152,7.557333333333333
2013-04-19,7.18,7.31,7.13,7.27,17330564,BSX,0.02538787023977429,7.5520000000000005
2013-04-22,7.26,7.32,7.19,7.27,9739087,BSX,0.0,7.544666666666667
2013-04-23,7.29,7.42,7.28,7.35,10811760,BSX,0.011004126547455306,7.539666666666666
2013-04-24,7.35,7.43,7.3,7.36,15120170,BSX,0.0013605442176871667,7.532
2013-04-25,7.35,7.58,7.29,7.54,44509025,BSX,0.024456521739130394,7.532333333333333
2013-04-26,7.6,7.66,7.38,7.45,17130792,BSX,-0.011936339522546401,7.53
2013-04-29,7.45,7.525,7.44,7.49,6826369,BSX,0.005369127516778528,7.533333333333333
2013-04-30,7.44,7.53,7.41,7.49,16289177,BSX,0.0,7.539
2013-05-01,7.47,7.61,7.45,7.49,12945815,BSX,0.0,7.546333333333334
2013-05-02,7.52,7.68,7.48,7.61,12568902,BSX,0.016021361815754354,7.551666666666666
2013-05-03,7.7,7.76,7.65,7.69,10444679,BSX,0.010512483574244424,7.562333333333333
2013-05-06,7.69,7.78,7.52,7.74,8083834,BSX,0.006501950585175529,7.573666666666667
2013-05-07,7.74,7.755,7.63,7.69,8469714,BSX,-0.006459948320413414,7.585999999999999
2013-05-08,7.69,7.86,7.67,7.85,13150073,BSX,0.020806241872561672,7.599666666666666
