date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,33.25,33.455,33.14,33.38,2919543,CAG,,
2013-02-11,33.49,33.53,33.265,33.37,3441645,CAG,-0.00029958058717810413,
2013-02-12,33.47,33.5,33.26,33.3,4307639,CAG,-0.00209769253820798,
2013-02-13,33.42,33.6,33.35,33.48,3441691,CAG,0.005405405405405397,
2013-02-14,33.63,33.9,33.59,33.78,4943491,CAG,0.008960573476702637,
2013-02-15,33.89,33.93,33.5,33.73,4932280,CAG,-0.0014801657785673257,
2013-02-19,33.78,33.94,33.264,33.45,8966256,CAG,-0.008301215535131754,
2013-02-20,33.61,34.0,33.51,33.65,4383666,CAG,0.0059790732436471065,
2013-02-21,33.69,33.8,33.53,33.72,3280695,CAG,0.002080237741456175,
2013-02-22,33.75,33.97,33.71,33.92,2353783,CAG,0.0059311981020166915,
2013-02-25,34.0,34.09,33.52,33.52,2538517,CAG,-0.011792452830188637,
2013-02-26,33.55,33.83,33.41,33.82,3249248,CAG,0.008949880668257672,
2013-02-27,33.87,34.15,33.64,34.09,3141124,CAG,0.007983441750443616,
2013-02-28,34.12,34.38,34.06,34.11,3508382,CAG,0.0005866823115281907,
2013-03-01,34.03,34.3001,33.82,34.3,3303844,CAG,0.005570214013485715,
2013-03-04,34.3,34.76,34.13,34.69,3233845,CAG,0.011370262390670571,
2013-03-05,34.82,34.95,34.67,34.73,3274904,CAG,0.0011530700490054527,
2013-03-06,34.81,34.92,34.73,34.83,2912653,CAG,0.0028793550244745588,
2013-03-07,34.84,34.949,34.62,34.65,2287993,CAG,-0.005167958656330742,
2013-03-08,34.77,34.93,34.675,34.77,1973294,CAG,0.0034632034632035946,
2013-03-11,34.79,34.88,34.67,34.73,2400016,CAG,-0.001150417026172167,
2013-03-12,34.63,34.74,34.51,34.7,2160505,CAG,-0.0008638065073421835,
2013-03-13,34.75,35.05,34.64,35.04,1714776,CAG,0.00979827089337165,
2013-03-14,35.05,35.13,34.86,35.1,2143964,CAG,0.0017123287671233526,
2013-03-15,34.97,35.04,34.65,34.97,4010996,CAG,-0.0037037037037037763,
2013-03-18,34.89,35.13,34.76,35.03,2120587,CAG,0.0017157563625965764,
2013-03-19,35.14,35.27,34.88,35.26,2493149,CAG,0.006565800742220864,
2013-03-20,35.37,35.66,35.34,35.58,3766204,CAG,0.009075439591605228,
2013-03-21,35.6,35.64,34.97,35.13,2913006,CAG,-0.012647554806070707,
2013-03-22,35.06,35.25,34.99,35.13,4638378,CAG,0.0,34.332
2013-03-25,35.26,35.45,35.09,35.17,3205185,CAG,0.0011386279533162295,34.391666666666666
2013-03-26,35.18,35.58,35.18,35.47,2414482,CAG,0.008529997156667534,34.461666666666666
2013-03-27,35.36,35.63,35.12,35.59,2361771,CAG,0.0033831406822668326,34.538000000000004
2013-03-28,35.59,35.91,35.47,35.81,2992430,CAG,0.0061815116605787816,34.61566666666667
2013-04-01,35.83,35.84,35.48,35.62,2060293,CAG,-0.005305780508238057,34.677
2013-04-02,35.64,35.83,35.39,35.54,3716709,CAG,-0.0022459292532284758,34.73733333333334
2013-04-03,34.73,35.63,34.41,34.85,7828014,CAG,-0.01941474395047827,34.784
2013-04-04,34.95,35.16,34.48,34.63,5116745,CAG,-0.006312769010043009,34.81666666666667
2013-04-05,34.34,34.495,34.13,34.42,3391517,CAG,-0.006064106266243166,34.84
2013-04-08,34.4,34.6,34.19,34.6,2918943,CAG,0.005229517722254494,34.86266666666667
2013-04-09,34.6,34.64,34.33,34.34,4337411,CAG,-0.007514450867051966,34.89
2013-04-10,34.34,34.8,34.34,34.61,3327044,CAG,0.007862550960978335,34.916333333333334
2013-04-11,34.6,34.99,34.6,34.81,4614563,CAG,0.0057786766830396664,34.940333333333335
2013-04-12,34.75,35.17,34.72,35.16,4066549,CAG,0.010054582016661715,34.97533333333333
