date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,85.1,86.23,85.01,86.2,1796871,CB,,
2013-02-11,85.93,86.77,85.56,86.41,1333860,CB,0.002436194895591575,
2013-02-12,86.34,86.96,86.102,86.82,875723,CB,0.004744821201249816,
2013-02-13,86.89,86.98,86.25,86.66,840327,CB,-0.001842893342547761,
2013-02-14,86.13,86.7,86.12,86.44,1201303,CB,-0.002538656819755353,
2013-02-15,86.66,86.75,86.08,86.5,1052922,CB,0.0006941230911615256,
2013-02-19,86.71,87.09,86.41,86.95,1224803,CB,0.005202312138728357,
2013-02-20,87.05,87.41,85.95,85.97,1658488,CB,-0.01127084531339855,
2013-02-21,85.94,86.47,85.72,86.15,2009135,CB,0.002093753634989029,
2013-02-22,86.55,86.87,86.45,86.69,1222700,CB,0.006268136970400372,
2013-02-25,86.85,86.9,84.41,84.42,1373200,CB,-0.026185257815203554,
2013-02-26,84.78,85.35,84.6,85.03,1575879,CB,0.007225775882492294,
2013-02-27,84.74,85.8,84.7,85.77,1383900,CB,0.00870281077266841,
2013-02-28,85.6,86.16,85.39,85.39,1285467,CB,-0.004430453538533234,
2013-03-01,85.14,85.71,84.71,85.67,1030070,CB,0.003279072490924009,
2013-03-04,85.35,85.86,85.19,85.78,977444,CB,0.0012839967316446764,
2013-03-05,86.14,87.09,86.14,86.75,814737,CB,0.01130799720214501,
2013-03-06,87.12,87.34,86.52,86.66,1161223,CB,-0.0010374639769452842,
2013-03-07,86.68,86.9999,86.56,86.62,874322,CB,-0.0004615739672281565,
2013-03-08,87.0,87.24,86.58,86.98,1301929,CB,0.00415608404525513,
2013-03-11,86.9,87.35,86.64,87.34,1099609,CB,0.004138882501724527,
2013-03-12,87.36,88.52,87.242,88.04,1952970,CB,0.00801465536981913,
2013-03-13,87.98,88.65,87.83,88.6,937933,CB,0.0063607451158562926,
2013-03-14,88.71,89.06,88.591,89.06,951668,CB,0.005191873589164875,
2013-03-15,88.78,88.91,88.26,88.26,2134183,CB,-0.008982708286548362,
2013-03-18,87.51,88.36,87.46,87.71,972575,CB,-0.006231588488556666,
2013-03-19,87.77,88.15,87.3201,87.74,1327700,CB,0.00034203625584313237,
2013-03-20,88.27,88.685,88.06,88.45,936179,CB,0.00809209026669715,
2013-03-21,88.06,88.555,87.61,87.69,843921,CB,-0.008592425098926004,
2013-03-22,87.99,88.32,87.825,88.32,1088710,CB,0.0071843995894628285,86.83566666666667
2013-03-25,88.64,88.98,88.05,88.47,986463,CB,0.0016983695652174559,86.91133333333333
2013-03-26,88.08,88.38,87.67,88.29,1367583,CB,-0.0020345879959307407,86.97399999999999
2013-03-27,87.84,88.46,87.64,88.34,955125,CB,0.0005663155510249989,87.02466666666668
2013-03-28,88.46,89.05,87.98,88.97,1490629,CB,0.0071315372424722145,87.10166666666666
2013-04-01,89.1,89.3,88.465,88.7,718091,CB,-0.00303473080813753,87.17699999999999
2013-04-02,89.22,89.51,88.59,88.95,1190694,CB,0.002818489289740699,87.25866666666666
2013-04-03,89.02,89.34,87.86,88.01,1237727,CB,-0.01056773468240582,87.29400000000001
2013-04-04,88.15,89.2,88.15,89.06,1804508,CB,0.01193046244744912,87.397
2013-04-05,88.12,89.04,88.01,88.98,1803687,CB,-0.0008982708286548203,87.49133333333334
2013-04-08,88.92,90.07,88.84,90.04,1371192,CB,0.011912789390874378,87.60300000000001
2013-04-09,90.5,91.17,90.14,90.53,1299312,CB,0.0054420257663260205,87.80666666666666
2013-04-10,90.59,91.04,90.15,90.94,1149918,CB,0.004528885452336205,88.00366666666667
2013-04-11,91.21,92.28,91.11,91.91,1531472,CB,0.010666373433032757,88.20833333333334
2013-04-12,91.7,91.99,91.19,91.99,1071795,CB,0.0008704167120008519,88.42833333333333
2013-04-15,91.76,91.76,88.76,88.81,2243311,CB,-0.034568974888574765,88.53299999999999
2013-04-16,89.57,89.97,89.01,89.87,1335567,CB,0.011935592838644322,88.66933333333333
2013-04-17,89.43,89.56,88.53,88.91,1515851,CB,-0.010682096361411014,88.74133333333334
2013-04-18,89.23,89.36,88.14,88.34,1016616,CB,-0.0064109773928691174,88.79733333333333
2013-04-19,88.24,89.17,88.09,89.03,1412387,CB,0.007810731265564837,88.87766666666667
2013-04-22,89.09,89.56,88.37,89.27,1213699,CB,0.002695720543636919,88.954
2013-04-23,90.47,91.75,89.73,90.0,2282270,CB,0.008177439229304402,89.04266666666668
2013-04-24,90.24,90.41,89.29,89.54,1845368,CB,-0.005111111111111042,89.09266666666666
2013-04-25,89.88,90.03,89.3,89.5,1663826,CB,-0.000446727719455062,89.12266666666666
2013-04-26,89.57,89.83,88.9,88.94,1307287,CB,-0.006256983240223489,89.11866666666667
2013-04-29,89.09,89.345,88.62,88.92,1272495,CB,-0.00022487069934783025,89.14066666666668
2013-04-30,88.96,89.145,88.59,89.14,1478127,CB,0.002474134053081409,89.18833333333333
2013-05-01,88.78,89.34,88.2,88.3,1236773,CB,-0.009423378954453707,89.20700000000001
2013-05-02,88.5,88.69,88.1801,88.65,975332,CB,0.00396375990939987,89.21366666666667
2013-05-03,89.42,89.96,89.33,89.9,1782533,CB,0.014100394811054708,89.28733333333334
2013-05-06,90.14,90.94,89.72,90.68,1505162,CB,0.008676307007786441,89.366
2013-05-07,90.7,91.53,90.46,91.39,1416744,CB,0.007829730921923177,89.46333333333334
2013-05-08,91.44,92.27,91.3,92.26,1224052,CB,0.009519641098588516,89.59566666666666
2013-05-09,92.2,92.44,91.4001,91.78,1903980,CB,-0.005202688055495382,89.71033333333334
2013-05-10,91.71,91.9,90.96,91.6,1244969,CB,-0.0019612115929397126,89.798
2013-05-13,91.42,91.62,91.051,91.42,919630,CB,-0.0019650655021833255,89.88866666666667
2013-05-14,91.41,92.69,91.39,92.62,1062786,CB,0.013126230584117292,90.011
2013-05-15,92.45,92.67,91.71,92.67,1567296,CB,0.0005398402072986089,90.16633333333333
2013-05-16,92.67,93.05,91.91,92.11,1523338,CB,-0.006042948095392277,90.268
2013-05-17,92.42,92.81,91.25,91.65,3063835,CB,-0.004994028878514752,90.357
2013-05-20,91.46,91.9,90.8,91.04,1387527,CB,-0.0066557555919257985,90.39033333333333
2013-05-21,90.95,91.36,89.91,90.01,1564603,CB,-0.01131370826010546,90.373
2013-05-22,89.92,90.57,89.23,89.55,2512728,CB,-0.005110543272969758,90.32666666666667
2013-05-23,89.02,89.73,88.64,89.11,2179132,CB,-0.004913456169737551,90.23333333333333
2013-05-24,88.77,89.82,88.48,89.78,1412525,CB,0.0075187969924812225,90.15966666666667
2013-05-28,90.63,90.83,89.15,89.51,1766209,CB,-0.00300735130318552,90.183
2013-05-29,89.04,89.49,88.6,89.12,1432495,CB,-0.004357055077644962,90.158
2013-05-30,89.46,90.38,89.11,90.1,987950,CB,0.010996409335726993,90.19766666666666
2013-05-31,90.44,90.83,89.67,89.68,2117265,CB,-0.004661487236403857,90.24233333333335
2013-06-03,89.65,89.76,88.23,88.58,2268780,CB,-0.012265834076717311,90.22733333333333
2013-06-04,88.56,89.32,88.29,88.79,1416745,CB,0.002370738315646963,90.21133333333334
2013-06-05,88.7,88.7,87.79,87.85,1623875,CB,-0.010586777790291834,90.13966666666667
2013-06-06,87.88,89.01,87.43,89.01,1518992,CB,0.013204325554923289,90.12200000000001
2013-06-07,89.81,89.9,88.84,89.88,2708498,CB,0.0097741826761037,90.13466666666666
2013-06-10,89.92,90.31,89.51,90.23,1411282,CB,0.00389408099688483,90.17766666666667
2013-06-11,89.41,90.1,89.2,89.43,1425180,CB,-0.008866230743655073,90.19466666666668
2013-06-12,89.8,90.17,88.22,88.32,1061240,CB,-0.012411942301241347,90.16733333333333
2013-06-13,88.25,89.82,87.82,89.78,1140329,CB,0.016530797101449366,90.21666666666667
2013-06-14,89.68,89.97,88.52,88.55,1193065,CB,-0.013700155936734284,90.21333333333334
2013-06-17,89.13,89.64,88.76,89.51,1338617,CB,0.010841332580463105,90.20033333333335
2013-06-18,89.63,90.2,89.51,90.16,913828,CB,0.007261758462741497,90.18299999999999
2013-06-19,90.2,90.32,88.49,88.51,1438569,CB,-0.01830079858030159,90.087
2013-06-20,87.71,88.08,86.34,86.48,2776617,CB,-0.022935261552366977,89.89433333333335
2013-06-21,86.95,87.1,85.78,86.15,3006114,CB,-0.0038159111933394807,89.70666666666668
2013-06-24,85.45,86.35,84.73,85.79,2071709,CB,-0.004178757980266969,89.513
2013-06-25,86.26,86.69,85.88,86.38,1634311,CB,0.006877258421727347,89.345
2013-06-26,87.53,88.86,87.3,88.6,2174121,CB,0.025700393609631847,89.21100000000001
2013-06-27,88.77,89.55,88.53,89.52,1671024,CB,0.010383747178329591,89.10600000000001
2013-06-28,89.24,89.95,88.7,89.48,1511990,CB,-0.000446827524575425,89.01833333333335
2013-07-01,89.87,90.415,89.59,89.77,1064889,CB,0.0032409476978094774,88.95566666666667
2013-07-02,89.72,90.28,88.81,88.98,1185231,CB,-0.008800267349894086,88.887
2013-07-03,88.64,89.25,88.39,89.0,593765,CB,0.000224769611148528,88.85333333333334
2013-07-05,89.81,90.12,89.02,90.12,964776,CB,0.012584269662921399,88.87233333333333
2013-07-08,90.34,91.55,90.34,91.47,1278999,CB,0.014980026631158392,88.951
2013-07-09,92.2,92.45,91.68,92.38,1364281,CB,0.009948617032906927,89.03766666666667
2013-07-10,92.25,92.35,91.0,91.75,1287912,CB,-0.0068196579346178334,89.11233333333332
2013-07-11,92.96,92.96,91.88,92.27,1458602,CB,0.005667574931880066,89.21733333333333
2013-07-12,92.28,93.57,92.28,93.5,1351193,CB,0.01333044326433298,89.33066666666667
2013-07-15,93.63,93.96,93.14,93.73,1126699,CB,0.002459893048128385,89.46566666666666
2013-07-16,93.84,94.31,93.065,93.22,1077993,CB,-0.005441160780966661,89.62033333333332
2013-07-17,93.51,94.29,93.44,94.23,1422265,CB,0.010834584853035885,89.80166666666666
2013-07-18,94.35,95.26,94.19,95.26,1095686,CB,0.010930701475114095,90.04866666666666
2013-07-19,94.78,94.98,94.02,94.74,977829,CB,-0.005458744488767691,90.23966666666665
2013-07-22,94.5,95.6,94.45,95.58,1102295,CB,0.008866371120962672,90.42966666666668
2013-07-23,95.56,95.58,93.09,93.23,2063795,CB,-0.02458673362628159,90.52966666666667
2013-07-24,93.82,94.89,91.68,91.88,2174940,CB,-0.014480317494368856,90.61133333333332
2013-07-25,91.56,92.46,91.03,92.43,1448630,CB,0.0059860687853723485,90.74833333333335
2013-07-26,92.16,92.46,91.38,92.33,1451654,CB,-0.0010818998160771235,90.83333333333333
2013-07-29,92.4,92.4,91.61,91.79,1027367,CB,-0.005848586591573617,90.94133333333335
2013-07-30,92.16,92.52,91.06,91.33,888712,CB,-0.0050114391545920895,91.002
2013-07-31,91.67,91.95,91.22,91.38,1249309,CB,0.0005474652359574856,91.04266666666668
2013-08-01,92.17,92.63,91.96,92.33,850887,CB,0.010396147953600382,91.17
2013-08-02,92.2,92.32,91.6982,91.95,1335091,CB,-0.004115672045922186,91.35233333333332
2013-08-05,91.93,92.27,90.69,90.96,1323160,CB,-0.010766721044045776,91.51266666666666
2013-08-06,90.95,90.95,89.6,90.1,1986363,CB,-0.009454705364995597,91.65633333333332
2013-08-07,89.99,90.175,89.22,89.77,1215716,CB,-0.0036625971143174063,91.76933333333335
2013-08-08,90.11,90.5,89.57,89.87,1053434,CB,0.0011139578923917625,91.81166666666667
2013-08-09,89.82,90.19,89.27,89.74,1221564,CB,-0.0014465338822745037,91.81899999999999
2013-08-12,89.49,90.27,89.05,89.82,855640,CB,0.0008914642299977524,91.83033333333333
2013-08-13,89.87,90.59,89.18,90.35,1269247,CB,0.005900690269427757,91.84966666666666
2013-08-14,90.19,90.75,90.08,90.54,1169271,CB,0.002102933038184969,91.90166666666666
2013-08-15,89.64,89.994,88.85,89.64,1385301,CB,-0.009940357852882767,91.92299999999999
2013-08-16,89.72,90.51,89.44,89.55,1239565,CB,-0.0010040160642570662,91.904
2013-08-19,89.27,89.55,88.87,88.87,908883,CB,-0.0075935231714125365,91.81733333333334
2013-08-20,88.93,89.82,88.69,89.44,773113,CB,0.006413862945875921,91.71933333333332
2013-08-21,89.22,90.33,88.72,89.36,1246271,CB,-0.0008944543828264568,91.63966666666667
2013-08-22,89.28,90.85,89.13,90.6,767226,CB,0.013876454789614983,91.584
2013-08-23,90.59,90.782,89.84,90.44,681168,CB,-0.001766004415011,91.482
2013-08-26,90.44,90.51,89.67,89.76,885669,CB,-0.007518796992481121,91.34966666666666
2013-08-27,88.78,89.26,88.41,88.45,1042867,CB,-0.014594474153297708,91.19066666666667
2013-08-28,88.17,88.47,87.68,87.94,1720551,CB,-0.005765969474279311,90.98100000000001
2013-08-29,87.86,88.93,87.67,88.26,763420,CB,0.003638844666818369,90.74766666666666
2013-08-30,88.32,88.41,87.4,87.72,1211014,CB,-0.0061182868796737615,90.51366666666668
2013-09-03,88.69,89.2,87.85,88.28,1232159,CB,0.006383948928408599,90.27033333333333
2013-09-04,88.37,88.89,88.0,88.23,1478339,CB,-0.0005663797009514856,90.10366666666665
2013-09-05,88.18,88.7,88.09,88.19,1094564,CB,-0.0004533605349655021,89.98066666666666
2013-09-06,88.44,88.9,87.11,88.19,950188,CB,0.0,89.83933333333333
2013-09-09,88.38,89.67,88.29,89.5,1026532,CB,0.014854291869826538,89.74499999999999
2013-09-10,90.04,90.1709,89.3,90.01,871628,CB,0.005698324022346426,89.68566666666668
2013-09-11,89.95,92.23,89.9,92.22,1818344,CB,0.024552827463615083,89.71533333333333
2013-09-12,92.08,92.08,90.9,91.05,1247532,CB,-0.012687052700065081,89.70433333333334
2013-09-13,91.4,91.95,91.1601,91.67,962694,CB,0.0068094453596925265,89.68233333333333
2013-09-16,92.99,92.99,92.11,92.4,924160,CB,0.007963346787389592,89.69733333333333
2013-09-17,92.45,92.88,92.33,92.8,833715,CB,0.004329004329004236,89.75866666666667
2013-09-18,92.92,94.41,92.61,94.35,1171247,CB,0.016702586206896523,89.90033333333332
2013-09-19,94.51,95.48,94.495,95.35,1367547,CB,0.010598834128245893,90.08633333333333
2013-09-20,95.44,95.9,94.86,94.99,1828606,CB,-0.003775563712637645,90.257
2013-09-23,94.89,95.21,94.14,94.33,1386785,CB,-0.00694809979997891,90.41000000000001
2013-09-24,94.12,95.5,94.12,94.66,1141570,CB,0.0034983568323968864,90.57133333333333
2013-09-25,94.76,95.48,94.56,95.27,1111771,CB,0.0064441157828016,90.73533333333333
2013-09-26,95.2,95.2,94.22,94.67,942085,CB,-0.006297890206780669,90.873
2013-09-27,94.41,94.598,94.0,94.32,755254,CB,-0.0036970529206718974,91.02900000000001
2013-09-30,93.35,93.89,92.92,93.56,1232555,CB,-0.008057675996607198,91.16266666666667
2013-10-01,93.73,94.49,93.57,94.02,797431,CB,0.004916631038905449,91.33433333333333
2013-10-02,93.69,94.13,93.16,94.13,963182,CB,0.001169963837481381,91.49066666666667
2013-10-03,93.71,94.0,92.17,92.29,1446197,CB,-0.019547434399234988,91.58833333333334
2013-10-04,92.29,92.9,92.03,92.88,921640,CB,0.006392891970960983,91.66433333333333
2013-10-07,92.37,92.94,91.91,92.47,891681,CB,-0.004414298018949145,91.732
2013-10-08,92.53,92.67,91.12,91.16,1050048,CB,-0.014166756785984669,91.77866666666667
2013-10-09,91.62,91.86,90.52,91.01,1000876,CB,-0.0016454585344448385,91.864
2013-10-10,91.87,93.19,91.86,93.17,883877,CB,0.02373365564223708,92.03833333333333
2013-10-11,93.01,94.169,92.63,94.1,698508,CB,0.009981753783406596,92.233
2013-10-14,93.67,94.56,93.49,94.5,725145,CB,0.004250797024442143,92.459
2013-10-15,94.05,94.67,93.76,93.79,821996,CB,-0.0075132275132274474,92.64266666666667
2013-10-16,94.28,96.04,94.21,95.75,1209745,CB,0.020897750293208162,92.89333333333335
2013-10-17,95.38,96.99,95.13,96.9,874070,CB,0.012010443864229824,93.18366666666667
2013-10-18,96.53,96.99,96.062,96.97,1431841,CB,0.0007223942208461628,93.47633333333333
2013-10-21,97.08,97.68,97.05,97.48,1068416,CB,0.005259358564504539,93.74233333333333
2013-10-22,97.98,98.39,97.69,97.8,1690259,CB,0.0032827246614689494,94.002
2013-10-23,95.33,98.07,95.33,96.29,1728442,CB,-0.0154396728016359,94.13766666666668
2013-10-24,96.78,97.08,96.57,96.74,946458,CB,0.004673382490393484,94.32733333333333
2013-10-25,97.0,97.24,95.98,96.14,1048989,CB,-0.0062021914409757534,94.47633333333333
2013-10-28,96.07,96.25,95.675,95.82,1285043,CB,-0.0033284793010194234,94.59033333333333
2013-10-29,96.21,96.57,95.92,96.39,909014,CB,0.0059486537257358325,94.71
2013-10-30,96.65,96.79,95.86,96.24,1348716,CB,-0.001556178026766321,94.773
2013-10-31,96.21,96.32,95.43,95.44,1161727,CB,-0.00831255195344968,94.77600000000001
2013-11-01,95.44,96.08,95.09,95.86,1321701,CB,0.004400670578373865,94.80499999999999
2013-11-04,96.08,96.57,95.96,96.48,1174836,CB,0.0064677654913415875,94.87666666666665
2013-11-05,96.4,96.685,95.91,96.61,844985,CB,0.001347429519071263,94.94166666666666
2013-11-06,97.01,97.81,96.66,97.78,941959,CB,0.012110547562364161,95.02533333333334
2013-11-07,97.55,98.0,97.3,97.4,2037888,CB,-0.0038862753119246825,95.11633333333333
2013-11-08,97.52,98.34,97.19,98.28,1485669,CB,0.009034907597535887,95.24833333333332
2013-11-11,98.37,98.95,98.27,98.52,1146264,CB,0.00244200244200239,95.41366666666666
2013-11-12,98.21,98.36,95.86,96.41,2667465,CB,-0.021416971173365808,95.49333333333333
2013-11-13,96.2,97.4,96.19,97.3,1597489,CB,0.009231407530339183,95.59899999999999
2013-11-14,97.58,98.37,97.25,98.3,843416,CB,0.010277492291880781,95.79933333333334
2013-11-15,98.3,98.72,98.08,98.7,1019780,CB,0.004069175991861706,95.99333333333334
2013-11-18,98.75,99.4,98.27,98.43,883971,CB,-0.0027355623100303547,96.192
2013-11-19,98.27,98.78,98.098,98.55,1033259,CB,0.0012191405059432117,96.43833333333333
2013-11-20,98.96,99.02,97.58,97.85,922813,CB,-0.0071029934043632965,96.66633333333333
2013-11-21,98.29,101.879,98.16,101.53,2750130,CB,0.03760858456821673,96.945
2013-11-22,101.46,102.77,101.15,102.59,1684042,CB,0.010440263961390745,97.228
2013-11-25,102.91,102.92,102.26,102.46,863405,CB,-0.0012671800370407415,97.49333333333333
2013-11-26,102.27,103.22,102.02,102.62,1340034,CB,0.0015615850087840211,97.78766666666667
2013-11-27,102.66,103.56,102.5,103.15,1121742,CB,0.005164685246540646,98.03433333333332
2013-11-29,103.32,104.07,102.61,102.78,616956,CB,-0.0035870092098885557,98.23033333333333
2013-12-02,102.59,102.82,101.63,101.79,1417852,CB,-0.009632224168126044,98.391
2013-12-03,101.41,101.93,100.57,101.4,1424186,CB,-0.0038314176245210782,98.52166666666668
2013-12-04,101.22,102.28,100.17,101.05,1001630,CB,-0.0034516765285996895,98.62999999999998
2013-12-05,100.64,100.95,99.7,100.09,1080669,CB,-0.009500247402276039,98.75666666666666
2013-12-06,101.08,102.15,101.01,101.95,1031104,CB,0.018583275052452785,98.93033333333332
2013-12-09,102.01,102.3,101.24,101.6,1062964,CB,-0.0034330554193232814,99.11233333333334
2013-12-10,101.25,101.7099,101.115,101.25,921429,CB,-0.003444881889763724,99.29333333333334
2013-12-11,101.14,101.35,99.69,99.9,1321919,CB,-0.013333333333333277,99.41033333333334
2013-12-12,99.83,100.26,99.47,99.57,1461348,CB,-0.0033033033033034284,99.52133333333333
2013-12-13,99.69,100.01,99.18,99.26,1120987,CB,-0.0031133875665359857,99.64866666666667
2013-12-16,99.3,99.9575,99.0,99.2,1156184,CB,-0.0006044731009470307,99.76
2013-12-17,99.61,99.6599,98.76,98.8,1234232,CB,-0.004032258064516186,99.83733333333335
2013-12-18,98.99,100.06,98.22,100.04,1757218,CB,0.012550607287449484,99.95166666666667
2013-12-19,99.85,100.42,99.63,100.36,1811209,CB,0.0031987205117952134,100.03766666666665
2013-12-20,100.42,101.55,100.294,101.19,1362600,CB,0.008270227182144263,100.164
2013-12-23,101.83,101.91,101.14,101.75,908685,CB,0.0055341436900879755,100.27966666666666
2013-12-24,101.6,102.07,101.345,102.07,492166,CB,0.0031449631449630778,100.398
2013-12-26,102.16,102.85,101.95,102.69,586196,CB,0.006074262760850442,100.60733333333334
2013-12-27,102.88,102.88,102.32,102.62,527689,CB,-0.0006816632583503085,100.78466666666667
2013-12-30,102.64,103.21,102.61,102.92,518904,CB,0.00292340674332486,100.93866666666666
2013-12-31,103.16,103.76,103.06,103.53,686359,CB,0.005926933540614064,101.09966666666666
2014-01-02,102.78,103.39,101.33,101.7,1112627,CB,-0.017676035931614008,101.20866666666667
2014-01-03,101.91,102.15,101.23,101.44,1120803,CB,-0.002556538839724731,101.305
2014-01-06,102.42,102.52,100.74,101.09,1304119,CB,-0.003450315457413193,101.413
2014-01-07,101.01,101.36,100.17,100.27,2214115,CB,-0.008111583737263898,101.37100000000001
2014-01-08,100.11,100.36,98.53,99.03,2781675,CB,-0.012366610152587961,101.25233333333334
2014-01-09,99.32,99.46,98.15,98.9,2096999,CB,-0.0013127335150963895,101.13366666666667
2014-01-10,99.19,99.27,97.85,98.67,2760927,CB,-0.0023255813953488775,101.002
2014-01-13,98.34,98.68,96.71,96.92,2459211,CB,-0.017735887301104692,100.79433333333334
2014-01-14,96.87,98.05,96.73,97.7,1878323,CB,0.008047874535699558,100.625
2014-01-15,98.14,98.61,97.66,97.99,1583856,CB,0.0029682702149436235,100.49833333333332
2014-01-16,97.79,98.16,97.15,97.3,1564859,CB,-0.007041534850494926,100.36166666666666
2014-01-17,97.32,97.72,96.835,97.1,4253729,CB,-0.0020554984583761853,100.23
2014-01-21,97.28,97.56,96.01,96.37,2648993,CB,-0.007518022657054478,100.106
2014-01-22,96.61,96.99,95.97,96.01,1615515,CB,-0.0037356023658814924,99.90799999999999
2014-01-23,96.24,96.24,94.01,94.18,2879508,CB,-0.019060514529736467,99.66066666666666
2014-01-24,94.18,94.18,92.19,92.19,2533893,CB,-0.021129751539605106,99.35866666666666
2014-01-27,92.02,93.8,92.001,93.05,3022482,CB,0.009328560581407956,99.13033333333333
2014-01-28,93.19,94.85,93.11,94.57,2606993,CB,0.016335303600214898,98.96366666666667
2014-01-29,93.89,94.53,92.89,94.03,3466743,CB,-0.005710056043142562,98.78933333333333
2014-01-30,94.64,95.37,94.04,95.14,2339284,CB,0.011804743167074331,98.654
2014-01-31,93.74,94.45,93.52,93.81,2871441,CB,-0.013979398780744149,98.48766666666666
2014-02-03,93.44,93.88,92.26,92.6,3813727,CB,-0.01289841168318951,98.23966666666666
2014-02-04,93.21,93.63,92.59,92.84,2569013,CB,0.0025917926565875715,97.989
2014-02-05,92.54,93.5678,92.52,93.25,2561308,CB,0.0044161999138302085,97.72433333333333
2014-02-06,93.39,94.19,93.03,93.49,2986496,CB,0.002573726541554905,97.44900000000001
2014-02-07,94.08,94.65,93.65,94.6,2136765,CB,0.011872927585838052,97.2
2014-02-10,94.19,95.03,93.93,95.03,1712534,CB,0.004545454545454618,96.94466666666668
2014-02-11,95.33,96.85,95.22,96.81,2353891,CB,0.01873092707566033,96.751
2014-02-12,96.2,96.56,95.62,95.71,1676836,CB,-0.011362462555521211,96.51066666666667
2014-02-13,95.0,96.2,94.95,96.14,1339866,CB,0.004492738480827571,96.26433333333333
2014-02-14,96.14,96.99,95.995,96.97,1434935,CB,0.008633243187018913,96.10666666666665
2014-02-18,97.1,97.602,96.84,97.46,1450443,CB,0.005053109209033669,95.97399999999999
2014-02-19,97.27,97.869,96.64,96.67,1517312,CB,-0.0081058895957315,95.82666666666667
2014-02-20,96.6,97.28,95.89,96.78,1579216,CB,0.001137891796834586,95.71033333333334
2014-02-21,97.08,97.85,96.67,97.19,1264117,CB,0.004236412481917716,95.64899999999999
2014-02-24,97.1,97.86,96.78,96.79,1409663,CB,-0.004115649758205489,95.57866666666668
2014-02-25,96.73,96.91,96.34,96.53,1268450,CB,-0.0026862279161070884,95.50733333333332
2014-02-26,96.38,96.8,95.97,96.1,1126556,CB,-0.004454573707655722,95.47999999999999
2014-02-27,96.02,96.98,95.96,96.76,1250189,CB,0.006867845993756616,95.44866666666667
2014-02-28,97.0,98.1,96.85,97.87,1780242,CB,0.011471682513435298,95.44466666666668
2014-03-03,96.72,97.01,95.85,96.42,1376233,CB,-0.014815571676714037,95.41533333333334
2014-03-04,97.44,97.6,97.05,97.47,1918551,CB,0.010889856876166741,95.42766666666667
2014-03-05,97.53,97.93,97.16,97.66,1172352,CB,0.0019493177387913997,95.47066666666667
2014-03-06,97.78,98.57,97.48,98.15,1331091,CB,0.005017407331558562,95.542
2014-03-07,98.44,98.76,97.55,97.77,1789805,CB,-0.0038716250636781423,95.66166666666668
2014-03-10,97.49,98.11,97.37,97.8,1744393,CB,0.00030684258975146916,95.84866666666667
2014-03-11,98.1,98.32,97.17,97.34,814413,CB,-0.004703476482617523,95.99166666666666
2014-03-12,97.06,97.61,96.61,97.51,1149118,CB,0.0017464557222108248,96.08966666666667
2014-03-13,97.93,97.93,97.0,97.55,2275647,CB,0.0004102143369909962,96.20700000000001
2014-03-14,97.37,98.02,97.22,97.78,1647925,CB,0.0023577652485905075,96.29500000000002
2014-03-17,98.18,98.88,97.91,98.78,1269897,CB,0.010227040294538761,96.46066666666667
2014-03-18,98.93,99.23,98.6201,99.2,1440249,CB,0.004251872848754826,96.68066666666665
2014-03-19,99.26,99.57,97.81,98.17,1273114,CB,-0.010383064516129043,96.85833333333333
