date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,13.96,14.16,13.9,14.16,1716539,CDNS,,
2013-02-11,14.1799,14.27,14.09,14.22,3221848,CDNS,0.004237288135593255,
2013-02-12,14.18,14.5,14.16,14.36,3306773,CDNS,0.009845288326300898,
2013-02-13,14.35,14.4,14.14,14.25,2253042,CDNS,-0.007660167130919181,
2013-02-14,14.21,14.33,14.17,14.2,1382265,CDNS,-0.0035087719298246113,
2013-02-15,14.23,14.31,14.17,14.27,2511649,CDNS,0.004929577464788753,
2013-02-19,14.23,14.32,14.14,14.25,2447680,CDNS,-0.0014015416958654222,
2013-02-20,14.19,14.23,14.02,14.13,2683840,CDNS,-0.008421052631578892,
2013-02-21,14.14,14.44,14.13,14.23,4932538,CDNS,0.007077140835102593,
2013-02-22,14.27,14.42,14.23,14.36,1574366,CDNS,0.009135628952916303,
2013-02-25,14.42,14.54,14.18,14.19,2041541,CDNS,-0.011838440111420608,
2013-02-26,14.19,14.23,13.92,14.01,4283917,CDNS,-0.012684989429175456,
2013-02-27,13.99,14.34,13.95,14.2,3954419,CDNS,0.01356174161313344,
2013-02-28,14.2,14.23,14.1,14.16,3911462,CDNS,-0.0028169014084506445,
2013-03-01,14.04,14.07,13.61,13.94,6134015,CDNS,-0.015536723163841852,
2013-03-04,13.92,14.31,13.89,14.31,3797175,CDNS,0.026542324246771953,
2013-03-05,14.39,14.66,14.36,14.64,4441630,CDNS,0.02306079664570231,
2013-03-06,14.65,14.81,14.64,14.7,2875351,CDNS,0.0040983606557376175,
2013-03-07,14.67,14.7,14.53,14.56,6813296,CDNS,-0.009523809523809441,
2013-03-08,14.67,14.67,14.32,14.48,4162726,CDNS,-0.005494505494505499,
2013-03-11,14.48,14.62,14.34,14.58,3096476,CDNS,0.006906077348066274,
2013-03-12,14.09,14.24,13.86,14.05,8682274,CDNS,-0.03635116598079557,
2013-03-13,14.04,14.14,13.955,14.1,2938286,CDNS,0.0035587188612098883,
2013-03-14,14.1,14.2,14.02,14.095,2532685,CDNS,-0.0003546099290779436,
2013-03-15,14.09,14.11,13.85,13.92,2534200,CDNS,-0.012415750266051842,
2013-03-18,13.69,13.84,12.57,13.6,4805999,CDNS,-0.022988505747126457,
2013-03-19,13.61,13.625,13.23,13.37,5422599,CDNS,-0.016911764705882383,
2013-03-20,13.47,13.56,13.32,13.39,2530240,CDNS,0.0014958863126403404,
2013-03-21,13.29,13.41,13.22,13.361,2147300,CDNS,-0.0021657953696788586,
2013-03-22,13.36,13.46,13.15,13.32,2613230,CDNS,-0.0030686325873812113,14.113533333333333
2013-03-25,13.39,13.715,13.24,13.64,6089964,CDNS,0.024024024024024045,14.0962
2013-03-26,13.68,13.75,13.55,13.74,2823687,CDNS,0.007331378299120208,14.0802
2013-03-27,13.68,13.91,13.63,13.81,2797670,CDNS,0.005094614264919963,14.061866666666667
2013-03-28,13.84,13.93,13.78,13.93,1554335,CDNS,0.0086893555394641,14.0512
2013-04-01,13.96,13.96,13.59,13.62,2413467,CDNS,-0.022254127781766008,14.031866666666668
2013-04-02,13.66,13.8,13.54,13.56,1150282,CDNS,-0.0044052863436122415,14.0082
2013-04-03,13.56,13.6,13.222,13.24,2534552,CDNS,-0.02359882005899707,13.974533333333335
2013-04-04,13.27,13.47,13.18,13.42,1861718,CDNS,0.013595166163141973,13.950866666666666
2013-04-05,13.27,13.3,13.115,13.27,2381332,CDNS,-0.01117734724292104,13.918866666666668
2013-04-08,13.26,13.32,13.17,13.31,1367835,CDNS,0.003014318010550183,13.883866666666668
2013-04-09,13.3,13.38,13.1887,13.32,1687039,CDNS,0.0007513148009015618,13.854866666666668
2013-04-10,13.31,13.53,13.31,13.509,1286080,CDNS,0.014189189189189193,13.838166666666666
2013-04-11,13.47,13.5,13.3,13.33,2093335,CDNS,-0.013250425642164502,13.809166666666668
2013-04-12,13.33,13.4,13.2,13.36,1236504,CDNS,0.002250562640660117,13.782499999999999
2013-04-15,13.33,13.33,13.01,13.1,5996579,CDNS,-0.01946107784431136,13.7545
2013-04-16,13.18,13.21,12.96,12.98,3743443,CDNS,-0.009160305343511392,13.710166666666668
2013-04-17,12.96,12.96,12.59,12.66,4015336,CDNS,-0.02465331278890603,13.644166666666667
2013-04-18,12.7,12.7,12.51,12.54,2056019,CDNS,-0.00947867298578207,13.572166666666668
2013-04-19,12.58,12.59,12.36,12.4,1498958,CDNS,-0.011164274322168963,13.500166666666667
2013-04-22,12.43,12.6,12.33,12.56,1779091,CDNS,0.012903225806451623,13.436166666666667
2013-04-23,12.6,12.74,12.52,12.67,1219215,CDNS,0.008757961783439445,13.3725
2013-04-24,12.65,12.76,12.53,12.72,3418725,CDNS,0.003946329913180798,13.328166666666668
2013-04-25,12.86,13.82,12.85,13.72,11329088,CDNS,0.07861635220125786,13.315499999999998
2013-04-26,13.75,13.86,13.6,13.65,2838941,CDNS,-0.005102040816326551,13.300666666666666
2013-04-29,13.73,13.89,13.569,13.84,2344147,CDNS,0.013919413919413882,13.298
2013-04-30,13.8,13.91,13.67,13.8,2241153,CDNS,-0.0028901734104045626,13.304666666666668
2013-05-01,13.82,14.01,13.71,13.72,2224688,CDNS,-0.005797101449275368,13.316333333333334
2013-05-02,13.71,13.88,13.7,13.82,1381486,CDNS,0.007288629737609303,13.330666666666666
2013-05-03,13.92,14.025,13.89,13.89,1168574,CDNS,0.005065123010130267,13.3483
2013-05-06,13.86,13.91,13.73,13.84,2335899,CDNS,-0.0035997120230382078,13.365633333333333
2013-05-07,13.85,13.94,13.79,13.89,2634185,CDNS,0.003612716763005832,13.373966666666666
2013-05-08,13.84,13.93,13.8,13.9,1334126,CDNS,0.000719942404607616,13.3793
2013-05-09,13.87,13.93,13.79,13.8,1191187,CDNS,-0.007194244604316521,13.378966666666667
2013-05-10,13.84,13.98,13.81,13.94,1190460,CDNS,0.010144927536231797,13.3793
2013-05-13,14.14,14.15,13.95,13.99,2025066,CDNS,0.003586800573888143,13.391633333333333
2013-05-14,14.02,14.19,13.97,14.09,1435824,CDNS,0.0071479628305932555,13.4093
2013-05-15,14.08,14.26,14.03,14.15,1654462,CDNS,0.004258339247693435,13.439633333333331
2013-05-16,14.14,14.43,14.14,14.36,3153658,CDNS,0.01484098939929322,13.470966666666667
2013-05-17,14.37,14.55,14.35,14.54,1943334,CDNS,0.012534818941504159,13.5133
2013-05-20,14.5,14.66,14.47,14.6,2258703,CDNS,0.00412654745529577,13.556299999999998
2013-05-21,14.59,14.81,14.58,14.72,3032811,CDNS,0.00821917808219185,13.602966666666667
2013-05-22,14.69,14.99,14.59,14.64,7430884,CDNS,-0.005434782608695656,13.640666666666668
2013-05-23,14.57,14.73,14.5,14.71,2703029,CDNS,0.004781420765027342,13.686666666666666
2013-05-24,14.68,14.7,14.46,14.69,2202579,CDNS,-0.0013596193065942453,13.731
2013-05-28,14.76,14.99,14.76,14.85,3817650,CDNS,0.010891763104152494,13.789333333333333
2013-05-29,14.76,14.94,14.68,14.87,2995751,CDNS,0.001346801346801318,13.852333333333332
2013-05-30,14.75,15.18,14.75,15.15,3097235,CDNS,0.018829858776059256,13.935333333333334
2013-05-31,15.08,15.32,15.02,15.13,2902530,CDNS,-0.001320132013201292,14.021666666666667
2013-06-03,15.25,15.25,14.88,15.15,2969448,CDNS,0.0013218770654328865,14.113333333333335
2013-06-04,15.18,15.27,14.84,14.99,3187916,CDNS,-0.01056105610561057,14.194333333333335
2013-06-05,15.02,15.11,14.78,14.82,1811756,CDNS,-0.011340893929286186,14.266
2013-06-06,14.84,14.98,14.785,14.93,2014787,CDNS,0.007422402159244226,14.339666666666666
2013-06-07,15.09,15.23,14.9915,15.17,2195165,CDNS,0.016075016744809125,14.388
2013-06-10,15.3,15.32,15.02,15.05,2148367,CDNS,-0.007910349373763956,14.434666666666667
2013-06-11,14.91,14.95,14.74,14.77,1792825,CDNS,-0.018604651162790774,14.465666666666667
2013-06-12,14.8,14.86,14.66,14.74,1825173,CDNS,-0.0020311442112389546,14.496999999999998
2013-06-13,14.71,14.93,14.6,14.88,1613926,CDNS,0.009497964721845357,14.535666666666666
2013-06-14,14.91,14.95,14.8,14.8,999816,CDNS,-0.00537634408602151,14.568333333333333
2013-06-17,14.91,15.085,14.87,15.05,1617191,CDNS,0.01689189189189189,14.607
2013-06-18,15.09,15.16,14.97,15.02,1827494,CDNS,-0.00199335548172765,14.646333333333333
2013-06-19,15.01,15.02,14.81,14.83,1745026,CDNS,-0.012649800266311552,14.677666666666669
2013-06-20,14.77,14.79,14.345,14.4,2164769,CDNS,-0.028995279838165862,14.694333333333333
2013-06-21,14.44,14.44,14.115,14.365,3991566,CDNS,-0.0024305555555555656,14.713166666666666
2013-06-24,14.27,14.35,14.092,14.22,1875797,CDNS,-0.010093978419770245,14.722499999999998
2013-06-25,14.29,14.34,14.08,14.26,4025012,CDNS,0.002812939521800221,14.731500000000002
2013-06-26,14.36,14.5,14.28,14.41,1967244,CDNS,0.01051893408134645,14.742166666666666
2013-06-27,14.48,14.63,14.41,14.6,1184346,CDNS,0.013185287994448265,14.757166666666668
2013-06-28,14.54,14.6,14.43,14.48,2098521,CDNS,-0.008219178082191728,14.761166666666666
2013-07-01,14.6,14.69,14.51,14.61,1166975,CDNS,0.008977900552486118,14.763499999999999
2013-07-02,14.63,14.76,14.51,14.57,1398951,CDNS,-0.002737850787132043,14.7625
2013-07-03,14.52,14.68,14.51,14.59,1035806,CDNS,0.0013726835964309933,14.758166666666666
2013-07-05,14.62,15.14,14.61,15.11,2755791,CDNS,0.035640849897189825,14.773833333333334
2013-07-08,15.11,15.2,15.01,15.06,2432562,CDNS,-0.003309066843150161,14.785500000000003
2013-07-09,15.15,15.22,15.02,15.17,1207094,CDNS,0.007304116865869816,14.8015
2013-07-10,15.13,15.33,15.13,15.27,2798118,CDNS,0.006591957811469983,14.815500000000002
2013-07-11,15.45,15.515,15.31,15.48,1972082,CDNS,0.013752455795677855,14.835833333333333
2013-07-12,15.52,15.7,15.46,15.62,2956466,CDNS,0.009043927648578733,14.8515
2013-07-15,15.68,15.79,15.53,15.75,2002330,CDNS,0.008322663252240767,14.872166666666667
2013-07-16,15.75,15.82,15.66,15.72,1008059,CDNS,-0.0019047619047618642,14.891166666666667
2013-07-17,15.74,15.79,15.66,15.7,4980061,CDNS,-0.0012722646310433427,14.914833333333332
2013-07-18,15.68,15.96,15.645,15.75,2502574,CDNS,0.0031847133757962236,14.945833333333333
2013-07-19,15.61,15.83,15.59,15.77,3769673,CDNS,0.0012698412698412427,14.973833333333333
2013-07-22,15.8,15.86,15.64,15.65,2488596,CDNS,-0.007609384908053216,14.989833333333335
2013-07-23,15.73,15.81,15.5,15.58,2052326,CDNS,-0.004472843450479251,15.0075
