date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,49.425,50.43,48.955,50.065,7221802,CELG,,
2013-02-11,50.435,50.78,49.675,49.97,6359528,CELG,-0.001897533206831097,
2013-02-12,50.0,50.21,49.445,49.48,4430198,CELG,-0.00980588353011811,
2013-02-13,49.535,49.7,48.95,49.535,4529200,CELG,0.0011115602263540767,
2013-02-14,49.585,50.0996,49.275,49.755,4828280,CELG,0.004441304128394186,
2013-02-15,49.715,49.85,49.27,49.385,5272566,CELG,-0.00743643854888965,
2013-02-19,49.375,50.28,49.31,50.23,4742648,CELG,0.017110458641287817,
2013-02-20,50.995,51.845,50.195,50.2,12258622,CELG,-0.0005972526378656985,
2013-02-21,50.145,50.145,48.9226,49.715,7427524,CELG,-0.009661354581673295,
2013-02-22,49.795,51.14,49.725,50.825,6836096,CELG,0.02232726541285325,
2013-02-25,50.9201,51.0,49.45,49.5,6471922,CELG,-0.02606984751598628,
2013-02-26,49.385,50.25,49.375,49.725,4743164,CELG,0.004545454545454574,
2013-02-27,49.54,50.82,49.31,50.52,4923366,CELG,0.015987933634992492,
2013-02-28,50.525,52.57,50.425,51.635,12035458,CELG,0.022070467141725947,
2013-03-01,51.625,52.9113,51.265,52.81,7980034,CELG,0.0227558826377458,
2013-03-04,51.585,52.83,51.25,52.78,9731178,CELG,-0.0005680742283658613,
2013-03-05,52.625,54.255,52.5875,54.185,8083526,CELG,0.026619931792345605,
2013-03-06,54.295,55.4,54.295,55.015,9501458,CELG,0.015317892405647288,
2013-03-07,55.185,55.185,54.49,55.09,5220148,CELG,0.0013632645642098126,
2013-03-08,55.365,55.9,54.975,55.68,5473756,CELG,0.010709747685605306,
2013-03-11,55.74,56.045,55.335,55.96,6725002,CELG,0.005028735632183929,
2013-03-12,56.0,56.9413,55.735,56.86,7280934,CELG,0.016082916368834858,
2013-03-13,56.75,57.0,56.3109,56.535,6577090,CELG,-0.00571579317622235,
2013-03-14,56.66,57.72,56.66,57.14,6025306,CELG,0.010701335455912338,
2013-03-15,57.12,57.145,56.1433,56.2,9938680,CELG,-0.016450822541127015,
2013-03-18,55.625,56.745,54.005,55.95,6453866,CELG,-0.004448398576512455,
2013-03-19,56.19,56.275,55.145,55.52,5474116,CELG,-0.007685433422698833,
2013-03-20,56.11,56.355,55.735,56.16,4759114,CELG,0.011527377521613714,
2013-03-21,55.95,56.435,55.645,56.015,3788540,CELG,-0.002581908831908761,
2013-03-22,56.25,56.585,55.905,56.565,3297674,CELG,0.009818798536106349,52.966833333333334
