date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,43.4,44.165,43.29,44.05,2177450,CERN,,
2013-02-11,44.05,44.05,43.265,43.75,1109726,CERN,-0.006810442678774056,
2013-02-12,43.79,44.03,43.46,43.775,1260718,CERN,0.0005714285714285389,
2013-02-13,43.82,44.175,43.585,43.81,1495242,CERN,0.0007995431182182455,
2013-02-14,43.55,44.145,43.535,43.95,1317310,CERN,0.003195617438940894,
2013-02-15,43.84,44.3595,43.835,43.965,1691966,CERN,0.00034129692832765796,
2013-02-19,44.03,44.46,43.96,44.205,1140522,CERN,0.005458887751620491,
2013-02-20,44.175,44.34,43.515,43.56,1435696,CERN,-0.014591109602985998,
2013-02-21,43.395,43.4999,42.5,43.08,2200688,CERN,-0.011019283746556564,
2013-02-22,43.325,43.795,43.125,43.78,1194056,CERN,0.016248839368616593,
2013-02-25,44.045,44.29,42.69,42.69,1400628,CERN,-0.024897213339424473,
2013-02-26,42.795,43.735,42.795,43.59,1787974,CERN,0.02108222066057638,
2013-02-27,43.575,44.09,43.29,43.85,1349944,CERN,0.005964670796054095,
2013-02-28,43.87,44.25,43.725,43.73,1465160,CERN,-0.002736602052451643,
2013-03-01,43.84,44.695,43.52,44.615,2139268,CERN,0.020237823004802313,
2013-03-04,44.52,44.805,44.135,44.8,1410746,CERN,0.004146587470581535,
2013-03-05,45.0,46.16,44.9051,46.14,2632614,CERN,0.029910714285714363,
2013-03-06,46.32,46.48,45.365,45.455,1982388,CERN,-0.014846120502817561,
2013-03-07,45.52,46.145,45.51,45.755,1472052,CERN,0.0065999340006600874,
2013-03-08,46.0,46.31,45.7,46.145,1380614,CERN,0.008523658616544652,
2013-03-11,45.945,46.725,45.89,46.39,1317338,CERN,0.00530935095893374,
2013-03-12,46.345,46.555,46.07,46.535,1380446,CERN,0.0031256736365595176,
2013-03-13,46.65,46.698,46.3,46.455,2167320,CERN,-0.0017191361340925819,
2013-03-14,46.45,46.615,46.31,46.5,1766666,CERN,0.0009686793671295169,
2013-03-15,46.375,46.66,46.3225,46.39,3258362,CERN,-0.0023655913978494502,
2013-03-18,46.035,46.035,45.485,45.56,1346950,CERN,-0.017891787023065278,
2013-03-19,45.625,45.835,44.915,45.38,1304690,CERN,-0.003950834064969265,
2013-03-20,45.735,45.8,45.415,45.695,932054,CERN,0.006941383869546005,
2013-03-21,45.385,45.52,44.97,45.285,1189672,CERN,-0.008972535288324843,
2013-03-22,45.37,46.74,45.235,46.545,1679032,CERN,0.027823782709506573,44.84766666666667
2013-03-25,46.465,46.895,45.995,46.26,1629986,CERN,-0.006123106670963663,44.92133333333334
2013-03-26,46.455,46.9625,46.325,46.61,1398810,CERN,0.00756593169044534,45.016666666666666
2013-03-27,46.35,46.44,45.975,46.34,880184,CERN,-0.005792748337266596,45.10216666666667
2013-03-28,46.39,47.46,46.1962,47.37,1848134,CERN,0.02222701769529551,45.22083333333333
2013-04-01,47.485,47.485,46.57,47.115,1612382,CERN,-0.0053831538948700755,45.32633333333333
2013-04-02,47.22,47.565,47.195,47.41,1284872,CERN,0.006261275602249699,45.44116666666667
2013-04-03,47.345,47.385,46.35,46.42,1515978,CERN,-0.020881670533642586,45.51499999999999
2013-04-04,46.4,46.52,45.995,46.085,1226418,CERN,-0.007216716932356761,45.59916666666666
2013-04-05,45.675,46.275,45.625,46.065,1358578,CERN,-0.0004339806878594581,45.69866666666667
2013-04-08,46.025,46.715,45.715,46.71,1274778,CERN,0.014001953760989973,45.79633333333334
2013-04-09,46.685,46.885,45.94,46.565,817392,CERN,-0.0031042603296939225,45.92550000000001
2013-04-10,46.815,47.64,46.592,47.635,1546378,CERN,0.022978632019757337,46.06033333333334
2013-04-11,47.63,48.12,47.515,47.77,1636284,CERN,0.0028340505930514355,46.191
2013-04-12,47.97,47.97,47.225,47.34,1794698,CERN,-0.009001465354825197,46.31133333333333
2013-04-15,47.25,47.295,45.765,45.78,1781450,CERN,-0.03295310519645125,46.35016666666666
2013-04-16,46.03,47.27,45.935,47.015,1668810,CERN,0.02697684578418522,46.424
2013-04-17,46.645,46.69,45.69,46.165,1426896,CERN,-0.018079336382005772,46.42483333333334
2013-04-18,46.355,46.49,45.3855,45.6,1160568,CERN,-0.012238708978663441,46.42966666666666
2013-04-19,45.405,46.32,45.27,45.9,1540094,CERN,0.00657894736842099,46.4345
