date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,20.16,20.415,20.1,20.23,11809037,CHK,,
2013-02-11,20.17,20.2675,19.92,20.05,7734603,CHK,-0.008897676717745908,
2013-02-12,20.07,20.2,19.83,20.01,13505157,CHK,-0.0019950124688278875,
2013-02-13,19.97,20.58,19.92,20.57,14626705,CHK,0.027986006996501684,
2013-02-14,20.48,20.51,20.29,20.4,11822617,CHK,-0.008264462809917439,
2013-02-15,20.44,20.45,19.95,20.01,10544273,CHK,-0.019117647058823385,
2013-02-19,20.01,20.48,20.0,20.36,10666294,CHK,0.017491254372813486,
2013-02-20,20.4,20.65,20.02,20.24,22447681,CHK,-0.005893909626719106,
2013-02-21,20.79,20.88,20.0,20.19,20746190,CHK,-0.0024703557312251564,
2013-02-22,20.28,20.51,19.95,20.5,11692236,CHK,0.01535413571074783,
2013-02-25,20.18,20.24,19.09,19.11,29265301,CHK,-0.06780487804878052,
2013-02-26,19.15,19.77,19.09,19.75,22473296,CHK,0.03349031920460495,
2013-02-27,19.63,20.26,19.59,20.14,13049070,CHK,0.019746835443038003,
2013-02-28,20.02,20.42,20.0,20.16,9692863,CHK,0.0009930486593842886,
2013-03-01,19.95,19.96,19.4159,19.67,13281564,CHK,-0.024305555555555476,
2013-03-04,19.61,19.75,19.23,19.49,9423139,CHK,-0.009150991357397217,
2013-03-05,19.61,19.72,19.41,19.5,8043341,CHK,0.0005130836326321992,
2013-03-06,19.71,19.97,19.52,19.74,9202925,CHK,0.012307692307692228,
2013-03-07,19.81,20.86,19.55,20.85,18200652,CHK,0.05623100303951383,
2013-03-08,20.9,21.37,20.59,21.33,18669990,CHK,0.023021582733812797,
2013-03-11,21.2,21.69,21.011,21.46,11113023,CHK,0.006094702297234063,
2013-03-12,21.48,21.63,21.25,21.49,11530647,CHK,0.00139794967381163,
2013-03-13,21.43,21.685,21.29,21.4,7199873,CHK,-0.004187994416007439,
2013-03-14,21.42,22.665,21.42,22.52,20105347,CHK,0.05233644859813089,
2013-03-15,22.47,22.97,22.16,22.46,19055096,CHK,-0.0026642984014209024,
2013-03-18,21.97,22.67,21.95,22.17,14283752,CHK,-0.012911843276936738,
2013-03-19,21.79,21.95,20.7894,21.04,20573643,CHK,-0.05096977898060453,
2013-03-20,20.56,21.03,20.52,20.88,16516627,CHK,-0.0076045627376425924,
2013-03-21,20.79,21.15,20.65,20.66,11133678,CHK,-0.010536398467432897,
2013-03-22,20.82,20.9158,20.26,20.39,8897015,CHK,-0.013068731848983522,20.559
2013-03-25,20.54,20.8,20.24,20.35,8646458,CHK,-0.001961745953898928,20.563
2013-03-26,20.37,20.77,20.23,20.73,9289690,CHK,0.01867321867321862,20.58566666666667
2013-03-27,20.62,20.67,20.379,20.53,7833593,CHK,-0.009647853352629005,20.603
2013-03-28,20.44,20.53,20.2,20.41,16496062,CHK,-0.005845104724793034,20.597666666666665
2013-04-01,20.4,20.644,20.26,20.35,10051460,CHK,-0.0029397354238117944,20.596
2013-04-02,20.42,20.5,19.82,19.96,10484627,CHK,-0.01916461916461919,20.594333333333335
2013-04-03,19.9,19.94,19.11,19.18,12886261,CHK,-0.0390781563126253,20.555
2013-04-04,19.16,19.43,18.91,19.32,8601151,CHK,0.007299270072992731,20.524333333333335
2013-04-05,19.12,19.88,19.03,19.75,11556202,CHK,0.022256728778467894,20.509666666666664
2013-04-08,19.75,19.94,19.44,19.75,9363143,CHK,0.0,20.484666666666666
2013-04-09,19.77,20.29,19.5601,20.14,9301598,CHK,0.019746835443038003,20.519000000000002
2013-04-10,20.24,20.55,20.19,20.36,7916622,CHK,0.010923535253227352,20.539333333333335
2013-04-11,20.36,20.36,19.96,20.14,6344093,CHK,-0.010805500982318215,20.53933333333333
2013-04-12,19.97,20.07,19.58,19.68,10130536,CHK,-0.022840119165839168,20.52333333333333
2013-04-15,19.4,19.41,18.93,18.93,10185029,CHK,-0.038109756097560975,20.49866666666667
2013-04-16,19.17,19.42,18.55,19.06,9939744,CHK,0.006867406233491759,20.484333333333332
2013-04-17,18.81,18.9,18.41,18.47,13120742,CHK,-0.030954879328436512,20.45
2013-04-18,18.51,19.13,18.21,18.96,10323656,CHK,0.02652950730915008,20.424
