date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,61.7,62.2199,61.01,61.93,1638472,CI,,
2013-02-11,61.91,61.94,61.18,61.83,1486518,CI,-0.0016147263038915134,
2013-02-12,61.87,62.15,61.68,61.98,1910005,CI,0.002426006792818997,
2013-02-13,62.12,62.14,61.47,61.89,1729655,CI,-0.0014520813165536674,
2013-02-14,61.75,61.9,61.31,61.45,1914995,CI,-0.007109387623202419,
2013-02-15,61.45,61.98,60.97,61.08,1585153,CI,-0.0060211554109032474,
2013-02-19,56.98,60.67,55.97,60.43,4416249,CI,-0.010641781270464942,
2013-02-20,60.57,60.575,59.22,59.27,1877240,CI,-0.019195763693529648,
2013-02-21,59.18,59.79,58.69,59.17,1926359,CI,-0.0016871941960519895,
2013-02-22,59.28,59.63,58.62,58.71,1283254,CI,-0.007774209903667413,
2013-02-25,58.81,59.21,57.63,57.64,2080075,CI,-0.018225174586952823,
2013-02-26,57.81,58.07,57.11,57.88,2299768,CI,0.004163775156141603,
2013-02-27,57.74,59.07,57.74,58.98,1329903,CI,0.01900483759502409,
2013-02-28,58.92,59.03,58.176,58.46,1616774,CI,-0.008816547982366836,
2013-03-01,58.26,58.6,57.53,58.26,1881215,CI,-0.0034211426616490392,
2013-03-04,57.95,58.52,57.8,58.17,1645438,CI,-0.0015447991761070427,
2013-03-05,58.3,59.44,58.02,59.39,3002786,CI,0.02097301014268521,
2013-03-06,59.38,59.5,59.0,59.5,2259067,CI,0.0018521636639164747,
2013-03-07,59.5,59.75,58.89,58.94,1809352,CI,-0.009411764705882392,
2013-03-08,59.23,59.74,58.93,59.66,1268385,CI,0.012215812690872055,
2013-03-11,59.86,60.67,59.65,60.57,1792064,CI,0.015253100905129128,
2013-03-12,60.34,61.655,60.31,61.55,2606416,CI,0.016179626877992355,
2013-03-13,61.41,62.11,61.33,62.05,1792789,CI,0.008123476848090984,
2013-03-14,62.12,62.295,61.59,62.26,1533486,CI,0.003384367445608394,
2013-03-15,62.03,62.77,61.5432,62.63,2467367,CI,0.005942820430453012,
2013-03-18,62.14,62.54,61.8,62.11,1877030,CI,-0.00830273032093251,
2013-03-19,62.4,62.66,61.85,62.21,1548353,CI,0.0016100466913540723,
2013-03-20,62.74,63.19,61.9,62.15,2223780,CI,-0.0009644751647645438,
2013-03-21,61.9,62.14,61.51,61.74,2203246,CI,-0.006596942880128666,
2013-03-22,61.9,62.11,61.31,61.75,1378555,CI,0.00016196954972461954,60.45466666666667
2013-03-25,61.91,62.47,61.47,61.61,1817045,CI,-0.002267206477732803,60.443999999999996
2013-03-26,61.83,62.47,61.8,62.24,1243312,CI,0.010225612725206988,60.45766666666667
2013-03-27,62.03,62.64,61.872,62.52,1339791,CI,0.004498714652956317,60.47566666666667
2013-03-28,62.52,62.8,62.21,62.37,1641591,CI,-0.002399232245681473,60.49166666666667
