date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,316.77,321.4899,316.73,320.72,403264,CMG,,
2013-02-11,320.97,325.64,320.11,323.56,453220,CMG,0.00885507607882257,
2013-02-12,322.39,326.99,322.05,322.51,353599,CMG,-0.00324514773148724,
2013-02-13,321.63,322.475,316.16,317.01,605608,CMG,-0.017053734767914174,
2013-02-14,316.28,319.08,314.44,317.72,483832,CMG,0.0022396769817987962,
2013-02-15,319.03,319.03,310.78,314.19,678216,CMG,-0.011110411683243199,
2013-02-19,314.4,317.58,311.32,313.05,530537,CMG,-0.0036283777332187096,
2013-02-20,312.81,315.09,308.0,309.49,588188,CMG,-0.01137198530586169,
2013-02-21,307.17,313.73,307.17,308.13,639141,CMG,-0.004394326149471756,
2013-02-22,310.77,315.71,310.5,315.51,600207,CMG,0.023950929802356136,
2013-02-25,316.51,318.32,311.18,311.21,512884,CMG,-0.013628728091027262,
2013-02-26,312.72,316.66,309.02,311.81,415128,CMG,0.0019279586131551775,
2013-02-27,312.48,318.71,311.96,316.21,330537,CMG,0.014111157435617772,
2013-02-28,315.29,319.88,313.6,316.79,306386,CMG,0.0018342240915848358,
2013-03-01,316.75,319.82,314.501,319.74,300757,CMG,0.009312162631396156,
2013-03-04,318.68,322.43,317.55,321.76,307211,CMG,0.006317633076874904,
2013-03-05,323.3,332.49,322.5,329.24,520227,CMG,0.023247140726007018,
2013-03-06,331.38,334.89,328.095,329.0,341441,CMG,-0.0007289515247236335,
2013-03-07,331.38,331.38,325.08,327.5,330531,CMG,-0.004559270516717325,
2013-03-08,328.27,328.8799,320.6301,321.84,477790,CMG,-0.01728244274809168,
2013-03-11,320.08,327.117,319.39,322.42,363793,CMG,0.001802137708178104,
2013-03-12,322.42,323.98,317.0,318.45,306360,CMG,-0.012313131939706057,
2013-03-13,319.41,322.38,319.33,322.38,358434,CMG,0.012341026848798892,
2013-03-14,321.61,324.21,319.53,322.66,298613,CMG,0.0008685402320244109,
2013-03-15,320.95,323.98,318.54,321.35,310927,CMG,-0.004060001239695042,
2013-03-18,317.36,321.85,317.25,320.15,184722,CMG,-0.0037342461490588,
2013-03-19,320.1,324.53,315.5,317.23,408041,CMG,-0.00912072466031535,
2013-03-20,319.75,323.7,318.25,322.42,298839,CMG,0.01636036944803454,
2013-03-21,321.99,322.52,318.33,319.42,425498,CMG,-0.009304633707586378,
2013-03-22,320.28,320.68,317.44,318.23,283465,CMG,-0.003725502473232727,319.0566666666667
2013-03-25,318.7,321.7,316.04,316.77,315454,CMG,-0.004587876692958038,318.925
2013-03-26,318.64,320.285,316.35,318.5,313704,CMG,0.005461375761593643,318.7563333333333
2013-03-27,318.49,320.85,316.34,320.59,215130,CMG,0.006562009419152198,318.6923333333333
2013-03-28,320.17,325.93,319.02,325.87,387865,CMG,0.016469634112105898,318.9876666666667
2013-04-01,327.42,328.47,320.0034,321.06,421993,CMG,-0.014760487310890852,319.099
2013-04-02,321.91,323.6,321.64,323.09,240714,CMG,0.0063228057060984635,319.3956666666666
