date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,22.635,23.64,22.635,23.02,1238076,CNC,,
2013-02-11,22.95,22.995,21.985,22.25,1268902,CNC,-0.03344917463075585,
2013-02-12,22.335,22.6,22.235,22.39,1041788,CNC,0.006292134831460699,
2013-02-13,22.5,22.96,22.315,22.58,1346796,CNC,0.008485931219294226,
2013-02-14,22.5,22.8,22.275,22.755,662248,CNC,0.007750221434898172,
2013-02-15,22.845,23.24,22.775,22.98,1039120,CNC,0.009887936717205073,
2013-02-19,21.805,23.14,21.785,22.99,978946,CNC,0.0004351610095734556,
2013-02-20,22.93,23.0325,22.645,22.75,897888,CNC,-0.010439321444106066,
2013-02-21,22.835,22.9812,22.4,22.885,1298598,CNC,0.005934065934066003,
2013-02-22,23.03,23.21,22.6,22.71,787242,CNC,-0.007646930303692405,
2013-02-25,22.815,23.005,22.16,22.175,660660,CNC,-0.02355790400704536,
2013-02-26,22.235,22.345,21.585,22.065,1018202,CNC,-0.004960541149943604,
2013-02-27,22.09,22.625,22.021,22.485,716770,CNC,0.019034670292318066,
2013-02-28,22.41,22.985,22.385,22.51,1498252,CNC,0.001111852346008545,
2013-03-01,22.445,23.115,22.43,22.85,1016970,CNC,0.015104398045313187,
2013-03-04,22.77,22.9905,22.32,22.345,1074318,CNC,-0.022100656455142344,
2013-03-05,22.455,22.855,22.34,22.715,642232,CNC,0.016558514208995345,
2013-03-06,22.785,23.275,22.7351,23.025,624918,CNC,0.013647369579572913,
2013-03-07,23.035,23.595,23.035,23.5,1285394,CNC,0.020629750271444147,
2013-03-08,23.69,24.275,23.655,23.96,2105362,CNC,0.01957446808510642,
2013-03-11,23.81,23.928,23.5305,23.69,855908,CNC,-0.011268781302170265,
2013-03-12,23.58,23.8213,23.185,23.25,1429374,CNC,-0.018573237653018205,
2013-03-13,23.255,23.635,23.22,23.51,810868,CNC,0.011182795698924799,
2013-03-14,23.025,23.065,22.3,22.735,1978906,CNC,-0.03296469587409622,
2013-03-15,22.695,22.975,22.57,22.895,1497342,CNC,0.007037607213547401,
2013-03-18,22.68,23.0146,22.67,22.715,653848,CNC,-0.007861978597947138,
2013-03-19,22.775,23.13,22.395,22.55,652986,CNC,-0.0072639225181597685,
2013-03-20,22.71,22.875,22.58,22.735,612576,CNC,0.008203991130820341,
2013-03-21,22.62,22.745,22.41,22.495,782100,CNC,-0.010556410820321022,
2013-03-22,22.61,22.815,22.125,22.375,694172,CNC,-0.0053345187819515884,22.796333333333333
2013-03-25,22.415,22.615,22.2,22.295,500668,CNC,-0.0035754189944133315,22.77216666666667
2013-03-26,22.415,22.625,22.105,22.26,770512,CNC,-0.0015698587127158617,22.7725
2013-03-27,22.175,22.43,22.06,22.085,880888,CNC,-0.007861635220125817,22.762333333333334
