date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,39.91,40.35,39.69,39.88,5288271,DFS,,
2013-02-11,39.78,40.29,39.675,40.03,3729944,DFS,0.0037612838515546283,
2013-02-12,39.99,40.17,39.46,39.48,5217488,DFS,-0.013739695228578673,
2013-02-13,39.46,39.675,39.11,39.22,3942399,DFS,-0.006585612968591642,
2013-02-14,39.05,39.57,38.9,39.52,3935053,DFS,0.0076491585925549275,
2013-02-15,39.63,39.82,38.965,39.15,3924106,DFS,-0.009362348178137766,
2013-02-19,39.22,39.59,39.2,39.53,4758772,DFS,0.009706257982120117,
2013-02-20,39.42,39.57,38.89,38.93,3690825,DFS,-0.015178345560333959,
2013-02-21,38.78,38.79,38.04,38.33,6533864,DFS,-0.01541227844849734,
2013-02-22,38.57,38.96,38.45,38.89,2968999,DFS,0.014609966084007366,
2013-02-25,39.05,39.2,37.91,37.94,4482690,DFS,-0.024427873489328948,
2013-02-26,38.08,38.17,37.24,37.8,6108232,DFS,-0.0036900369003690188,
2013-02-27,37.81,38.55,37.6,38.4,4724857,DFS,0.01587301587301591,
2013-02-28,38.34,38.82,38.23,38.53,6007020,DFS,0.0033854166666667336,
2013-03-01,38.32,39.1599,37.89,39.08,5413648,DFS,0.014274591227614772,
2013-03-04,38.93,39.78,38.89,39.76,3637121,DFS,0.01740020470829068,
2013-03-05,40.15,40.815,40.11,40.58,4997968,DFS,0.020623742454728377,
2013-03-06,41.12,41.63,41.115,41.29,6186904,DFS,0.017496303597831466,
2013-03-07,41.43,41.64,41.25,41.57,4349815,DFS,0.006781302978929551,
2013-03-08,41.77,41.8,40.77,41.37,3817471,DFS,-0.004811161895597855,
2013-03-11,41.29,42.16,41.29,41.84,4911539,DFS,0.01136088953347851,
2013-03-12,41.76,42.5,41.71,42.13,6051154,DFS,0.006931166347992331,
2013-03-13,42.76,43.52,42.4701,43.06,6230156,DFS,0.022074531212912404,
2013-03-14,43.31,43.33,42.75,42.85,6024308,DFS,-0.004876915931258728,
