date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,60.15,60.81,60.09,60.81,1532380,DHR,,
2013-02-11,60.78,60.83,60.33,60.68,1867926,DHR,-0.002137806281861578,
2013-02-12,60.85,61.17,60.68,60.97,2290020,DHR,0.004779169413315741,
2013-02-13,61.2,61.31,60.57,61.02,2389915,DHR,0.0008200754469411886,
2013-02-14,60.78,61.36,60.52,61.16,2789273,DHR,0.0022943297279579395,
2013-02-15,61.18,61.9,60.84,61.68,3662471,DHR,0.008502289077828698,
2013-02-19,61.75,62.14,61.55,61.8,1996711,DHR,0.0019455252918287524,
2013-02-20,61.87,62.0,60.89,60.97,3911769,DHR,-0.013430420711974082,
2013-02-21,60.71,61.2,60.59,60.99,2733441,DHR,0.0003280301787764987,
2013-02-22,61.11,61.46,61.01,61.46,2155617,DHR,0.007706181341203457,
2013-02-25,61.51,61.7,59.88,59.89,3214495,DHR,-0.025545069964204366,
2013-02-26,60.14,60.55,60.12,60.3,2128594,DHR,0.006845884120888238,
2013-02-27,60.35,61.49,60.23,61.24,2300427,DHR,0.0155887230514097,
2013-02-28,61.4,61.99,61.13,61.6,2567753,DHR,0.0058785107772697485,
2013-03-01,61.25,61.76,60.95,61.57,2345743,DHR,-0.00048701298701300544,
2013-03-04,61.52,61.68,60.89,61.66,2018848,DHR,0.0014617508526879373,
2013-03-05,61.83,62.43,61.721,62.22,2027605,DHR,0.009082062925721737,
2013-03-06,62.32,62.46,61.67,61.77,2336097,DHR,-0.007232401157184117,
2013-03-07,61.9,62.0,61.41,61.42,2049542,DHR,-0.00566618099401006,
2013-03-08,61.83,62.07,61.54,61.94,2233500,DHR,0.008466297622924064,
2013-03-11,61.95,62.3,61.94,62.26,1740969,DHR,0.005166289958023899,
2013-03-12,62.3,62.47,61.86,62.16,2834332,DHR,-0.0016061676839062226,
2013-03-13,62.15,62.23,61.8175,62.12,1973084,DHR,-0.0006435006435006298,
2013-03-14,62.25,62.6,62.22,62.6,1800669,DHR,0.007726980038634965,
2013-03-15,62.23,62.9,62.15,62.65,4223112,DHR,0.000798722044728389,
2013-03-18,61.97,62.195,61.67,61.81,2494911,DHR,-0.01340782122905022,
2013-03-19,62.02,62.236,60.96,61.28,3478379,DHR,-0.008574664293803609,
2013-03-20,61.47,61.8,61.093,61.31,2893824,DHR,0.0004895561357702535,
2013-03-21,61.07,61.7,60.99,61.19,2286019,DHR,-0.001957266351329384,
2013-03-22,61.28,61.78,61.11,61.67,2308531,DHR,0.007844419022716195,61.473333333333336
2013-03-25,61.8,62.01,60.715,61.04,2856937,DHR,-0.010215664018161222,61.481
2013-03-26,61.42,61.86,61.27,61.84,1791241,DHR,0.013106159895150791,61.519666666666666
2013-03-27,61.47,61.87,61.29,61.84,1865428,DHR,0.0,61.54866666666667
2013-03-28,61.84,62.23,61.59,62.15,2548107,DHR,0.005012936610607943,61.58633333333333
2013-04-01,61.86,62.1,61.51,61.79,2189002,DHR,-0.005792437650844721,61.60733333333333
2013-04-02,62.0,62.05,61.56,61.74,2589802,DHR,-0.000809192425958847,61.60933333333333
2013-04-03,61.84,61.9,60.85,61.09,3528437,DHR,-0.010528020732102341,61.585666666666675
2013-04-04,61.17,61.465,60.62,60.75,3274797,DHR,-0.005565559011294866,61.57833333333334
2013-04-05,60.02,60.585,59.78,60.55,2699020,DHR,-0.0032921810699588945,61.56366666666667
2013-04-08,60.53,60.898,60.39,60.77,1710010,DHR,0.0036333608587944834,61.54066666666667
2013-04-09,60.82,60.85,60.185,60.54,2592411,DHR,-0.003784762218199835,61.56233333333333
2013-04-10,60.74,61.84,60.47,61.78,2355448,DHR,0.020482325735051238,61.611666666666665
2013-04-11,61.75,62.115,61.55,61.94,2368825,DHR,0.0025898348980251955,61.635
2013-04-12,61.78,61.98,61.16,61.56,1682129,DHR,-0.006134969325153301,61.63366666666666
2013-04-15,61.28,61.58,59.91,59.91,2883866,DHR,-0.02680311890838216,61.57833333333333
2013-04-16,60.24,60.98,60.07,60.96,2223588,DHR,0.0175262894341513,61.555
2013-04-17,60.66,60.72,59.58,59.74,3411132,DHR,-0.020013123359580033,61.47233333333334
2013-04-18,57.96,58.56,57.61,58.05,9090720,DHR,-0.028289253431536737,61.348333333333336
2013-04-19,58.36,59.16,58.13,59.1,3531059,DHR,0.018087855297157698,61.270999999999994
2013-04-22,59.12,59.42,58.5,58.99,2384137,DHR,-0.001861252115059212,61.172666666666665
2013-04-23,59.35,59.52,58.4856,59.09,4404349,DHR,0.0016952025767079406,61.067
2013-04-24,59.26,60.27,59.03,59.96,3794635,DHR,0.014723303435437424,60.99366666666667
2013-04-25,60.05,60.915,59.83,60.44,2620719,DHR,0.008005336891260787,60.937666666666665
2013-04-29,60.0,60.41,59.88,60.23,2103955,DHR,-0.0034745201853077575,60.858666666666664
2013-04-30,60.29,61.53,60.08,60.94,5108250,DHR,0.011788145442470544,60.80166666666666
2013-05-01,60.67,61.38,60.095,60.14,2868120,DHR,-0.013127666557269399,60.746
2013-05-02,60.42,60.65,60.1,60.46,2494407,DHR,0.005320917858330567,60.718666666666664
2013-05-03,61.09,61.29,60.61,60.8,3772330,DHR,0.005623552762156737,60.701666666666675
2013-05-06,60.79,61.45,60.54,61.31,2079017,DHR,0.008388157894736927,60.705666666666666
2013-05-07,61.51,61.77,61.22,61.53,1767249,DHR,0.0035883216441037163,60.701
2013-05-08,61.5,61.72,61.35,61.64,2077608,DHR,0.00178774581504956,60.721000000000004
2013-05-09,61.61,62.12,61.45,61.74,2008275,DHR,0.0016223231667748445,60.717666666666666
2013-05-10,61.72,61.95,61.53,61.9,1454866,DHR,0.0025915127955943727,60.71966666666666
2013-05-13,61.68,61.955,61.57,61.6,2302415,DHR,-0.004846526655896561,60.70133333333333
2013-05-14,61.73,62.075,61.6201,61.85,3878008,DHR,0.004058441558441558,60.70333333333334
2013-05-15,61.75,62.14,61.58,62.06,3952594,DHR,0.003395311236863393,60.714000000000006
2013-05-16,61.76,62.85,61.74,62.27,4665027,DHR,0.0033838221076377835,60.75333333333333
2013-05-17,62.75,63.34,62.74,63.25,3838019,DHR,0.01573791552914721,60.836666666666666
2013-05-20,63.18,64.09,63.1,64.07,3577715,DHR,0.012964426877470249,60.95399999999999
2013-05-21,64.0,64.39,63.76,63.84,2351916,DHR,-0.003589823630404086,61.056333333333335
2013-05-22,63.83,64.04,62.48,62.76,2821350,DHR,-0.01691729323308279,61.13033333333333
2013-05-23,62.31,62.71,62.18,62.39,2822608,DHR,-0.005895474824729087,61.150666666666666
2013-05-24,62.0,62.39,61.71,62.1,2287504,DHR,-0.004648180798204827,61.156
2013-05-28,62.72,63.21,62.47,62.59,1980720,DHR,0.007890499194847052,61.190333333333335
2013-05-29,62.1,62.48,61.895,62.21,2103672,DHR,-0.006071257389359363,61.267
2013-05-30,62.42,62.9,62.09,62.5,2098290,DHR,0.004661629963028438,61.318333333333335
2013-05-31,62.21,62.74,61.82,61.82,2699399,DHR,-0.010879999999999996,61.38766666666666
2013-06-03,61.86,62.42,61.77,62.37,3149402,DHR,0.008896797153024865,61.531666666666666
2013-06-04,62.23,62.77,61.435,61.79,2959586,DHR,-0.00929934263267594,61.62133333333334
2013-06-05,61.68,61.78,60.25,60.44,3459392,DHR,-0.021848195500890136,61.66966666666667
2013-06-06,60.5,60.6,59.65,60.43,4640144,DHR,-0.00016545334215747868,61.71433333333333
2013-06-07,60.95,62.17,60.52,62.1,3385582,DHR,0.027635280489822965,61.785666666666664
2013-06-10,62.22,62.62,61.97,62.29,2490454,DHR,0.003059581320450849,61.84733333333334
2013-06-11,61.66,62.48,61.5401,62.21,2290813,DHR,-0.0012843152994059769,61.913333333333334
2013-06-12,62.43,62.43,61.36,61.4,2647557,DHR,-0.013020414724320886,61.928666666666665
2013-06-13,62.01,62.68,61.17,62.48,2248300,DHR,0.017589576547231242,62.00666666666666
2013-06-14,62.42,62.83,62.12,62.52,2118406,DHR,0.0006402048655570784,62.07533333333333
2013-06-17,63.0,63.69,62.97,63.37,3072842,DHR,0.013595649392194407,62.160999999999994
2013-06-18,63.32,64.6,63.08,64.36,2965606,DHR,0.015622534322234528,62.26266666666666
2013-06-19,64.36,64.8,63.66,63.68,3497636,DHR,-0.010565568676196391,62.33433333333333
2013-06-20,62.99,63.23,62.1,62.26,3270545,DHR,-0.0222989949748744,62.355
2013-06-21,62.59,62.88,61.67,62.11,5981006,DHR,-0.002409251525859277,62.36733333333334
2013-06-24,61.64,62.29,61.23,61.66,3110574,DHR,-0.007245210111093268,62.35933333333333
2013-06-25,62.07,62.44,61.57,62.3,3111683,DHR,0.010379500486539095,62.382666666666665
2013-06-26,62.82,63.66,62.71,63.35,3296234,DHR,0.016853932584269732,62.43266666666667
2013-06-27,63.77,63.9,63.09,63.64,2531966,DHR,0.004577742699289647,62.48533333333333
2013-06-28,63.43,63.715,63.03,63.3,4228276,DHR,-0.005342551854179815,62.51966666666667
2013-07-01,63.74,65.15,63.6,64.7,3760389,DHR,0.022116903633491402,62.568
2013-07-02,64.59,64.765,63.46,63.68,3248561,DHR,-0.01576506955177748,62.55499999999999
2013-07-03,63.34,63.91,63.16,63.63,1100358,DHR,-0.0007851758793969403,62.548
2013-07-05,64.2,64.62,64.02,64.6,1750447,DHR,0.015244381581015114,62.60933333333333
2013-07-08,64.95,65.061,64.31,64.44,2790956,DHR,-0.002476780185758461,62.677666666666674
2013-07-09,65.34,66.67,65.34,66.62,4706772,DHR,0.03382991930477975,62.82833333333333
2013-07-10,66.6,67.94,66.6,67.8,4703594,DHR,0.01771239867907524,63.001999999999995
2013-07-11,68.58,69.0,67.8,68.35,4258184,DHR,0.008112094395280194,63.20666666666667
2013-07-12,68.32,68.43,67.61,68.19,3040436,DHR,-0.0023408924652523278,63.39633333333334
2013-07-15,68.51,68.63,68.13,68.4,3494749,DHR,0.0030796304443467953,63.61566666666667
2013-07-16,68.4,68.79,67.53,68.07,2522139,DHR,-0.004824561403508954,63.80566666666666
2013-07-17,68.28,68.63,68.14,68.41,3217950,DHR,0.004994858234170757,64.02633333333333
2013-07-18,68.0,68.68,66.83,67.75,5498028,DHR,-0.009647712322759782,64.27
2013-07-19,68.0,69.02,67.674,68.69,2941459,DHR,0.01387453874538742,64.54533333333333
2013-07-22,68.39,68.88,67.85,68.17,2777315,DHR,-0.007570243121269414,64.74766666666666
2013-07-23,68.25,68.4,67.84,67.9,2472930,DHR,-0.003960686518996568,64.93466666666667
2013-07-24,68.0,68.13,67.385,67.63,2671325,DHR,-0.0039764359351989725,65.11533333333334
2013-07-25,67.15,67.43,66.83,67.28,3102199,DHR,-0.005175218098476923,65.31133333333334
2013-07-26,66.93,67.0,66.53,66.72,2375693,DHR,-0.00832342449464926,65.45266666666667
2013-07-29,66.875,67.24,66.22,67.19,2145425,DHR,0.0070443645083932685,65.60833333333333
2013-07-30,67.46,67.86,67.14,67.17,2108340,DHR,-0.00029766334275928,65.735
2013-07-31,67.2,67.98,67.17,67.34,2371772,DHR,0.002530891767157983,65.83433333333333
2013-08-01,67.82,68.195,67.64,67.64,2788583,DHR,0.004455004455004413,65.96633333333334
2013-08-02,67.63,67.63,66.975,67.23,2075213,DHR,-0.006061502069781144,66.132
2013-08-05,67.1,67.26,66.89,67.12,1592757,DHR,-0.0016361743269373706,66.29899999999999
2013-08-06,67.12,67.17,66.78,67.05,2010715,DHR,-0.0010429082240763913,66.47866666666667
2013-08-07,67.0,67.56,66.8,67.49,2339852,DHR,0.006562266964951495,66.65166666666667
2013-08-08,67.8,67.98,67.23,67.33,2041171,DHR,-0.0023707215883834137,66.78433333333334
2013-08-09,67.27,67.4,66.92,66.99,1557308,DHR,-0.005049754938363336,66.896
2013-08-12,66.54,66.88,66.33,66.52,2111954,DHR,-0.007015972533213896,67.00333333333333
2013-08-13,66.53,67.72,66.47,67.63,1760382,DHR,0.01668671076368009,67.101
2013-08-14,67.4,67.45,66.545,66.67,1734379,DHR,-0.014194883927251128,67.20066666666666
2013-08-15,66.44,67.09,65.88,66.51,2419244,DHR,-0.0023998800059996488,67.29666666666667
2013-08-16,66.51,66.83,66.305,66.73,2177721,DHR,0.0033077732671778506,67.36766666666666
2013-08-19,66.5,67.285,66.46,66.86,1952398,DHR,0.0019481492582046373,67.44833333333332
2013-08-20,66.9,66.9,66.215,66.32,2390427,DHR,-0.008076577924020435,67.43833333333333
