date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,54.38,54.72,54.31,54.66,9584224,DIS,,
2013-02-11,54.65,54.98,54.59,54.75,6358524,DIS,0.0016465422612514345,
2013-02-12,54.77,55.05,54.69,54.95,8758025,DIS,0.0036529680365297323,
2013-02-13,55.08,55.3,54.665,54.96,5701775,DIS,0.00018198362147403113,
2013-02-14,54.92,55.17,54.71,54.88,8564486,DIS,-0.0014556040756913808,
2013-02-15,55.05,55.62,54.89,55.61,17783635,DIS,0.013301749271136969,
2013-02-19,55.58,55.95,55.57,55.73,7780451,DIS,0.00215788527243297,
2013-02-20,55.62,55.82,54.56,54.6,8461042,DIS,-0.02027633231652603,
2013-02-21,54.58,54.82,54.01,54.17,6802578,DIS,-0.00787545787545787,
2013-02-22,54.39,54.58,53.93,54.25,7604629,DIS,0.0014768321949418183,
2013-02-25,54.6,54.79,53.59,53.59,9831166,DIS,-0.012165898617511458,
2013-02-26,53.81,54.035,53.6,53.9,6238418,DIS,0.005784661317409874,
2013-02-27,53.9,54.66,53.85,54.48,7244992,DIS,0.010760667903525015,
2013-02-28,54.54,55.04,54.39,54.59,6605615,DIS,0.0020190895741557737,
2013-03-01,54.31,55.37,54.3,55.33,8314387,DIS,0.013555596263051747,
2013-03-04,55.16,55.84,55.0,55.8,6356424,DIS,0.008494487619736108,
2013-03-05,55.95,56.58,55.9,56.48,7068470,DIS,0.012186379928315408,
2013-03-06,56.53,56.84,56.25,56.36,5572562,DIS,-0.0021246458923512295,
2013-03-07,56.36,56.4655,56.01,56.32,4814197,DIS,-0.0007097232079488848,
2013-03-08,56.56,57.51,56.52,57.39,8157710,DIS,0.01899857954545455,
2013-03-11,57.39,57.75,57.34,57.66,7155409,DIS,0.004704652378463078,
2013-03-12,57.52,57.63,56.7,57.11,7159414,DIS,-0.009538674991328428,
2013-03-13,57.16,57.435,56.94,57.34,5209862,DIS,0.004027315706531325,
2013-03-14,57.35,57.82,57.27,57.75,5915351,DIS,0.007150331356818915,
2013-03-15,57.5,57.78,57.34,57.58,13796440,DIS,-0.002943722943722973,
2013-03-18,57.08,57.19,56.75,56.83,5125876,DIS,-0.013025356026398056,
2013-03-19,56.83,57.05,55.76,56.31,8883930,DIS,-0.009150096779869717,
2013-03-20,56.59,57.1499,56.54,56.94,6018271,DIS,0.011188066062866195,
2013-03-21,56.74,56.85,56.16,56.31,5168737,DIS,-0.01106427818756578,
2013-03-22,56.65,57.1,56.515,56.78,5489554,DIS,0.00834665245959863,55.78033333333334
2013-03-25,57.0,57.108,55.865,56.21,7881490,DIS,-0.010038746037337095,55.831999999999994
2013-03-26,56.41,56.73,56.33,56.63,4675601,DIS,0.007471980074719831,55.894666666666666
2013-03-27,56.34,56.5,55.99,56.47,6392319,DIS,-0.0028253575843193305,55.94533333333334
2013-03-28,56.59,56.94,56.5,56.8,6705892,DIS,0.005843810873029897,56.00666666666667
2013-04-01,56.89,57.14,56.15,56.69,6728034,DIS,-0.0019366197183098492,56.067
2013-04-02,57.04,57.46,56.96,57.46,6574424,DIS,0.013582642441347737,56.12866666666667
2013-04-03,57.64,57.75,57.0,57.25,8102375,DIS,-0.003654716324399597,56.17933333333334
2013-04-04,57.28,57.72,57.18,57.59,6413435,DIS,0.00593886462882102,56.278999999999996
2013-04-05,56.89,57.73,56.37,57.7,7042202,DIS,0.0019100538287897104,56.39666666666667
2013-04-08,57.83,58.82,57.76,58.82,9796152,DIS,0.019410745233968758,56.549
2013-04-09,58.72,59.24,58.52,59.14,8864758,DIS,0.00544032641958518,56.734
2013-04-10,59.37,60.14,59.34,60.11,8438296,DIS,0.016401758539059837,56.941
2013-04-11,60.11,60.67,60.02,60.55,9241626,DIS,0.007319913491931421,57.14333333333333
2013-04-12,60.29,60.73,60.27,60.55,8533853,DIS,0.0,57.342000000000006
2013-04-15,60.26,60.67,58.84,58.88,12027906,DIS,-0.02758051197357547,57.46033333333333
2013-04-16,59.26,60.75,59.08,60.75,10307479,DIS,0.031759510869565175,57.62533333333333
2013-04-17,60.35,60.685,60.02,60.68,11531693,DIS,-0.0011522633744856013,57.76533333333334
2013-04-18,60.64,60.67,59.88,59.99,9203177,DIS,-0.011371127224785725,57.88633333333334
2013-04-19,60.25,61.56,60.25,61.56,9488269,DIS,0.026171028504750796,58.061
2013-04-22,61.59,62.1,61.15,62.01,6307788,DIS,0.0073099415204677665,58.215
2013-04-23,62.4,62.62,61.54,62.59,6261121,DIS,0.009353330108047177,58.37933333333333
2013-04-24,62.71,62.9,61.59,61.94,7335400,DIS,-0.010385045534430511,58.540333333333336
2013-04-25,62.01,62.17,61.55,62.0,6683979,DIS,0.0009686793671295169,58.69566666666666
2013-04-26,62.06,62.285,61.55,61.87,7038566,DIS,-0.002096774193548428,58.833
2013-04-29,62.82,63.25,62.59,63.0,7205960,DIS,0.018264102149668702,59.01366666666667
2013-04-30,62.93,63.08,62.44,62.84,8529501,DIS,-0.0025396825396824855,59.214000000000006
2013-05-01,62.88,63.5006,62.8,63.21,7468820,DIS,0.005887969446212562,59.444
2013-05-02,63.4,63.93,63.11,63.88,5249288,DIS,0.010599588672678401,59.675333333333334
2013-05-03,64.1801,64.85,63.875,64.8,9196237,DIS,0.014402003757044373,59.958333333333336
2013-05-06,65.09,65.59,64.51,65.06,10232888,DIS,0.004012345679012425,60.23433333333333
2013-05-07,65.44,66.09,64.77,66.07,14407218,DIS,0.01552413157085753,60.563
2013-05-08,66.0,66.0,64.56,65.99,17802902,DIS,-0.0012108369910700514,60.875
2013-05-09,65.7301,67.11,65.51,66.67,11324407,DIS,0.010304591604788709,61.215
2013-05-10,66.69,67.43,66.34,67.2,8653958,DIS,0.007949602519874022,61.56166666666666
2013-05-13,66.96,67.52,66.92,67.32,5194936,DIS,0.001785714285714142,61.916000000000004
2013-05-14,67.43,67.4929,66.98,67.47,9676356,DIS,0.00222816399286996,62.24966666666667
2013-05-15,67.42,67.79,67.18,67.67,7925722,DIS,0.002964280420927862,62.596999999999994
2013-05-16,67.62,67.89,66.2,66.47,8472812,DIS,-0.017733116595241655,62.893
2013-05-17,66.16,66.58,65.68,66.58,9161351,DIS,0.0016548819016097402,63.18899999999999
2013-05-20,66.58,66.6,66.05,66.12,5893353,DIS,-0.006908981676178939,63.43233333333333
2013-05-21,66.35,66.4,65.71,65.83,7359058,DIS,-0.004385964912280796,63.65533333333333
2013-05-22,65.76,66.7101,65.265,65.57,8144063,DIS,-0.003949567066686999,63.837333333333326
2013-05-23,64.87,65.44,64.24,65.23,7517695,DIS,-0.005185298154643728,63.99333333333333
2013-05-24,64.75,65.53,64.39,65.49,8846052,DIS,0.003985896060094908,64.158
2013-05-28,65.98,66.76,65.92,66.69,8279038,DIS,0.018323408153916674,64.41833333333334
2013-05-29,66.37,66.48,65.74,66.26,6954404,DIS,-0.006447743289848443,64.602
2013-05-30,66.44,67.11,64.32,64.65,13052538,DIS,-0.024298219136734068,64.73433333333334
2013-05-31,64.57,65.03,63.07,63.08,11281989,DIS,-0.024284609435421614,64.83733333333333
2013-06-03,63.06,63.82,62.53,63.8,8706952,DIS,0.011414077362079882,64.91199999999999
2013-06-04,63.93,64.93,63.86,64.35,8147696,DIS,0.00862068965517237,64.99
2013-06-05,64.05,64.12,62.8,63.12,8892949,DIS,-0.019114219114219066,65.00766666666667
2013-06-06,63.1,63.32,62.04,63.14,8663655,DIS,0.00031685678073515726,65.04766666666667
2013-06-07,63.63,64.87,63.25,64.85,7610904,DIS,0.02708267342413674,65.14266666666667
2013-06-10,64.91,64.97,63.7,63.83,6729481,DIS,-0.015728604471858074,65.208
2013-06-11,63.32,64.3,62.97,63.8,6454788,DIS,-0.00046999843333857337,65.23466666666667
2013-06-12,64.32,64.45,62.865,62.99,7662841,DIS,-0.012695924764890208,65.23966666666666
2013-06-13,62.99,64.4,62.52,64.3,5584275,DIS,0.02079695189712645,65.276
2013-06-14,64.01,64.43,63.63,63.8,5311740,DIS,-0.007776049766718507,65.27333333333334
2013-06-17,64.3,65.125,64.25,64.49,6755060,DIS,0.010815047021943539,65.263
2013-06-18,64.61,65.49,64.56,65.29,5234787,DIS,0.012405024034734244,65.27066666666666
2013-06-19,65.19,65.55,64.33,64.33,6871351,DIS,-0.014703629958646162,65.21266666666666
2013-06-20,63.22,63.515,61.82,61.98,12262997,DIS,-0.03653039017565679,65.079
2013-06-21,62.62,63.08,61.82,62.73,11892309,DIS,0.012100677637947725,64.94766666666666
2013-06-24,62.25,62.99,61.82,62.44,6494408,DIS,-0.004622987406344638,64.789
2013-06-25,62.88,63.1,62.5,62.57,6777687,DIS,0.0020819987187700602,64.63066666666666
2013-06-26,62.95,63.46,62.75,63.21,5721661,DIS,0.01022854403068564,64.48866666666666
2013-06-27,63.65,63.965,63.45,63.72,4877613,DIS,0.008068343616516342,64.357
2013-06-28,63.76,64.52,63.15,63.15,10567010,DIS,-0.008945386064030137,64.24633333333334
2013-07-01,63.84,64.92,63.63,63.93,8221603,DIS,0.012351543942992892,64.158
2013-07-02,63.83,64.14,63.075,63.26,7691561,DIS,-0.010480212732676391,64.06266666666666
