date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,70.8199,71.53,70.78,71.47,1396456,DISCA,,
2013-02-11,71.45,72.1,70.61,70.95,1415126,DISCA,-0.007275780047572352,
2013-02-12,71.12,71.12,70.6,71.03,1224482,DISCA,0.0011275546159266849,
2013-02-13,71.34,72.04,70.87,71.52,1941043,DISCA,0.006898493594255876,
2013-02-14,68.65,71.295,67.89,70.84,2480902,DISCA,-0.009507829977628533,
2013-02-15,71.16,71.2899,69.61,70.3,1814682,DISCA,-0.0076228119706381455,
2013-02-19,70.55,70.65,69.87,70.63,936622,DISCA,0.0046941678520625646,
2013-02-20,70.76,71.16,69.61,69.67,996615,DISCA,-0.013591958091462464,
2013-02-21,69.63,69.81,68.58,68.71,1427627,DISCA,-0.013779245012200488,
2013-02-22,69.88,70.52,68.82,70.47,1233741,DISCA,0.0256149032164169,
2013-02-25,70.93,71.04,69.9,69.9,1211617,DISCA,-0.008088548318433279,
2013-02-26,70.04,71.01,69.785,70.96,1598610,DISCA,0.015164520743919713,
2013-02-27,70.93,73.4,70.85,73.31,1509508,DISCA,0.03311724915445333,
2013-02-28,73.21,73.69,73.04,73.34,1372676,DISCA,0.0004092211158095913,
2013-03-01,72.93,74.99,72.8,74.88,1670389,DISCA,0.020998091082628744,
2013-03-04,74.86,75.685,74.55,75.59,1404061,DISCA,0.009481837606837714,
2013-03-05,76.04,76.62,75.78,76.6,1609970,DISCA,0.013361555761343973,
2013-03-06,76.74,77.29,74.96,75.35,2546672,DISCA,-0.016318537859007835,
2013-03-07,75.4,77.24,75.31,77.16,3290863,DISCA,0.024021234240212373,
2013-03-08,77.4,78.41,77.27,77.9,1550052,DISCA,0.009590461378952943,
2013-03-11,77.86,78.09,77.52,77.8,1372909,DISCA,-0.0012836970474969002,
2013-03-12,77.8,78.08,77.17,77.91,1093532,DISCA,0.0014138817480719723,
2013-03-13,78.12,78.34,77.5,78.28,956788,DISCA,0.004749069439096452,
2013-03-14,78.35,79.08,78.35,78.72,941632,DISCA,0.005620848237097569,
2013-03-15,78.33,78.66,77.25,77.32,3420886,DISCA,-0.017784552845528528,
2013-03-18,76.61,77.67,75.67,77.41,1698318,DISCA,0.0011639937920331534,
2013-03-19,77.73,78.09,76.85,77.78,1490168,DISCA,0.004779744219093199,
2013-03-20,78.43,79.42,78.39,78.96,1628412,DISCA,0.015170995114425207,
2013-03-21,78.64,78.99,77.74,78.41,1307126,DISCA,-0.006965552178318101,
