date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,65.4,65.72,65.13,65.4,1201175,DLR,,
2013-02-11,65.4,65.44,64.71,65.21,1066929,DLR,-0.0029051987767585922,
2013-02-12,65.98,66.43,65.0,65.69,1378627,DLR,0.007360834227879222,
2013-02-13,65.87,66.02,65.35,65.5,870097,DLR,-0.002892373268381759,
2013-02-14,65.15,65.99,65.1,65.37,1463292,DLR,-0.0019847328244274117,
2013-02-15,65.46,65.48,62.75,63.65,5571967,DLR,-0.02631176380602732,
2013-02-19,63.77,64.68,63.0,64.62,2387860,DLR,0.015239591516103787,
2013-02-20,64.44,66.3,64.4,65.97,2378021,DLR,0.020891364902506874,
2013-02-21,65.65,66.3,65.49,66.17,2044052,DLR,0.003031681067151779,
2013-02-22,66.16,67.26,66.03,67.11,1602459,DLR,0.014205833459271539,
2013-02-25,67.06,67.52,66.49,66.51,1141177,DLR,-0.008940545373267685,
2013-02-26,66.75,67.1994,65.78,65.92,1106043,DLR,-0.008870846489249788,
2013-02-27,66.09,66.36,65.825,66.13,1059854,DLR,0.0031856796116503903,
2013-02-28,66.42,67.29,65.98,66.98,1391563,DLR,0.012853470437018125,
2013-03-01,66.86,67.77,66.65,67.66,1351009,DLR,0.01015228426395928,
2013-03-04,67.47,68.28,67.44,67.8,1000683,DLR,0.0020691693762932392,
2013-03-05,67.92,68.245,67.85,68.01,972133,DLR,0.0030973451327434803,
2013-03-06,68.04,68.64,67.56,68.25,1281633,DLR,0.0035288928098808243,
2013-03-07,68.25,68.68,67.77,68.03,1043299,DLR,-0.003223443223443207,
2013-03-08,68.21,68.52,67.81,68.52,1501067,DLR,0.007202704689107671,
2013-03-11,68.26,68.66,68.22,68.66,1286522,DLR,0.0020431990659661495,
2013-03-12,68.73,68.75,68.16,68.37,927038,DLR,-0.0042237110399066715,
2013-03-13,67.42,68.07,67.175,68.0,1028376,DLR,-0.005411730291063398,
2013-03-14,68.0,68.38,67.912,68.3,909292,DLR,0.004411764705882311,
2013-03-15,68.08,68.16,67.17,67.45,1806529,DLR,-0.012445095168374734,
2013-03-18,67.1,67.62,66.69,67.03,1543910,DLR,-0.00622683469236474,
2013-03-19,67.15,67.15,65.81,66.21,1309251,DLR,-0.012233328360435737,
2013-03-20,66.37,66.5599,65.53,65.9,1352033,DLR,-0.004682072194532368,
2013-03-21,66.04,66.9,65.99,66.15,947029,DLR,0.003793626707132018,
2013-03-22,66.4,66.485,65.8001,65.9,949707,DLR,-0.0037792894935752075,66.68233333333333
2013-03-25,66.25,66.68,66.09,66.59,929048,DLR,0.010470409711684335,66.722
2013-03-26,66.93,67.08,66.64,67.08,1172325,DLR,0.007358462231566224,66.78433333333334
2013-03-27,67.0,67.17,66.43,67.01,1193002,DLR,-0.0010435301132974534,66.82833333333333
2013-03-28,67.14,67.3,65.92,66.91,2610282,DLR,-0.001492314579913573,66.87533333333333
2013-04-01,66.64,66.8,65.68,66.5,1565029,DLR,-0.006127634135405719,66.913
