date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,70.9,71.35,70.77,71.13,921228,DOV,,
2013-02-11,71.1,71.56,71.01,71.06,1079451,DOV,-0.0009841135948262785,
2013-02-12,71.16,71.7,71.04,71.46,1121815,DOV,0.005629045876723775,
2013-02-13,71.46,71.83,71.23,71.61,948596,DOV,0.002099076406381272,
2013-02-14,71.48,71.89,71.29,71.86,1049107,DOV,0.003491132523390588,
2013-02-15,71.91,72.824,71.87,72.56,1544769,DOV,0.009741163373225756,
2013-02-19,72.8,73.25,72.331,72.86,1081771,DOV,0.004134509371554536,
2013-02-20,72.97,73.13,72.16,72.22,1764561,DOV,-0.008783969256107612,
2013-02-21,71.85,72.04,71.3,71.62,1557213,DOV,-0.008307947936859517,
2013-02-22,71.93,73.45,71.9,73.12,2486134,DOV,0.020943870427254957,
2013-02-25,73.43,73.64,71.38,71.4,1842897,DOV,-0.0235229759299781,
2013-02-26,71.51,72.6197,71.13,72.25,1292056,DOV,0.011904761904761824,
2013-02-27,72.36,73.85,72.04,73.62,1047698,DOV,0.01896193771626304,
2013-02-28,73.57,73.99,73.17,73.35,1272292,DOV,-0.003667481662591826,
2013-03-01,72.89,73.42,71.93,72.96,1341292,DOV,-0.005316973415132932,
2013-03-04,72.65,72.74,71.57,72.37,1521905,DOV,-0.008086622807017397,
2013-03-05,72.76,73.8,72.76,73.47,790677,DOV,0.01519966837087183,
2013-03-06,73.69,73.72,73.12,73.28,678152,DOV,-0.002586089560364744,
2013-03-07,73.39,73.676,72.965,73.1,900653,DOV,-0.0024563318777293505,
2013-03-08,73.6,73.82,73.15,73.75,718162,DOV,0.008891928864569161,
2013-03-11,73.71,73.99,73.43,73.89,686511,DOV,0.0018983050847457704,
2013-03-12,73.76,73.76,72.83,73.21,671767,DOV,-0.009202869129787614,
2013-03-13,73.29,73.77,72.89,73.7,1132020,DOV,0.0066930747165689,
2013-03-14,73.9,74.62,73.71,74.52,923687,DOV,0.011126187245590138,
2013-03-15,74.25,74.57,73.84,74.08,1233477,DOV,-0.0059044551798174685,
2013-03-18,73.31,74.45,73.2112,73.89,583469,DOV,-0.0025647948164146564,
2013-03-19,73.99,74.3,73.05,73.58,860973,DOV,-0.0041954256326972835,
2013-03-20,73.88,74.01,73.0,73.38,1403860,DOV,-0.0027181299266105306,
2013-03-21,73.74,73.86,72.14,72.35,1687925,DOV,-0.014036522213137111,
2013-03-22,72.4,72.86,72.0,72.79,1488878,DOV,0.006081548030407905,72.81466666666667
2013-03-25,73.09,73.36,71.64,72.22,1505432,DOV,-0.007830745981590979,72.85099999999998
2013-03-26,72.72,72.98,72.415,72.76,1024674,DOV,0.007477153143173723,72.90766666666667
2013-03-27,72.36,72.39,71.64,72.34,999112,DOV,-0.0057724024189115125,72.93699999999998
2013-03-28,72.34,72.96,72.12,72.88,1532072,DOV,0.007464749792645729,72.97933333333334
2013-04-01,72.76,72.97,71.52,71.77,739010,DOV,-0.015230515916575186,72.97633333333333
