date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,55.84,56.455,54.78,55.56,2228853,EFX,,
2013-02-11,55.32,55.55,54.68,54.98,1318592,EFX,-0.010439164866810752,
2013-02-12,55.08,55.15,54.15,54.32,1205178,EFX,-0.012004365223717655,
2013-02-13,54.37,54.49,53.73,54.01,1381949,EFX,-0.005706921944035388,
2013-02-14,53.93,54.517,53.641,54.25,716891,EFX,0.004443621551564562,
2013-02-15,54.39,55.295,54.19,55.17,1035030,EFX,0.01695852534562215,
2013-02-19,55.16,56.26,53.47,55.8,1215607,EFX,0.011419249592169575,
2013-02-20,55.74,56.146,54.04,54.05,1580616,EFX,-0.031362007168458786,
2013-02-21,54.01,54.31,53.6521,53.98,1451823,EFX,-0.0012950971322849268,
2013-02-22,54.17,54.63,53.94,54.15,762232,EFX,0.0031493145609485314,
2013-02-25,54.37,54.71,53.13,53.13,1110506,EFX,-0.018836565096952834,
2013-02-26,53.28,53.58,52.79,53.33,907293,EFX,0.0037643515904384663,
2013-02-27,53.53,54.42,53.33,54.41,1120597,EFX,0.020251265704106475,
2013-02-28,54.4,55.13,54.19,55.12,1303900,EFX,0.013049071861790128,
2013-03-01,54.79,56.13,54.77,55.86,1431187,EFX,0.013425253991291764,
2013-03-04,55.96,56.46,55.68,56.28,1173617,EFX,0.007518796992481234,
2013-03-05,56.35,57.02,56.275,56.67,977908,EFX,0.006929637526652462,
2013-03-06,56.95,57.16,56.76,56.82,727948,EFX,0.0026469031233456604,
2013-03-07,56.84,56.865,56.34,56.5,679174,EFX,-0.0056318197817669885,
2013-03-08,56.76,56.89,55.95,56.82,897878,EFX,0.005663716814159297,
2013-03-11,56.83,56.9825,56.47,56.72,882968,EFX,-0.0017599436818022073,
2013-03-12,56.73,56.85,56.12,56.54,1132359,EFX,-0.0031734837799717863,
2013-03-13,56.43,56.71,55.39,56.5,984492,EFX,-0.0007074637424831827,
2013-03-14,56.72,56.84,56.38,56.49,913967,EFX,-0.00017699115044244267,
2013-03-15,56.28,56.63,56.1,56.43,1381977,EFX,-0.001062134891131214,
2013-03-18,56.01,56.45,55.62,56.17,977306,EFX,-0.004607478291688782,
2013-03-19,56.36,56.78,55.88,56.23,807783,EFX,0.001068185864340309,
2013-03-20,56.36,57.23,56.07,56.86,716382,EFX,0.011203983638627114,
2013-03-21,56.56,56.83,56.42,56.61,456703,EFX,-0.004396763981709462,
2013-03-22,56.8,56.8,56.215,56.41,465220,EFX,-0.0035329447094153477,55.539
2013-03-25,56.49,56.6,56.05,56.24,879139,EFX,-0.003013650062045641,55.561666666666675
2013-03-26,56.48,56.53,56.28,56.46,527913,EFX,0.003911806543385471,55.611
2013-03-27,56.18,56.7,55.83,56.63,516529,EFX,0.0030109812256465056,55.688
2013-03-28,56.59,57.675,56.44,57.59,792142,EFX,0.016952145505915606,55.80733333333333
2013-04-01,57.46,57.63,56.34,56.74,416603,EFX,-0.014759506858829681,55.89033333333334
2013-04-02,56.99,57.41,56.59,57.36,738241,EFX,0.010927035600986913,55.96333333333334
2013-04-03,57.27,57.39,56.18,56.21,749410,EFX,-0.020048814504881426,55.977000000000004
2013-04-04,56.35,56.71,56.0,56.69,597865,EFX,0.008539405799679716,56.06499999999999
2013-04-05,56.04,56.31,55.87,56.28,586170,EFX,-0.007232316105133121,56.141666666666666
2013-04-08,56.22,57.02,56.22,56.97,668800,EFX,0.012260127931769681,56.23566666666667
2013-04-09,57.14,58.17,57.13,57.96,557080,EFX,0.01737756714060035,56.39666666666666
2013-04-10,58.08,59.08,57.73,58.84,779159,EFX,0.015182884748102183,56.580333333333336
2013-04-11,58.81,59.37,58.59,59.12,808766,EFX,0.004758667573079436,56.73733333333333
2013-04-12,58.95,59.2,58.7,58.95,709285,EFX,-0.00287550744248976,56.865
2013-04-15,58.69,58.85,57.81,57.84,873375,EFX,-0.01882951653944019,56.931000000000004
2013-04-16,58.33,58.64,57.97,58.48,763027,EFX,0.011065006915629208,57.00433333333333
2013-04-17,58.26,58.725,57.88,58.59,852089,EFX,0.001880984952120495,57.068333333333335
2013-04-18,58.69,58.9,58.24,58.76,762275,EFX,0.002901519030551196,57.13300000000001
2013-04-19,58.89,58.98,57.71,58.62,1242344,EFX,-0.0023825731790333656,57.20366666666667
2013-04-22,58.7,59.61,58.14,59.26,1136633,EFX,0.010917775503241224,57.285
2013-04-23,59.38,60.11,58.14,59.94,1115154,EFX,0.011474856564292943,57.39233333333333
2013-04-24,60.25,60.315,59.85,59.92,1379406,EFX,-0.0003336670003336006,57.504999999999995
2013-04-25,60.34,62.0,60.34,61.63,949930,EFX,0.02853805073431243,57.676
2013-04-26,61.84,61.842,61.241,61.33,551849,EFX,-0.004867759208177905,57.837333333333326
2013-04-29,61.35,61.4,60.66,60.92,806994,EFX,-0.006685145931844066,57.987
2013-04-30,60.94,61.34,60.76,61.2,1274554,EFX,0.00459619172685491,58.15466666666667
2013-05-01,60.99,61.71,60.99,61.34,973296,EFX,0.0022875816993464144,58.325
2013-05-02,61.37,61.72,61.02,61.43,911323,EFX,0.0014672318226279148,58.477333333333334
2013-05-03,61.91,62.81,61.75,62.14,978931,EFX,0.01155787074719194,58.66166666666666
2013-05-06,62.05,62.58,62.014,62.58,576955,EFX,0.007080785323463111,58.867333333333335
2013-05-07,62.64,63.24,62.6125,62.99,498923,EFX,0.006551613934164329,59.092333333333336
2013-05-08,62.91,63.12,62.675,62.82,598922,EFX,-0.002698841085886676,59.30433333333334
2013-05-09,62.92,63.52,62.775,63.38,651436,EFX,0.008914358484559093,59.529333333333334
2013-05-10,63.28,63.91,63.25,63.81,708292,EFX,0.006784474597664874,59.73666666666667
2013-05-13,63.62,63.87,63.3,63.5,465914,EFX,-0.004858172700203766,59.962
2013-05-14,63.5,63.73,63.4,63.68,830640,EFX,0.002834645669291334,60.172666666666665
2013-05-15,63.52,63.76,63.52,63.7,1119815,EFX,0.0003140703517588431,60.42233333333333
2013-05-16,63.57,63.73,63.08,63.15,566005,EFX,-0.008634222919937273,60.63766666666667
2013-05-17,63.08,63.16,62.34,62.88,982362,EFX,-0.004275534441805163,60.85766666666667
2013-05-20,62.45,62.45,61.22,62.28,728995,EFX,-0.00954198473282445,61.03466666666667
2013-05-21,62.44,62.96,62.34,62.67,644797,EFX,0.006262042389210029,61.19166666666667
2013-05-22,62.38,62.6799,61.31,61.6,672513,EFX,-0.017073559917025694,61.28366666666667
2013-05-23,61.03,61.615,60.63,61.19,579160,EFX,-0.006655844155844215,61.352666666666664
2013-05-24,60.91,61.23,60.59,61.21,412002,EFX,0.0003268507926132232,61.428
2013-05-28,61.63,62.09,61.321,61.66,603489,EFX,0.007351739911779051,61.55533333333334
