date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,214.99,220.06,214.99,219.71,606157,EQIX,,
2013-02-11,217.77,220.0,217.5,218.03,447442,EQIX,-0.007646443038550848,
2013-02-12,216.32,218.74,212.82,214.53,2076374,EQIX,-0.016052836765582716,
2013-02-13,212.7,215.07,208.42,213.02,2106008,EQIX,-0.007038642614086566,
2013-02-14,223.31,231.26,217.14,226.0,2639364,EQIX,0.06093324570462862,
2013-02-15,223.37,228.0,223.37,224.53,1259394,EQIX,-0.006504424778761057,
2013-02-19,223.34,223.81,217.0,221.082,1685820,EQIX,-0.015356522513695308,
2013-02-20,221.63,221.63,215.545,215.62,888411,EQIX,-0.02470576528166015,
2013-02-21,215.03,215.3999,211.8,214.01,836586,EQIX,-0.007466839810778284,
2013-02-22,213.01,214.88,206.62,214.21,1686835,EQIX,0.0009345357693566519,
2013-02-25,215.28,215.74,210.05,210.17,520724,EQIX,-0.018859997199010412,
2013-02-26,210.42,214.45,210.42,213.09,602746,EQIX,0.013893514773754657,
2013-02-27,213.26,214.71,212.26,212.67,717554,EQIX,-0.0019709981697874886,
2013-02-28,212.5,214.68,210.25,211.55,616393,EQIX,-0.005266375135185857,
2013-03-01,210.17,213.13,207.81,212.94,750511,EQIX,0.006570550697234632,
2013-03-04,210.9,213.6,209.49,213.05,764559,EQIX,0.0005165774396544268,
2013-03-05,213.31,218.49,213.29,217.4,796709,EQIX,0.020417742314010768,
2013-03-06,217.29,218.22,216.38,217.57,528474,EQIX,0.0007819687212510925,
2013-03-07,218.0,218.5,213.85,216.07,492967,EQIX,-0.0068943328583904034,
2013-03-08,216.62,217.58,215.32,217.08,620105,EQIX,0.004674411070486506,
2013-03-11,217.45,218.86,216.37,217.43,241149,EQIX,0.0016123088262391483,
2013-03-12,216.33,217.58,214.032,215.86,737074,EQIX,-0.007220714712781093,
2013-03-13,215.76,215.99,212.7,215.31,406259,EQIX,-0.002547947743908141,
2013-03-14,216.36,216.36,213.01,215.05,485977,EQIX,-0.0012075611908410706,
2013-03-15,214.77,215.54,209.58,210.17,1527118,EQIX,-0.022692397116949658,
