date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,55.27,55.92,55.12,55.74,3413611,ESRX,,
2013-02-11,56.04,56.04,54.88,55.05,3512527,ESRX,-0.01237890204520999,
2013-02-12,55.01,55.29,54.24,54.34,5723673,ESRX,-0.012897366030880904,
2013-02-13,54.35,55.47,54.35,55.43,4581808,ESRX,0.020058888479941042,
2013-02-14,55.26,55.88,55.1,55.1,7916922,ESRX,-0.005953454807865746,
2013-02-15,55.17,55.6,54.48,55.57,9793567,ESRX,0.008529945553539,
2013-02-19,58.3,59.21,55.49,56.98,16593562,ESRX,0.025373402915241976,
2013-02-20,56.76,58.08,56.76,57.295,8679831,ESRX,0.005528255528255613,
2013-02-21,57.21,57.64,56.21,56.27,7981511,ESRX,-0.017889868225848652,
2013-02-22,56.54,56.57,55.48,55.63,8332003,ESRX,-0.011373733783543638,
2013-02-25,56.0,56.48,55.17,55.18,8593209,ESRX,-0.008089160524896688,
2013-02-26,55.27,55.74,54.67,55.12,9532701,ESRX,-0.0010873504893077614,
2013-02-27,54.87,55.625,54.67,55.41,8056077,ESRX,0.005261248185776473,
2013-02-28,55.32,57.24,55.32,56.93,8627613,ESRX,0.027431871503338805,
2013-03-01,56.56,57.685,56.16,57.36,5839690,ESRX,0.007553135429474789,
2013-03-04,57.27,57.89,57.14,57.88,3598927,ESRX,0.009065550906555146,
2013-03-05,57.97,58.395,57.38,58.11,5779746,ESRX,0.003973738769868639,
2013-03-06,58.32,58.74,57.975,58.17,3588259,ESRX,0.0010325245224574475,
2013-03-07,58.5,59.36,58.18,58.69,6218792,ESRX,0.008939315798521506,
2013-03-08,58.97,59.05,58.15,58.81,3729415,ESRX,0.002044641335832417,
2013-03-11,58.68,59.61,58.5,59.35,4602146,ESRX,0.009182111885733703,
2013-03-12,59.094,59.59,58.99,59.42,3943192,ESRX,0.0011794439764111252,
2013-03-13,59.6,59.84,59.45,59.54,5496834,ESRX,0.0020195220464489638,
2013-03-14,59.68,59.84,58.09,58.59,10315978,ESRX,-0.01595566006046348,
2013-03-15,58.68,60.08,58.65,59.77,10869953,ESRX,0.020139955623826585,
2013-03-18,59.31,59.76,58.96,59.19,5032996,ESRX,-0.009703864815124735,
2013-03-19,59.13,59.5,58.52,59.18,4538221,ESRX,-0.00016894745734073342,
2013-03-20,59.6,59.87,59.02,59.19,4093866,ESRX,0.00016897600540719855,
2013-03-21,58.79,59.35,58.25,58.34,4083740,ESRX,-0.014360533873965102,
2013-03-22,58.54,58.89,57.76,57.93,3984059,ESRX,-0.007027768255056628,57.31883333333334
2013-03-25,58.07,58.48,57.41,57.74,4037549,ESRX,-0.0032798204729845974,57.3855
2013-03-26,57.98,58.515,57.98,58.41,3403578,ESRX,0.011603740907516358,57.497499999999995
2013-03-27,58.31,58.33,57.4,58.06,3048881,ESRX,-0.0059921246361923355,57.6215
