date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,35.75,35.8999,35.545,35.64,11768284,FCX,,
2013-02-11,35.5,35.55,35.1,35.33,8358405,FCX,-0.00869809203142543,
2013-02-12,35.32,35.89,35.12,35.67,8928494,FCX,0.009623549391452121,
2013-02-13,35.78,35.93,35.49,35.64,8276305,FCX,-0.0008410428931875844,
2013-02-14,35.6,35.86,35.405,35.53,7875507,FCX,-0.003086419753086404,
2013-02-15,35.59,35.64,34.87,35.04,13721364,FCX,-0.0137911623979736,
2013-02-19,34.98,35.17,34.13,34.26,17647213,FCX,-0.022260273972602773,
2013-02-20,34.06,34.09,32.01,32.22,34357482,FCX,-0.05954465849387038,
2013-02-21,32.04,32.925,31.69,32.34,20612476,FCX,0.003724394785847441,
2013-02-22,32.6,32.67,31.65,32.45,18165996,FCX,0.003401360544217669,
2013-02-25,32.59,32.63,31.46,31.51,16252218,FCX,-0.0289676425269646,
2013-02-26,31.94,32.0,31.35,31.93,15395016,FCX,0.013329101872421395,
2013-02-27,31.94,32.41,31.9,32.27,10860675,FCX,0.010648293141246584,
2013-02-28,32.23,32.2795,31.73,31.92,11964774,FCX,-0.010845986984815661,
2013-03-01,31.67,31.74,31.32,31.49,14303795,FCX,-0.013471177944862257,
2013-03-04,31.29,31.47,30.72,31.4,15435006,FCX,-0.0028580501746586174,
2013-03-05,31.69,32.2,31.5,31.54,15878965,FCX,0.004458598726114668,
2013-03-06,32.27,33.17,32.04,32.84,23476075,FCX,0.04121750158528866,
2013-03-07,32.92,33.2592,32.72,33.08,14525788,FCX,0.007308160779536993,
2013-03-08,33.49,33.49,33.0,33.28,13862480,FCX,0.006045949214026688,
2013-03-11,33.27,33.54,32.86,33.3,9577460,FCX,0.0006009615384614189,
2013-03-12,33.57,34.12,33.41,33.44,13245308,FCX,0.004204204204204222,
2013-03-13,33.41,33.53,32.91,33.08,11161029,FCX,-0.010765550239234433,
2013-03-14,32.9601,33.3509,32.77,33.16,10965680,FCX,0.0024183796856105896,
2013-03-15,33.55,34.08,33.53,33.8,15174103,FCX,0.019300361881785303,
2013-03-18,33.09,33.655,33.09,33.53,12663756,FCX,-0.007988165680473256,
2013-03-19,33.49,33.53,32.65,32.98,19425220,FCX,-0.016403220996123003,
2013-03-20,33.2,33.42,33.0,33.24,10973522,FCX,0.007883565797453158,
2013-03-21,33.06,33.28,32.9,32.99,10979033,FCX,-0.007521058965102286,
2013-03-22,33.14,33.3,32.86,33.0,8146211,FCX,0.00030312215822970626,33.263333333333335
2013-03-25,33.14,33.15,32.4205,32.59,11548822,FCX,-0.01242424242424232,33.16166666666667
2013-03-26,32.74,32.82,32.45,32.8,9952917,FCX,0.006443694384780415,33.07733333333333
2013-03-27,32.48,33.47,32.37,33.36,14497676,FCX,0.017073170731707388,33.00033333333333
2013-03-28,33.24,33.33,32.9,33.1,12298076,FCX,-0.007793764988009533,32.91566666666667
2013-04-01,32.99,33.015,32.11,32.38,12127402,FCX,-0.021752265861027156,32.81066666666667
2013-04-02,32.38,32.65,31.78,31.92,15543809,FCX,-0.014206300185299593,32.70666666666666
