date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,106.8,107.5,106.23,106.41,2101805,FDX,,
2013-02-11,106.01,106.37,105.48,106.01,1746041,FDX,-0.00375904520251848,
2013-02-12,106.09,106.48,105.58,106.12,2044439,FDX,0.0010376379586831378,
2013-02-13,106.12,106.64,105.56,106.16,1740007,FDX,0.0003769317753485869,
2013-02-14,105.85,106.86,105.44,106.56,1660557,FDX,0.003767897513187695,
2013-02-15,106.9,107.45,106.19,106.42,1595629,FDX,-0.0013138138138138191,
2013-02-19,106.61,107.39,106.41,107.33,1093909,FDX,0.008551024243563209,
2013-02-20,107.39,107.39,105.59,105.69,1472480,FDX,-0.01527997763905712,
2013-02-21,105.35,106.0763,104.2501,104.88,1730895,FDX,-0.0076639227930741065,
2013-02-22,105.13,105.82,104.88,105.82,899404,FDX,0.008962623951182282,
2013-02-25,106.33,107.0,103.1,103.11,1592865,FDX,-0.025609525609525553,
2013-02-26,103.68,103.95,102.72,103.16,2718501,FDX,0.00048491901852387893,
2013-02-27,102.7,106.12,102.33,105.74,2263909,FDX,0.025009693679720807,
2013-02-28,105.57,106.08,104.83,105.43,1691526,FDX,-0.002931719311518707,
2013-03-01,105.11,106.06,104.31,105.38,1449080,FDX,-0.0004742483164185845,
2013-03-04,105.28,105.88,104.6,105.8,940643,FDX,0.003985576010628219,
2013-03-05,106.83,109.11,106.75,107.91,1817887,FDX,0.019943289224952736,
2013-03-06,109.08,109.48,107.77,108.04,1716818,FDX,0.0012047076267260649,
2013-03-07,107.81,108.0,106.59,106.96,1746587,FDX,-0.009996297667530659,
2013-03-08,107.59,107.95,107.02,107.8,1195825,FDX,0.007853403141361289,
2013-03-11,107.69,109.66,106.27,107.41,1372747,FDX,-0.003617810760667909,
2013-03-12,107.48,107.68,106.0,106.43,1267671,FDX,-0.009123917698538216,
2013-03-13,106.53,108.2,106.48,107.87,1412771,FDX,0.013530019731278752,
2013-03-14,108.01,108.84,107.84,108.84,1449922,FDX,0.008992305552980428,
2013-03-15,108.62,109.12,108.045,109.07,2099835,FDX,0.0021131936787944666,
2013-03-18,107.83,108.41,106.85,107.29,1785270,FDX,-0.016319794627303447,
2013-03-19,107.4,107.98,106.0,106.46,2647483,FDX,-0.007736042501631209,
2013-03-20,102.0,102.5,98.82,99.13,11579659,FDX,-0.06885215104264511,
2013-03-21,98.78,98.99,95.3,96.5,9160608,FDX,-0.026530818117623277,
2013-03-22,97.02,98.9,96.99,98.48,5360219,FDX,0.02051813471502595,105.607
2013-03-25,98.51,98.66,96.08,97.02,2910211,FDX,-0.014825345247766124,105.29400000000001
2013-03-26,97.33,98.32,97.16,97.72,2534346,FDX,0.0072150072150072445,105.01766666666666
2013-03-27,97.29,97.6799,96.62,97.65,2335440,FDX,-0.0007163323782234259,104.73533333333333
2013-03-28,97.28,98.43,97.2,98.2,2219716,FDX,0.005632360471070119,104.47000000000001
2013-04-01,98.41,99.53,97.56,97.78,2050680,FDX,-0.004276985743380873,104.17733333333332
2013-04-02,97.8,98.22,96.82,97.12,1838871,FDX,-0.006749846594395547,103.86733333333333
2013-04-03,97.15,97.66,96.08,96.28,2932676,FDX,-0.00864909390444814,103.499
2013-04-04,96.53,97.25,95.96,95.98,2248905,FDX,-0.0031159119235562647,103.17533333333334
2013-04-05,94.91,95.85,94.2,95.5,2878278,FDX,-0.005001041883725818,102.86266666666667
2013-04-08,95.43,96.03,95.05,95.25,2032828,FDX,-0.002617801047120419,102.51033333333334
2013-04-09,95.29,95.815,94.67,95.34,2270579,FDX,0.0009448818897638153,102.25133333333333
2013-04-10,95.49,98.23,95.44,97.95,3138719,FDX,0.027375707992448074,102.07766666666666
2013-04-11,97.87,98.0,96.56,96.66,2035993,FDX,-0.013169984686064382,101.775
2013-04-12,96.47,96.939,95.86,96.33,1387355,FDX,-0.0034140285536933407,101.47166666666665
2013-04-15,95.59,96.09,94.26,94.71,3107469,FDX,-0.016817190906259778,101.116
