date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,40.13,40.22,39.82,40.22,2337633,FE,,
2013-02-11,40.18,40.28,39.86,40.25,5045863,FE,0.0007458975634013212,
2013-02-12,40.33,40.61,40.25,40.5,3786856,FE,0.006211180124223602,
2013-02-13,40.58,40.86,40.57,40.68,3353313,FE,0.0044444444444444375,
2013-02-14,40.58,40.86,40.34,40.49,3441389,FE,-0.00467059980334311,
2013-02-15,40.55,40.63,40.34,40.57,1903594,FE,0.001975796492961183,
2013-02-19,40.66,41.22,40.65,41.08,4148068,FE,0.0125708651713088,
2013-02-20,40.96,41.3,40.49,40.56,6617435,FE,-0.01265822784810117,
2013-02-21,40.55,40.62,39.88,39.9,4271114,FE,-0.016272189349112516,
2013-02-22,40.08,40.54,40.01,40.54,3856518,FE,0.01604010025062658,
2013-02-25,40.6,40.97,39.53,39.56,5605155,FE,-0.024173655648741906,
2013-02-26,39.55,39.63,38.2601,38.9,6490729,FE,-0.01668351870576349,
2013-02-27,38.98,39.51,38.98,39.45,2567840,FE,0.014138817480719905,
2013-02-28,39.51,39.75,39.15,39.48,3367883,FE,0.0007604562737641072,
2013-03-01,39.55,39.62,39.315,39.5,2955820,FE,0.0005065856129686709,
2013-03-04,39.51,39.96,39.4,39.86,1890907,FE,0.009113924050632898,
2013-03-05,39.91,40.15,39.84,40.06,2069781,FE,0.005017561465128019,
2013-03-06,40.15,40.5,39.98,40.5,2312846,FE,0.010983524712930546,
2013-03-07,40.53,40.76,40.5,40.76,3045369,FE,0.006419753086419704,
2013-03-08,40.8,41.0,40.64,40.9,2169602,FE,0.003434739941118758,
2013-03-11,40.81,41.17,40.78,41.17,1902454,FE,0.006601466992665114,
2013-03-12,41.22,41.32,40.99,41.17,2136244,FE,0.0,
2013-03-13,41.17,41.32,40.88,41.31,2489458,FE,0.0034005343696866786,
2013-03-14,41.4,41.68,41.175,41.68,3154488,FE,0.00895666908738798,
2013-03-15,41.33,42.12,41.31,42.1,4448345,FE,0.010076775431861845,
2013-03-18,41.79,42.047,41.681,41.75,2163233,FE,-0.008313539192399083,
2013-03-19,41.86,42.01,41.38,41.6,2911267,FE,-0.003592814371257451,
2013-03-20,41.69,42.09,41.69,41.95,5071189,FE,0.008413461538461573,
2013-03-21,41.84,41.94,41.48,41.48,2597220,FE,-0.011203814064362478,
2013-03-22,41.46,41.49,40.73,40.85,3174582,FE,-0.01518804243008668,40.62733333333333
2013-03-25,40.87,41.21,40.54,40.76,2455940,FE,-0.002203182374541087,40.64533333333333
2013-03-26,40.92,41.255,40.89,41.25,2095529,FE,0.012021589793915653,40.678666666666665
2013-03-27,41.06,41.7,41.0,41.65,2130872,FE,0.009696969696969662,40.717
2013-03-28,41.63,42.21,41.56,42.2,2534769,FE,0.01320528211284524,40.76766666666666
2013-04-01,42.2,42.2,41.91,42.04,1317357,FE,-0.0037914691943128835,40.81933333333333
2013-04-02,42.07,42.255,41.9,42.05,1812681,FE,0.00023786869647949598,40.86866666666666
2013-04-03,42.07,42.15,41.76,42.01,1802468,FE,-0.0009512485136741772,40.89966666666667
2013-04-04,42.04,43.05,42.03,43.03,2908738,FE,0.024279933349202646,40.982
2013-04-05,42.65,44.13,42.57,44.09,4865273,FE,0.02463397629560777,41.12166666666667
2013-04-08,44.25,44.41,43.795,44.4,2652207,FE,0.0070310728056247485,41.25033333333333
2013-04-09,44.39,44.96,44.17,44.71,5059911,FE,0.006981981981982034,41.422000000000004
2013-04-10,44.84,45.39,44.77,45.18,2680565,FE,0.010512189666741195,41.63133333333334
2013-04-11,45.25,45.81,45.18,45.47,2450296,FE,0.00641876936697652,41.832
2013-04-12,45.31,45.74,45.13,45.72,2159055,FE,0.005498130635583902,42.04
2013-04-15,45.56,45.83,45.05,45.05,1896292,FE,-0.014654418197725321,42.225
2013-04-16,45.34,45.84,44.93,45.8,2000246,FE,0.016648168701442843,42.423
2013-04-17,45.61,45.61,45.09,45.28,2761434,FE,-0.011353711790392927,42.597
