date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,37.21,37.62,37.155,37.62,1285725,FIS,,
2013-02-11,37.53,37.72,37.34,37.56,1134631,FIS,-0.0015948963317383086,
2013-02-12,36.04,37.1,35.21,36.5,3131016,FIS,-0.028221512247071413,
2013-02-13,36.63,37.495,36.6,37.2,2232532,FIS,0.0191780821917809,
2013-02-14,37.06,37.07,36.56,36.98,2471973,FIS,-0.005913978494623816,
2013-02-15,36.9,36.935,36.4,36.49,2522319,FIS,-0.013250405624661843,
2013-02-19,36.5,36.99,36.36,36.99,2959283,FIS,0.013702384214853383,
2013-02-20,36.97,37.49,36.92,37.26,2392383,FIS,0.007299270072992593,
2013-02-21,37.13,37.24,36.31,36.55,2744208,FIS,-0.019055287171229222,
2013-02-22,36.56,37.02,36.01,37.0,2180678,FIS,0.01231190150478804,
2013-02-25,37.0665,37.35,36.72,36.72,2393795,FIS,-0.007567567567567599,
2013-02-26,36.83,37.15,36.59,37.04,1938855,FIS,0.008714596949891075,
2013-02-27,37.1,37.87,36.985,37.7,2099303,FIS,0.01781857451403898,
2013-02-28,37.7,37.86,37.46,37.65,1850817,FIS,-0.001326259946949715,
2013-03-01,37.46,37.73,36.87,37.66,1426382,FIS,0.0002656042496679419,
2013-03-04,37.55,37.77,37.34,37.77,1044194,FIS,0.0029208709506109015,
2013-03-05,37.89,38.28,37.82,38.28,2044180,FIS,0.013502779984114322,
2013-03-06,38.39,38.44,38.14,38.41,1231114,FIS,0.0033960292580981046,
2013-03-07,37.5,37.93,37.05,37.53,6179288,FIS,-0.02291070033845341,
2013-03-08,37.72,38.16,37.52,37.91,4262957,FIS,0.010125233146815758,
2013-03-11,37.91,38.47,37.69,38.45,3797407,FIS,0.014244262727512697,
2013-03-12,38.29,38.64,38.14,38.48,2051479,FIS,0.000780234070220911,
2013-03-13,38.35,38.58,38.16,38.51,1459684,FIS,0.0007796257796258093,
2013-03-14,38.57,38.67,38.43,38.57,1727130,FIS,0.0015580368735393995,
2013-03-15,38.49,38.84,38.14,38.3,10386359,FIS,-0.007000259268861891,
2013-03-18,37.94,38.26,37.61,37.7,2464044,FIS,-0.015665796344647372,
2013-03-19,37.85,38.095,37.61,38.0,2090015,FIS,0.007957559681697536,
2013-03-20,38.31,38.51,38.1,38.44,1556166,FIS,0.011578947368420993,
2013-03-21,38.17,38.52,38.17,38.43,1930648,FIS,-0.000260145681581634,
2013-03-22,38.5,38.63,38.2,38.57,1016027,FIS,0.0036429872495446413,37.675666666666665
2013-03-25,38.75,39.14,38.385,38.49,1119778,FIS,-0.002074150894477529,37.70466666666667
2013-03-26,38.66,39.03,38.58,39.02,1882755,FIS,0.013769810340348172,37.75333333333333
2013-03-27,38.7,39.16,38.7,39.02,1148452,FIS,0.0,37.837333333333326
2013-03-28,39.09,39.66,38.965,39.62,1972423,FIS,0.01537672988211159,37.918
2013-04-01,39.71,39.875,39.495,39.7,4007022,FIS,0.002019182231196502,38.00866666666666
2013-04-02,39.76,39.99,39.7,39.98,3014803,FIS,0.007052896725440655,38.125
2013-04-03,40.05,40.29,39.685,39.9,4950955,FIS,-0.0020010005002500824,38.222
2013-04-04,39.89,40.0,39.58,39.73,1895099,FIS,-0.004260651629072724,38.30433333333334
2013-04-05,39.34,39.43,38.85,39.05,2039799,FIS,-0.017115529826327705,38.38766666666666
2013-04-08,38.99,39.16,38.88,39.16,1160302,FIS,0.00281690140845069,38.459666666666664
2013-04-09,39.27,39.27,38.91,39.09,1520701,FIS,-0.001787538304392063,38.53866666666667
2013-04-10,39.25,40.05,39.15,40.04,2642560,FIS,0.0243028907649014,38.63866666666666
2013-04-11,40.12,41.02,39.94,41.0,3823739,FIS,0.023976023976023997,38.748666666666665
2013-04-12,40.44,40.77,40.26,40.75,1944466,FIS,-0.006097560975609756,38.852
2013-04-15,40.58,40.59,40.11,40.12,2923083,FIS,-0.015460122699386566,38.934
2013-04-16,40.35,40.69,39.96,40.65,1801138,FIS,0.013210368893320069,39.029999999999994
2013-04-17,40.43,40.43,39.67,40.11,1465198,FIS,-0.013284132841328393,39.091
2013-04-18,40.16,40.28,39.71,40.25,1558707,FIS,0.003490401396160573,39.15233333333334
2013-04-19,40.48,40.94,40.27,40.81,1954360,FIS,0.013913043478260926,39.26166666666666
2013-04-22,40.86,41.06,40.32,40.6,1282946,FIS,-0.005145797598627808,39.35133333333333
2013-04-23,40.78,41.07,40.55,40.96,1467518,FIS,0.00886699507389161,39.434999999999995
2013-04-24,41.0,41.14,40.78,40.93,1398072,FIS,-0.0007324218750000278,39.516666666666666
2013-04-25,41.08,41.25,40.96,41.06,1232680,FIS,0.003176154409968301,39.60166666666667
2013-04-26,40.99,41.0608,40.715,40.79,2152705,FIS,-0.006575742815392185,39.675666666666665
2013-04-29,40.84,40.89,40.47,40.67,3689110,FIS,-0.002941897523902855,39.75466666666667
2013-04-30,42.0,42.3,40.56,42.05,3957617,FIS,0.03393164494713537,39.89966666666667
2013-05-01,41.93,42.44,41.84,42.1,2415655,FIS,0.001189060642092848,40.03633333333334
2013-05-02,42.09,42.45,42.07,42.33,1842180,FIS,0.005463182897862158,40.166000000000004
2013-05-03,42.5,42.95,42.43,42.72,1547299,FIS,0.00921332388377039,40.309
2013-05-06,42.81,42.81,42.42,42.54,1010993,FIS,-0.0042134831460674095,40.44133333333333
2013-05-07,42.55,42.725,42.33,42.63,1149158,FIS,0.002115655853314608,40.57933333333334
2013-05-08,42.63,43.69,42.52,43.57,2633053,FIS,0.022050199390100812,40.731
2013-05-09,43.43,44.0,43.37,43.79,1903798,FIS,0.005049345880192767,40.89
2013-05-10,43.81,44.0,43.59,43.79,1147076,FIS,0.0,41.028999999999996
2013-05-13,43.65,43.79,43.57,43.72,1522440,FIS,-0.0015985384791048249,41.163000000000004
2013-05-14,43.74,44.02,43.65,43.97,2317273,FIS,0.0057182067703568165,41.29600000000001
2013-05-15,43.91,44.36,43.905,44.32,1485245,FIS,0.007959972708665032,41.443333333333335
2013-05-16,44.3,44.77,44.285,44.51,1586226,FIS,0.004287003610108252,41.602666666666664
2013-05-17,44.54,45.11,44.51,45.08,1477436,FIS,0.012806110986295222,41.803666666666665
2013-05-20,45.05,45.3,44.92,45.26,1790390,FIS,0.003992901508429452,42.007
2013-05-21,45.29,45.82,45.2,45.29,1346921,FIS,0.0006628369421122656,42.21366666666667
2013-05-22,45.34,45.75,44.98,45.18,2104612,FIS,-0.0024287922278648584,42.385
2013-05-23,44.91,45.36,44.85,45.24,1609447,FIS,0.0013280212483400239,42.52633333333333
2013-05-24,44.99,45.25,44.56,45.16,1090626,FIS,-0.0017683465959329222,42.67333333333333
2013-05-28,45.45,45.95,45.37,45.8,1532793,FIS,0.014171833480956613,42.86266666666666
2013-05-29,45.46,45.53,44.94,45.07,1565183,FIS,-0.01593886462882089,43.01
2013-05-30,45.13,45.87,45.09,45.78,1109626,FIS,0.01575327268693146,43.199
2013-05-31,45.58,45.67,44.88,44.9,3218708,FIS,-0.01922236784622111,43.354
2013-06-03,44.89,45.23,44.41,44.91,1776581,FIS,0.00022271714922044567,43.49066666666667
2013-06-04,44.9,44.98,44.0,44.32,2073002,FIS,-0.013137385882876784,43.61466666666667
2013-06-05,44.23,44.45,43.34,43.37,1791284,FIS,-0.02143501805054158,43.69500000000001
2013-06-06,43.31,44.14,43.03,44.13,1638723,FIS,0.01752363384828234,43.80166666666666
2013-06-07,44.36,44.71,44.24,44.53,1432425,FIS,0.009064128710627659,43.91733333333333
2013-06-10,44.58,44.77,44.325,44.71,1323847,FIS,0.004042218728946771,44.048
2013-06-11,44.26,44.95,44.0742,44.58,1605870,FIS,-0.002907626929098693,44.17833333333333
2013-06-12,44.57,44.66,43.81,43.85,1448939,FIS,-0.016375056078959106,44.23833333333334
2013-06-13,43.85,44.77,43.6,44.71,961384,FIS,0.01961231470923602,44.32533333333333
2013-06-14,44.29,44.47,43.46,43.64,1586632,FIS,-0.023932006262581084,44.369
2013-06-17,43.98,44.47,43.69,44.02,1732796,FIS,0.008707607699358445,44.41233333333333
2013-06-18,44.11,44.33,43.95,44.33,1199874,FIS,0.007042253521126651,44.472
2013-06-19,44.38,44.52,43.76,43.77,919892,FIS,-0.01263252876156091,44.510000000000005
2013-06-20,43.43,43.66,42.55,42.62,1497746,FIS,-0.026273703449851624,44.47833333333333
2013-06-21,42.87,42.9,42.16,42.64,1900480,FIS,0.0004692632566870748,44.440000000000005
2013-06-24,42.37,42.87,42.09,42.53,1949398,FIS,-0.0025797373358348833,44.398
2013-06-25,42.91,43.07,42.43,43.01,1538416,FIS,0.011286150952268913,44.37433333333333
2013-06-26,43.41,43.41,42.77,42.95,2115276,FIS,-0.0013950244129271139,44.340333333333334
2013-06-27,43.11,43.15,42.89,43.01,2140207,FIS,0.0013969732246797478,44.29666666666667
2013-06-28,42.68,43.27,42.68,42.84,4008275,FIS,-0.003952569169960349,44.241
2013-07-01,43.14,43.65,43.084,43.41,1378855,FIS,0.01330532212885138,44.18533333333334
2013-07-02,43.45,43.55,42.73,42.8,1873539,FIS,-0.014052061736926963,44.10333333333334
2013-07-03,42.61,43.31,42.61,43.05,1420988,FIS,0.0058411214953271035,44.028666666666666
2013-07-05,43.42,43.65,43.13,43.63,1156408,FIS,0.013472706155633112,43.977000000000004
2013-07-08,44.0,44.71,43.95,44.63,1547454,FIS,0.022920009168003665,43.95666666666667
2013-07-09,44.81,44.93,44.28,44.43,998830,FIS,-0.004481290611696232,43.93233333333333
2013-07-10,44.37,44.92,44.37,44.86,1220248,FIS,0.009678145397254102,43.900999999999996
2013-07-11,45.32,45.43,45.01,45.35,1097908,FIS,0.010922871154703567,43.91033333333334
2013-07-12,45.33,45.43,44.78,45.06,944178,FIS,-0.006394707828004391,43.88633333333333
2013-07-15,44.99,45.28,44.79,45.05,591465,FIS,-0.00022192632046172026,43.891333333333336
2013-07-16,45.01,45.19,44.58,44.7,754538,FIS,-0.007769145394006534,43.88433333333333
2013-07-17,44.79,44.94,44.53,44.73,553355,FIS,0.0006711409395971818,43.898
2013-07-18,44.76,45.07,44.62,44.71,625986,FIS,-0.00044712720769049904,43.94266666666667
2013-07-19,44.87,44.87,44.32,44.37,943139,FIS,-0.007604562737642662,43.95066666666666
2013-07-22,44.35,44.48,44.231,44.29,1227624,FIS,-0.0018030200585981136,43.94266666666667
2013-07-23,44.73,44.76,44.3,44.54,1359478,FIS,0.0056446150372544595,43.937
2013-07-24,44.75,44.83,44.25,44.32,873433,FIS,-0.00493938033228556,43.928333333333335
2013-07-25,44.35,44.64,44.1,44.55,911350,FIS,0.005189530685920507,43.95166666666667
2013-07-26,44.19,44.35,43.86,44.35,800909,FIS,-0.004489337822671061,43.93966666666666
2013-07-29,44.2,44.41,44.13,44.28,909777,FIS,-0.0015783540022547978,43.961
2013-07-30,44.5,44.55,42.82,43.06,2601248,FIS,-0.0275519421860885,43.929
2013-07-31,42.95,43.35,42.78,43.16,2495628,FIS,0.002322340919646872,43.88999999999999
2013-08-01,43.35,44.9,43.26,44.85,2096678,FIS,0.03915662650602421,43.926
2013-08-02,44.77,45.425,44.49,45.33,1782473,FIS,0.010702341137123676,44.016333333333336
2013-08-05,45.21,45.635,45.11,45.52,1929194,FIS,0.0041914846679904005,44.11233333333333
2013-08-06,45.42,46.26,45.37,45.94,1829061,FIS,0.009226713532513062,44.226
2013-08-07,45.84,46.56,45.66,46.42,1789378,FIS,0.010448410970831606,44.339666666666666
2013-08-08,46.69,46.98,46.37,46.53,1796202,FIS,0.0023696682464454852,44.458999999999996
2013-08-09,46.46,47.17,46.46,46.95,1129828,FIS,0.009026434558349488,44.590333333333334
2013-08-12,46.77,47.73,46.68,47.41,2137162,FIS,0.009797657082001997,44.742666666666665
2013-08-13,47.26,47.36,46.5,46.98,2824753,FIS,-0.009069816494410457,44.861666666666665
2013-08-14,46.87,47.2,46.85,46.96,988040,FIS,-0.00042571306939114564,45.00033333333333
2013-08-15,46.56,46.6,45.9301,46.02,1565440,FIS,-0.020017035775127718,45.099333333333334
2013-08-16,46.0,46.2,45.91,46.11,1612948,FIS,0.0019556714471967904,45.181999999999995
2013-08-19,46.0,46.3,45.7855,45.83,840729,FIS,-0.006072435480373046,45.222
2013-08-20,45.81,46.048,45.74,45.82,1005570,FIS,-0.00021819768710447328,45.26833333333333
2013-08-21,45.69,45.95,45.3,45.57,1002077,FIS,-0.005456132693147098,45.292
2013-08-22,45.7,45.899,45.56,45.8,649578,FIS,0.005047180162387467,45.307
2013-08-23,45.94,46.16,45.6,45.71,1225378,FIS,-0.0019650655021833255,45.32866666666666
2013-08-26,45.67,45.87,45.38,45.42,1347000,FIS,-0.006344344782323324,45.341
2013-08-27,45.03,45.16,44.5,44.52,1017294,FIS,-0.019815059445178303,45.335
2013-08-28,44.55,44.68,44.31,44.31,1085548,FIS,-0.004716981132075491,45.321
2013-08-29,44.2,44.77,44.0603,44.64,694164,FIS,0.007447528774542953,45.318666666666665
2013-08-30,44.62,44.83,44.32,44.46,1320891,FIS,-0.004032258064516123,45.32166666666667
2013-09-03,44.91,45.18,44.3,44.51,1235533,FIS,0.0011246063877642185,45.329
2013-09-04,44.49,44.73,44.31,44.52,1195834,FIS,0.00022466861379476783,45.32833333333334
2013-09-05,44.53,44.78,44.41,44.61,1117102,FIS,0.002021563342317976,45.337999999999994
2013-09-06,44.63,45.36,44.18,45.11,1035801,FIS,0.011208249271463798,45.35666666666667
2013-09-09,45.41,45.68,44.715,44.94,1606133,FIS,-0.0037685657282199446,45.37633333333334
2013-09-10,45.13,45.92,45.0747,45.91,1003025,FIS,0.021584334668446795,45.43066666666667
2013-09-11,45.87,46.09,45.77,45.84,929853,FIS,-0.0015247222827269263,45.52333333333333
2013-09-12,45.68,45.88,45.36,45.72,990342,FIS,-0.002617801047120518,45.608666666666664
2013-09-13,45.86,46.04,45.67,45.96,972601,FIS,0.005249343832021041,45.64566666666666
2013-09-16,46.41,46.75,46.327,46.59,715313,FIS,0.013707571801566634,45.68766666666667
2013-09-17,46.69,46.95,46.61,46.85,750913,FIS,0.005580596694569607,45.732
2013-09-18,46.99,47.15,46.52,46.91,948532,FIS,0.0012806830309497368,45.76433333333333
2013-09-19,46.92,47.3,46.84,47.13,756800,FIS,0.004689831592411127,45.788
2013-09-20,47.16,47.33,46.81,46.85,1323074,FIS,-0.0059410142159983265,45.79866666666667
2013-09-23,46.65,46.91,46.35,46.5,528215,FIS,-0.007470651013874096,45.78366666666667
