date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,16.55,16.61,16.4,16.61,9814015,FITB,,
2013-02-11,16.44,16.52,16.38,16.5,12187679,FITB,-0.006622516556291357,
2013-02-12,16.54,16.63,16.45,16.56,8284724,FITB,0.0036363636363635587,
2013-02-13,16.53,16.55,16.05,16.11,16635670,FITB,-0.02717391304347822,
2013-02-14,16.09,16.19,16.04,16.13,11091204,FITB,0.0012414649286157401,
2013-02-15,16.12,16.16,16.0,16.045,9471938,FITB,-0.005269683818970695,
2013-02-19,16.07,16.16,15.94,15.96,11020445,FITB,-0.005297600498597747,
2013-02-20,15.95,16.03,15.79,15.83,12260560,FITB,-0.008145363408521351,
2013-02-21,15.85,15.965,15.51,15.6,17671587,FITB,-0.014529374605180065,
2013-02-22,15.77,15.84,15.7,15.8,6752270,FITB,0.01282051282051289,
2013-02-25,15.9,15.94,15.52,15.53,12965929,FITB,-0.017088607594936793,
2013-02-26,15.6,15.64,15.43,15.56,10616342,FITB,0.0019317450096587984,
2013-02-27,15.56,15.76,15.47,15.72,8481443,FITB,0.010282776349614406,
2013-02-28,15.68,15.925,15.67,15.84,8898892,FITB,0.007633587786259492,
2013-03-01,15.73,15.9,15.57,15.825,11481195,FITB,-0.0009469696969697329,
2013-03-04,15.83,16.04,15.71,16.02,8627118,FITB,0.012322274881516606,
2013-03-05,16.15,16.19,15.88,16.02,15272806,FITB,0.0,
2013-03-06,16.06,16.12,15.88,16.03,11432535,FITB,0.0006242197253434184,
2013-03-07,16.05,16.25,16.01,16.23,8861570,FITB,0.0124766063630692,
2013-03-08,16.35,16.37,16.18,16.34,8404137,FITB,0.006777572396796021,
2013-03-11,16.37,16.42,16.24,16.35,10537279,FITB,0.0006119951040392634,
2013-03-12,16.38,16.46,16.23,16.25,6625693,FITB,-0.006116207951070423,
2013-03-13,16.24,16.39,16.18,16.39,8843791,FITB,0.00861538461538465,
2013-03-14,16.44,16.55,16.3,16.37,8659402,FITB,-0.0012202562538132747,
2013-03-15,16.35,16.61,16.3,16.61,16194478,FITB,0.0146609651802076,
2013-03-18,16.37,16.54,16.27,16.48,7536328,FITB,-0.007826610475617038,
2013-03-19,16.56,16.58,16.41,16.51,8465919,FITB,0.0018203883495146321,
2013-03-20,16.61,16.62,16.48,16.52,7800319,FITB,0.0006056935190792253,
2013-03-21,16.4,16.515,16.35,16.37,8088336,FITB,-0.009079903147699672,
2013-03-22,16.37,16.445,16.23,16.29,6922715,FITB,-0.004886988393402679,16.146666666666665
2013-03-25,16.31,16.39,16.22,16.35,8041045,FITB,0.0036832412523021656,16.137999999999998
2013-03-26,16.36,16.45,16.29,16.41,6967536,FITB,0.003669724770642123,16.135
2013-03-27,16.34,16.4,16.25,16.37,4895182,FITB,-0.00243753808653255,16.128666666666668
2013-03-28,16.31,16.37,16.2,16.31,5584391,FITB,-0.0036652412950520627,16.135333333333335
2013-04-01,16.28,16.3,16.06,16.14,5702611,FITB,-0.010423053341508165,16.13566666666667
2013-04-02,16.14,16.22,16.08,16.16,6808365,FITB,0.0012391573729863428,16.1395
2013-04-03,16.13,16.23,15.815,15.99,13451520,FITB,-0.010519801980198015,16.1405
2013-04-04,15.99,16.04,15.85,15.95,8668767,FITB,-0.002501563477173291,16.1445
2013-04-05,15.73,16.06,15.64,16.02,10322762,FITB,0.004388714733542338,16.1585
2013-04-08,15.99,16.26,15.89,16.22,10211696,FITB,0.012484394506866373,16.1725
2013-04-09,16.3,16.49,16.2,16.39,8064266,FITB,0.010480887792848441,16.201166666666666
2013-04-10,16.57,16.68,16.46,16.63,9086870,FITB,0.014643075045759514,16.236833333333333
2013-04-11,16.62,16.86,16.53,16.86,9786737,FITB,0.013830426939266413,16.274833333333333
2013-04-12,16.69,16.74,16.35,16.49,16086317,FITB,-0.02194543297746151,16.296499999999998
2013-04-15,16.47,16.49,16.06,16.08,10054574,FITB,-0.02486355366889025,16.305
2013-04-16,16.16,16.27,16.06,16.15,9928457,FITB,0.0043532338308457895,16.309333333333335
2013-04-17,15.97,15.98,15.64,15.8,11214905,FITB,-0.021671826625386865,16.302
2013-04-18,16.25,16.25,15.62,15.92,16586071,FITB,0.00759493670886071,16.298333333333332
2013-04-19,16.03,16.42,15.89,16.4,11483115,FITB,0.030150753768844137,16.304
2013-04-22,16.31,16.34,16.11,16.245,6563599,FITB,-0.009451219512194976,16.300833333333333
2013-04-23,16.31,16.5,16.22,16.47,8082308,FITB,0.013850415512465242,16.30483333333333
2013-04-24,16.48,16.72,16.445,16.72,6444832,FITB,0.015179113539769279,16.3205
2013-04-25,16.75,16.95,16.69,16.83,5791422,FITB,0.006578947368421019,16.335166666666666
2013-04-26,16.81,16.845,16.65,16.76,3342639,FITB,-0.004159239453356907,16.348166666666668
2013-04-29,16.77,16.89,16.76,16.83,4412508,FITB,0.004176610978520091,16.3555
2013-04-30,16.84,17.04,16.68,17.03,9295467,FITB,0.011883541295306171,16.373833333333334
2013-05-01,17.03,17.105,16.7,16.75,7514942,FITB,-0.016441573693482155,16.381833333333333
2013-05-02,16.77,16.97,16.71,16.86,4456928,FITB,0.006567164179104443,16.393166666666666
2013-05-03,17.05,17.12,17.01,17.1,6915978,FITB,0.014234875444839977,16.4175
2013-05-06,17.08,17.31,17.02,17.3,4109253,FITB,0.011695906432748496,16.45116666666667
2013-05-07,17.37,17.53,17.3,17.51,6898090,FITB,0.012138728323699471,16.489833333333333
2013-05-08,17.5,17.67,17.45,17.62,7591822,FITB,0.006282124500285518,16.530166666666666
2013-05-09,17.66,17.81,17.53,17.57,8011150,FITB,-0.002837684449489257,16.570166666666665
2013-05-10,17.6,17.73,17.5799,17.71,5419203,FITB,0.007968127490039873,16.616833333333332
2013-05-13,17.65,17.76,17.55,17.7,13724024,FITB,-0.0005646527385658703,16.668833333333332
2013-05-14,17.73,17.97,17.7292,17.91,7011030,FITB,0.011864406779661066,16.727166666666665
2013-05-15,17.91,18.15,17.81,18.08,6229813,FITB,0.00949190396426567,16.796833333333336
2013-05-16,18.01,18.2,17.97,18.02,5154579,FITB,-0.00331858407079639,16.865833333333335
2013-05-17,18.17,18.31,18.04,18.25,6115266,FITB,0.012763596004439536,16.940166666666666
2013-05-20,18.23,18.41,18.19,18.39,6307190,FITB,0.00767123287671236,17.0125
2013-05-21,18.45,18.495,18.22,18.3,7774030,FITB,-0.004893964110929845,17.076166666666666
2013-05-22,18.37,18.49,17.99,18.0,13408788,FITB,-0.01639344262295086,17.12183333333333
2013-05-23,17.81,18.2,17.76,18.1,8075612,FITB,0.005555555555555635,17.163166666666665
2013-05-24,18.06,18.25,18.01,18.25,5605971,FITB,0.00828729281767948,17.221833333333333
2013-05-28,18.52,18.6,18.36,18.43,6803979,FITB,0.009863013698630121,17.300166666666666
2013-05-29,18.28,18.55,18.26,18.47,11196352,FITB,0.0021703743895821566,17.377499999999998
2013-05-30,18.46,18.7354,18.45,18.53,9266481,FITB,0.003248511099079712,17.4685
2013-05-31,18.47,18.5499,18.2,18.2,9136448,FITB,-0.017808958445763724,17.544500000000003
2013-06-03,18.23,18.32,17.82,18.2,10743110,FITB,0.0,17.604499999999998
2013-06-04,18.17,18.31,17.88,17.92,9863831,FITB,-0.015384615384615252,17.66033333333333
2013-06-05,17.88,17.97,17.68,17.71,8452550,FITB,-0.011718750000000047,17.701666666666664
2013-06-06,17.66,18.07,17.64,18.07,9103835,FITB,0.02032749858836812,17.74666666666667
2013-06-07,18.24,18.44,18.09,18.42,8353929,FITB,0.019369120088544627,17.799666666666667
2013-06-10,18.42,18.7,18.42,18.6,8096879,FITB,0.009771986970684023,17.861
2013-06-11,18.47,18.555,18.29,18.34,8191437,FITB,-0.013978494623655998,17.91133333333333
2013-06-12,18.47,18.49,18.23,18.32,9989239,FITB,-0.0010905125408941971,17.954333333333334
2013-06-13,18.25,18.49,18.15,18.45,8192171,FITB,0.007096069868995579,18.011000000000003
2013-06-14,18.47,18.49,18.2,18.31,8866594,FITB,-0.007588075880758839,18.05933333333333
2013-06-17,18.46,18.53,18.2,18.29,6971420,FITB,-0.0010922992900054382,18.098999999999997
2013-06-18,18.33,18.49,18.26,18.4,6251026,FITB,0.006014215418261314,18.13566666666667
2013-06-19,18.36,18.47,18.085,18.1,10728112,FITB,-0.016304347826086803,18.15533333333333
2013-06-20,17.9,17.96,17.665,17.78,18099361,FITB,-0.01767955801104974,18.160666666666668
2013-06-21,17.89,17.96,17.43,17.7,23647009,FITB,-0.004499437570303816,18.165
2013-06-24,17.59,17.68,17.33,17.46,14737795,FITB,-0.013559322033898218,18.15666666666667
2013-06-25,17.67,17.94,17.55,17.88,11151353,FITB,0.02405498281786931,18.162666666666667
2013-06-26,17.98,18.04,17.79,17.925,6414636,FITB,0.0025167785234900286,18.163166666666665
2013-06-27,18.06,18.32,18.0,18.1,8335298,FITB,0.009762900976290137,18.163833333333333
2013-06-28,18.09,18.23,17.82,18.05,11104812,FITB,-0.0027624309392265583,18.164833333333334
2013-07-01,18.23,18.48,18.05,18.28,6009151,FITB,0.012742382271468167,18.165833333333335
2013-07-02,18.29,18.58,18.23,18.48,8840378,FITB,0.010940919037199084,18.168833333333335
2013-07-03,18.45,18.5,18.2,18.37,5585636,FITB,-0.005952380952380922,18.17116666666667
2013-07-05,18.45,18.68,18.37,18.67,11339301,FITB,0.016330974414806788,18.193500000000004
2013-07-08,18.75,18.81,18.46,18.58,11825693,FITB,-0.004820567755758082,18.209500000000002
2013-07-09,18.76,18.81,18.55,18.8,10268360,FITB,0.011840688912809604,18.227833333333333
2013-07-10,18.82,18.85,18.59,18.79,14892068,FITB,-0.0005319148936171044,18.23983333333333
2013-07-11,19.03,19.08,18.67,18.81,10249611,FITB,0.0010643959552953473,18.25116666666667
2013-07-12,18.79,18.995,18.75,18.981,5734697,FITB,0.009090909090909247,18.2662
2013-07-15,19.02,19.0725,18.91,18.99,6823773,FITB,0.00047415836889504176,18.292533333333335
2013-07-16,19.01,19.09,18.67,18.86,6900471,FITB,-0.006845708267509164,18.314533333333333
2013-07-17,18.86,19.01,18.8,18.99,8009120,FITB,0.006892895015906628,18.350200000000005
2013-07-18,18.8,18.97,18.27,18.945,17975186,FITB,-0.0023696682464454007,18.391366666666666
2013-07-19,19.02,19.08,18.79,19.015,10323656,FITB,0.003694906307732926,18.422866666666664
2013-07-22,19.16,19.35,18.96,19.34,7305222,FITB,0.017091769655535067,18.453533333333333
2013-07-23,19.39,19.515,19.15,19.42,8691445,FITB,0.004136504653567831,18.480866666666664
2013-07-24,19.49,19.79,19.43,19.59,10151212,FITB,0.008753861997940171,18.522533333333335
2013-07-25,19.26,19.44,19.22,19.37,7790771,FITB,-0.01123021949974471,18.557533333333332
2013-07-26,19.17,19.38,19.17,19.37,4209530,FITB,0.0,18.588199999999997
2013-07-29,19.31,19.41,19.14,19.21,6179780,FITB,-0.008260196179659274,18.6182
2013-07-30,19.32,19.4,19.195,19.26,5155350,FITB,0.002602811035918829,18.650533333333335
2013-07-31,19.33,19.635,19.2,19.24,8748409,FITB,-0.0010384215991694249,18.678533333333334
2013-08-01,19.44,19.65,19.32,19.6,5835338,FITB,0.018711018711018868,18.728533333333335
2013-08-02,19.63,19.73,19.49,19.69,5575526,FITB,0.00459183673469387,18.792199999999998
2013-08-05,19.7,19.71,19.52,19.58,4125208,FITB,-0.005586592178771101,18.85486666666667
2013-08-06,19.5,19.57,19.28,19.36,5557651,FITB,-0.011235955056179718,18.918200000000002
2013-08-07,19.31,19.33,19.16,19.22,6153252,FITB,-0.007231404958677716,18.962866666666667
2013-08-08,19.35,19.41,19.11,19.225,7554601,FITB,0.00026014568158181885,19.0062
2013-08-09,19.17,19.38,19.17,19.3,5324943,FITB,0.0039011703511052944,19.0462
2013-08-12,19.22,19.43,19.17,19.27,3901014,FITB,-0.0015544041450777791,19.086866666666666
2013-08-13,19.13,19.32,18.97,19.09,10036492,FITB,-0.009340944473274505,19.113866666666663
2013-08-14,19.06,19.25,19.05,19.14,6817461,FITB,0.0026191723415401108,19.13586666666667
2013-08-15,19.06,19.15,18.98,19.04,6104650,FITB,-0.005224660397074264,19.1582
2013-08-16,19.08,19.29,19.03,19.16,5672739,FITB,0.0063025210084034135,19.174533333333333
2013-08-19,19.13,19.15,18.97,19.01,6294936,FITB,-0.007828810020876752,19.188866666666666
2013-08-20,19.05,19.2,18.9,19.06,7298832,FITB,0.002630194634402796,19.197533333333336
2013-08-21,18.98,19.17,18.89,18.93,7921143,FITB,-0.00682056663168935,19.2022
2013-08-22,18.97,19.235,18.94,19.18,6032381,FITB,0.013206550449022716,19.214533333333335
2013-08-23,19.31,19.32,19.04,19.2,3804952,FITB,0.0010427528675703635,19.221833333333333
2013-08-26,19.24,19.28,18.99,18.99,5896880,FITB,-0.010937500000000044,19.221833333333333
2013-08-27,18.8,18.86,18.43,18.43,10529666,FITB,-0.029489204844655018,19.207499999999996
2013-08-28,18.33,18.48,18.15,18.35,8269212,FITB,-0.004340748779164313,19.186166666666665
2013-08-29,18.2,18.55,18.17,18.39,4669145,FITB,0.0021798365122615336,19.167666666666666
2013-08-30,18.45,18.45,18.22,18.29,6179689,FITB,-0.005437737901033247,19.143500000000003
2013-09-03,18.53,18.66,18.16,18.31,7389376,FITB,0.0010934937124111304,19.109166666666667
2013-09-04,18.37,18.5,18.23,18.36,7631151,FITB,0.002730748225013693,19.073833333333333
