date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,34.69,34.96,34.63,34.85,956594,FL,,
2013-02-11,34.79,34.88,34.57,34.84,1156923,FL,-0.00028694404591099026,
2013-02-12,34.85,35.03,34.69,34.72,1197578,FL,-0.003444316877152828,
2013-02-13,34.72,34.89,33.15,33.44,3338838,FL,-0.03686635944700464,
2013-02-14,33.43,33.67,33.05,33.29,1891509,FL,-0.0044856459330143116,
2013-02-15,33.27,33.8699,33.19,33.51,2457908,FL,0.006608591168519041,
2013-02-19,33.59,34.2,33.19,34.07,1938839,FL,0.01671142942405259,
2013-02-20,34.04,34.54,34.0,34.35,2913333,FL,0.008218373936014121,
2013-02-21,34.39,34.94,34.15,34.29,2885457,FL,-0.0017467248908297605,
2013-02-22,34.3,34.59,33.72,33.96,1759711,FL,-0.00962379702537178,
2013-02-25,33.98,34.02,33.13,33.13,1707074,FL,-0.024440518256772622,
2013-02-26,33.14,33.59,32.8438,33.04,1691407,FL,-0.0027165710836101237,
2013-02-27,33.06,34.01,33.04,33.88,1402554,FL,0.025423728813559424,
2013-02-28,34.11,34.39,33.95,34.19,1633281,FL,0.009149940968122643,
2013-03-01,34.09,34.56,33.98,34.55,1651200,FL,0.010529394559812794,
2013-03-04,34.36,35.0,34.36,34.49,1940008,FL,-0.0017366136034730876,
2013-03-05,34.81,35.35,34.68,35.34,2352501,FL,0.024644824586836804,
2013-03-06,35.42,35.64,34.9413,35.17,3687642,FL,-0.004810413129598237,
2013-03-07,35.16,35.5,34.96,35.31,2186766,FL,0.003980665339778236,
2013-03-08,33.5,33.66,31.79,32.79,9830053,FL,-0.07136788445199668,
2013-03-11,32.73,32.79,32.1,32.49,4762621,FL,-0.00914913083257082,
2013-03-12,32.4,33.15,32.36,32.76,3065484,FL,0.008310249307479102,
2013-03-13,32.88,33.28,32.8,32.94,1861862,FL,0.005494505494505486,
2013-03-14,33.12,33.34,32.89,33.0,2308642,FL,0.0018214936247723825,
2013-03-15,33.08,33.14,32.33,32.36,2989452,FL,-0.01939393939393941,
2013-03-18,32.16,32.36,32.07,32.15,2651511,FL,-0.006489493201483339,
2013-03-19,32.08,32.23,31.3,31.95,4623578,FL,-0.006220839813374784,
2013-03-20,32.17,34.25,32.07,32.21,5448439,FL,0.00813771517996875,
2013-03-21,32.15,32.53,32.055,32.28,5061255,FL,0.0021732381248059695,
2013-03-22,32.79,33.91,32.73,33.31,4821722,FL,0.031908302354399044,33.622
2013-03-25,33.31,33.5,32.755,33.04,3441440,FL,-0.00810567397178034,33.56166666666667
2013-03-26,33.13,33.94,33.06,33.79,3642597,FL,0.022699757869249396,33.526666666666664
2013-03-27,33.58,34.22,33.4,34.12,3143143,FL,0.00976620301864452,33.50666666666667
2013-03-28,34.15,34.77,33.99,34.24,2795189,FL,0.0035169988276671908,33.53333333333333
2013-04-01,34.2,34.288,33.52,33.82,1551339,FL,-0.012266355140186966,33.551
2013-04-02,34.04,34.12,33.61,33.75,3023263,FL,-0.0020697811945594407,33.559
2013-04-03,33.9,34.41,33.1,33.21,3516406,FL,-0.015999999999999976,33.53033333333333
2013-04-04,33.24,33.455,32.953,33.15,4124105,FL,-0.0018066847335140703,33.49033333333333
2013-04-05,32.86,33.385,32.57,33.36,2453651,FL,0.006334841628959302,33.45933333333333
2013-04-08,33.4,33.535,33.15,33.25,1229475,FL,-0.0032973621103117336,33.43566666666666
2013-04-09,33.42,33.68,32.96,32.96,2306042,FL,-0.00872180451127817,33.43
2013-04-10,33.02,33.86,33.02,33.76,1576902,FL,0.024271844660194088,33.454
2013-04-11,33.76,34.6,33.71,34.06,2481103,FL,0.008886255924170743,33.46
2013-04-12,34.21,34.53,33.9501,34.51,1968608,FL,0.013211978860833697,33.470666666666666
2013-04-15,34.29,34.42,33.39,33.47,2807262,FL,-0.03013619240799766,33.434666666666665
2013-04-16,33.56,33.717,32.96,33.31,2931248,FL,-0.004780400358529925,33.39533333333333
2013-04-17,32.87,32.97,32.11,32.47,2777082,FL,-0.025217652356649755,33.29966666666667
2013-04-18,32.6,32.65,31.7,31.79,3005362,FL,-0.02094240837696334,33.187
2013-04-19,31.88,32.355,31.36,31.92,2467493,FL,0.004089336269267146,33.074
2013-04-22,32.02,32.815,31.9,32.77,2505729,FL,0.026629072681704304,33.07333333333333
2013-04-23,32.96,33.4,32.38,32.52,2534412,FL,-0.007628928898382666,33.074333333333335
2013-04-24,32.53,32.87,32.23,32.34,1948368,FL,-0.0055350553505534965,33.06033333333333
2013-04-25,32.53,33.49,32.42,33.4,2646559,FL,0.0327767470624612,33.07566666666666
2013-04-26,33.3,33.73,33.29,33.69,1821056,FL,0.008682634730538897,33.09866666666667
2013-04-29,33.71,34.2,33.63,33.92,1743573,FL,0.006826951617690828,33.150666666666666
2013-04-30,34.07,34.87,33.97,34.87,2682514,FL,0.028007075471697986,33.24133333333334
2013-05-01,34.89,34.9,34.59,34.66,2144056,FL,-0.00602236879839406,33.33166666666667
2013-05-02,34.71,35.13,34.68,34.91,2204055,FL,0.007212925562608195,33.42166666666667
2013-05-03,35.18,35.45,35.14,35.28,2752433,FL,0.010598682325981226,33.52166666666667
2013-05-06,35.27,35.31,34.865,35.06,2075040,FL,-0.00623582766439906,33.580000000000005
2013-05-07,35.21,35.84,34.91,35.69,2789040,FL,0.017969195664574885,33.66833333333333
2013-05-08,35.61,35.87,35.42,35.86,1794781,FL,0.004763239002521763,33.73733333333333
2013-05-09,35.8,36.31,35.8,35.97,2004007,FL,0.003067484662576671,33.799
2013-05-10,35.99,36.27,35.88,36.17,1364160,FL,0.005560189046427658,33.86333333333333
2013-05-13,36.17,36.32,36.05,36.3,1301086,FL,0.0035941387890515743,33.946
2013-05-14,36.32,36.42,35.84,36.35,1998523,FL,0.0013774104683196768,34.032666666666664
2013-05-15,36.39,36.72,36.225,36.55,1454086,FL,0.00550206327372753,34.144
2013-05-16,36.47,36.76,36.26,36.4,1350625,FL,-0.004103967168262616,34.25233333333333
2013-05-17,36.51,36.94,36.29,36.92,2108974,FL,0.014285714285714372,34.371
2013-05-20,36.83,36.87,36.4,36.59,2088898,FL,-0.008938244853737764,34.48233333333334
2013-05-21,36.74,36.99,36.29,36.3,2903845,FL,-0.007925662749385248,34.593666666666664
2013-05-22,36.33,36.54,35.68,35.83,2517407,FL,-0.012947658402203827,34.66266666666666
2013-05-23,35.53,35.84,35.41,35.68,3676782,FL,-0.004186435947529963,34.71666666666667
2013-05-24,33.74,34.02,32.61,33.9,10437193,FL,-0.04988789237668165,34.696333333333335
2013-05-28,34.56,35.05,33.97,34.1,5974764,FL,0.005899705014749347,34.717333333333336
2013-05-29,33.99,34.26,33.79,34.02,3914886,FL,-0.0023460410557184248,34.741
2013-05-30,34.03,34.25,33.82,34.01,4058214,FL,-0.00029394473838933316,34.79233333333333
2013-05-31,33.95,34.75,33.75,34.32,3198733,FL,0.009114966186415828,34.876666666666665
2013-06-03,34.27,34.36,33.91,34.27,3092301,FL,-0.0014568764568763742,34.955000000000005
2013-06-04,34.29,34.85,34.26,34.81,2779218,FL,0.01575722206011086,35.023
2013-06-05,34.66,34.858,34.0,34.06,2976325,FL,-0.021545532892846882,35.074333333333335
2013-06-06,34.07,34.49,33.81,34.49,1600618,FL,0.01262477980035231,35.146
2013-06-07,34.74,35.075,34.49,34.93,1867690,FL,0.012757320962597787,35.196999999999996
2013-06-10,35.24,35.46,35.06,35.22,2434056,FL,0.008302318923561385,35.248000000000005
2013-06-11,34.87,35.24,34.56,34.58,1960213,FL,-0.018171493469619552,35.27
2013-06-12,34.75,35.0,34.08,34.16,2261566,FL,-0.012145748987854301,35.24633333333334
2013-06-13,34.25,34.57,33.99,34.46,2461177,FL,0.00878220140515235,35.23966666666667
2013-06-14,34.39,35.08,34.35,34.77,2172436,FL,0.008995937318630362,35.235
2013-06-17,35.0,35.19,34.5399,34.66,1535389,FL,-0.0031636468219731527,35.214333333333336
2013-06-18,34.75,35.46,34.72,35.41,2673619,FL,0.021638776687824584,35.226
2013-06-19,35.45,36.025,35.37,35.5,2819208,FL,0.002541654899745931,35.21966666666666
2013-06-20,35.27,35.34,34.77,34.95,3065552,FL,-0.015492957746478794,35.18933333333334
2013-06-21,35.1,35.26,34.705,34.98,3151121,FL,0.0008583690987122755,35.156333333333336
2013-06-24,34.67,34.705,34.02,34.36,1692910,FL,-0.017724413950828972,35.096000000000004
2013-06-25,34.66,34.845,34.52,34.57,1810885,FL,0.0061117578579744135,35.038333333333334
2013-06-26,34.9,34.9,33.53,33.9,3560137,FL,-0.019380966155626313,34.95666666666667
2013-06-27,34.19,34.43,34.044,34.25,2409830,FL,0.010324483775811251,34.879999999999995
2013-06-28,34.26,35.37,34.25,35.13,3351699,FL,0.02569343065693438,34.837666666666664
2013-07-01,35.49,36.01,35.26,35.36,2102402,FL,0.00654711073156837,34.785666666666664
2013-07-02,35.4,36.02,35.34,35.69,1847351,FL,0.009332579185520313,34.75566666666667
2013-07-03,35.55,35.75,35.23,35.44,536414,FL,-0.007004763239002522,34.727
2013-07-05,35.73,35.91,35.24,35.76,1158775,FL,0.009029345372460505,34.724666666666664
2013-07-08,35.72,37.03,35.72,36.66,2837862,FL,0.02516778523489929,34.757333333333335
2013-07-09,36.74,36.85,36.5001,36.6,1746886,FL,-0.0016366612111291647,34.84733333333333
2013-07-10,36.68,37.03,36.49,36.75,1993527,FL,0.004098360655737666,34.93566666666666
2013-07-11,37.21,37.24,36.5,36.78,2115952,FL,0.0008163265306122758,35.02766666666666
2013-07-12,36.83,37.18,36.8,37.05,1834206,FL,0.007340946166394672,35.129
2013-07-15,37.28,37.7,37.04,37.11,1706246,FL,0.0016194331983806283,35.222
2013-07-16,37.15,37.22,36.28,36.41,2125713,FL,-0.018862840204796626,35.29333333333333
2013-07-17,36.42,36.61,36.1,36.23,1094619,FL,-0.004943696786597082,35.34066666666667
2013-07-18,36.39,36.94,36.33,36.58,1324060,FL,0.009660502346122039,35.42466666666667
2013-07-19,36.5,36.83,36.41,36.49,854906,FL,-0.002460360852924995,35.49133333333334
2013-07-22,36.58,36.82,36.5,36.59,916486,FL,0.0027404768429707157,35.54666666666666
2013-07-23,36.6,36.88,36.32,36.34,2059722,FL,-0.006832467887400929,35.583999999999996
2013-07-24,36.47,36.59,35.47,35.65,2468781,FL,-0.01898734177215203,35.61966666666667
2013-07-25,35.63,36.1,35.55,36.07,1583501,FL,0.011781206171108043,35.68333333333333
2013-07-26,36.0,36.455,35.91,36.27,1148390,FL,0.005544774050457522,35.74366666666666
2013-07-29,36.13,36.535,36.12,36.33,1575746,FL,0.0016542597187757144,35.79566666666666
2013-07-30,36.49,36.58,36.13,36.47,1113100,FL,0.0038535645472061817,35.856
2013-07-31,36.56,36.84,35.91,36.13,1581017,FL,-0.009322731011790411,35.879999999999995
2013-08-01,36.42,37.43,36.17,37.26,2308697,FL,0.03127594796567936,35.93866666666666
2013-08-02,37.17,37.42,36.78,37.31,1239572,FL,0.0013419216317768188,36.01733333333333
2013-08-05,37.37,37.85,37.27,37.61,1500597,FL,0.008040739748056745,36.105
2013-08-06,37.23,37.23,34.92,35.63,6548549,FL,-0.05264557298590792,36.147333333333336
2013-08-07,35.7,35.99,35.36,35.84,3222080,FL,0.00589390962671908,36.18966666666667
2013-08-08,35.74,36.1999,35.62,35.67,3083127,FL,-0.004743303571428619,36.248666666666665
2013-08-09,35.0,35.4,34.06,34.52,4550996,FL,-0.03223997757218947,36.257666666666665
2013-08-12,34.5,35.14,34.38,34.97,1754034,FL,0.01303592120509837,36.25233333333334
2013-08-13,34.98,35.03,34.55,34.94,1530900,FL,-0.0008578781812982882,36.23833333333333
2013-08-14,34.82,35.07,34.51,34.86,1313512,FL,-0.002289639381797318,36.21066666666666
2013-08-15,34.87,34.93,34.4,34.61,1596628,FL,-0.00717154331612163,36.183
