date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,51.8066,52.6266,51.8066,52.5799,1611141,FLS,,
2013-02-11,52.4499,52.7499,51.7499,52.5533,1060371,FLS,-0.000505896740009052,
2013-02-12,52.6333,53.1499,52.5666,53.0299,932232,FLS,0.009068888157356392,
2013-02-13,53.1499,53.6399,53.0856,53.3399,1107213,FLS,0.005845758713480551,
2013-02-14,53.4033,53.5333,53.0566,53.3233,848016,FLS,-0.0003112116820615869,
2013-02-15,53.3899,53.4699,53.0433,53.3166,895926,FLS,-0.0001256486376499982,
2013-02-19,53.4233,53.4833,52.9299,53.2399,937800,FLS,-0.0014385763533309032,
2013-02-20,53.0999,53.4166,52.4199,52.5866,1494366,FLS,-0.012270872033944495,
2013-02-21,52.5033,52.5033,51.7233,51.9499,1415751,FLS,-0.012107647195293052,
2013-02-22,52.3699,54.2033,52.1733,53.7666,2801535,FLS,0.03497023093403447,
2013-02-25,54.1033,54.1666,51.4033,51.4733,1974900,FLS,-0.04265287371714029,
2013-02-26,51.6666,51.9183,50.9766,51.7199,1722606,FLS,0.00479083330581099,
2013-02-27,51.6866,53.1633,51.4866,52.9766,1401978,FLS,0.02429819083176872,
2013-02-28,53.2666,53.8866,52.9799,53.4999,1470630,FLS,0.009877946112057003,
2013-03-01,53.0833,53.9366,52.3066,53.8499,1169724,FLS,0.006542068302931434,
2013-03-04,53.8533,53.9766,53.1683,53.8699,1135347,FLS,0.00037140273240996043,
2013-03-05,53.9433,55.2899,53.9433,55.0599,1302762,FLS,0.02209025819613546,
2013-03-06,55.4399,55.6658,54.8666,54.9133,1193397,FLS,-0.0026625547812473217,
2013-03-07,54.9833,55.2433,54.5499,54.7099,1204992,FLS,-0.0037040207017243914,
2013-03-08,55.1366,55.3599,54.5199,54.9133,1160151,FLS,0.003717791478324801,
2013-03-11,54.8299,55.4024,54.7033,55.1699,987660,FLS,0.00467282060994329,
2013-03-12,55.1066,55.1759,54.4366,54.7399,969333,FLS,-0.0077941051189144754,
2013-03-13,54.7366,55.0766,54.4866,54.9099,610743,FLS,0.0031055957354690403,
2013-03-14,55.0499,55.7383,55.0499,55.6299,1204434,FLS,0.013112389569094078,
2013-03-15,55.3333,56.1299,55.2733,55.9166,2587737,FLS,0.005153703314224964,
2013-03-18,55.2066,56.1533,55.1233,55.8566,899256,FLS,-0.001073026614636839,
2013-03-19,56.0099,56.2266,55.1099,55.7533,753009,FLS,-0.0018493785873110302,
2013-03-20,55.7099,56.5116,55.6699,56.3533,1019172,FLS,0.010761694823445326,
2013-03-21,56.1866,56.1866,54.6233,55.2299,1761336,FLS,-0.019934946134476536,
2013-03-22,55.3933,55.4599,54.9933,55.2399,995940,FLS,0.00018106134539439705,54.049033333333334
2013-03-25,55.5433,55.5433,54.1502,54.7666,889650,FLS,-0.008568082129040817,54.121923333333335
2013-03-26,54.9566,55.1899,54.6199,55.1399,876189,FLS,0.0068161981937896535,54.20814333333333
2013-03-27,54.7366,55.1799,54.4866,55.0733,840807,FLS,-0.0012078367933201547,54.27625666666667
