date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,59.71,60.09,59.06,59.82,1126347,FMC,,
2013-02-11,59.93,60.12,59.18,59.2,956964,FMC,-0.010364426613172809,
2013-02-12,59.6,59.6,58.01,58.13,1594216,FMC,-0.018074324324324327,
2013-02-13,58.25,59.0,58.25,58.81,1104986,FMC,0.011697918458627209,
2013-02-14,58.59,59.08,58.25,59.01,922822,FMC,0.0034007821799013046,
2013-02-15,59.02,59.89,59.0,59.47,1188598,FMC,0.007795288934078984,
2013-02-19,59.73,60.22,59.32,59.32,1228487,FMC,-0.002522280141247664,
2013-02-20,59.3,59.53,58.16,58.23,1418952,FMC,-0.01837491571139588,
2013-02-21,57.92,57.92,57.0,57.46,1520104,FMC,-0.013223424351708674,
2013-02-22,57.57,58.76,57.53,58.71,723163,FMC,0.021754263835711798,
2013-02-25,58.94,59.18,57.51,57.51,1202027,FMC,-0.020439448134900406,
2013-02-26,57.79,58.715,57.66,58.52,905961,FMC,0.017562163102069296,
2013-02-27,58.57,59.98,58.47,59.65,613294,FMC,0.019309637730690284,
2013-02-28,59.68,60.665,59.62,60.26,1567281,FMC,0.010226320201173502,
2013-03-01,59.97,60.21,59.14,59.9,978054,FMC,-0.005974112180550936,
2013-03-04,59.54,60.27,59.18,60.24,790501,FMC,0.005676126878130274,
2013-03-05,60.45,61.01,60.17,60.74,851659,FMC,0.008300132802124834,
2013-03-06,60.88,61.34,60.6,61.07,668782,FMC,0.005432993085281499,
2013-03-07,61.06,61.48,60.79,60.89,633604,FMC,-0.0029474373669559476,
2013-03-08,61.23,61.505,60.81,61.12,918341,FMC,0.0037773033338807174,
2013-03-11,61.17,61.51,60.865,61.39,710017,FMC,0.004417539267015758,
2013-03-12,61.33,61.6699,61.01,61.27,897190,FMC,-0.0019547157517510578,
2013-03-13,61.32,61.32,60.65,61.15,577562,FMC,-0.0019585441488494293,
2013-03-14,61.38,61.61,60.95,61.16,727380,FMC,0.00016353229762874915,
2013-03-15,60.86,61.19,59.93,60.0,2603906,FMC,-0.018966644865925388,
2013-03-18,59.53,60.03,59.321,59.51,940540,FMC,-0.0081666666666667,
2013-03-19,59.62,59.695,58.425,59.27,850323,FMC,-0.004032935641068642,
2013-03-20,59.52,59.79,58.93,59.16,645459,FMC,-0.0018559136156572724,
2013-03-21,58.76,58.838,57.09,57.19,1372884,FMC,-0.0332995267072346,
2013-03-22,57.5,57.79,57.22,57.45,943292,FMC,0.004546249344291049,59.52033333333333
2013-03-25,57.5,57.61,56.54,56.65,979476,FMC,-0.013925152306353425,59.41466666666667
2013-03-26,56.72,57.22,56.5,56.96,671491,FMC,0.005472197705207454,59.34
