date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,20.04,20.15,19.94,20.14,2675438,GGP,,
2013-02-11,20.15,20.25,20.12,20.18,1954710,GGP,0.001986097318768577,
2013-02-12,19.96,20.25,19.92,20.15,4993736,GGP,-0.001486620416253773,
2013-02-13,20.13,20.27,19.83,19.91,5177857,GGP,-0.011910669975186028,
2013-02-14,19.93,19.98,19.71,19.8,2843742,GGP,-0.00552486187845301,
2013-02-15,19.82,20.04,19.79,19.96,3442592,GGP,0.008080808080808088,
2013-02-19,19.96,20.1,19.83,20.08,3606272,GGP,0.006012024048096064,
2013-02-20,20.07,20.26,19.88,19.9,4885578,GGP,-0.008964143426294808,
2013-02-21,19.85,19.9,19.43,19.45,3937714,GGP,-0.022613065326633132,
2013-02-22,19.55,19.73,19.46,19.66,2227923,GGP,0.01079691516709516,
2013-02-25,19.75,19.77,19.19,19.19,3253118,GGP,-0.023906408952187125,
2013-02-26,19.21,19.38,19.07,19.17,3025749,GGP,-0.0010422094841062832,
2013-02-27,19.19,19.39,19.16,19.32,3147386,GGP,0.007824726134585215,
2013-02-28,19.33,19.33,19.12,19.14,6282010,GGP,-0.009316770186335388,
2013-03-01,19.14,19.71,19.08,19.7,5450061,GGP,0.029258098223615397,
2013-03-04,19.7,19.91,19.6501,19.91,3748689,GGP,0.010659898477157405,
2013-03-05,20.0,20.08,19.92,20.0,4332644,GGP,0.0045203415369161155,
2013-03-06,20.05,20.23,19.79,20.14,5432079,GGP,0.007000000000000029,
2013-03-07,19.91,20.1,19.79,19.83,5898184,GGP,-0.015392254220456914,
2013-03-08,19.9,19.9,19.65,19.75,4041705,GGP,-0.004034291477559168,
2013-03-11,19.74,19.95,19.685,19.93,3697063,GGP,0.009113924050632898,
2013-03-12,19.91,20.09,19.91,19.97,4253938,GGP,0.0020070245860511365,
2013-03-13,19.93,20.06,19.765,19.81,5905191,GGP,-0.008012018027040569,
2013-03-14,19.78,19.97,19.77,19.86,7225902,GGP,0.002523977788995493,
2013-03-15,19.89,19.975,19.82,19.88,6843933,GGP,0.001007049345417904,
2013-03-18,19.76,19.9,19.7,19.9,4669856,GGP,0.0010060362173038016,
2013-03-19,19.88,19.96,19.76,19.86,3238030,GGP,-0.0020100502512562387,
2013-03-20,19.86,20.0,19.8,19.99,2202162,GGP,0.006545820745216466,
2013-03-21,19.89,20.04,19.88,19.89,5734105,GGP,-0.005002501250625207,
2013-03-22,19.89,20.04,19.82,19.95,2953400,GGP,0.003016591251885305,19.814
