date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,28.54,28.73,28.5,28.57,6316645,GM,,
2013-02-11,28.51,28.65,28.35,28.53,5589830,GM,-0.001400070003500145,
2013-02-12,28.43,28.75,28.24,28.55,7175443,GM,0.0007010164738871213,
2013-02-13,28.75,28.87,28.44,28.67,9281737,GM,0.00420315236427324,
2013-02-14,28.74,29.36,27.67,27.75,19226730,GM,-0.03208929194279741,
2013-02-15,27.59,27.92,27.22,27.76,12860643,GM,0.0003603603603604167,
2013-02-19,27.69,27.8,27.46,27.68,7090948,GM,-0.002881844380403525,
2013-02-20,27.81,27.81,27.05,27.1,7246810,GM,-0.020953757225433464,
2013-02-21,27.02,27.04,26.33,26.51,13893819,GM,-0.021771217712177115,
2013-02-22,26.4,27.12,26.31,27.11,9287457,GM,0.022632968691059897,
2013-02-25,27.11,27.17,26.33,26.33,11123163,GM,-0.02877167097012177,
2013-02-26,26.65,26.85,26.19,26.83,13364433,GM,0.0189897455374098,
2013-02-27,26.8,27.58,26.72,27.4,13116386,GM,0.02124487513976893,
2013-02-28,27.5,27.57,26.89,27.15,10310470,GM,-0.009124087591240877,
2013-03-01,26.83,27.49,26.75,27.21,9018734,GM,0.0022099447513812993,
2013-03-04,27.14,27.29,26.99,27.09,6586922,GM,-0.00441014332965825,
2013-03-05,27.22,27.79,27.19,27.58,9191097,GM,0.018087855297157566,
2013-03-06,27.76,27.96,27.62,27.91,9002872,GM,0.011965192168237921,
2013-03-07,27.86,28.14,27.79,27.88,9429418,GM,-0.0010748835542816603,
2013-03-08,27.91,28.19,27.89,28.0,5910491,GM,0.004304160688665746,
2013-03-11,27.95,28.39,27.55,28.31,19122052,GM,0.011071428571428526,
2013-03-12,28.26,28.64,28.09,28.37,10681744,GM,0.002119392440833708,
2013-03-13,28.38,28.38,28.0475,28.07,10274635,GM,-0.010574550581600306,
2013-03-14,28.05,28.23,28.04,28.16,6440215,GM,0.0032062700391877396,
2013-03-15,27.96,28.26,27.8,28.21,12115378,GM,0.0017755681818182071,
2013-03-18,27.95,28.15,27.73,28.04,13758186,GM,-0.006026231832683505,
2013-03-19,28.1,28.2,27.9,28.1,12636519,GM,0.002139800285306786,
2013-03-20,28.25,29.3,28.19,29.2,25402300,GM,0.03914590747330953,
2013-03-21,28.91,29.17,28.57,28.63,13447060,GM,-0.01952054794520549,
2013-03-22,28.615,28.71,27.96,28.22,12643375,GM,-0.014320642682500878,27.830666666666666
2013-03-25,28.39,28.48,28.02,28.16,6669835,GM,-0.002126151665485426,27.817
2013-03-26,28.28,28.35,27.99,28.15,6872018,GM,-0.0003551136363636919,27.804333333333332
2013-03-27,28.05,28.27,27.96,28.06,5444328,GM,-0.003197158081705146,27.788
2013-03-28,28.02,28.09,27.64,27.82,9268297,GM,-0.008553100498930807,27.759666666666664
2013-04-01,27.65,28.09,27.65,27.8,8834797,GM,-0.0007189072609633204,27.76133333333333
2013-04-02,27.96,28.3,27.53,27.93,16188021,GM,0.0046762589928057196,27.767
2013-04-03,28.0,28.1,27.66,27.8,11199677,GM,-0.004654493376297852,27.771
2013-04-04,27.75,28.0,27.51,27.74,8571727,GM,-0.002158273381295046,27.792333333333332
2013-04-05,27.38,27.56,27.11,27.52,11792722,GM,-0.007930785868781503,27.826
2013-04-08,27.5,27.64,27.4,27.59,11572829,GM,0.002543604651162801,27.842
2013-04-09,27.77,27.78,27.5,27.53,9639722,GM,-0.002174700978615394,27.881999999999998
2013-04-10,27.69,28.51,27.68,28.37,12927800,GM,0.030512168543407187,27.933333333333334
2013-04-11,28.49,29.76,28.44,29.72,22305042,GM,0.047585477617201194,28.01066666666667
2013-04-12,29.57,29.84,29.55,29.62,15619284,GM,-0.0033647375504709917,28.093
2013-04-15,29.41,29.69,28.84,28.91,14020377,GM,-0.023970290344361947,28.14966666666667
2013-04-16,29.17,29.515,29.17,29.47,8007748,GM,0.019370460048426106,28.229
2013-04-17,29.03,29.33,28.7709,29.27,10670370,GM,-0.006786562606040017,28.28533333333333
2013-04-18,29.25,29.38,28.75,28.98,11105963,GM,-0.009907755380936084,28.321
2013-04-19,29.1,29.26,28.905,29.15,7167244,GM,0.005866114561766672,28.363333333333333
2013-04-22,29.2,29.34,28.85,29.25,6738184,GM,0.003430531732418574,28.404999999999998
2013-04-23,29.34,29.92,29.28,29.85,8438175,GM,0.02051282051282056,28.456333333333337
2013-04-24,29.91,30.8,29.86,30.45,21489103,GM,0.02010050251256274,28.525666666666666
2013-04-25,30.06,30.78,30.0,30.71,14505614,GM,0.008538587848932728,28.613666666666667
2013-04-26,30.79,30.8,30.03,30.5,13738736,GM,-0.006838163464669516,28.691666666666666
2013-04-29,30.62,30.895,30.415,30.79,6197272,GM,0.009508196721311448,28.777666666666665
2013-04-30,30.77,30.97,30.57,30.84,8104475,GM,0.0016239038648912215,28.871
2013-05-01,30.77,31.08,30.11,30.18,10390849,GM,-0.021400778210116735,28.940333333333335
2013-05-02,31.305,31.82,31.05,31.16,19124001,GM,0.03247183565275018,29.005666666666666
2013-05-03,31.74,32.44,31.63,32.1,12473891,GM,0.030166880616174625,29.121333333333332
2013-05-06,32.02,32.225,31.78,31.82,8501444,GM,-0.008722741433021841,29.241333333333333
2013-05-07,31.92,32.13,31.46,31.65,11421644,GM,-0.005342551854179815,29.357666666666663
2013-05-08,31.41,32.19,31.09,32.08,9973076,GM,0.013586097946287512,29.488666666666667
2013-05-09,32.01,32.16,31.62,31.65,10861627,GM,-0.013403990024937648,29.608333333333334
2013-05-10,31.55,31.7,30.97,31.42,12811341,GM,-0.007266982622432761,29.728333333333335
2013-05-13,31.16,31.35,30.865,31.0,8098076,GM,-0.013367281985996234,29.835
2013-05-14,31.02,31.7,31.01,31.55,10679795,GM,0.017741935483870992,29.955666666666666
2013-05-15,31.55,32.4,31.51,32.31,15085956,GM,0.024088748019017482,30.106
2013-05-16,32.09,32.67,32.0,32.39,10425265,GM,0.0024760136180748465,30.261000000000003
2013-05-17,32.99,33.77,32.81,33.42,20903454,GM,0.031799938252547115,30.457666666666668
2013-05-20,33.37,34.01,33.36,33.7,15259160,GM,0.008378216636744498,30.661333333333335
2013-05-21,33.59,33.96,32.88,33.4,13790764,GM,-0.008902077151335437,30.857000000000003
2013-05-22,33.22,33.93,32.99,33.23,13122389,GM,-0.005089820359281488,31.019000000000002
2013-05-23,32.33,33.11,32.1,32.85,10526525,GM,-0.011435449894673351,31.12333333333333
2013-05-24,32.55,33.0,32.51,32.87,5861202,GM,0.0006088280060881589,31.231666666666666
2013-05-28,34.0,34.3,33.75,33.96,16969363,GM,0.03316093702464264,31.4
2013-05-29,33.71,34.3,33.45,34.05,10867181,GM,0.002650176678445121,31.552666666666664
2013-05-30,34.04,34.91,33.87,34.64,15085252,GM,0.01732745961820862,31.73166666666667
2013-05-31,34.53,34.78,33.89,33.89,10139302,GM,-0.021651270207852194,31.895333333333333
2013-06-03,34.57,34.69,33.38,34.42,17729245,GM,0.015638831513720895,32.071
2013-06-04,35.4,35.49,34.75,34.96,30513482,GM,0.015688553166763482,32.26133333333333
2013-06-05,35.0,35.07,34.0,34.02,22344886,GM,-0.026887871853546845,32.400333333333336
2013-06-06,34.12,34.53,33.78,34.44,79845529,GM,0.012345679012345519,32.53333333333333
2013-06-07,34.79,35.1,34.0,35.03,30684172,GM,0.017131242740998937,32.67733333333334
2013-06-10,35.18,35.24,34.52,34.74,15221212,GM,-0.008278618327148135,32.818666666666665
2013-06-11,34.37,34.4899,33.59,33.93,17023614,GM,-0.02331606217616587,32.92333333333333
2013-06-12,34.28,34.46,33.24,33.45,13641996,GM,-0.01414677276746233,33.010333333333335
2013-06-13,33.36,34.51,33.1,34.5,15606498,GM,0.03139013452914789,33.154333333333334
2013-06-14,34.46,34.62,34.09,34.29,10090564,GM,-0.0060869565217391555,33.25866666666666
2013-06-17,34.5,34.56,33.6,33.73,10194907,GM,-0.01633129192184317,33.313
2013-06-18,33.8,34.06,33.44,34.01,9926117,GM,0.008301215535131964,33.386
2013-06-19,34.02,34.25,33.65,33.66,8426533,GM,-0.01029109085563074,33.453
2013-06-20,33.41,33.41,32.279,32.56,29112355,GM,-0.03267973856209134,33.469
2013-06-21,32.96,32.97,31.74,32.21,19000454,GM,-0.010749385749385791,33.48766666666667
2013-06-24,31.76,31.84,31.13,31.42,18972879,GM,-0.02452654455138153,33.48766666666667
2013-06-25,31.75,32.02,31.54,31.82,9268962,GM,0.012730744748567745,33.515
2013-06-26,32.18,32.7,32.03,32.55,10375271,GM,0.022941546197360052,33.54833333333333
2013-06-27,32.92,33.5,32.78,33.1,11004177,GM,0.016897081413210578,33.574666666666666
2013-06-28,33.02,33.72,32.8,33.31,15817271,GM,0.006344410876132956,33.605333333333334
2013-07-01,33.52,34.19,33.41,34.0,10310799,GM,0.020714500150105005,33.62466666666667
2013-07-02,34.04,34.94,33.82,34.1,15171868,GM,0.002941176470588277,33.638
2013-07-03,33.94,34.4,33.76,34.14,5715638,GM,0.0011730205278592124,33.66266666666667
2013-07-05,34.35,34.83,34.24,34.67,7107285,GM,0.015524311657879354,33.71066666666666
2013-07-08,34.78,35.02,34.54,34.64,11234206,GM,-0.0008653014133256745,33.77033333333333
2013-07-09,34.9,35.25,34.72,34.92,7243286,GM,0.008083140877598186,33.83866666666667
2013-07-10,34.9,35.34,34.84,35.33,11853987,GM,0.011741122565864735,33.88433333333333
2013-07-11,35.72,36.2,35.64,36.14,13246313,GM,0.022926691197282828,33.954
2013-07-12,36.09,36.58,35.91,36.4,10743727,GM,0.007194244604316492,34.01266666666667
2013-07-15,36.6,36.72,36.28,36.5,8968185,GM,0.0027472527472527865,34.099666666666664
2013-07-16,36.87,36.94,35.76,36.18,16273104,GM,-0.008767123287671241,34.15833333333333
2013-07-17,36.23,36.56,36.081,36.36,10943219,GM,0.004975124378109445,34.205000000000005
2013-07-18,36.5,36.99,36.33,36.84,10679849,GM,0.01320132013201331,34.299
2013-07-19,36.89,36.89,36.06,36.61,11618062,GM,-0.006243213897937133,34.37133333333334
2013-07-22,36.62,36.99,36.48,36.76,11259967,GM,0.004097241190931401,34.428999999999995
2013-07-23,36.89,36.95,36.52,36.61,9298223,GM,-0.004080522306855239,34.49133333333334
2013-07-24,37.105,37.45,36.87,37.14,15181401,GM,0.014476918874624451,34.598333333333336
2013-07-25,37.47,37.71,36.51,37.08,18070510,GM,-0.0016155088852989304,34.71933333333333
2013-07-26,36.93,37.0,36.46,36.67,15895987,GM,-0.01105717367853281,34.791666666666664
2013-07-29,36.57,36.67,36.15,36.38,8407826,GM,-0.007908371966184869,34.86133333333333
2013-07-30,36.53,36.785,36.32,36.5,12244533,GM,0.003298515667949352,34.95366666666666
2013-07-31,36.62,36.72,35.67,35.87,20694564,GM,-0.01726027397260281,35.01566666666667
2013-08-01,36.39,36.86,36.01,36.47,16149614,GM,0.016727069974909435,35.10933333333333
2013-08-02,36.44,37.18,36.34,36.95,11855542,GM,0.013161502604880833,35.25566666666667
2013-08-05,37.03,37.05,36.645,36.75,7149802,GM,-0.005412719891745679,35.407000000000004
2013-08-06,36.44,36.49,35.96,35.96,13486031,GM,-0.021496598639455758,35.55833333333333
2013-08-07,36.01,36.1,35.43,35.48,19401484,GM,-0.013348164627363848,35.68033333333333
2013-08-08,35.61,36.11,35.57,36.01,14456989,GM,0.014937993235625738,35.79566666666666
2013-08-09,35.96,36.27,35.7,36.02,7705822,GM,0.00027770063871161114,35.893
2013-08-12,35.76,36.1,35.6,35.98,8441858,GM,-0.0011104941699057816,35.982
2013-08-13,36.21,36.21,35.59,35.84,7145652,GM,-0.0038910505836574063,36.04333333333334
2013-08-14,35.84,36.0103,35.21,35.57,11341055,GM,-0.00753348214285723,36.092333333333336
2013-08-15,35.17,35.18,34.41,34.55,20382865,GM,-0.02867585043576056,36.106
2013-08-16,34.59,34.91,34.18,34.38,12498731,GM,-0.0049204052098406545,36.096333333333334
2013-08-19,34.56,34.83,34.42,34.49,9198327,GM,0.003199534613147162,36.09133333333333
2013-08-20,34.56,34.91,34.05,34.79,13766894,GM,0.008698173383589363,36.087
2013-08-21,34.78,34.95,34.39,34.53,9798641,GM,-0.007473411899971199,36.06033333333333
2013-08-22,34.66,35.05,34.65,34.99,9572186,GM,0.013321749203591105,36.022000000000006
2013-08-23,35.14,35.22,34.86,35.06,7487040,GM,0.0020005715918834034,35.977333333333334
2013-08-26,35.03,35.52,34.85,34.92,10829745,GM,-0.003993154592127797,35.92466666666667
2013-08-27,34.44,34.609,33.62,33.69,11906007,GM,-0.03522336769759461,35.84166666666667
2013-08-28,33.57,34.16,33.5,33.92,9109170,GM,0.006826951617690828,35.76033333333333
2013-08-29,33.82,34.69,33.81,34.45,10558012,GM,0.01562500000000003,35.68066666666667
2013-08-30,34.5,34.5399,33.9,34.08,8099617,GM,-0.010740203193033513,35.59633333333333
2013-09-03,34.68,34.77,33.96,34.14,10906654,GM,0.001760563380281757,35.509
2013-09-04,34.2,35.9,34.17,35.85,23035961,GM,0.05008787346221444,35.483666666666664
2013-09-05,36.01,36.79,35.87,36.33,18635518,GM,0.013389121338912046,35.45666666666667
2013-09-06,36.4,36.615,35.61,36.15,14244944,GM,-0.004954582989265063,35.425666666666665
2013-09-09,36.34,36.7,36.25,36.48,13511817,GM,0.009128630705394145,35.419333333333334
2013-09-10,36.94,37.27,36.715,37.0,10596771,GM,0.014254385964912368,35.440000000000005
2013-09-11,36.53,36.6,36.02,36.35,27025694,GM,-0.01756756756756753,35.43500000000001
2013-09-12,36.37,36.56,35.88,36.37,15743680,GM,0.0005502063273726553,35.45166666666667
2013-09-13,36.49,36.55,35.99,36.06,12642931,GM,-0.008523508386032313,35.437999999999995
2013-09-16,36.47,36.62,36.15,36.22,14820419,GM,0.004437049362174059,35.413666666666664
2013-09-17,36.32,36.98,36.32,36.71,12957052,GM,0.013528437327443457,35.41233333333333
2013-09-18,36.76,37.73,36.71,37.58,21432871,GM,0.02369926450558424,35.46633333333333
2013-09-19,37.84,37.88,37.16,37.23,16823983,GM,-0.009313464608834525,35.52466666666667
2013-09-20,37.64,37.68,36.83,36.83,35707239,GM,-0.010744023636851964,35.55200000000001
2013-09-23,37.15,37.5,36.55,37.13,18485672,GM,0.008145533532446491,35.589000000000006
2013-09-24,37.16,37.97,37.06,37.44,23659711,GM,0.008349043899811342,35.63766666666667
2013-09-25,37.53,37.78,37.16,37.18,15115863,GM,-0.006944444444444392,35.68233333333333
2013-09-26,37.19,37.35,36.76,36.95,14030472,GM,-0.006186121570736871,35.72833333333333
2013-09-27,36.77,36.9,36.16,36.37,14173547,GM,-0.01569688768606239,35.789
2013-09-30,35.71,36.315,35.62,35.97,17710043,GM,-0.010998075336816019,35.842
2013-10-01,36.04,36.41,35.32,35.91,21886654,GM,-0.0016680567139283368,35.889333333333326
2013-10-02,35.74,36.0,35.23,35.94,19459686,GM,0.0008354218880534987,35.92766666666667
2013-10-03,35.76,35.94,35.134,35.29,15000553,GM,-0.01808569838619918,35.952999999999996
2013-10-04,35.44,35.795,35.13,35.7,13795978,GM,0.01161802210257874,35.97666666666667
2013-10-07,35.23,35.52,35.02,35.18,12179524,GM,-0.0145658263305323,35.98066666666667
2013-10-08,35.25,35.27,34.17,34.21,23714055,GM,-0.02757248436611708,35.957
2013-10-09,34.33,34.39,33.92,34.16,21097857,GM,-0.0014615609470916182,35.97266666666666
2013-10-10,34.74,34.89,34.61,34.85,18033159,GM,0.02019906323185026,36.00366666666667
2013-10-11,34.79,35.52,34.66,35.35,15406658,GM,0.014347202295552367,36.03366666666667
2013-10-14,34.83,35.445,34.81,35.33,11192612,GM,-0.0005657708628006542,36.07533333333333
2013-10-15,35.28,35.38,34.51,34.7,13678953,GM,-0.0178318709312198,36.094
2013-10-16,35.02,35.21,34.78,35.13,15490433,GM,0.01239193083573486,36.07000000000001
2013-10-17,35.16,35.79,34.96,35.66,12581101,GM,0.015086820381440193,36.047666666666665
2013-10-18,36.21,36.3,35.68,35.89,14070576,GM,0.006449803701626585,36.039
2013-10-21,36.26,36.265,35.34,35.5,13366413,GM,-0.010866536639732532,36.00633333333334
2013-10-22,35.62,36.13,35.37,35.41,17008175,GM,-0.00253521126760573,35.95333333333334
2013-10-23,35.38,35.39,34.53,35.05,17307607,GM,-0.010166619598983323,35.91
2013-10-24,35.49,36.0278,35.1,35.63,19286980,GM,0.016547788873038673,35.88533333333333
2013-10-25,35.67,35.77,35.32,35.59,12838086,GM,-0.0011226494527083678,35.869666666666674
2013-10-28,35.44,35.97,35.43,35.8,12745363,GM,0.005900533857825055,35.85566666666667
2013-10-29,35.82,36.18,35.505,36.06,24036793,GM,0.007262569832402378,35.833999999999996
2013-10-30,37.2,37.55,36.78,37.23,42125051,GM,0.03244592346089835,35.82233333333333
2013-10-31,37.18,37.99,36.95,36.95,28102755,GM,-0.007520816545796241,35.813
2013-11-01,37.17,38.21,37.05,37.39,30765422,GM,0.011907983761840261,35.83166666666666
2013-11-04,37.5,37.8,37.41,37.47,18005195,GM,0.002139609521262324,35.842999999999996
2013-11-05,37.28,37.51,37.07,37.09,15198041,GM,-0.010141446490525632,35.83133333333333
2013-11-06,37.24,37.4,36.57,36.59,16164617,GM,-0.013480722566729575,35.81166666666666
2013-11-07,36.61,36.75,35.91,35.92,19893826,GM,-0.018311013938234536,35.77733333333334
2013-11-08,36.15,36.77,36.01,36.66,18203136,GM,0.02060133630289518,35.787
2013-11-11,36.68,37.09,36.5,36.68,13666468,GM,0.000545553737043184,35.81066666666666
2013-11-12,36.67,36.8,36.37,36.66,14363633,GM,-0.0005452562704471954,35.835666666666675
