date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,40.87,41.35,40.81,41.26,8003177,HAL,,
2013-02-11,41.24,41.44,40.73,40.87,8821128,HAL,-0.009452253999030552,
2013-02-12,40.99,41.15,40.64,40.71,5599618,HAL,-0.003914851969659814,
2013-02-13,40.83,41.1,40.63,40.84,6009575,HAL,0.003193318594939881,
2013-02-14,40.72,43.96,40.72,43.32,26175786,HAL,0.060724779627815785,
2013-02-15,43.0,43.2,42.24,42.7,19394089,HAL,-0.014312096029547495,
2013-02-19,43.54,43.96,42.59,42.81,15348601,HAL,0.0025761124121779725,
2013-02-20,42.86,42.95,41.55,41.62,15692625,HAL,-0.02779724363466491,
2013-02-21,41.36,41.43,40.26,40.77,18734922,HAL,-0.020422873618452533,
2013-02-22,40.91,41.19,40.325,41.11,9084681,HAL,0.008339465293107586,
2013-02-25,41.4,41.75,39.75,39.85,9781196,HAL,-0.030649477012892192,
2013-02-26,40.02,40.68,39.485,40.49,9852377,HAL,0.016060225846925985,
2013-02-27,40.1,41.4,40.06,41.27,9178724,HAL,0.01926401580637197,
2013-02-28,41.23,41.98,40.92,41.51,9741917,HAL,0.005815362248606612,
2013-03-01,41.17,41.36,40.465,40.63,9560392,HAL,-0.021199710913032896,
2013-03-04,40.19,40.5,39.52,39.96,9178598,HAL,-0.01649027811961609,
2013-03-05,40.15,41.02,40.0,41.0,9066735,HAL,0.026026026026026005,
2013-03-06,41.46,41.46,40.35,40.8,6609930,HAL,-0.004878048780487874,
2013-03-07,41.06,41.43,40.47,41.41,9665281,HAL,0.01495098039215685,
2013-03-08,41.78,42.22,41.48,42.08,11000400,HAL,0.016179666747162563,
2013-03-11,41.9,42.27,41.6,42.0,9047012,HAL,-0.001901140684410606,
2013-03-12,42.05,42.55,41.71,41.96,7073090,HAL,-0.0009523809523809321,
2013-03-13,41.99,42.378,41.643,41.84,8237954,HAL,-0.0028598665395614263,
2013-03-14,41.96,42.64,41.64,42.54,8683120,HAL,0.016730401529636608,
2013-03-15,42.35,42.64,41.88,41.9,14429722,HAL,-0.015044663845792209,
2013-03-18,41.16,41.8,40.48,40.73,13678569,HAL,-0.02792362768496424,
2013-03-19,40.77,40.93,38.83,39.62,27651760,HAL,-0.027252639332187564,
2013-03-20,40.0,40.12,38.8665,39.44,13585221,HAL,-0.004543160020191815,
2013-03-21,39.5,40.07,39.36,39.47,10858353,HAL,0.0007606490872211242,
2013-03-22,39.53,39.9,39.0,39.16,14656637,HAL,-0.007854066379528814,41.12233333333334
2013-03-25,39.6,39.85,39.175,39.65,9896599,HAL,0.01251276813074571,41.068666666666665
2013-03-26,39.81,40.18,39.71,40.13,11004033,HAL,0.012105926860025321,41.044000000000004
2013-03-27,39.97,40.89,39.63,40.66,8292448,HAL,0.01320707699975066,41.04233333333333
2013-03-28,40.58,40.71,40.12,40.41,7118907,HAL,-0.006148548942449582,41.028
2013-04-01,40.35,40.44,39.46,39.93,6884331,HAL,-0.011878247958426055,40.915
2013-04-02,39.93,40.39,39.58,39.89,6905871,HAL,-0.001001753067868749,40.82133333333333
