date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,7.15,7.2,7.09,7.2,10740477,HBAN,,
2013-02-11,7.19,7.19,7.11,7.12,6325860,HBAN,-0.01111111111111112,
2013-02-12,7.12,7.22,7.12,7.22,13158968,HBAN,0.014044943820224668,
2013-02-13,7.23,7.24,7.1,7.13,9643187,HBAN,-0.012465373961218818,
2013-02-14,7.1,7.18,7.0801,7.17,11092444,HBAN,0.005610098176718098,
2013-02-15,7.12,7.18,7.09,7.1,12188196,HBAN,-0.009762900976290137,
2013-02-19,7.12,7.17,7.09,7.14,11959713,HBAN,0.005633802816901414,
2013-02-20,7.13,7.165,7.0,7.01,14155810,HBAN,-0.018207282913165253,
2013-02-21,7.01,7.02,6.83,6.86,19455490,HBAN,-0.02139800285306697,
2013-02-22,6.92,6.98,6.9,6.98,12689028,HBAN,0.017492711370262405,
2013-02-25,7.04,7.07,6.8,6.8,9527765,HBAN,-0.02578796561604593,
2013-02-26,6.81,6.89,6.75,6.8,12171910,HBAN,0.0,
2013-02-27,6.82,7.06,6.81,7.03,15475979,HBAN,0.033823529411764766,
2013-02-28,7.02,7.09,6.985,7.03,11466045,HBAN,0.0,
2013-03-01,7.0,7.1,6.94,7.07,6940078,HBAN,0.005689900426742537,
2013-03-04,7.03,7.23,7.02,7.21,10134223,HBAN,0.019801980198019757,
2013-03-05,7.23,7.25,7.11,7.18,16411714,HBAN,-0.004160887656033322,
2013-03-06,7.22,7.25,7.19,7.22,8205242,HBAN,0.005571030640668529,
2013-03-07,7.23,7.36,7.2,7.34,11208902,HBAN,0.016620498614958464,
2013-03-08,7.42,7.46,7.32,7.36,8971770,HBAN,0.0027247956403270383,
2013-03-11,7.33,7.43,7.29,7.4,8649966,HBAN,0.005434782608695656,
2013-03-12,7.38,7.43,7.34,7.38,8429609,HBAN,-0.002702702702702765,
2013-03-13,7.37,7.47,7.355,7.47,7831043,HBAN,0.012195121951219494,
2013-03-14,7.46,7.5,7.43,7.495,12369996,HBAN,0.0033467202141901414,
2013-03-15,7.5,7.55,7.45,7.509,14791827,HBAN,0.0018679119412942273,
2013-03-18,7.38,7.49,7.29,7.43,7647722,HBAN,-0.010520708483153632,
2013-03-19,7.48,7.51,7.41,7.48,11007371,HBAN,0.006729475100942222,
2013-03-20,7.5,7.53,7.46,7.5,8106789,HBAN,0.0026737967914437933,
2013-03-21,7.46,7.53,7.42,7.45,7950775,HBAN,-0.006666666666666643,
2013-03-22,7.45,7.48,7.34,7.38,22532171,HBAN,-0.009395973154362454,7.215466666666667
2013-03-25,7.41,7.42,7.32,7.35,9011048,HBAN,-0.0040650406504065375,7.220466666666667
2013-03-26,7.41,7.48,7.3601,7.47,9384325,HBAN,0.016326530612244913,7.2321333333333335
2013-03-27,7.4,7.44,7.36,7.41,5233436,HBAN,-0.008032128514056172,7.238466666666667
2013-03-28,7.42,7.46,7.36,7.37,6387288,HBAN,-0.005398110661268561,7.246466666666667
2013-04-01,7.4,7.44,7.31,7.33,6307278,HBAN,-0.005427408412483044,7.2518
2013-04-02,7.33,7.36,7.26,7.27,6672271,HBAN,-0.008185538881309753,7.257466666666667
2013-04-03,7.27,7.32,7.14,7.19,8478473,HBAN,-0.011004126547455185,7.259133333333334
2013-04-04,7.19,7.26,7.15,7.25,6661575,HBAN,0.008344923504867817,7.267133333333334
2013-04-05,7.14,7.235,7.1,7.21,10482436,HBAN,-0.00551724137931035,7.2788
2013-04-08,7.23,7.38,7.175,7.35,8691723,HBAN,0.019417475728155296,7.291133333333333
2013-04-09,7.38,7.43,7.33,7.39,6405216,HBAN,0.005442176870748304,7.3108
2013-04-10,7.43,7.5,7.43,7.45,8118850,HBAN,0.00811907983761847,7.332466666666666
2013-04-11,7.46,7.51,7.41,7.47,12434262,HBAN,0.0026845637583892044,7.347133333333333
2013-04-12,7.43,7.47,7.35,7.39,8137050,HBAN,-0.01070950468540831,7.359133333333333
2013-04-15,7.33,7.38,7.15,7.15,11351923,HBAN,-0.03247631935047352,7.361800000000001
2013-04-16,7.26,7.27,7.15,7.22,13484123,HBAN,0.009790209790209706,7.362133333333333
2013-04-17,7.14,7.19,6.93,7.005,18630969,HBAN,-0.029778393351800537,7.3563
2013-04-18,6.95,6.99,6.82,6.86,15941148,HBAN,-0.020699500356887876,7.3443
2013-04-19,6.91,7.02,6.84,7.0,10057540,HBAN,0.020408163265306076,7.332966666666666
2013-04-22,7.0,7.03,6.93,6.975,7030608,HBAN,-0.003571428571428622,7.320133333333334
2013-04-23,7.01,7.075,6.97,7.06,13094376,HBAN,0.012186379928315408,7.3088
2013-04-24,7.07,7.1,7.02,7.095,12601328,HBAN,0.004957507082152995,7.2993
2013-04-25,7.14,7.19,7.1,7.11,7701960,HBAN,0.0021141649048626596,7.2873
2013-04-26,7.12,7.15,7.05,7.11,5792688,HBAN,0.0,7.274466666666667
2013-04-29,7.15,7.16,7.11,7.13,4768566,HBAN,0.002812939521800221,7.261833333333334
2013-04-30,7.14,7.18,7.1,7.17,7918070,HBAN,0.005610098176718098,7.253166666666667
2013-05-01,7.15,7.19,7.06,7.06,7256780,HBAN,-0.015341701534170199,7.239166666666667
2013-05-02,7.07,7.17,7.05,7.12,5344173,HBAN,0.00849858356940517,7.226500000000001
2013-05-03,7.2,7.28,7.17,7.27,8021644,HBAN,0.021067415730337005,7.2205
2013-05-06,7.29,7.35,7.26,7.33,7332335,HBAN,0.00825309491059154,7.218833333333333
2013-05-07,7.34,7.47,7.32,7.46,9494430,HBAN,0.017735334242837637,7.2225
2013-05-08,7.45,7.48,7.38,7.46,6294335,HBAN,0.0,7.222166666666667
2013-05-09,7.48,7.5,7.42,7.43,7159338,HBAN,-0.004021447721179658,7.222833333333333
2013-05-10,7.49,7.5,7.43,7.49,6820208,HBAN,0.00807537012113062,7.226833333333333
2013-05-13,7.49,7.52,7.43,7.49,6253952,HBAN,0.0,7.232166666666667
2013-05-14,7.48,7.7,7.48,7.69,10845895,HBAN,0.02670226969292392,7.246166666666667
2013-05-15,7.68,7.81,7.66,7.7,10673228,HBAN,0.0013003901170350828,7.263166666666666
2013-05-16,7.68,7.69,7.57,7.59,12217426,HBAN,-0.014285714285714327,7.2745
2013-05-17,7.68,7.75,7.65,7.74,6756723,HBAN,0.019762845849802417,7.292166666666668
2013-05-20,7.7,7.78,7.69,7.73,6312851,HBAN,-0.0012919896640826599,7.304833333333334
2013-05-21,7.7,7.75,7.65,7.69,8932250,HBAN,-0.005174644243208283,7.3148333333333335
2013-05-22,7.69,7.81,7.52,7.56,12329807,HBAN,-0.01690507152145654,7.3185
2013-05-23,7.5,7.55,7.43,7.52,8727215,HBAN,-0.005291005291005296,7.320166666666667
2013-05-24,7.44,7.55,7.44,7.54,5387803,HBAN,0.002659574468085168,7.325166666666666
2013-05-28,7.62,7.68,7.6,7.62,10122363,HBAN,0.010610079575596827,7.340833333333333
2013-05-29,7.53,7.74,7.53,7.71,11202132,HBAN,0.011811023622047225,7.357166666666667
2013-05-30,7.7,7.95,7.7,7.89,15903100,HBAN,0.023346303501945487,7.386666666666667
2013-05-31,7.88,7.91,7.75,7.75,9132600,HBAN,-0.01774397972116599,7.416333333333333
2013-06-03,7.75,7.79,7.61,7.72,9069285,HBAN,-0.003870967741935516,7.440333333333333
2013-06-04,7.74,7.778,7.6,7.62,8473019,HBAN,-0.012953367875647622,7.461833333333333
2013-06-05,7.58,7.665,7.47,7.51,11802826,HBAN,-0.014435695538057784,7.476833333333333
2013-06-06,7.48,7.58,7.44,7.55,8927118,HBAN,0.005326231691078567,7.492000000000001
2013-06-07,7.61,7.69,7.555,7.68,7544311,HBAN,0.0172185430463576,7.511
2013-06-10,7.7,7.82,7.69,7.81,7180038,HBAN,0.016927083333333322,7.534333333333333
2013-06-11,7.72,7.77,7.66,7.68,6278731,HBAN,-0.01664532650448142,7.552666666666666
2013-06-12,7.73,7.77,7.59,7.59,12027553,HBAN,-0.011718749999999983,7.566666666666666
2013-06-13,7.54,7.75,7.52,7.73,11013168,HBAN,0.018445322793148956,7.5889999999999995
2013-06-14,7.72,7.74,7.53,7.53,9667937,HBAN,-0.02587322121604142,7.602666666666666
2013-06-17,7.56,7.68,7.5,7.56,9004618,HBAN,0.003984063745019835,7.612333333333334
2013-06-18,7.55,7.64,7.53,7.62,6196444,HBAN,0.007936507936508002,7.622
2013-06-19,7.62,7.62,7.47,7.47,10601176,HBAN,-0.019685039370078785,7.622333333333333
2013-06-20,7.4,7.65,7.38,7.51,17656883,HBAN,0.005354752342704155,7.623999999999999
2013-06-21,7.61,7.72,7.52,7.66,15523398,HBAN,0.019973368841544655,7.631666666666667
2013-06-24,7.63,7.7,7.56,7.61,12196292,HBAN,-0.00652741514360311,7.635666666666666
2013-06-25,7.69,7.82,7.63,7.78,11067973,HBAN,0.022339027595269373,7.645333333333332
2013-06-26,7.93,7.96,7.81,7.86,12042478,HBAN,0.010282776349614406,7.651
2013-06-27,7.91,7.92,7.84,7.88,12626857,HBAN,0.0025445292620864595,7.657
2013-06-28,7.85,7.91,7.8,7.87,8344613,HBAN,-0.0012690355329948969,7.666333333333333
2013-07-01,7.95,8.12,7.9,8.03,11313596,HBAN,0.020330368487928747,7.676
2013-07-02,8.06,8.25,8.05,8.22,19237772,HBAN,0.023661270236612863,7.692333333333334
2013-07-03,8.16,8.235,8.15,8.2,5711406,HBAN,-0.0024330900243310642,7.709333333333333
2013-07-05,8.31,8.5,8.28,8.5,11280331,HBAN,0.036585365853658625,7.740666666666667
2013-07-08,8.6,8.66,8.45,8.475,11212466,HBAN,-0.002941176470588277,7.772499999999999
2013-07-09,8.52,8.55,8.34,8.459,9543779,HBAN,-0.0018879056047197659,7.803133333333333
2013-07-10,8.47,8.49,8.16,8.27,18724624,HBAN,-0.022343066556330542,7.8248
2013-07-11,8.38,8.4,8.11,8.18,11777079,HBAN,-0.010882708585247867,7.840466666666667
2013-07-12,8.19,8.33,8.16,8.33,8726969,HBAN,0.018337408312958478,7.855133333333333
2013-07-15,8.38,8.43,8.32,8.37,7800979,HBAN,0.00480192076830722,7.8758
2013-07-16,8.38,8.41,8.17,8.26,11603101,HBAN,-0.013142174432496946,7.8938
2013-07-17,8.31,8.35,8.24,8.24,8495481,HBAN,-0.0024213075060532173,7.914466666666667
2013-07-18,8.17,8.49,8.12,8.4,17054417,HBAN,0.019417475728155355,7.944133333333334
2013-07-19,8.4,8.42,8.32,8.38,9634578,HBAN,-0.00238095238095233,7.9718
2013-07-22,8.44,8.53,8.39,8.53,7787614,HBAN,0.017899761336515344,8.000133333333332
2013-07-23,8.56,8.56,8.45,8.46,9614866,HBAN,-0.008206330597889626,8.0218
2013-07-24,8.49,8.62,8.42,8.59,14558108,HBAN,0.015366430260047163,8.052133333333334
2013-07-25,8.56,8.615,8.51,8.56,11687949,HBAN,-0.0034924330616995765,8.084466666666666
2013-07-26,8.49,8.6,8.48,8.6,6571242,HBAN,0.004672897196261582,8.113466666666667
2013-07-29,8.54,8.59,8.4,8.47,13214146,HBAN,-0.015116279069767327,8.1448
2013-07-30,8.46,8.54,8.42,8.44,10220459,HBAN,-0.0035419126328218578,8.174133333333334
2013-07-31,8.45,8.62,8.43,8.55,15758078,HBAN,0.01303317535545038,8.205133333333333
2013-08-01,8.6,8.78,8.58,8.71,10471964,HBAN,0.018713450292397675,8.246466666666667
2013-08-02,8.66,8.75,8.62,8.71,7102380,HBAN,0.0,8.286466666666668
2013-08-05,8.71,8.77,8.65,8.73,7664386,HBAN,0.0022962112514350826,8.322133333333333
2013-08-06,8.72,8.73,8.59,8.64,7548119,HBAN,-0.010309278350515446,8.356466666666668
2013-08-07,8.6,8.63,8.46,8.52,6944430,HBAN,-0.013888888888889003,8.381133333333333
