date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,37.3,37.49,37.16,37.22,1868471,HCA,,
2013-02-11,37.17,37.67,36.62,36.66,3504622,HCA,-0.015045674368619083,
2013-02-12,36.12,36.525,35.85,36.45,22097486,HCA,-0.0057283142389523665,
2013-02-13,36.93,37.19,36.35,36.89,7186748,HCA,0.012071330589849045,
2013-02-14,36.74,37.11,36.73,36.83,2861808,HCA,-0.0016264570344267355,
2013-02-15,36.8,36.98,36.1,36.28,2784912,HCA,-0.014933478142818278,
2013-02-19,36.28,36.51,35.63,36.41,5254918,HCA,0.003583241455347173,
2013-02-20,36.32,36.36,35.285,35.41,5443917,HCA,-0.027464982147761607,
2013-02-21,35.5,35.98,35.15,35.79,6301155,HCA,0.01073143179892693,
2013-02-22,35.81,35.97,35.62,35.76,2357513,HCA,-0.000838222967309336,
2013-02-25,35.84,36.05,35.17,35.21,3179958,HCA,-0.015380313199105067,
2013-02-26,35.21,35.8,34.9,35.64,3710445,HCA,0.012212439647827313,
2013-02-27,35.51,36.86,35.39,36.68,11416934,HCA,0.02918069584736249,
2013-02-28,36.6,37.65,36.53,37.09,8893918,HCA,0.011177753544165859,
2013-03-01,37.0,37.5,36.58,36.96,3892715,HCA,-0.0035049878673497586,
2013-03-04,36.73,37.27,36.28,36.65,5424085,HCA,-0.008387445887445949,
2013-03-05,36.77,37.22,36.77,36.94,6739920,HCA,0.007912687585266007,
2013-03-06,37.0,37.24,36.8,36.91,2972500,HCA,-0.000812127774769928,
2013-03-07,36.85,37.46,36.85,37.04,4086083,HCA,0.0035220807369277314,
2013-03-08,37.1,37.5,37.09,37.25,6148252,HCA,0.00566954643628512,
2013-03-11,37.25,38.12,37.25,37.79,4089104,HCA,0.01449664429530199,
2013-03-12,37.77,38.27,37.77,38.02,2951468,HCA,0.006086266207991638,
2013-03-13,37.99,38.41,37.94,38.28,3216216,HCA,0.006838506049447606,
2013-03-14,38.45,38.79,38.27,38.45,4670294,HCA,0.004440961337513106,
2013-03-15,38.43,38.51,37.8,37.92,5929386,HCA,-0.0137841352405722,
2013-03-18,37.73,37.89,37.3827,37.78,2789491,HCA,-0.003691983122362884,
2013-03-19,38.04,38.435,37.93,38.27,4119441,HCA,0.012969825304393912,
2013-03-20,38.5,38.86,38.29,38.56,2378054,HCA,0.007577737130911919,
2013-03-21,38.3,38.83,38.0901,38.56,2245243,HCA,0.0,
2013-03-22,38.76,39.77,38.7,39.31,3179726,HCA,0.01945020746887967,37.10033333333333
2013-03-25,39.32,39.96,39.25,39.4,2710331,HCA,0.0022894937674890945,37.173
2013-03-26,39.55,40.25,39.49,40.19,3183747,HCA,0.020050761421319774,37.29066666666667
2013-03-27,40.13,40.65,39.72,40.43,2395531,HCA,0.005971634735008759,37.42333333333333
2013-03-28,40.43,40.92,40.42,40.63,3416107,HCA,0.0049468216670789725,37.548
2013-04-01,40.5,41.2,40.215,40.72,2679872,HCA,0.00221511198621699,37.677666666666674
2013-04-02,41.4,41.5,39.11,39.86,6662175,HCA,-0.021119842829076606,37.797000000000004
2013-04-03,39.8,39.8,37.67,37.91,7316096,HCA,-0.048921224284997566,37.847
2013-04-04,37.79,37.86,36.53,37.69,9091530,HCA,-0.0058032181482458155,37.922999999999995
2013-04-05,37.2,38.14,37.09,37.48,4231959,HCA,-0.005571769700185749,37.97933333333333
2013-04-08,37.5,37.79,37.12,37.7,1248769,HCA,0.005869797225186926,38.044
2013-04-09,37.7,38.08,37.15,37.63,3932680,HCA,-0.0018567639257294503,38.12466666666667
2013-04-10,36.4,37.0,35.85,36.67,9024856,HCA,-0.025511559925591305,38.159
2013-04-11,36.69,38.52,36.42,38.43,5766936,HCA,0.04799563676029446,38.217333333333336
2013-04-12,38.17,38.69,38.03,38.32,2445637,HCA,-0.002862347124642192,38.25833333333333
2013-04-15,38.06,38.5,36.3,36.72,4647277,HCA,-0.04175365344467644,38.25033333333333
2013-04-16,35.59,37.88,35.55,37.87,8599957,HCA,0.03131808278867099,38.291000000000004
2013-04-17,37.55,37.81,36.65,37.54,3631844,HCA,-0.008714021653023457,38.31100000000001
2013-04-18,37.66,37.66,36.64,36.92,2129591,HCA,-0.016515716568993005,38.31133333333333
2013-04-19,37.28,37.97,36.9499,37.66,1629870,HCA,0.020043336944745256,38.332
2013-04-22,37.69,37.98,36.81,37.72,2405540,HCA,0.001593202336696821,38.34766666666667
2013-04-23,37.73,38.08,37.44,37.86,2549864,HCA,0.003711558854718997,38.35
2013-04-24,37.92,38.49,37.29,38.16,4710575,HCA,0.007923930269413555,38.35466666666667
2013-04-25,37.98,38.305,37.45,37.94,5820052,HCA,-0.005765199161425547,38.343333333333334
