date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,66.69,67.68,66.69,67.37,2760327,HES,,
2013-02-11,67.12,67.12,66.34,66.74,2299451,HES,-0.009351343327890895,
2013-02-12,66.71,67.38,66.48,66.98,2525119,HES,0.0035960443512138016,
2013-02-13,67.0,68.44,66.99,67.96,10539573,HES,0.01463123320394132,
2013-02-14,67.76,68.96,67.53,68.35,3537045,HES,0.005738669805768108,
2013-02-15,68.18,68.39,67.02,67.42,4049201,HES,-0.013606437454279337,
2013-02-19,67.69,68.46,67.42,68.21,2669145,HES,0.011717591219222664,
2013-02-20,68.11,68.17,65.84,66.01,3856204,HES,-0.03225333528808076,
2013-02-21,65.72,65.93,63.9,64.4,6311500,HES,-0.024390243902439015,
2013-02-22,65.04,66.1,64.38,66.03,2384782,HES,0.025310559006211108,
2013-02-25,66.45,66.97,63.72,63.74,2764773,HES,-0.03468120551264575,
2013-02-26,64.17,65.05,63.4,64.61,3919169,HES,0.013649199874490075,
2013-02-27,64.24,66.08,64.06,65.68,2529719,HES,0.016560903884847662,
2013-02-28,65.71,67.2325,65.45,66.5,3400026,HES,0.012484774665042525,
2013-03-01,66.04,66.55,65.18,66.54,4602723,HES,0.0006015037593985903,
2013-03-04,69.11,70.0,68.26,68.84,10305079,HES,0.034565674782085914,
2013-03-05,69.93,70.49,69.48,69.82,6542441,HES,0.014235909355025998,
2013-03-06,70.3,70.46,69.26,69.49,3565491,HES,-0.004726439415640194,
2013-03-07,69.88,69.92,68.8,69.04,2952587,HES,-0.006475751906749009,
2013-03-08,69.27,69.655,68.84,69.47,3227143,HES,0.0062282734646580615,
2013-03-11,69.23,69.96,68.65,69.89,2761767,HES,0.006045775154743079,
2013-03-12,69.93,70.85,69.77,70.38,4150993,HES,0.00701101731292023,
2013-03-13,70.32,71.99,70.04,71.69,3955604,HES,0.018613242398408673,
2013-03-14,71.67,72.12,71.35,71.97,3213437,HES,0.0039057051192635116,
2013-03-15,71.59,72.56,71.34,72.51,4497659,HES,0.007503126302626181,
2013-03-18,71.52,72.63,71.33,72.22,2444100,HES,-0.003999448351951541,
2013-03-19,72.17,72.4,69.045,70.0,3837264,HES,-0.03073940736638049,
2013-03-20,70.57,70.7,69.79,69.9,2444267,HES,-0.0014285714285713475,
2013-03-21,69.42,70.36,69.24,69.27,2334072,HES,-0.009012875536480823,
2013-03-22,69.62,70.37,69.53,70.27,2252016,HES,0.014436263894904,68.37666666666668
2013-03-25,71.0,71.74,70.36,70.44,3246298,HES,0.002419240074000309,68.479
2013-03-26,70.67,71.35,70.28,71.11,2443854,HES,0.009511641113004,68.62466666666667
2013-03-27,70.76,72.23,70.11,72.03,2585704,HES,0.012937702151596142,68.79299999999999
2013-03-28,72.0,72.5,71.13,71.61,2691347,HES,-0.005830903790087487,68.91466666666666
2013-04-01,71.57,74.48,71.36,73.54,4507833,HES,0.026951543080575433,69.08766666666666
2013-04-02,73.73,74.22,72.78,74.14,2992198,HES,0.00815882512918132,69.31166666666667
2013-04-03,74.25,74.25,71.84,72.06,3411201,HES,-0.02805503102239005,69.44
2013-04-04,72.1,72.24,70.65,71.79,2784647,HES,-0.0037468776019982794,69.63266666666667
2013-04-05,71.0,72.11,70.39,71.69,1661054,HES,-0.001392951664577358,69.87566666666666
2013-04-08,72.0,72.44,71.35,72.44,1890707,HES,0.010461710140884364,70.08933333333333
2013-04-09,72.48,73.6,71.88,73.3,3168217,HES,0.011871893981225835,70.40799999999999
