date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,24.26,24.35,24.04,24.17,4077911,HIG,,
2013-02-11,24.11,24.49,23.95,24.41,4127875,HIG,0.009929664873810444,
2013-02-12,24.35,24.51,24.21,24.4,5725410,HIG,-0.00040966816878334957,
2013-02-13,24.46,24.55,24.34,24.45,3636901,HIG,0.0020491803278688816,
2013-02-14,24.31,24.56,24.21,24.49,5069658,HIG,0.001635991820040865,
2013-02-15,24.46,24.67,24.135,24.2,4463187,HIG,-0.011841567986933409,
2013-02-19,24.42,24.8,24.28,24.76,6627141,HIG,0.02314049586776869,
2013-02-20,24.8,24.85,24.3,24.31,6051037,HIG,-0.018174474959612393,
2013-02-21,24.2001,24.29,23.575,23.7,7827622,HIG,-0.025092554504319187,
2013-02-22,24.02,24.2,23.91,24.09,5103475,HIG,0.01645569620253167,
2013-02-25,24.29,24.35,23.02,23.05,8913985,HIG,-0.04317144043171437,
2013-02-26,23.25,23.39,22.6401,23.35,8921607,HIG,0.013015184381778773,
2013-02-27,23.3,23.815,23.17,23.73,4445731,HIG,0.016274089935760128,
2013-02-28,23.69,23.89,23.56,23.61,3823357,HIG,-0.005056890012642267,
2013-03-01,23.38,23.75,23.11,23.68,5256969,HIG,0.002964845404489635,
2013-03-04,23.4,23.755,23.25,23.69,4919464,HIG,0.0004222972972973633,
2013-03-05,23.87,24.355,23.8,24.15,6516145,HIG,0.019417475728155224,
2013-03-06,24.34,24.54,24.2,24.26,6982473,HIG,0.004554865424430766,
2013-03-07,24.22,24.42,24.03,24.35,5965297,HIG,0.003709810387469079,
2013-03-08,24.47,25.55,24.46,25.45,10335877,HIG,0.045174537987679585,
2013-03-11,25.44,25.83,25.16,25.62,6011068,HIG,0.006679764243614998,
2013-03-12,25.62,25.975,25.57,25.65,6815254,HIG,0.0011709601873535356,
2013-03-13,25.74,25.88,25.57,25.75,4432664,HIG,0.0038986354775829017,
2013-03-14,25.94,26.5,25.87,26.46,6751435,HIG,0.027572815533980617,
2013-03-15,26.45,26.6,26.16,26.3,5840588,HIG,-0.006046863189720338,
2013-03-18,25.92,26.19,25.68,25.92,5262541,HIG,-0.014448669201520874,
2013-03-19,26.01,26.08,25.38,25.52,7373940,HIG,-0.01543209876543218,
2013-03-20,25.85,26.28,25.85,26.15,9931068,HIG,0.02468652037617551,
2013-03-21,25.99,26.23,25.915,26.0,6606885,HIG,-0.005736137667303961,
2013-03-22,26.13,26.42,25.96,26.4,5287515,HIG,0.01538461538461533,24.735666666666667
2013-03-25,26.6,26.69,25.81,26.01,9274327,HIG,-0.01477272727272716,24.797000000000004
2013-03-26,26.17,26.29,25.87,26.25,4451849,HIG,0.0092272202998846,24.858333333333334
2013-03-27,26.01,26.08,25.68,25.95,3484064,HIG,-0.011428571428571456,24.91
2013-03-28,25.91,25.97,25.55,25.8,4818448,HIG,-0.005780346820809194,24.955000000000002
2013-04-01,25.84,26.07,25.48,25.58,3376404,HIG,-0.00852713178294583,24.991333333333333
2013-04-02,25.63,25.7099,25.36,25.55,4826680,HIG,-0.0011727912431586233,25.036333333333335
2013-04-03,25.51,25.54,24.74,24.82,6498448,HIG,-0.028571428571428588,25.038333333333334
2013-04-04,25.03,25.93,24.96,25.85,9605682,HIG,0.0414987912973409,25.089666666666666
2013-04-05,25.22,25.42,24.665,25.17,10342172,HIG,-0.026305609284332676,25.138666666666666
2013-04-08,25.15,26.1,25.15,26.08,8197981,HIG,0.036154151767977614,25.205
2013-04-09,26.15,26.37,26.04,26.16,6138644,HIG,0.0030674846625767583,25.308666666666667
2013-04-10,26.32,27.15,26.2101,27.02,9698879,HIG,0.03287461773700304,25.431
2013-04-11,27.4,28.12,27.2299,27.38,15186025,HIG,0.013323464100666153,25.552666666666667
2013-04-12,27.25,27.86,27.21,27.49,6777882,HIG,0.004017531044558051,25.682
2013-04-15,27.41,27.4201,26.16,26.31,7728344,HIG,-0.042924699890869396,25.76966666666667
2013-04-16,26.69,27.4,26.69,27.37,5754441,HIG,0.04028886354998108,25.892333333333333
2013-04-17,27.01,27.1,26.68,26.99,8758602,HIG,-0.01388381439532344,25.987000000000002
2013-04-18,26.97,27.06,26.41,26.53,6095612,HIG,-0.01704334938866237,26.062666666666665
2013-04-19,26.71,26.93,26.2,26.84,6593777,HIG,0.01168488503580847,26.145666666666667
2013-04-22,26.9,26.95,26.24,26.67,5092644,HIG,-0.006333830104321839,26.186333333333334
2013-04-23,26.9,27.47,26.78,27.4,7149205,HIG,0.027371578552680798,26.24566666666667
2013-04-24,27.4,27.82,27.38,27.78,4166087,HIG,0.013868613138686226,26.316666666666666
2013-04-25,27.91,27.97,27.4727,27.56,7754948,HIG,-0.007919366450684032,26.377
2013-04-26,27.57,27.62,27.0,27.12,5776937,HIG,-0.015965166908563054,26.399
2013-04-29,27.22,27.38,27.07,27.21,5092208,HIG,0.003318584070796455,26.429333333333332
2013-04-30,27.15,28.39,26.99,28.09,12140091,HIG,0.032341051084160195,26.501666666666665
2013-05-01,27.81,28.27,27.72,27.76,5393426,HIG,-0.011747953008187907,26.57633333333333
2013-05-02,28.0,28.45,27.74,28.44,5783724,HIG,0.024495677233429384,26.65266666666667
2013-05-03,28.81,29.28,28.71,28.8,7417648,HIG,0.012658227848101245,26.746
2013-05-06,28.84,29.2,28.8,29.03,6595073,HIG,0.007986111111111126,26.833666666666666
2013-05-07,29.23,29.3,29.09,29.29,5301664,HIG,0.00895625215294516,26.942999999999998
2013-05-08,29.23,29.72,29.2,29.7,4989099,HIG,0.013997951519289866,27.058
2013-05-09,29.7,29.91,29.33,29.47,4092172,HIG,-0.007744107744107759,27.175333333333334
2013-05-10,29.48,29.68,29.21,29.66,3007148,HIG,0.006447234475738082,27.304
2013-05-13,29.96,29.99,29.55,29.89,3310315,HIG,0.007754551584625773,27.44766666666667
2013-05-14,29.95,30.59,29.94,30.59,5759259,HIG,0.023419203747072577,27.615666666666662
2013-05-15,30.44,30.86,30.14,30.83,5793426,HIG,0.007845701209545553,27.816
2013-05-16,30.68,31.12,30.6,30.79,6442667,HIG,-0.001297437560817358,27.980666666666664
2013-05-17,30.98,31.51,30.86,31.16,5302145,HIG,0.0120168886001949,28.180333333333337
2013-05-20,31.06,31.34,30.795,31.1,4150604,HIG,-0.001925545571245145,28.34766666666667
2013-05-21,31.11,31.32,30.825,31.02,6670901,HIG,-0.0025723472668810884,28.509666666666668
