date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2015-10-19,18.5,18.5,16.48,16.55,1581576,HPE,,
2015-10-20,16.25,16.93,16.25,16.87,709632,HPE,0.019335347432024187,
2015-10-21,17.25,17.35,16.4,16.48,78598,HPE,-0.02311796087729701,
2015-10-22,16.71,17.05,16.24,16.95,110000,HPE,0.028519417475728087,
2015-10-23,17.25,17.25,16.85,17.0,59910,HPE,0.0029498525073746733,
2015-10-26,17.11,17.11,16.31,16.42,514799,HPE,-0.034117647058823426,
2015-10-27,16.56,16.75,15.6,15.73,636017,HPE,-0.042021924482338685,
2015-10-28,15.9,16.35,15.845,16.28,296321,HPE,0.03496503496503501,
2015-10-29,16.01,16.27,15.55,15.95,290446,HPE,-0.020270270270270382,
2015-10-30,15.9,16.1,14.72,14.72,2449278,HPE,-0.07711598746081497,
2015-11-02,14.99,15.17,13.86,14.49,40866212,HPE,-0.015625000000000028,
2015-11-03,14.07,14.71,13.675,14.36,40205820,HPE,-0.00897170462387859,
2015-11-04,14.39,14.51,13.61,13.66,31525806,HPE,-0.04874651810584953,
2015-11-05,13.64,13.89,13.12,13.28,22190459,HPE,-0.027818448023426118,
2015-11-06,13.18,14.48,13.15,14.4,30049954,HPE,0.08433734939759044,
2015-11-09,14.26,14.48,14.13,14.2,17528088,HPE,-0.013888888888888963,
2015-11-10,14.13,14.44,14.01,14.41,14777765,HPE,0.014788732394366257,
2015-11-11,14.2,14.31,14.09,14.11,11009387,HPE,-0.02081887578070789,
2015-11-12,13.81,13.82,13.59,13.7,20371666,HPE,-0.029057406094968118,
2015-11-13,13.61,13.76,13.15,13.39,14924533,HPE,-0.02262773722627728,
2015-11-16,13.37,13.61,13.14,13.38,13781675,HPE,-0.0007468259895444202,
2015-11-17,13.38,13.49,13.12,13.22,12420759,HPE,-0.011958146487294478,
2015-11-18,13.48,13.73,13.1886,13.64,13020475,HPE,0.031770045385779114,
2015-11-19,13.53,13.89,13.52,13.78,13171491,HPE,0.01026392961876824,
2015-11-20,13.78,14.63,13.68,14.21,18559394,HPE,0.03120464441219169,
2015-11-23,14.17,14.21,13.57,13.85,15317345,HPE,-0.02533427163969044,
2015-11-24,13.58,14.025,13.5,13.69,24110878,HPE,-0.011552346570397122,
2015-11-25,13.91,14.86,13.84,14.12,22677094,HPE,0.031409788166544904,
2015-11-27,14.12,14.64,14.05,14.35,6041718,HPE,0.016288951841359804,
2015-11-30,14.23,15.0,14.18,14.86,29104253,HPE,0.03554006968641114,14.735000000000001
2015-12-01,14.88,15.88,14.85,15.61,25106564,HPE,0.05047106325706595,14.703666666666667
2015-12-02,15.37,15.54,14.87,14.95,12681142,HPE,-0.04228058936579117,14.639666666666667
2015-12-03,15.0,15.34,14.58,14.62,18905240,HPE,-0.022073578595317733,14.577666666666667
2015-12-04,14.39,15.295,14.24,15.22,12001085,HPE,0.041039671682626636,14.52
2015-12-07,15.0,15.48,14.92,15.45,9546047,HPE,0.015111695137976257,14.468333333333332
2015-12-08,15.09,15.29,14.62,15.17,11617601,HPE,-0.018122977346278275,14.426666666666668
2015-12-09,14.99,15.39,14.68,14.85,14261925,HPE,-0.02109426499670404,14.397333333333334
2015-12-10,14.79,14.81,14.53,14.72,11350209,HPE,-0.008754208754208688,14.345333333333333
2015-12-11,14.99,15.4,14.14,14.18,10614763,HPE,-0.03668478260869571,14.286333333333333
2015-12-14,14.3,14.5,13.92,14.44,11528144,HPE,0.018335684062059224,14.277
2015-12-15,14.51,14.98,14.485,14.56,12888739,HPE,0.008310249307479294,14.279333333333334
2015-12-16,14.62,14.81,14.55,14.7,7840968,HPE,0.009615384615384533,14.290666666666665
2015-12-17,14.61,14.72,14.22,14.31,7625458,HPE,-0.02653061224489788,14.312333333333333
2015-12-18,14.27,14.385,14.0,14.16,19337615,HPE,-0.010482180293501073,14.341666666666667
2015-12-21,14.12,14.4,13.87,14.02,9863255,HPE,-0.009887005649717555,14.329
2015-12-22,14.04,14.14,13.9201,14.06,7292476,HPE,0.0028530670470756723,14.324333333333332
2015-12-23,14.19,14.97,14.05,14.91,11252128,HPE,0.06045519203413938,14.341000000000001
2015-12-24,14.81,15.17,14.7901,15.02,2178459,HPE,0.007377598926894663,14.371333333333332
2015-12-28,14.89,15.28,14.82,15.23,5930636,HPE,0.013981358189081283,14.422333333333334
2015-12-29,15.29,15.4371,15.18,15.2,6275753,HPE,-0.0019697964543664566,14.482666666666667
2015-12-30,15.29,15.48,15.15,15.28,6275778,HPE,0.005263157894736847,14.546
2015-12-31,15.23,15.31,15.1,15.2,6768073,HPE,-0.005235602094240842,14.612
2016-01-04,14.97,15.15,14.74,15.13,15076835,HPE,-0.004605263157894639,14.661666666666667
2016-01-05,15.13,15.25,14.94,15.03,10328195,HPE,-0.0066093853271646675,14.703333333333331
2016-01-06,14.62,15.0,14.51,14.8,11315099,HPE,-0.015302727877578089,14.723
2016-01-07,14.5,14.56,13.65,13.71,19844662,HPE,-0.07364864864864863,14.718333333333332
2016-01-08,13.77,14.02,13.31,13.54,16431904,HPE,-0.012399708242159132,14.713333333333333
2016-01-11,13.43,13.71,13.07,13.26,15110848,HPE,-0.020679468242245154,14.684666666666665
2016-01-12,13.35,13.42,13.09,13.26,12458450,HPE,0.0,14.648333333333333
2016-01-13,13.35,13.35,12.53,12.75,17720765,HPE,-0.03846153846153844,14.578
2016-01-14,12.75,13.17,12.65,13.0,13352501,HPE,0.0196078431372549,14.490999999999998
2016-01-15,12.6,12.8,12.49,12.54,19729482,HPE,-0.03538461538461545,14.410666666666666
2016-01-19,12.68,12.78,12.2,12.32,12925879,HPE,-0.017543859649122716,14.334
2016-01-20,12.0,12.2,11.625,12.06,16640055,HPE,-0.021103896103896087,14.228666666666667
2016-01-21,12.0,12.54,11.82,12.41,16729584,HPE,0.02902155887230511,14.127333333333334
2016-01-22,12.7,13.43,12.65,13.35,15269891,HPE,0.07574536663980656,14.066666666666666
2016-01-25,13.29,13.55,13.12,13.34,11183427,HPE,-0.0007490636704119691,14.016333333333334
2016-01-26,13.35,13.725,13.35,13.6,10726138,HPE,0.019490254872563704,13.979000000000001
2016-01-27,13.53,13.61,12.955,13.39,18484506,HPE,-0.015441176470588168,13.952666666666666
2016-01-28,13.45,13.7,13.07,13.19,9874424,HPE,-0.014936519790888801,13.911
2016-01-29,13.41,13.88,13.35,13.76,11361905,HPE,0.043214556482183496,13.884333333333334
2016-02-01,13.67,13.88,13.53,13.79,9549644,HPE,0.0021802325581394884,13.854000000000001
2016-02-02,13.7,13.97,13.36,13.45,9677516,HPE,-0.024655547498187082,13.825333333333333
2016-02-03,13.66,13.77,13.11,13.37,7553022,HPE,-0.0059479553903345785,13.799
2016-02-04,13.31,13.89,13.31,13.85,6499149,HPE,0.03590127150336578,13.793333333333333
2016-02-05,13.69,13.75,13.035,13.2,13227678,HPE,-0.046931407942238296,13.764666666666667
2016-02-08,13.0,13.05,12.37,12.51,14815851,HPE,-0.052272727272727235,13.684666666666665
2016-02-09,12.37,12.86,12.31,12.72,6686490,HPE,0.016786570743405345,13.608
2016-02-10,12.77,13.07,12.71,12.86,5982701,HPE,0.011006289308176005,13.529
2016-02-11,12.57,12.67,12.015,12.4,9834289,HPE,-0.03576982892690506,13.435666666666666
2016-02-12,12.5,12.79,12.18,12.29,10549410,HPE,-0.008870967741935581,13.336000000000002
2016-02-16,12.41,12.49,12.27,12.33,11976893,HPE,0.003254678600488277,13.240333333333332
2016-02-17,12.39,13.135,12.37,13.02,8666214,HPE,0.055961070559610665,13.169999999999998
2016-02-18,13.05,13.7,13.02,13.53,11734114,HPE,0.03917050691244238,13.120000000000001
2016-02-19,13.51,13.74,13.25,13.67,9414376,HPE,0.010347376201034781,13.082333333333333
2016-02-22,13.75,13.88,13.57,13.8,10755568,HPE,0.009509875640087841,13.085333333333333
2016-02-23,13.72,13.82,12.84,13.09,14646955,HPE,-0.0514492753623189,13.070333333333334
2016-02-24,13.0,13.57,12.82,13.53,13226854,HPE,0.033613445378151224,13.079333333333333
2016-02-25,13.45,13.71,13.24,13.68,12079898,HPE,0.011086474501108674,13.093333333333334
