date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,24.07,24.43,24.03,24.4,2391821,HRB,,
2013-02-11,24.4,24.48,24.26,24.45,3472221,HRB,0.0020491803278688816,
2013-02-12,24.45,24.84,24.4,24.74,3952402,HRB,0.01186094069529649,
2013-02-13,24.84,25.04,24.715,24.84,3523580,HRB,0.004042037186742176,
2013-02-14,24.77,24.93,24.73,24.86,2320228,HRB,0.0008051529790660054,
2013-02-15,24.9,25.225,24.87,25.1,3879067,HRB,0.009654062751407965,
2013-02-19,25.07,25.07,23.96,25.0,8838112,HRB,-0.003984063745019977,
2013-02-20,25.0,25.06,24.44,24.45,3699480,HRB,-0.02200000000000003,
2013-02-21,24.5,24.66,24.17,24.54,4898928,HRB,0.003680981595092019,
2013-02-22,24.64,24.85,24.44,24.66,3401474,HRB,0.00488997555012229,
2013-02-25,24.7,24.83,24.27,24.27,3962992,HRB,-0.015815085158150874,
2013-02-26,24.41,24.7,24.33,24.61,3918270,HRB,0.014009064688916353,
2013-02-27,24.57,24.97,24.57,24.88,3369683,HRB,0.01097114993904915,
2013-02-28,24.9,25.0,24.79,24.86,2688780,HRB,-0.0008038585209003044,
2013-03-01,24.83,24.95,24.57,24.78,4195245,HRB,-0.0032180209171358927,
2013-03-04,24.74,25.5,24.66,25.44,4516557,HRB,0.02663438256658596,
2013-03-05,25.48,25.5,25.01,25.12,4055204,HRB,-0.012578616352201269,
2013-03-06,25.21,25.31,24.98,25.26,3479957,HRB,0.005573248407643334,
2013-03-07,25.34,25.59,24.83,24.98,6998951,HRB,-0.011084718923198778,
2013-03-08,26.85,27.5,26.53,27.28,15678080,HRB,0.09207365892714174,
2013-03-11,27.13,27.39,27.02,27.34,5300534,HRB,0.0021994134897360233,
2013-03-12,27.42,27.71,27.26,27.71,5367598,HRB,0.013533284564740344,
2013-03-13,27.59,28.27,27.44,28.19,7217612,HRB,0.017322266329844835,
2013-03-14,27.92,28.0875,27.72,27.93,4324873,HRB,-0.0092231287690671,
2013-03-15,27.82,27.88,27.42,27.51,4476966,HRB,-0.01503759398496234,
2013-03-18,27.33,27.77,27.17,27.62,3894107,HRB,0.003998545983278787,
2013-03-19,27.68,27.84,27.44,27.6,3339826,HRB,-0.0007241129616219976,
2013-03-20,27.71,27.94,27.56,27.83,4317225,HRB,0.00833333333333322,
2013-03-21,27.78,28.09,27.78,27.9,4451799,HRB,0.002515271289974858,
2013-03-22,27.9,28.34,27.74,28.32,5486187,HRB,0.015053763440860277,25.882333333333335
2013-03-25,28.36,28.67,28.29,28.46,3196856,HRB,0.004943502824858777,26.017666666666667
2013-03-26,28.52,28.93,28.52,28.91,3085886,HRB,0.01581166549543216,26.166333333333334
2013-03-27,28.81,29.18,28.74,29.16,3607056,HRB,0.008647526807333102,26.313666666666666
2013-03-28,29.15,29.43,28.98,29.42,2350807,HRB,0.0089163237311386,26.466333333333335
2013-04-01,29.46,29.68,29.165,29.27,2972167,HRB,-0.005098572399728148,26.613333333333337
