date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,20.9,21.09,20.88,21.0,28148314,INTC,,
2013-02-11,21.0,21.06,20.92,21.03,18896125,INTC,0.0014285714285714828,
2013-02-12,21.03,21.25,20.99,21.19,28388112,INTC,0.007608178792201623,
2013-02-13,21.22,21.3,21.145,21.25,21266821,INTC,0.0028315243039168814,
2013-02-14,21.13,21.28,21.06,21.23,35261070,INTC,-0.0009411764705882153,
2013-02-15,21.23,21.3,20.99,21.115,33808773,INTC,-0.005416862929816391,
2013-02-19,21.18,21.21,21.06,21.085,31066997,INTC,-0.0014207909069380814,
2013-02-20,21.09,21.1,20.7,20.73,46100459,INTC,-0.01683661370642639,
2013-02-21,20.7538,20.76,20.12,20.25,60723921,INTC,-0.023154848046309715,
2013-02-22,20.32,20.49,20.1,20.42,34532423,INTC,0.008395061728395145,
2013-02-25,20.57,20.65,20.23,20.23,41504942,INTC,-0.009304603330068622,
2013-02-26,20.49,20.85,20.41,20.58,67246762,INTC,0.01730103806228363,
2013-02-27,20.6,21.04,20.51,20.93,46964079,INTC,0.017006802721088506,
2013-02-28,20.91,21.08,20.82,20.88,34806781,INTC,-0.0023889154323937273,
2013-03-01,20.79,21.19,20.66,21.03,45684979,INTC,0.007183908045977114,
2013-03-04,21.16,21.29,20.96,21.27,47549841,INTC,0.01141226818830235,
2013-03-05,21.34,21.59,21.3,21.51,38795346,INTC,0.01128349788434424,
2013-03-06,21.53,21.785,21.51,21.75,37187909,INTC,0.011157601115760038,
2013-03-07,21.8,21.99,21.75,21.89,42359396,INTC,0.006436781609195428,
2013-03-08,21.95,22.04,21.465,21.58,44988414,INTC,-0.014161717679305722,
2013-03-11,21.53,21.74,21.28,21.69,42148175,INTC,0.0050973123262281275,
2013-03-12,21.66,21.73,21.45,21.64,28616448,INTC,-0.0023052097740894747,
2013-03-13,21.56,21.7,21.455,21.655,24604320,INTC,0.0006931608133087138,
2013-03-14,21.74,21.85,21.51,21.65,28832398,INTC,-0.00023089355806984796,
2013-03-15,21.61,21.7,21.27,21.375,52949414,INTC,-0.01270207852193989,
2013-03-18,21.24,21.49,21.19,21.26,35177415,INTC,-0.005380116959064254,
2013-03-19,21.26,21.36,21.01,21.14,42545694,INTC,-0.005644402634054609,
2013-03-20,21.31,21.36,21.11,21.18,29864601,INTC,0.0018921475875117856,
2013-03-21,21.01,21.14,20.9,21.04,32606512,INTC,-0.0066100094428706594,
2013-03-22,21.15,21.34,21.08,21.33,30657529,INTC,0.013783269961977146,21.163666666666664
2013-03-25,21.39,21.42,21.08,21.15,32738227,INTC,-0.008438818565400831,21.168666666666663
2013-03-26,21.28,21.77,21.25,21.765,39547126,INTC,0.02907801418439726,21.19316666666667
2013-03-27,21.62,21.975,21.51,21.83,45449351,INTC,0.002986446129106259,21.214499999999997
2013-03-28,21.85,21.91,21.595,21.835,33336697,INTC,0.00022904260192407506,21.233999999999998
2013-04-01,21.67,21.7,21.32,21.43,33716016,INTC,-0.018548202427295678,21.240666666666662
2013-04-02,21.52,21.58,21.32,21.455,28164903,INTC,0.0011665888940736622,21.252
2013-04-03,21.45,21.5,21.01,21.05,36593859,INTC,-0.018876718713586465,21.250833333333333
2013-04-04,21.05,21.19,20.96,21.135,28699711,INTC,0.004038004750593864,21.264333333333337
2013-04-05,20.94,20.97,20.75,20.94,36721376,INTC,-0.009226401703335711,21.287333333333333
2013-04-08,20.89,21.09,20.8,21.09,34210830,INTC,0.007163323782234889,21.30966666666667
2013-04-09,21.11,21.89,21.06,21.75,61518581,INTC,0.03129445234708393,21.360333333333337
2013-04-10,21.72,22.42,21.71,22.26,67056312,INTC,0.02344827586206904,21.416333333333334
2013-04-11,21.73,21.91,21.49,21.825,59295029,INTC,-0.01954177897574134,21.446166666666667
2013-04-12,21.735,21.8,21.47,21.675,34026380,INTC,-0.006872852233676911,21.47266666666667
2013-04-15,21.5,21.71,21.36,21.38,38447321,INTC,-0.013610149942329952,21.484333333333332
2013-04-16,21.47,21.93,21.42,21.915,64561830,INTC,0.02502338634237606,21.50583333333333
2013-04-17,21.79,22.14,21.57,21.93,79458643,INTC,0.0006844626967830513,21.519833333333334
2013-04-18,22.05,22.4,21.9,22.24,76236168,INTC,0.01413588691290464,21.536166666666666
2013-04-19,22.27,22.45,22.21,22.44,49100737,INTC,0.008992805755395811,21.5545
2013-04-22,22.48,22.94,22.35,22.88,52815615,INTC,0.0196078431372548,21.59783333333333
2013-04-23,22.98,23.45,22.93,23.375,62417886,INTC,0.02163461538461543,21.654
2013-04-24,23.28,23.79,23.245,23.66,54281593,INTC,0.012192513368983963,21.721333333333334
2013-04-25,23.65,23.87,23.32,23.38,109177850,INTC,-0.011834319526627267,21.77883333333333
2013-04-26,23.31,23.56,23.14,23.4,101376284,INTC,0.0008554319931565259,21.83716666666667
2013-04-29,23.44,23.83,23.4,23.76,102138099,INTC,0.015384615384615514,21.916666666666668
2013-04-30,23.72,24.0,23.64,23.95,41468253,INTC,0.007996632996632901,22.00633333333333
2013-05-01,23.82,24.17,23.81,23.99,38349301,INTC,0.001670146137787021,22.101333333333333
2013-05-02,23.73,24.15,23.67,24.11,33484554,INTC,0.005002084201750771,22.199
2013-05-03,24.22,24.22,23.95,23.96,30085851,INTC,-0.006221484861053446,22.296333333333333
2013-05-06,24.17,24.21,23.85,23.91,30985116,INTC,-0.0020868113522537857,22.382333333333335
2013-05-07,23.97,24.25,23.94,24.15,38431878,INTC,0.010037641154328668,22.48233333333333
2013-05-08,24.04,24.29,23.9601,24.25,24899538,INTC,0.004140786749482461,22.565166666666663
2013-05-09,24.1963,24.57,24.1,24.36,31333619,INTC,0.0045360824742267805,22.6495
2013-05-10,24.42,24.54,24.35,24.5,22554217,INTC,0.0057471264367816325,22.738333333333333
2013-05-13,24.41,24.49,24.03,24.08,28522593,INTC,-0.017142857142857213,22.826666666666668
2013-05-14,24.08,24.17,23.78,23.84,36629974,INTC,-0.009966777408637809,22.906166666666664
2013-05-15,23.89,24.2,23.81,24.2,33568625,INTC,0.015100671140939574,23.011166666666668
2013-05-16,24.06,24.4,23.93,23.94,29809872,INTC,-0.01074380165289248,23.10466666666667
2013-05-17,24.12,24.22,23.9,24.04,36277200,INTC,0.0041771094402672454,23.208000000000002
2013-05-20,24.08,24.25,24.0,24.08,31324382,INTC,0.0016638935108152725,23.307666666666666
2013-05-21,24.1,24.25,24.0,24.15,37905962,INTC,0.0029069767441860586,23.387666666666668
2013-05-22,24.13,24.53,23.94,24.07,49685120,INTC,-0.003312629399585851,23.447999999999997
2013-05-23,23.88,24.12,23.84,24.05,38132895,INTC,-0.0008309098462816608,23.52216666666667
2013-05-24,23.92,24.04,23.58,23.923,30861698,INTC,-0.005280665280665382,23.5971
2013-05-28,24.16,24.4,24.0,24.08,31153306,INTC,0.006562722066630441,23.687099999999997
2013-05-29,23.96,24.38,23.89,24.27,31651258,INTC,0.007890365448505037,23.7656
2013-05-30,24.28,24.5,24.21,24.21,26294174,INTC,-0.0024721878862793045,23.841599999999996
2013-05-31,24.23,24.71,24.13,24.28,47790089,INTC,0.0028913672036348734,23.909599999999998
2013-06-03,24.88,25.45,24.83,25.24,76460877,INTC,0.039538714991762654,24.00293333333333
2013-06-04,25.555,25.98,25.35,25.36,68513645,INTC,0.004754358161648218,24.0856
2013-06-05,25.11,25.28,24.65,24.7,53335105,INTC,-0.02602523659305994,24.12976666666667
2013-06-06,24.75,24.94,24.27,24.65,39920397,INTC,-0.002024291497975737,24.162766666666666
2013-06-07,24.4,24.7,24.215,24.59,35539384,INTC,-0.0024340770791074534,24.203100000000003
2013-06-10,24.71,25.09,24.64,25.01,29780471,INTC,0.01708011386742585,24.256766666666667
2013-06-11,24.83,25.08,24.63,24.71,27076499,INTC,-0.011995201919232335,24.28843333333333
2013-06-12,24.96,25.0,24.41,24.46,24532758,INTC,-0.010117361392148928,24.305433333333333
2013-06-13,24.46,25.01,24.4,24.99,27706901,INTC,0.021668029435813474,24.338766666666668
2013-06-14,25.02,25.14,24.84,24.92,24738092,INTC,-0.002801120448179141,24.365766666666666
2013-06-17,25.11,25.35,24.91,25.1,42638129,INTC,0.007223113964686986,24.403766666666666
2013-06-18,25.07,25.65,25.07,25.465,36673927,INTC,0.014541832669322645,24.4556
2013-06-19,25.49,25.68,25.0,25.0,28839289,INTC,-0.01826035735322992,24.483933333333333
