date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,42.29,42.63,42.17,42.6,1877856,IP,,
2013-02-11,42.47,42.49,42.03,42.17,2601103,IP,-0.010093896713615016,
2013-02-12,42.12,42.35,41.99,42.01,2453671,IP,-0.003794166469053917,
2013-02-13,41.9,41.97,41.58,41.75,3826890,IP,-0.006189002618424137,
2013-02-14,41.59,42.0,41.55,41.8,3190324,IP,0.0011976047904190936,
2013-02-15,41.93,42.58,41.9001,42.17,3008672,IP,0.008851674641148435,
2013-02-19,42.1,42.5,41.82,41.91,2865606,IP,-0.006165520512212594,
2013-02-20,41.84,41.935,39.92,40.07,6310104,IP,-0.043903602958720984,
2013-02-21,39.87,41.75,39.47,41.31,10172176,IP,0.03094584477164966,
2013-02-22,41.55,43.0,41.55,43.0,7914805,IP,0.040910191236988566,
2013-02-25,43.33,43.49,41.78,41.79,6957074,IP,-0.02813953488372095,
2013-02-26,42.15,42.9,41.97,42.75,5003139,IP,0.02297200287150038,
2013-02-27,42.96,44.25,42.95,44.05,5434009,IP,0.030409356725146133,
2013-02-28,44.0,44.74,43.8,44.01,4564254,IP,-0.0009080590238365301,
2013-03-01,43.74,44.75,43.511,44.28,4251737,IP,0.0061349693251534455,
2013-03-04,44.08,44.55,43.94,44.54,3438978,IP,0.005871725383920461,
2013-03-05,44.81,45.4,44.75,45.26,4336529,IP,0.01616524472384371,
2013-03-06,45.58,46.15,45.55,46.05,4476128,IP,0.01745470614228898,
2013-03-07,46.12,46.28,45.96,46.24,2839060,IP,0.004125950054288922,
2013-03-08,46.42,46.89,46.34,46.78,3372297,IP,0.011678200692041504,
2013-03-11,46.59,47.2471,46.35,47.0,4448773,IP,0.004702864471996556,
2013-03-12,46.95,47.2,46.22,46.23,4305350,IP,-0.016382978723404322,
2013-03-13,46.24,46.3,45.65,45.74,4565811,IP,-0.010599178022928724,
2013-03-14,45.78,46.05,45.68,45.9,2862229,IP,0.003498032356799226,
2013-03-15,45.84,45.95,45.55,45.66,4887662,IP,-0.005228758169934684,
2013-03-18,44.93,45.57,44.78,45.39,3198410,IP,-0.005913272010512397,
2013-03-19,45.14,45.57,44.76,44.95,3334114,IP,-0.009693765146507992,
2013-03-20,45.35,45.78,45.2599,45.59,4701746,IP,0.014238042269187998,
2013-03-21,45.3,45.545,44.79,44.86,2862160,IP,-0.016012283395481552,
2013-03-22,45.0,45.48,44.99,45.1,2770637,IP,0.005349977708426259,44.032000000000004
2013-03-25,45.15,45.46,44.56,45.09,3041778,IP,-0.00022172949002212882,44.115
2013-03-26,45.45,45.82,45.11,45.77,4297618,IP,0.015080949212685732,44.235
2013-03-27,45.32,45.685,45.06,45.57,3552184,IP,-0.004369674459252847,44.35366666666667
2013-03-28,45.6,46.73,45.52,46.58,5167276,IP,0.022163704191353918,44.51466666666667
2013-04-01,46.52,46.67,46.1531,46.31,3496978,IP,-0.005796479175611766,44.665
2013-04-02,46.67,48.575,46.55,48.06,8192754,IP,0.037788814510904774,44.86133333333333
2013-04-03,48.07,48.09,46.2,46.3,7470352,IP,-0.03662089055347493,45.007666666666665
2013-04-04,46.46,46.96,46.41,46.71,3272919,IP,0.008855291576673946,45.229
2013-04-05,45.75,46.27,45.4,46.15,3758513,IP,-0.01198886748019701,45.39033333333334
2013-04-08,46.17,47.2,46.1,47.15,3408036,IP,0.021668472372697724,45.52866666666667
2013-04-09,47.39,47.54,47.1,47.32,2891781,IP,0.0036055143160127617,45.713
2013-04-10,47.35,47.86,47.29,47.73,3245022,IP,0.008664412510566285,45.879000000000005
2013-04-11,48.0,49.1,47.95,48.23,4976101,IP,0.01047559187094071,46.01833333333334
2013-04-12,48.01,48.83,47.55,48.2,3030237,IP,-0.0006220194899438945,46.157999999999994
2013-04-15,47.77,47.81,45.165,45.34,6304501,IP,-0.059336099585062224,46.193333333333335
2013-04-16,46.63,47.73,46.46,47.47,4420523,IP,0.04697838553153937,46.291000000000004
2013-04-17,46.75,46.75,45.35,46.01,4059535,IP,-0.03075626711607333,46.316
2013-04-18,46.22,46.26,44.72,44.95,3327450,IP,-0.02303846989784819,46.279333333333334
2013-04-19,45.35,46.31,45.16,45.67,3516538,IP,0.016017797552836457,46.26033333333333
2013-04-22,46.68,47.31,46.31,47.15,6432255,IP,0.03240639369389089,46.272666666666666
2013-04-23,47.34,47.74,46.64,47.69,3280871,IP,0.011452810180275698,46.29566666666667
2013-04-24,47.83,48.71,47.83,48.5,3522523,IP,0.016984692807716553,46.37133333333334
2013-04-25,48.56,48.75,47.48,47.58,3942785,IP,-0.01896907216494849,46.43266666666667
2013-04-26,47.61,47.85,46.31,46.41,4537192,IP,-0.024590163934426267,46.449666666666666
2013-04-29,46.91,47.43,46.86,47.2,2701522,IP,0.017022193492781865,46.501
2013-04-30,47.26,47.3,46.75,46.98,3258159,IP,-0.004661016949152668,46.553999999999995
2013-05-01,46.76,46.8799,45.66,45.89,5005824,IP,-0.023201362281821975,46.58533333333333
2013-05-02,43.87,44.75,43.19,44.27,11165489,IP,-0.03530180867291343,46.541333333333334
2013-05-03,45.01,46.1,44.83,45.62,4477195,IP,0.03049469166478415,46.56666666666667
2013-05-06,45.61,46.11,45.3,45.89,2896726,IP,0.005918456817185514,46.592999999999996
2013-05-07,45.89,46.59,45.85,46.52,3564775,IP,0.013728481150577523,46.64066666666667
2013-05-08,46.4,47.1,46.2672,46.91,2687840,IP,0.008383490971624967,46.67866666666667
2013-05-09,46.92,47.19,46.62,46.92,2296212,IP,0.00021317416329151817,46.72366666666666
2013-05-10,46.84,46.97,46.08,46.5,2924917,IP,-0.008951406649616404,46.721
2013-05-13,46.44,47.62,46.41,47.53,4145029,IP,0.022150537634408628,46.76166666666666
2013-05-14,47.63,48.3499,47.6,48.27,3750436,IP,0.01556911424363564,46.768666666666675
2013-05-15,48.05,48.94,47.8,48.68,3445076,IP,0.008493888543608795,46.84799999999999
2013-05-16,48.59,48.91,47.22,47.42,4604604,IP,-0.025883319638455176,46.87166666666667
2013-05-17,47.71,48.27,47.66,48.18,3059576,IP,0.01602699283002948,46.93933333333334
2013-05-20,48.06,48.505,47.42,47.51,3114443,IP,-0.013906185139061887,46.95133333333333
2013-05-21,47.6,48.01,47.26,47.75,2658695,IP,0.005051568090928268,46.96566666666667
2013-05-22,47.54,47.98,46.26,46.5,3499527,IP,-0.02617801047120419,46.92466666666667
2013-05-23,45.77,47.41,45.71,47.18,4161568,IP,0.014623655913978488,46.88966666666666
2013-05-24,46.99,47.3,46.6,47.05,2160529,IP,-0.0027554048325562222,46.85133333333333
2013-05-28,47.74,48.45,47.67,47.84,2782036,IP,0.01679064824654636,46.934666666666665
2013-05-29,47.43,47.52,46.56,46.86,3617855,IP,-0.020484949832776,46.914333333333325
2013-05-30,46.88,47.27,46.612,46.83,2184575,IP,-0.0006402048655570025,46.94166666666667
2013-05-31,46.54,47.21,46.15,46.15,2395885,IP,-0.014520606448857564,46.98166666666666
2013-06-03,46.22,46.28,44.97,45.93,3414691,IP,-0.004767063921993475,46.99033333333333
2013-06-04,46.04,46.355,45.1232,45.51,3619687,IP,-0.009144350097975217,46.93566666666666
2013-06-05,45.35,45.48,44.31,44.32,4586347,IP,-0.026148099318830977,46.82333333333333
