date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-05-09,43.76,44.33,42.0,42.11,19152651,IQV,,
2013-05-10,42.26,42.97,41.78,42.39,2969690,IQV,0.006649251959154622,
2013-05-13,42.3,43.37,42.3,43.32,1001832,IQV,0.02193913658881811,
2013-05-14,44.24,44.749,43.9,44.43,2044841,IQV,0.02562326869806093,
2013-05-15,45.2,45.74,44.85,45.5,2380372,IQV,0.0240828269187486,
2013-05-16,46.28,46.5,45.6001,45.85,1244601,IQV,0.007692307692307724,
2013-05-17,46.13,46.21,45.35,45.52,920349,IQV,-0.007197382769901816,
2013-05-20,45.45,45.7299,45.26,45.38,535723,IQV,-0.0030755711775044057,
2013-05-21,45.0,45.3,44.41,45.05,668815,IQV,-0.007271925958572177,
2013-05-22,45.14,45.38,44.11,44.65,913169,IQV,-0.008879023307436151,
2013-05-23,44.03,45.15,44.01,45.0,881515,IQV,0.007838745800671924,
2013-05-24,44.97,45.1,44.835,45.03,387111,IQV,0.0006666666666666919,
2013-05-28,45.73,45.81,44.05,45.43,719405,IQV,0.008882966910948226,
2013-05-29,45.43,45.65,44.13,44.47,311096,IQV,-0.021131410961919457,
2013-05-30,44.5,44.5,44.01,44.25,298595,IQV,-0.004947155385653224,
2013-05-31,44.12,44.45,44.04,44.04,154903,IQV,-0.004745762711864426,
2013-06-03,44.02,44.58,43.8,44.58,393978,IQV,0.012261580381471371,
2013-06-04,44.48,44.7,43.06,43.19,576710,IQV,-0.031179901301031866,
2013-06-05,43.0,43.19,42.71,42.85,967603,IQV,-0.007872192637184448,
2013-06-06,42.71,43.26,42.68,43.23,531075,IQV,0.00886814469078169,
2013-06-07,43.41,43.7602,42.72,42.97,471574,IQV,-0.006014341892204442,
2013-06-10,43.03,43.64,42.96,43.64,808336,IQV,0.015592273679311187,
2013-06-11,43.21,44.9,43.03,43.95,329868,IQV,0.00710357470210821,
2013-06-12,43.75,44.045,42.89,43.0,531418,IQV,-0.021615472127417584,
2013-06-13,42.85,43.09,42.53,42.9,500038,IQV,-0.00232558139534887,
2013-06-14,43.0,43.2,42.79,43.09,265257,IQV,0.004428904428904542,
2013-06-17,43.3,43.62,42.55,43.53,472046,IQV,0.010211185889997625,
2013-06-18,44.0,44.25,43.65,43.89,534571,IQV,0.008270158511371455,
2013-06-19,43.66,44.19,43.01,43.79,343008,IQV,-0.0022784233310549425,
2013-06-20,43.31,43.73,42.5,43.34,322710,IQV,-0.010276318794245164,44.01233333333333
