date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,50.19,50.26,48.81,49.75,646791,IT,,
2013-02-11,49.74,50.08,49.3,49.49,456923,IT,-0.005226130653266292,
2013-02-12,49.44,49.73,49.125,49.37,425593,IT,-0.0024247322691453737,
2013-02-13,48.72,49.27,48.43,48.9,553362,IT,-0.009519951387482253,
2013-02-14,48.63,48.89,48.29,48.53,329502,IT,-0.0075664621676891095,
2013-02-15,48.71,48.93,48.34,48.91,237495,IT,0.007830208118689376,
2013-02-19,48.83,49.27,48.43,49.24,341851,IT,0.006747086485381424,
2013-02-20,49.21,49.59,48.86,48.86,295382,IT,-0.007717303005686485,
2013-02-21,48.72,48.75,47.99,48.1,186469,IT,-0.015554645927138724,
2013-02-22,48.19,48.62,48.08,48.61,252870,IT,0.010602910602910562,
2013-02-25,48.89,49.46,48.55,48.55,466581,IT,-0.001234313927175525,
2013-02-26,48.65,49.17,48.42,48.9,251168,IT,0.007209062821833191,
2013-02-27,48.65,49.61,48.53,49.29,377905,IT,0.007975460122699398,
2013-02-28,49.29,49.815,49.14,49.76,514761,IT,0.009535402718604157,
2013-03-01,49.21,49.8899,48.96,49.83,569905,IT,0.0014067524115755684,
2013-03-04,49.83,51.08,49.53,50.96,579272,IT,0.022677102147300874,
2013-03-05,51.04,51.81,51.04,51.81,422267,IT,0.01667974882260599,
2013-03-06,52.0,52.25,51.55,51.73,363778,IT,-0.0015441034549315846,
2013-03-07,51.71,51.88,50.95,51.12,179516,IT,-0.011791996907017195,
2013-03-08,51.43,51.6,50.87,51.53,282431,IT,0.008020344287949994,
2013-03-11,51.38,51.78,51.34,51.74,276814,IT,0.004075295944110244,
2013-03-12,51.75,51.81,51.553,51.73,214809,IT,-0.00019327406262089516,
2013-03-13,51.68,52.13,51.53,52.12,273397,IT,0.007539145563502814,
2013-03-14,52.13,52.4,51.64,52.1,437134,IT,-0.0003837298541825791,
2013-03-15,51.93,52.43,51.9,52.09,750442,IT,-0.00019193857965447237,
2013-03-18,51.94,53.44,51.87,53.21,502723,IT,0.021501247840276395,
2013-03-19,53.45,53.49,52.3601,52.96,384520,IT,-0.004698364968990791,
2013-03-20,53.14,53.95,53.1,53.68,417780,IT,0.013595166163141973,
2013-03-21,53.39,53.79,53.16,53.5,407461,IT,-0.0033532041728762986,
2013-03-22,53.76,53.78,53.29,53.56,255040,IT,0.0011214953271028462,50.66433333333334
2013-03-25,53.72,53.76,52.7,53.1,320826,IT,-0.008588498879761031,50.775999999999996
2013-03-26,53.37,53.77,53.06,53.24,228428,IT,0.002636534839924681,50.900999999999996
2013-03-27,52.94,53.33,52.39,53.25,316186,IT,0.00018782870022535707,51.03033333333334
2013-03-28,53.12,54.52,53.12,54.41,292036,IT,0.021784037558685382,51.214000000000006
2013-04-01,54.57,54.785,54.1,54.48,332540,IT,0.001286528211725791,51.412333333333336
2013-04-02,54.75,54.95,54.4,54.63,395879,IT,0.002753303964757814,51.602999999999994
2013-04-03,54.82,54.845,53.97,54.31,375989,IT,-0.005857587406187081,51.772
2013-04-04,54.25,54.25,53.38,53.81,279485,IT,-0.009206407659731172,51.937000000000005
2013-04-05,53.4,53.71,53.01,53.65,193863,IT,-0.0029734250139379984,52.12199999999999
2013-04-08,53.8,54.44,53.78,54.43,196180,IT,0.014538676607642147,52.316
2013-04-09,54.42,54.51,54.0,54.26,314191,IT,-0.0031232776042623865,52.50633333333334
2013-04-10,54.95,57.61,54.78,57.37,1018183,IT,0.05731662366384076,52.788666666666664
2013-04-11,57.53,57.53,57.16,57.39,471218,IT,0.00034861425832321993,53.05866666666667
2013-04-12,57.07,57.59,56.54,57.53,327301,IT,0.0024394493814253455,53.31766666666667
2013-04-15,57.34,57.34,55.56,55.6,378185,IT,-0.03354771423605075,53.510000000000005
2013-04-16,56.09,56.86,55.525,56.84,321400,IT,0.02230215827338133,53.706
2013-04-17,56.49,56.62,56.02,56.36,493041,IT,-0.00844475721323019,53.85766666666667
2013-04-18,56.5,56.5,55.49,56.01,400298,IT,-0.0062100780695529,54.00033333333333
2013-04-19,56.21,56.41,55.63,56.33,366743,IT,0.005713265488305665,54.174
2013-04-22,56.35,56.79,55.705,56.67,224465,IT,0.006035860110065745,54.34533333333333
2013-04-23,56.95,57.31,56.16,57.12,729864,IT,0.007940709370036981,54.52466666666667
2013-04-24,57.0,57.21,56.68,56.85,347930,IT,-0.004726890756302451,54.69533333333333
2013-04-25,57.12,57.4,56.92,57.06,313339,IT,0.0036939313984169016,54.86000000000001
2013-04-26,57.09,57.3,56.65,56.74,238698,IT,-0.0056081317910970955,55.01466666666666
2013-04-29,57.02,57.06,56.64,57.0,513401,IT,0.004582305252026754,55.17833333333333
2013-04-30,56.86,58.6,56.86,57.85,1283028,IT,0.014912280701754412,55.333
2013-05-01,57.72,58.39,56.6775,56.8,586672,IT,-0.018150388936905865,55.461
2013-05-02,56.35,56.35,53.5,55.58,1581572,IT,-0.0214788732394366,55.52433333333333
2013-05-03,56.04,56.86,55.98,56.52,804516,IT,0.016912558474271408,55.625
2013-05-06,56.4,56.55,56.04,56.33,353382,IT,-0.0033616418966738292,55.717333333333336
2013-05-07,56.35,57.21,56.26,57.16,571533,IT,0.014734599680454435,55.852666666666664
2013-05-08,57.14,57.69,56.77,57.69,666490,IT,0.00927221833449967,56.001
2013-05-09,57.6,57.88,57.34,57.48,340437,IT,-0.003640145605824248,56.142
2013-05-10,57.47,57.94,57.43,57.83,364615,IT,0.006089074460682001,56.25599999999999
2013-05-13,57.8,57.8799,56.8,57.07,305293,IT,-0.013141967836762893,56.342333333333336
2013-05-14,57.09,57.89,57.09,57.87,540224,IT,0.0140178727878044,56.45033333333333
2013-05-15,58.0,58.6,57.905,58.51,656314,IT,0.011059270779332999,56.590333333333334
2013-05-16,58.69,58.69,57.55,57.57,323289,IT,-0.016065629806870582,56.71566666666666
2013-05-17,57.57,57.81,57.26,57.81,337291,IT,0.004168837936425256,56.85433333333334
2013-05-20,57.76,57.98,57.48,57.71,669138,IT,-0.0017298045320878986,56.96366666666667
2013-05-21,57.79,58.28,57.672,58.19,411070,IT,0.00831744931554318,57.09466666666666
2013-05-22,58.2,58.2,56.85,56.96,293406,IT,-0.021137652517614656,57.081
2013-05-23,56.28,56.73,56.19,56.73,323697,IT,-0.0040379213483146765,57.059
2013-05-24,56.46,56.74,56.01,56.71,390215,IT,-0.00035254715318166796,57.031666666666666
2013-05-28,57.19,57.57,56.9505,57.37,310271,IT,0.011638159054840357,57.09066666666666
2013-05-29,57.01,57.38,56.33,57.08,219952,IT,-0.005054906745685884,57.09866666666667
2013-05-30,57.02,57.52,56.88,57.32,141527,IT,0.004204625087596391,57.13066666666667
2013-05-31,57.14,57.57,56.6,56.61,229080,IT,-0.012386601535240769,57.150666666666666
2013-06-03,56.75,56.75,55.63,56.3,236139,IT,-0.005476064299593752,57.14966666666667
2013-06-04,56.41,56.94,56.09,56.09,301610,IT,-0.003730017761989232,57.13033333333333
2013-06-05,56.08,56.61,55.71,55.73,277707,IT,-0.006418256373685265,57.083999999999996
2013-06-06,55.85,57.24,55.57,57.24,449941,IT,0.027094921945092502,57.097
