date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,21.23,21.5902,21.16,21.55,2854829,KIM,,
2013-02-11,21.55,21.57,21.4,21.43,2148883,KIM,-0.005568445475638097,
2013-02-12,21.48,21.69,21.4,21.51,4412901,KIM,0.0037330844610360173,
2013-02-13,21.67,21.71,21.455,21.54,3459359,KIM,0.0013947001394699016,
2013-02-14,21.53,21.59,21.42,21.54,2617343,KIM,0.0,
2013-02-15,21.59,21.81,21.53,21.71,4532601,KIM,0.007892293407613821,
2013-02-19,21.75,21.92,21.665,21.92,2947224,KIM,0.00967296176877019,
2013-02-20,21.87,21.98,21.52,21.52,3086219,KIM,-0.018248175182481848,
2013-02-21,21.52,21.6,21.27,21.35,2344182,KIM,-0.007899628252788019,
2013-02-22,21.43,21.75,21.43,21.71,2323659,KIM,0.016861826697892244,
2013-02-25,21.77,21.84,21.18,21.18,2527008,KIM,-0.02441271303546758,
2013-02-26,21.28,21.48,21.18,21.42,2453339,KIM,0.011331444759206893,
2013-02-27,21.46,21.98,21.42,21.76,6995116,KIM,0.015873015873015865,
2013-02-28,21.78,21.94,21.71,21.77,4918344,KIM,0.0004595588235293203,
2013-03-01,21.67,21.82,21.54,21.8,2256019,KIM,0.0013780431786863177,
2013-03-04,21.78,22.045,21.74,21.95,3416131,KIM,0.006880733944954063,
2013-03-05,22.08,22.27,21.93,22.21,1908336,KIM,0.011845102505694833,
2013-03-06,22.22,22.27,21.98,22.24,2066558,KIM,0.001350742908599621,
2013-03-07,22.21,22.3,22.02,22.1,2225095,KIM,-0.006294964028776845,
2013-03-08,22.2,22.24,21.98,22.07,1722572,KIM,-0.0013574660633484676,
2013-03-11,22.01,22.1099,21.87,21.96,2739684,KIM,-0.004984141368373332,
2013-03-12,21.97,21.99,21.835,21.95,2806615,KIM,-0.0004553734061931495,
2013-03-13,22.0,22.06,21.82,21.9,2658759,KIM,-0.0022779043280182557,
2013-03-14,21.93,22.16,21.92,22.06,1656394,KIM,0.0073059360730593674,
2013-03-15,21.97,22.08,21.86,22.07,2279014,KIM,0.0004533091568450392,
2013-03-18,21.95,22.03,21.84,21.93,2441163,KIM,-0.006343452650657026,
2013-03-19,21.94,22.05,21.81,21.96,2487593,KIM,0.001367989056087603,
2013-03-20,22.07,22.21,21.95,22.21,2223334,KIM,0.011384335154826957,
2013-03-21,22.08,22.26,22.07,22.1,2521656,KIM,-0.0049527239981989836,
2013-03-22,22.16,22.43,22.0,22.31,2238696,KIM,0.009502262443438792,21.824333333333335
2013-03-25,22.46,22.49,22.15,22.18,2833790,KIM,-0.005826983415508696,21.845333333333333
2013-03-26,22.32,22.325,22.095,22.17,2785888,KIM,-0.0004508566275923359,21.87
2013-03-27,22.04,22.22,21.97,22.21,3302691,KIM,0.0018042399639151621,21.89333333333333
2013-03-28,22.29,22.42,22.17,22.4,3726643,KIM,0.008554705087798186,21.922000000000004
2013-04-01,22.2,22.35,22.04,22.35,2204102,KIM,-0.0022321428571427304,21.948999999999998
2013-04-02,22.48,22.55,22.37,22.54,2450652,KIM,0.00850111856823256,21.97666666666667
2013-04-03,22.65,22.68,22.33,22.43,2427482,KIM,-0.004880212954747091,21.993666666666666
2013-04-04,22.5,22.76,22.4445,22.75,2638276,KIM,0.01426660722246992,22.034666666666666
2013-04-05,22.48,22.63,22.37,22.6,2873218,KIM,-0.006593406593406531,22.07633333333333
2013-04-08,22.59,23.02,22.56,23.0,1973901,KIM,0.017699115044247725,22.119333333333334
2013-04-09,23.03,23.41,22.83,23.19,5024368,KIM,0.008260869565217446,22.18633333333333
2013-04-10,23.23,23.26,23.13,23.23,3704773,KIM,0.001724881414402723,22.246666666666666
2013-04-11,23.24,23.58,23.24,23.36,2747316,KIM,0.005596211795092509,22.3
2013-04-12,23.3,23.41,23.19,23.24,2722741,KIM,-0.005136986301369906,22.349
2013-04-15,23.09,23.27,22.73,22.75,3417495,KIM,-0.021084337349397523,22.380666666666666
2013-04-16,22.87,23.12,22.75,23.03,3471037,KIM,0.012307692307692358,22.416666666666668
2013-04-17,22.95,22.97,22.45,22.51,4393751,KIM,-0.022579244463742924,22.426666666666666
2013-04-18,22.58,22.68,22.38,22.55,2630889,KIM,0.001776988005330926,22.437
2013-04-19,22.64,22.93,22.54,22.89,1992101,KIM,0.015077605321507754,22.46333333333333
2013-04-22,22.96,23.0,22.73,22.8,1934328,KIM,-0.00393184796854521,22.487666666666666
2013-04-23,22.95,23.0,22.73,22.97,2396329,KIM,0.007456140350877112,22.521333333333335
2013-04-24,23.0,23.12,22.89,22.99,1691754,KIM,0.0008707009142359415,22.555999999999997
2013-04-25,23.14,23.26,22.8,23.14,2281263,KIM,0.0065245759025664265,22.59733333333333
2013-04-26,23.16,23.23,23.04,23.1,1287822,KIM,-0.001728608470181467,22.632
2013-04-29,23.16,23.51,23.0601,23.48,2169083,KIM,0.016450216450216406,22.679
2013-04-30,23.46,23.78,23.35,23.78,2690757,KIM,0.012776831345826266,22.740666666666666
2013-05-01,23.74,23.88,23.55,23.67,3164015,KIM,-0.004625735912531515,22.797666666666665
2013-05-02,23.67,24.34,23.43,24.16,2982606,KIM,0.02070130967469364,22.862666666666666
2013-05-03,24.27,24.595,24.2,24.56,3493995,KIM,0.01655629139072842,22.944666666666667
2013-05-06,24.32,24.69,24.22,24.69,2869093,KIM,0.005293159609120626,23.024
2013-05-07,24.69,24.95,24.66,24.87,2414168,KIM,0.0072904009720534515,23.11366666666667
2013-05-08,24.88,25.06,24.765,25.0,1938798,KIM,0.005227181342983474,23.208000000000002
2013-05-09,25.09,25.09,24.78,24.81,2447766,KIM,-0.007600000000000051,23.294666666666668
2013-05-10,24.88,25.08,24.75,24.97,2811650,KIM,0.006449012494961715,23.380333333333333
2013-05-13,24.92,25.05,24.85,24.86,2884063,KIM,-0.004405286343612313,23.464000000000002
2013-05-14,24.9,24.97,24.74,24.77,3344711,KIM,-0.003620273531777951,23.538333333333334
2013-05-15,24.75,24.8,24.49,24.67,7265882,KIM,-0.004037141703673713,23.613
2013-05-16,24.65,24.67,24.06,24.15,7269804,KIM,-0.021078232671260765,23.65966666666667
2013-05-17,24.2,24.32,24.15,24.22,8500076,KIM,0.002898550724637693,23.713666666666665
2013-05-20,24.21,24.27,24.02,24.12,3769336,KIM,-0.004128819157720804,23.750999999999998
2013-05-21,24.21,24.37,24.15,24.19,2245109,KIM,0.0029021558872305256,23.784333333333333
2013-05-22,24.17,24.475,23.52,23.67,3163649,KIM,-0.02149648615130217,23.799
2013-05-23,23.44,23.45,22.98,23.38,4013850,KIM,-0.012251795521757612,23.799666666666667
2013-05-24,23.23,23.32,23.0,23.15,2832845,KIM,-0.009837467921300275,23.796666666666667
2013-05-28,23.36,23.44,22.635,22.82,4127053,KIM,-0.01425485961123103,23.799
2013-05-29,22.66,22.7,22.18,22.55,3379111,KIM,-0.011831726555652917,23.783
2013-05-30,22.55,22.71,22.16,22.19,2779920,KIM,-0.015964523281596428,23.772333333333336
2013-05-31,22.1,22.37,22.02,22.15,6458389,KIM,-0.001802613789995615,23.759
2013-06-03,22.15,22.27,21.91,22.13,6749433,KIM,-0.0009029345372460305,23.733666666666668
2013-06-04,22.13,22.17,21.82,21.83,3191076,KIM,-0.013556258472661578,23.701333333333334
2013-06-05,21.81,21.96,21.3099,21.35,6179127,KIM,-0.021988089784699814,23.647333333333336
2013-06-06,21.27,22.0,21.21,21.99,4736234,KIM,0.029976580796252785,23.613999999999997
2013-06-07,22.09,22.15,21.65,22.13,2660709,KIM,0.006366530241018671,23.580333333333332
2013-06-10,22.18,22.345,22.0,22.19,7319822,KIM,0.002711251694532412,23.55
2013-06-11,22.04,22.18,21.81,21.84,4576675,KIM,-0.01577287066246063,23.495333333333335
2013-06-12,21.94,21.96,21.61,21.69,4194816,KIM,-0.006868131868131803,23.425666666666665
2013-06-13,21.69,22.11,21.64,22.08,4925913,KIM,0.01798063623789751,23.372666666666667
2013-06-14,22.02,22.14,21.94,22.01,4157833,KIM,-0.003170289855072316,23.301
2013-06-17,21.98,22.12,21.95,22.06,3827541,KIM,0.0022716946842343097,23.217666666666666
2013-06-18,22.1,22.32,21.91,22.27,5222230,KIM,0.009519492293744374,23.137
2013-06-19,22.31,22.36,21.52,21.58,4437435,KIM,-0.030983385720700553,23.02733333333333
2013-06-20,21.41,21.41,20.47,20.59,5960952,KIM,-0.04587581093605183,22.880333333333333
2013-06-21,20.83,21.02,20.49,20.84,5283555,KIM,0.012141816415735794,22.748
2013-06-24,20.58,21.21,20.25,20.76,4867423,KIM,-0.0038387715930901295,22.607666666666667
2013-06-25,20.99,21.21,20.69,20.91,6507673,KIM,0.007225433526011492,22.476
2013-06-26,21.12,21.3,21.0,21.05,4479806,KIM,0.006695361071257799,22.351999999999997
2013-06-27,21.21,21.63,21.17,21.63,3631248,KIM,0.027553444180522482,22.250666666666667
2013-06-28,21.6,21.685,21.29,21.43,3841871,KIM,-0.009246417013407272,22.16
2013-07-01,21.3,21.43,21.03,21.06,2849193,KIM,-0.01726551563229123,22.054666666666666
2013-07-02,21.08,21.57,21.06,21.57,4743848,KIM,0.02421652421652429,21.96966666666667
2013-07-03,21.53,21.53,21.25,21.44,1859059,KIM,-0.006026889197960084,21.877999999999997
2013-07-05,21.57,21.57,21.025,21.38,2350678,KIM,-0.0027985074626866733,21.801666666666666
2013-07-08,21.49,21.775,21.44,21.68,4087846,KIM,0.014031805425631465,21.745
2013-07-09,21.79,22.095,21.76,22.03,2155516,KIM,0.016143911439114457,21.707666666666668
2013-07-10,22.03,22.03,21.725,21.96,2558238,KIM,-0.0031774852473899357,21.679
2013-07-11,22.26,22.54,22.26,22.47,2549657,KIM,0.023224043715846902,21.676333333333336
2013-07-12,22.39,22.56,22.215,22.34,2175482,KIM,-0.005785491766800134,21.68133333333333
2013-07-15,22.35,22.6,22.29,22.5,1195610,KIM,0.007162041181736801,21.692999999999998
2013-07-16,22.52,22.6,22.4,22.51,2393363,KIM,0.0004444444444445139,21.705666666666666
2013-07-17,22.63,22.68,22.44,22.56,1942915,KIM,0.0022212350066635788,21.73
2013-07-18,22.58,22.97,22.56,22.96,2131670,KIM,0.017730496453900804,21.783666666666665
2013-07-19,22.98,23.07,22.9,22.97,2675777,KIM,0.00043554006968632447,21.816333333333333
2013-07-22,22.92,23.145,22.85,23.12,1850009,KIM,0.006530256856769793,21.849333333333334
2013-07-23,23.11,23.225,23.0,23.15,1275306,KIM,0.0012975778546711757,21.881333333333334
2013-07-24,23.2,23.24,22.42,22.55,2185763,KIM,-0.02591792656587464,21.904999999999998
2013-07-25,22.49,22.695,22.48,22.69,1658054,KIM,0.006208425720620868,21.938333333333333
2013-07-26,22.6,22.73,22.41,22.71,1131946,KIM,0.0008814455707359882,21.959333333333333
2013-07-29,22.63,22.78,22.54,22.62,1601441,KIM,-0.003963011889035661,21.979666666666667
2013-07-30,22.71,22.8,22.35,22.4,4560695,KIM,-0.009725906277630522,21.991
2013-07-31,22.6,22.91,22.16,22.55,6172549,KIM,0.006696428571428667,22.000333333333334
2013-08-01,22.66,22.885,22.54,22.84,5251101,KIM,0.012860310421285992,22.042333333333332
2013-08-02,22.74,22.95,22.47,22.5,2556553,KIM,-0.014886164623467594,22.105999999999998
2013-08-05,22.44,22.52,22.17,22.19,2119061,KIM,-0.01377777777777772,22.151
2013-08-06,22.18,22.315,21.89,21.98,3152895,KIM,-0.009463722397476379,22.191666666666666
2013-08-07,21.96,22.02,21.72,21.96,1932959,KIM,-0.0009099181073703173,22.226666666666667
2013-08-08,22.04,22.12,21.74,22.08,2851475,KIM,0.005464480874316823,22.261000000000003
2013-08-09,22.16,22.3,22.01,22.13,3420324,KIM,0.0022644927536232206,22.27766666666667
2013-08-12,22.07,22.12,21.86,21.88,2229801,KIM,-0.011296882060551289,22.292666666666666
