date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,23.24,23.74,23.24,23.73,823004,LKQ,,
2013-02-11,23.75,23.99,23.18,23.31,755017,LKQ,-0.01769911504424786,
2013-02-12,23.35,23.52,23.1,23.2,1190278,LKQ,-0.004719004719004695,
2013-02-13,23.33,23.33,23.07,23.26,1746528,LKQ,0.002586206896551822,
2013-02-14,23.25,23.4,23.04,23.08,1516046,LKQ,-0.007738607050731009,
2013-02-15,23.17,23.42,23.15,23.25,1106884,LKQ,0.007365684575390022,
2013-02-19,23.25,23.25,22.34,22.41,2316531,LKQ,-0.03612903225806451,
2013-02-20,22.46,22.85,22.44,22.6,2265776,LKQ,0.008478357875948294,
2013-02-21,22.63,22.78,21.88,21.99,1827841,LKQ,-0.026991150442478008,
2013-02-22,22.13,23.05,22.13,22.48,1654326,LKQ,0.02228285584356535,
2013-02-25,22.55,22.66,22.36,22.37,1973004,LKQ,-0.004893238434163676,
2013-02-26,22.45,22.58,22.27,22.37,1290082,LKQ,0.0,
2013-02-27,22.32,23.04,22.14,22.93,1639281,LKQ,0.025033527045149696,
2013-02-28,22.0,22.24,20.721,21.19,7505361,LKQ,-0.07588312254688175,
2013-03-01,21.24,21.24,20.42,20.43,4979520,LKQ,-0.03586597451628134,
2013-03-04,20.43,20.86,20.25,20.66,3682269,LKQ,0.011257953989231543,
2013-03-05,20.81,20.885,20.44,20.48,3641252,LKQ,-0.008712487899322349,
2013-03-06,20.5,20.55,20.09,20.17,4816122,LKQ,-0.015136718749999938,
2013-03-07,20.23,20.45,20.16,20.21,2923862,LKQ,0.0019831432821020892,
2013-03-08,20.6,21.44,20.23,21.42,4304080,LKQ,0.05987135081642755,
2013-03-11,21.41,21.6,21.14,21.59,2855578,LKQ,0.00793650793650785,
2013-03-12,21.52,21.6199,21.32,21.4,2507256,LKQ,-0.008800370541917613,
2013-03-13,21.45,21.855,21.25,21.8,1760430,LKQ,0.018691588785046828,
2013-03-14,21.81,21.905,21.51,21.64,1621678,LKQ,-0.00733944954128441,
2013-03-15,21.61,21.72,21.04,21.09,6024821,LKQ,-0.025415896487985246,
2013-03-18,20.69,21.26,20.354,20.9,2096769,LKQ,-0.00900900900900907,
2013-03-19,21.0,21.12,20.65,20.955,2408843,LKQ,0.0026315789473684075,
2013-03-20,20.99,21.18,20.855,21.15,1715855,LKQ,0.009305654974946329,
2013-03-21,20.94,21.1,20.79,21.0,1138381,LKQ,-0.007092198581560217,
2013-03-22,21.01,21.17,20.65,20.76,1632395,LKQ,-0.011428571428571354,21.79416666666667
2013-03-25,20.88,21.2,20.8,20.93,1619968,LKQ,0.008188824662813012,21.700833333333332
2013-03-26,20.99,21.58,20.99,21.36,2398691,LKQ,0.02054467271858575,21.635833333333334
2013-03-27,21.26,21.68,21.07,21.49,1382322,LKQ,0.0060861423220973316,21.578833333333332
2013-03-28,21.48,21.795,21.4,21.76,1436493,LKQ,0.012563983248022482,21.528833333333335
