date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,11.6,11.73,11.53,11.64,6534957,LUV,,
2013-02-11,11.67,11.76,11.63,11.65,4477580,LUV,0.0008591065292096037,
2013-02-12,11.65,11.66,11.51,11.55,3759886,LUV,-0.008583690987124432,
2013-02-13,11.57,11.655,11.54,11.61,3951473,LUV,0.005194805194805084,
2013-02-14,11.6,11.6,11.38,11.47,8080751,LUV,-0.012058570198104978,
2013-02-15,11.53,11.755,11.5,11.6,6955542,LUV,0.011333914559720925,
2013-02-19,11.64,11.7,11.56,11.7,4931850,LUV,0.008620689655172384,
2013-02-20,11.66,11.69,11.41,11.43,4587646,LUV,-0.023076923076923044,
2013-02-21,11.42,11.48,11.31,11.45,6436921,LUV,0.0017497812773402952,
2013-02-22,11.47,11.63,11.45,11.6,4704042,LUV,0.01310043668122274,
2013-02-25,11.63,11.72,11.31,11.32,6134503,LUV,-0.024137931034482703,
2013-02-26,11.35,11.41,11.23,11.4,5916994,LUV,0.007067137809187285,
2013-02-27,11.38,11.82,11.38,11.82,6345630,LUV,0.036842105263157884,
2013-02-28,11.82,11.895,11.64,11.7,7956918,LUV,-0.010152284263959475,
2013-03-01,11.66,11.95,11.66,11.82,5655890,LUV,0.010256410256410341,
2013-03-04,11.76,12.09,11.745,12.04,8431440,LUV,0.01861252115059212,
2013-03-05,12.13,12.15,11.98,12.11,8189336,LUV,0.005813953488372117,
2013-03-06,12.17,12.205,11.98,12.05,5551771,LUV,-0.004954582989264965,
2013-03-07,11.97,12.12,11.94,12.09,6672692,LUV,0.003319502074688726,
2013-03-08,12.25,12.3,12.14,12.26,6872234,LUV,0.0140612076095947,
2013-03-11,12.19,12.33,12.07,12.33,8168469,LUV,0.005709624796084852,
2013-03-12,12.34,12.46,12.29,12.34,7602797,LUV,0.0008110300081102828,
2013-03-13,12.35,12.53,12.35,12.45,5648754,LUV,0.008914100486223616,
2013-03-14,12.46,12.55,12.37,12.55,5133314,LUV,0.008032128514056339,
2013-03-15,12.52,12.55,12.36,12.38,8399699,LUV,-0.013545816733067723,
2013-03-18,12.29,12.6,12.14,12.56,4583765,LUV,0.014539579967689798,
2013-03-19,12.6,12.69,12.49,12.64,4154842,LUV,0.006369426751592362,
2013-03-20,12.68,12.84,12.62,12.79,5578624,LUV,0.011867088607594823,
2013-03-21,12.72,12.895,12.72,12.76,5900106,LUV,-0.002345582486317386,
2013-03-22,12.79,12.93,12.61,12.87,7440576,LUV,0.008620689655172369,11.999333333333334
2013-03-25,12.95,12.99,12.753,12.86,7223630,LUV,-0.0007770007770007605,12.04
2013-03-26,12.87,13.06,12.82,12.95,9168058,LUV,0.006998444790046646,12.083333333333334
2013-03-27,12.86,13.25,12.84,13.19,8495010,LUV,0.01853281853281855,12.138000000000002
2013-03-28,13.25,13.575,13.21,13.48,11792267,LUV,0.021986353297953065,12.200333333333333
2013-04-01,13.47,13.51,13.18,13.23,6335593,LUV,-0.018545994065281898,12.258999999999999
2013-04-02,13.19,13.22,12.62,12.68,13026095,LUV,-0.041572184429327336,12.295
2013-04-03,12.685,12.865,12.48,12.54,11925790,LUV,-0.011041009463722443,12.322999999999999
2013-04-04,12.54,12.85,12.5396,12.8,7572524,LUV,0.020733652312599805,12.368666666666666
2013-04-05,12.6,12.83,12.445,12.81,6813443,LUV,0.0007812499999999833,12.413999999999998
2013-04-08,12.83,12.95,12.64,12.93,7278731,LUV,0.009367681498828979,12.458333333333334
2013-04-09,12.93,13.04,12.79,12.9,6670105,LUV,-0.0023201856148491384,12.511000000000001
2013-04-10,12.9,13.14,12.9,13.04,6556748,LUV,0.01085271317829448,12.565666666666665
2013-04-11,13.06,13.25,13.0,13.09,6883500,LUV,0.0038343558282209135,12.608
2013-04-12,13.06,13.22,13.03,13.15,4890299,LUV,0.0045836516424752095,12.656333333333333
2013-04-15,13.11,13.2,12.61,12.67,9394171,LUV,-0.03650190114068444,12.684666666666667
2013-04-16,12.86,13.18,12.81,13.18,8202223,LUV,0.04025256511444355,12.722666666666667
2013-04-17,13.12,13.2,12.9,13.15,6760303,LUV,-0.0022761760242791624,12.757333333333332
2013-04-18,13.16,13.16,12.925,12.98,3735477,LUV,-0.01292775665399239,12.788333333333334
2013-04-19,13.02,13.4,12.96,13.34,4922240,LUV,0.027734976887519216,12.83
2013-04-22,13.46,13.48,13.11,13.17,7305000,LUV,-0.012743628185907041,12.860333333333333
2013-04-23,13.19,13.45,13.14,13.34,7599893,LUV,0.012908124525436594,12.894
2013-04-24,13.38,13.45,13.19,13.42,7174342,LUV,0.00599700149925038,12.93
2013-04-25,13.52,13.61,13.33,13.42,8004871,LUV,0.0,12.962333333333333
2013-04-26,13.49,13.53,13.3,13.39,5680783,LUV,-0.002235469448584155,12.990333333333332
2013-04-29,13.45,13.6,13.4,13.54,4950895,LUV,0.011202389843166436,13.029
2013-04-30,13.55,13.77,13.48,13.7,6787321,LUV,0.011816838995568697,13.067
2013-05-01,13.71,13.82,13.4,13.48,5852691,LUV,-0.01605839416058386,13.095
2013-05-02,13.49,13.83,13.48,13.76,5205826,LUV,0.020771513353115677,13.127333333333333
