date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,66.22,67.2,65.9,66.48,371596,MAA,,
2013-02-11,66.56,67.67,66.54,67.26,347471,MAA,0.011732851985559583,
2013-02-12,67.29,67.49,66.92,67.4,146545,MAA,0.0020814748736247483,
2013-02-13,67.7,67.86,67.1,67.41,128883,MAA,0.00014836795252212023,
2013-02-14,67.23,67.86,67.23,67.56,406930,MAA,0.002225189141077076,
2013-02-15,67.67,68.18,67.62,67.85,216563,MAA,0.0042924807578447605,
2013-02-19,68.09,68.8,68.08,68.8,240519,MAA,0.014001473839351554,
2013-02-20,68.83,69.409,68.73,68.8,371928,MAA,0.0,
2013-02-21,69.19,69.29,68.66,68.96,472885,MAA,0.0023255813953487877,
2013-02-22,68.91,69.69,68.8,69.39,340183,MAA,0.006235498839907292,
2013-02-25,69.54,69.6,68.77,68.78,257290,MAA,-0.008790892059374542,
2013-02-26,68.96,69.44,68.54,69.14,225300,MAA,0.005234079674323923,
2013-02-27,69.36,70.16,69.1,69.55,282324,MAA,0.005929997107318435,
2013-02-28,69.5,69.77,69.3,69.44,542266,MAA,-0.0015815959741193304,
2013-03-01,69.53,70.06,68.95,69.89,490337,MAA,0.00648041474654382,
2013-03-04,69.74,69.86,69.06,69.18,575210,MAA,-0.010158821004435452,
2013-03-05,69.54,69.61,68.84,69.06,369465,MAA,-0.0017346053772767352,
2013-03-06,69.39,69.39,68.65,68.75,462051,MAA,-0.004488850275123114,
2013-03-07,69.07,69.42,68.28,68.39,363211,MAA,-0.005236363636363628,
2013-03-08,68.58,68.85,68.07,68.21,356369,MAA,-0.002631963737388607,
2013-03-11,68.24,68.36,67.76,68.36,320639,MAA,0.0021990910423692377,
2013-03-12,68.32,68.41,67.7,67.77,223026,MAA,-0.008630778232884778,
2013-03-13,68.0,68.22,67.451,68.13,290523,MAA,0.005312084993359886,
2013-03-14,68.35,69.56,68.18,69.53,330708,MAA,0.02054895053574058,
2013-03-15,69.28,70.07,69.09,70.02,360603,MAA,0.007047317704587874,
2013-03-18,69.69,70.84,69.63,70.68,527339,MAA,0.009425878320480018,
2013-03-19,70.68,70.815,69.89,70.22,423584,MAA,-0.00650820599886825,
2013-03-20,70.38,70.5,69.61,69.77,578338,MAA,-0.006408430646539488,
2013-03-21,69.62,70.16,69.01,69.02,383027,MAA,-0.010749605847785582,
2013-03-22,69.33,69.37,68.31,68.75,480345,MAA,-0.003911909591422719,68.75166666666668
2013-03-25,68.95,69.34,68.5,68.75,252588,MAA,0.0,68.82733333333334
2013-03-26,68.87,69.25,68.82,69.21,252335,MAA,0.006690909090909,68.89233333333333
2013-03-27,68.99,69.26,68.84,69.02,155742,MAA,-0.0027452680248518675,68.94633333333333
2013-03-28,69.11,69.5,68.795,69.06,280130,MAA,0.0005795421616923538,69.00133333333333
2013-04-01,69.06,69.56,68.96,69.21,574508,MAA,0.0021720243266723353,69.05633333333334
