date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,40.53,41.05,40.48,40.97,1965444,MAR,,
2013-02-11,40.97,41.23,40.76,41.22,1182169,MAR,0.0061020258725897,
2013-02-12,41.19,41.52,40.89,41.39,1637756,MAR,0.004124211547792376,
2013-02-13,41.58,41.61,41.16,41.18,1460947,MAR,-0.005073689296931647,
2013-02-14,40.92,41.21,40.78,41.16,1381230,MAR,-0.0004856726566295077,
2013-02-15,41.19,41.73,41.13,41.23,3495790,MAR,0.0017006802721088506,
2013-02-19,41.15,41.15,40.63,40.83,4133815,MAR,-0.009701673538685389,
2013-02-20,39.87,41.0,39.52,39.72,3722227,MAR,-0.0271858927259368,
2013-02-21,39.61,39.62,39.05,39.16,3558470,MAR,-0.014098690835851014,
2013-02-22,39.33,39.49,39.04,39.49,1832541,MAR,0.00842696629213497,
2013-02-25,39.7,39.97,38.6,38.6,3348421,MAR,-0.02253735122815904,
2013-02-26,38.71,38.92,38.35,38.53,2620586,MAR,-0.001813471502590681,
2013-02-27,38.5,39.43,38.5,39.3,1639281,MAR,0.01998442771866068,
2013-02-28,39.34,39.8,39.24,39.45,2703259,MAR,0.0038167938931299157,
2013-03-01,39.28,39.7,39.06,39.57,1580541,MAR,0.003041825095056969,
2013-03-04,39.5,39.615,38.93,39.2,3377357,MAR,-0.009350518069244312,
2013-03-05,39.42,39.805,39.34,39.46,2484167,MAR,0.006632653061224438,
2013-03-06,39.62,39.71,39.3,39.38,2254474,MAR,-0.002027369488089161,
2013-03-07,39.49,39.54,39.23,39.36,1950671,MAR,-0.0005078720162519838,
2013-03-08,39.68,40.515,39.53,40.29,4827073,MAR,0.023628048780487798,
2013-03-11,40.31,40.43,39.93,40.24,3277964,MAR,-0.001241002730205936,
2013-03-12,40.31,40.56,39.82,39.98,2378141,MAR,-0.006461232604373884,
2013-03-13,40.05,40.4,39.96,40.18,2199386,MAR,0.0050025012506253845,
2013-03-14,40.26,40.56,40.13,40.42,1593690,MAR,0.005973120955699403,
2013-03-15,40.25,40.45,40.02,40.35,2708640,MAR,-0.0017318159327065878,
2013-03-18,39.79,40.15,39.605,39.9,2086990,MAR,-0.011152416356877394,
2013-03-19,40.0,40.07,39.24,39.55,2858403,MAR,-0.00877192982456144,
2013-03-20,39.83,40.22,39.75,40.02,1473879,MAR,0.01188369152970938,
2013-03-21,39.76,39.97,39.5,39.62,1431820,MAR,-0.009995002498750766,
2013-03-22,39.7,39.89,39.65,39.85,1295010,MAR,0.005805148914689652,39.986666666666665
2013-03-25,40.0,40.12,39.59,39.76,1931664,MAR,-0.0022584692597240504,39.94633333333333
2013-03-26,39.93,41.56,39.79,41.29,5148475,MAR,0.03848088531187126,39.94866666666667
2013-03-27,41.04,41.7,40.92,41.62,2543564,MAR,0.007992249939452611,39.95633333333333
2013-03-28,41.69,42.27,41.57,42.23,2392711,MAR,0.014656415185007196,39.99133333333334
2013-04-01,42.12,42.25,41.6,41.63,1778018,MAR,-0.014207909069381823,40.00699999999999
2013-04-02,41.86,41.92,41.31,41.46,1691480,MAR,-0.004083593562334896,40.01466666666666
2013-04-03,41.52,41.66,40.85,41.0,2291506,MAR,-0.011095031355523416,40.02033333333333
2013-04-04,40.98,41.325,40.88,41.3,1549338,MAR,0.007317073170731638,40.073
2013-04-05,40.59,40.6899,40.2,40.66,1777060,MAR,-0.015496368038740936,40.123000000000005
2013-04-08,40.55,41.3,40.5,41.3,944075,MAR,0.015740285292670946,40.18333333333333
2013-04-09,41.55,41.87,41.39,41.6,1744857,MAR,0.00726392251815991,40.28333333333333
2013-04-10,41.73,42.15,41.58,41.99,1876959,MAR,0.009375000000000014,40.39866666666667
2013-04-11,42.19,42.37,42.08,42.21,1702575,MAR,0.005239342700642983,40.49566666666667
2013-04-12,42.07,42.59,41.98,42.59,1123017,MAR,0.009002606017531452,40.60033333333333
2013-04-15,42.2,42.2375,40.55,40.71,4070784,MAR,-0.044141817328011326,40.638333333333335
2013-04-16,41.2,41.75,41.12,41.75,2479967,MAR,0.025546548759518523,40.723333333333336
2013-04-17,41.42,41.56,40.83,41.13,1635181,MAR,-0.014850299401197543,40.778999999999996
2013-04-18,41.24,41.39,40.55,40.81,1993840,MAR,-0.007780209093119384,40.826666666666675
2013-04-19,40.91,41.43,40.711,41.34,1267707,MAR,0.012987012987013014,40.89266666666666
2013-04-22,41.38,41.56,41.03,41.33,1456299,MAR,-0.00024189646831168638,40.92733333333333
2013-04-23,41.51,41.94,41.4925,41.87,1728443,MAR,0.013065569804016432,40.98166666666667
2013-04-24,41.98,42.06,41.39,41.43,1729912,MAR,-0.010508717458800998,41.029999999999994
2013-04-25,41.72,41.92,41.59,41.64,2066785,MAR,0.005068790731354112,41.07866666666666
2013-04-26,41.53,42.0,41.48,41.57,2228607,MAR,-0.0016810758885686908,41.117
2013-04-29,41.5,41.67,41.21,41.62,1661328,MAR,0.0012027904738993783,41.15933333333333
2013-04-30,41.8,43.135,41.8,43.06,3683529,MAR,0.03459875060067287,41.26466666666667
2013-05-01,42.46,42.91,42.29,42.48,2508142,MAR,-0.013469577333952749,41.36233333333334
2013-05-02,42.57,42.96,41.45,42.84,3229722,MAR,0.008474576271186595,41.456333333333326
2013-05-03,43.25,43.555,42.87,43.01,2589451,MAR,0.003968253968253842,41.56933333333333
2013-05-06,43.0,43.27,42.94,43.11,1826351,MAR,0.0023250406882120767,41.678000000000004
2013-05-07,43.21,43.71,43.21,43.54,1220358,MAR,0.00997448387845047,41.804
2013-05-08,43.34,43.7,43.22,43.49,1657862,MAR,-0.0011483693155718226,41.87733333333333
2013-05-09,43.51,43.64,43.13,43.23,1710510,MAR,-0.0059783858358244445,41.931000000000004
