date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,34.62,34.88,34.565,34.69,8585149,MO,,
2013-02-11,34.74,34.8,34.66,34.75,4621475,MO,0.0017296050735082812,
2013-02-12,34.7,34.84,34.54,34.66,8775115,MO,-0.002589928057554055,
2013-02-13,34.66,34.79,34.61,34.78,6081054,MO,0.0034622042700520645,
2013-02-14,34.78,34.8,34.06,34.11,11858899,MO,-0.019263944795859737,
2013-02-15,34.15,34.52,34.15,34.38,8895784,MO,0.007915567282321992,
2013-02-19,34.5,34.78,34.435,34.77,7193174,MO,0.01134380453752183,
2013-02-20,34.73,35.095,34.71,34.89,7371356,MO,0.003451251078515888,
2013-02-21,34.93,35.24,34.62,35.2,9672525,MO,0.008885067354542914,
2013-02-22,35.14,35.32,34.915,35.32,9012921,MO,0.003409090909090836,
2013-02-25,35.44,35.475,34.635,34.65,9898369,MO,-0.018969422423556107,
2013-02-26,34.55,34.69,34.23,34.3,11007119,MO,-0.010101010101010142,
2013-02-27,34.2,34.23,33.54,34.07,18474103,MO,-0.006705539358600492,
2013-02-28,34.05,34.07,33.55,33.55,18625279,MO,-0.015262694452597685,
2013-03-01,33.53,33.72,33.425,33.49,15542401,MO,-0.0017883755588672184,
2013-03-04,33.51,34.09,33.51,33.93,12802051,MO,0.013138250223947379,
2013-03-05,34.1,34.3,34.02,34.24,16323263,MO,0.009136457412319549,
2013-03-06,34.31,34.34,34.01,34.13,6425392,MO,-0.0032126168224298896,
2013-03-07,34.21,34.23,33.83,33.96,7735225,MO,-0.004980955171403507,
2013-03-08,33.97,34.075,33.7944,34.0,28974748,MO,0.001177856301531188,
2013-03-11,34.02,34.3,34.0,34.26,37694921,MO,0.007647058823529353,
2013-03-12,34.27,34.39,34.1361,34.16,44736203,MO,-0.0029188558085231006,
2013-03-13,33.93,33.93,33.69,33.93,9442024,MO,-0.006733021077283282,
2013-03-14,33.92,34.005,33.64,33.8,9331709,MO,-0.003831417624521148,
2013-03-15,33.65,33.74,33.52,33.68,12643587,MO,-0.0035502958579880905,
2013-03-18,33.49,33.62,33.34,33.47,6149025,MO,-0.0062351543942993125,
2013-03-19,33.5,33.73,33.5,33.69,8690282,MO,0.006573050492978753,
2013-03-20,33.73,34.17,33.7,34.04,9647833,MO,0.010388839418225035,
2013-03-21,33.94,33.99,33.75,33.86,6360224,MO,-0.00528789659224441,
2013-03-22,33.92,34.05,33.82,33.91,6318037,MO,0.0014766686355580968,34.22233333333334
2013-03-25,33.96,34.095,33.815,33.88,5628916,MO,-0.0008846947803006203,34.19533333333333
2013-03-26,34.04,34.36,33.96,34.36,6924719,MO,0.014167650531286801,34.18233333333333
2013-03-27,34.18,34.54,34.15,34.41,5812723,MO,0.0014551804423747717,34.174
2013-03-28,34.35,34.51,34.22,34.39,9148328,MO,-0.000581226387677885,34.160999999999994
2013-04-01,34.19,34.44,34.08,34.3,6070082,MO,-0.0026170398371620648,34.16733333333333
2013-04-02,34.49,35.2,34.46,35.2,11025098,MO,0.026239067055393753,34.19466666666666
2013-04-03,35.21,35.25,34.75,34.82,9839253,MO,-0.010795454545454617,34.196333333333335
2013-04-04,34.93,35.18,34.82,35.16,6199567,MO,0.009764503159103858,34.205333333333336
2013-04-05,34.95,35.05,34.61,34.84,6812541,MO,-0.009101251422070342,34.193333333333335
2013-04-08,34.89,35.26,34.8,35.26,6196196,MO,0.012055109070034287,34.19133333333333
2013-04-09,35.36,35.61,35.26,35.48,8718480,MO,0.006239364719228556,34.219
2013-04-10,35.66,35.725,35.46,35.66,9745523,MO,0.005073280721533251,34.26433333333333
2013-04-11,35.61,35.81,35.46,35.62,8062888,MO,-0.0011217049915871887,34.316
2013-04-12,35.52,35.94,35.5,35.91,6294460,MO,0.008141493542953373,34.394666666666666
2013-04-15,35.76,35.7601,34.71,34.81,12494955,MO,-0.030632135895293636,34.43866666666666
2013-04-16,35.03,35.7,34.95,35.38,8475814,MO,0.01637460499856364,34.487
2013-04-17,35.21,35.3,35.049,35.14,8867251,MO,-0.006783493499152119,34.517
2013-04-18,35.04,35.1,34.45,34.68,10084403,MO,-0.013090495162208334,34.535333333333334
2013-04-19,34.81,35.21,34.72,35.02,9175362,MO,0.00980392156862755,34.57066666666666
2013-04-22,35.06,35.34,34.95,35.28,4586160,MO,0.007424328954882866,34.61333333333334
2013-04-23,35.42,35.6318,35.02,35.53,9684692,MO,0.007086167800453514,34.65566666666667
2013-04-24,35.42,35.8,35.41,35.53,13139282,MO,0.0,34.70133333333333
2013-04-25,35.68,35.955,35.55,35.94,9661366,MO,0.01153954404728389,34.76833333333333
2013-04-26,35.89,36.12,35.58,36.07,6614767,MO,0.0036171396772399157,34.844
2013-04-29,36.11,36.61,36.0,36.61,8977183,MO,0.014970889936235075,34.94166666666667
2013-04-30,36.56,36.5899,36.28,36.51,12344732,MO,-0.0027314941272876653,35.043
2013-05-01,36.51,36.905,36.28,36.32,8773683,MO,-0.005204053683922151,35.13066666666667
2013-05-02,36.36,36.83,36.32,36.65,6631061,MO,0.009085903083700393,35.217666666666666
2013-05-03,36.84,36.85,36.47,36.51,7523787,MO,-0.0038199181446112026,35.306000000000004
2013-05-06,36.48,36.49,36.01,36.08,8160009,MO,-0.011777595179402895,35.37833333333333
2013-05-07,36.2,36.59,36.15,36.47,12420737,MO,0.010809312638580948,35.464666666666666
2013-05-08,36.51,36.62,36.41,36.52,5625215,MO,0.0013709898546751924,35.53666666666666
2013-05-09,36.54,36.63,36.21,36.35,7233889,MO,-0.004654983570646268,35.60133333333333
2013-05-10,36.3,36.73,36.3,36.68,5889963,MO,0.009078404401650572,35.67766666666667
2013-05-13,36.62,37.06,36.53,36.92,7221788,MO,0.006543075245365376,35.765
2013-05-14,36.92,37.14,36.85,37.06,9441296,MO,0.003791982665222117,35.827
2013-05-15,37.0,37.61,36.99,37.46,8644379,MO,0.010793308148947613,35.915
2013-05-16,37.36,37.54,37.15,37.18,5635921,MO,-0.007474639615589993,35.98233333333334
2013-05-17,37.1,37.49,37.1,37.44,7442013,MO,0.006993006993006939,36.068999999999996
2013-05-20,37.41,37.53,37.22,37.34,9080891,MO,-0.002670940170940019,36.138333333333335
2013-05-21,37.35,37.41,36.86,36.92,9408040,MO,-0.011247991430101812,36.18633333333333
2013-05-22,36.89,37.42,36.8,36.9,7392993,MO,-0.0005417118093175278,36.227666666666664
2013-05-23,36.62,36.98,36.51,36.86,8457675,MO,-0.001084010840108378,36.269
2013-05-24,36.73,37.11,36.515,37.09,6630121,MO,0.0062398263700489415,36.30833333333333
2013-05-28,37.36,37.53,36.86,37.07,6587149,MO,-0.0005392289026692673,36.38366666666666
2013-05-29,36.87,36.99,36.2535,36.44,8873469,MO,-0.01699487456164021,36.419000000000004
2013-05-30,36.5,36.64,36.37,36.43,5909156,MO,-0.00027442371020850744,36.462
2013-05-31,36.29,36.6,36.07,36.1,9803042,MO,-0.00905846829536092,36.50933333333333
2013-06-03,36.06,36.5,35.62,36.46,9837463,MO,0.009972299168975053,36.55733333333333
2013-06-04,36.46,36.6,36.109,36.21,7378233,MO,-0.006856829402084476,36.58833333333334
2013-06-05,36.03,36.2,35.61,35.71,8526389,MO,-0.013808340237503451,36.59433333333333
2013-06-06,35.6,35.81,35.21,35.81,10976380,MO,0.002800336040324879,36.60366666666667
2013-06-07,35.99,36.19,35.66,36.15,26081610,MO,0.00949455459368881,36.61066666666667
2013-06-10,36.31,36.49,36.15,36.23,25363825,MO,0.0022130013831258176,36.616
2013-06-11,36.09,36.5,35.97,36.16,27180193,MO,-0.0019321004692244078,36.601
2013-06-12,36.06,36.08,35.58,35.6,8821773,MO,-0.015486725663716682,36.57066666666666
2013-06-13,35.57,35.99,35.48,35.76,7440490,MO,0.004494382022471814,36.552
2013-06-14,35.74,35.95,35.52,35.58,7642306,MO,-0.0050335570469798585,36.516333333333336
2013-06-17,35.7,35.96,35.62,35.79,8516594,MO,0.005902192242833076,36.492333333333335
2013-06-18,35.84,36.2,35.84,36.15,7510378,MO,0.010058675607711636,36.49466666666667
2013-06-19,36.12,36.25,35.19,35.19,8858331,MO,-0.026556016597510397,36.452
2013-06-20,35.13,35.23,34.25,34.34,13215016,MO,-0.024154589371980516,36.37933333333333
2013-06-21,34.66,35.13,34.605,34.93,11237856,MO,0.017181129877693543,36.332
2013-06-24,34.6,35.05,34.4,34.63,9759841,MO,-0.00858860578299448,36.26366666666667
2013-06-25,34.84,35.42,34.77,34.93,21033164,MO,0.008663008951775833,36.197333333333326
2013-06-26,35.18,35.47,35.01,35.27,7389074,MO,0.009733753220727266,36.13766666666667
2013-06-27,35.53,35.77,35.39,35.45,6335552,MO,0.0051034873830450725,36.07066666666666
2013-06-28,35.41,35.6745,34.96,34.99,13352126,MO,-0.01297602256699579,35.99766666666666
2013-07-01,35.22,35.67,35.125,35.38,7723631,MO,0.011146041726207503,35.929
2013-07-02,35.29,35.67,35.2,35.46,5419318,MO,0.002261164499717306,35.86633333333334
2013-07-03,35.36,35.5,35.165,35.49,5789915,MO,0.0008460236886633146,35.81866666666667
2013-07-05,35.63,35.7499,35.11,35.49,4466787,MO,0.0,35.77166666666667
2013-07-08,35.69,36.17,35.65,36.04,5840357,MO,0.015497323189630801,35.74433333333334
2013-07-09,36.22,36.45,36.11,36.27,12222103,MO,0.006381798002219867,35.717
2013-07-10,36.32,36.79,36.27,36.5,9700272,MO,0.0063413289219739965,35.698
2013-07-11,36.89,37.085,36.8,36.86,8344886,MO,0.009863013698630121,35.711999999999996
2013-07-12,36.95,37.0,36.7,36.92,4812827,MO,0.001627780792186714,35.72833333333333
2013-07-15,36.9,37.07,36.8,37.05,4944318,MO,0.0035211267605632568,35.76
2013-07-16,36.98,37.45,36.93,37.23,6867048,MO,0.004858299595141693,35.785666666666664
2013-07-17,37.37,37.48,37.0,37.02,5656642,MO,-0.005640612409347133,35.812666666666665
2013-07-18,36.9,37.32,36.83,37.0,5724832,MO,-0.00054024851431667,35.85566666666667
2013-07-19,37.03,37.35,36.91,37.15,8950303,MO,0.004054054054054015,35.900333333333336
2013-07-22,37.09,37.13,36.735,36.88,7158226,MO,-0.00726783310901739,35.92466666666667
