date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,100.8,101.57,100.1,101.15,3069506,MON,,
2013-02-11,101.81,102.26,100.89,102.12,2161590,MON,0.00958971824023726,
2013-02-12,101.82,102.02,101.0,101.77,1533121,MON,-0.0034273403838622064,
2013-02-13,102.0,102.86,101.89,102.81,1764645,MON,0.01021912154859002,
2013-02-14,102.21,102.29,101.45,102.0,1994635,MON,-0.007878611030055464,
2013-02-15,101.51,103.52,101.5,103.51,3076720,MON,0.0148039215686275,
2013-02-19,102.45,103.22,101.81,101.89,2856194,MON,-0.01565066177180953,
2013-02-20,102.07,102.21,98.155,98.66,6324461,MON,-0.031700853862008084,
2013-02-21,98.5,99.72,97.9,98.71,3415530,MON,0.000506790999391822,
2013-02-22,98.95,99.99,98.23,99.98,2620518,MON,0.012865971026238581,
2013-02-25,100.19,100.53,98.01,98.09,2561412,MON,-0.018903780756151234,
2013-02-26,98.6,99.48,98.08,99.2,2190904,MON,0.01131613824039147,
2013-02-27,99.2,100.72,99.04,100.4,2549478,MON,0.012096774193548416,
2013-02-28,100.61,101.59,100.18,101.03,2167399,MON,0.006274900398406329,
2013-03-01,100.5,102.0,99.99,101.66,1933405,MON,0.0062357715530040134,
2013-03-04,101.41,101.66,100.425,101.62,1839249,MON,-0.000393468424158883,
2013-03-05,102.0,103.49,101.99,102.77,2071974,MON,0.01131666994686077,
2013-03-06,103.19,103.4,101.58,102.29,1888479,MON,-0.004670623722876226,
2013-03-07,102.35,103.38,102.35,102.91,1456128,MON,0.006061198553133154,
2013-03-08,103.0,103.49,102.3901,103.35,1649235,MON,0.0042755806044116,
2013-03-11,103.13,104.3,102.73,104.22,1592042,MON,0.008417997097242424,
2013-03-12,103.79,103.92,103.0799,103.38,1859021,MON,-0.00805987334484747,
2013-03-13,103.59,104.585,103.3,103.64,1774246,MON,0.0025149932288644336,
2013-03-14,103.7,104.29,103.7,104.1,1601928,MON,0.004438440756464625,
2013-03-15,103.64,104.96,103.48,104.24,3368417,MON,0.0013448607108549526,
2013-03-18,103.41,103.54,102.415,102.64,1565598,MON,-0.015349194167306162,
2013-03-19,102.66,103.0,101.08,102.3,1996542,MON,-0.003312548713951709,
2013-03-20,102.95,103.61,102.69,103.12,1798055,MON,0.008015640273704862,
2013-03-21,102.92,102.92,100.99,101.05,1966468,MON,-0.020073700543056704,
2013-03-22,101.42,101.67,100.94,101.32,1694926,MON,0.002671944581890114,101.86433333333333
2013-03-25,101.28,101.47,98.92,99.4,2892609,MON,-0.018949861823924077,101.806
2013-03-26,100.51,103.96,100.24,103.79,3815991,MON,0.04416498993963783,101.86166666666666
2013-03-27,103.07,105.79,102.9,105.12,4315523,MON,0.012814336641294905,101.97333333333333
2013-03-28,105.3,105.82,104.51,105.63,2772955,MON,0.004851598173515895,102.06733333333334
2013-04-01,105.5,106.61,105.31,105.79,2584595,MON,0.0015147211966298477,102.19366666666666
2013-04-02,106.0,106.27,103.22,104.0,3457709,MON,-0.01692031382928449,102.21
2013-04-03,105.63,106.44,103.54,104.51,5296886,MON,0.004903846153846203,102.29733333333334
2013-04-04,104.86,107.24,104.37,105.74,3273148,MON,0.011769208688163713,102.53333333333333
2013-04-05,104.6,105.25,104.37,105.1,4175534,MON,-0.006052581804425956,102.74633333333334
2013-04-08,104.98,105.58,104.76,105.2,2760138,MON,0.0009514747859182543,102.92033333333333
2013-04-09,105.35,106.3,104.98,105.26,2198331,MON,0.0005703422053232155,103.15933333333332
2013-04-10,105.05,105.88,105.0,105.65,1708148,MON,0.003705111153334605,103.37433333333334
2013-04-11,105.67,107.18,105.32,107.1,2834827,MON,0.01372456223379071,103.59766666666665
2013-04-12,106.99,107.25,104.7,105.45,2347531,MON,-0.015406162464985915,103.74499999999999
2013-04-15,104.79,104.79,102.75,103.1,4143698,MON,-0.022285443338074997,103.79299999999999
2013-04-16,104.21,105.49,103.81,105.36,2405063,MON,0.02192046556741033,103.91766666666668
2013-04-17,104.48,104.69,103.65,103.79,2948131,MON,-0.01490129081245248,103.95166666666667
2013-04-18,104.03,104.09,101.53,102.12,2709865,MON,-0.016090182098468075,103.946
2013-04-19,102.57,103.72,102.415,103.22,2144580,MON,0.010771641206423758,103.95633333333333
2013-04-22,103.37,103.83,102.48,103.45,1740198,MON,0.002228250339081612,103.95966666666666
2013-04-23,103.62,104.0,102.07,103.75,2168119,MON,0.0028999516674721813,103.944
2013-04-24,104.16,104.9199,103.51,104.17,1679869,MON,0.004048192771084353,103.97033333333334
2013-04-25,104.73,106.47,104.5,105.93,2670149,MON,0.016895459345300998,104.04666666666667
2013-04-26,105.75,106.29,104.57,104.68,1408982,MON,-0.011800245445105257,104.066
2013-04-29,105.07,106.68,104.78,106.5,1741634,MON,0.017386320213985413,104.14133333333334
2013-04-30,106.5,106.99,105.61,106.82,2090725,MON,0.003004694835680687,104.28066666666668
2013-05-01,106.54,106.67,104.63,104.7,1874710,MON,-0.019846470698371,104.36066666666667
2013-05-02,104.88,106.21,104.18,106.11,1873416,MON,0.013467048710601686,104.46033333333334
2013-05-03,106.84,107.73,106.28,107.28,1748206,MON,0.011026293469041576,104.66799999999999
2013-05-06,107.17,107.7,106.62,107.19,1261686,MON,-0.000838926174496676,104.86366666666667
2013-05-07,107.17,108.06,106.61,107.86,1554471,MON,0.006250583076779567,105.14566666666666
2013-05-08,107.69,108.32,106.82,108.29,2551146,MON,0.00398664936028191,105.29566666666668
2013-05-09,108.35,108.63,107.12,107.46,1570262,MON,-0.00766460430325988,105.37366666666665
2013-05-10,107.6,108.34,107.42,108.12,1506786,MON,0.006141820212172072,105.45666666666668
2013-05-13,107.77,108.01,106.68,106.83,1981525,MON,-0.011931187569367428,105.49133333333334
2013-05-14,107.06,107.97,106.41,107.65,2712654,MON,0.0076757465131518056,105.61300000000001
2013-05-15,107.6,109.33,107.46,109.22,1851958,MON,0.014584300975383123,105.77
2013-05-16,108.76,109.0,107.561,107.67,1578763,MON,-0.014191540010986973,105.83433333333333
2013-05-17,108.04,109.1167,107.85,108.38,3008533,MON,0.006594223089068391,105.94366666666666
2013-05-20,108.43,108.78,108.04,108.31,2088947,MON,-0.0006458756228085733,106.04733333333334
2013-05-21,108.41,108.41,106.53,106.59,2568018,MON,-0.01588034345859107,106.09166666666668
2013-05-22,106.47,106.53,103.5,104.04,3515149,MON,-0.023923444976076527,106.03800000000001
2013-05-23,103.38,105.87,103.31,104.99,2808260,MON,0.009131103421760751,105.96766666666667
2013-05-24,104.5,105.04,103.84,104.83,1815287,MON,-0.0015239546623487627,105.94699999999999
2013-05-28,105.36,105.81,104.61,105.55,3362732,MON,0.006868262901841065,106.02866666666667
2013-05-29,105.57,105.86,103.34,105.42,3026123,MON,-0.001231643770724732,106.03066666666668
2013-05-30,104.68,105.52,104.64,104.97,1838268,MON,-0.004268639726807084,106.07
2013-05-31,104.51,104.53,100.64,100.64,5337316,MON,-0.04124988091835761,106.02066666666666
2013-06-03,100.42,102.17,100.06,102.08,4085028,MON,0.014308426073131934,105.98266666666667
2013-06-04,102.32,102.63,101.07,102.11,3295991,MON,0.0002938871473354343,105.938
2013-06-05,101.65,101.75,98.43,98.91,4176634,MON,-0.03133875232592305,105.77666666666667
2013-06-06,99.13,99.94,97.05,98.72,3469479,MON,-0.0019209382266706877,105.595
2013-06-07,99.82,101.95,99.53,101.65,4094911,MON,0.029679902755267492,105.45233333333334
2013-06-10,105.0,106.77,104.61,106.25,5636640,MON,0.04525332021642887,105.50466666666667
2013-06-11,104.91,105.201,103.56,104.51,3405648,MON,-0.016376470588235246,105.43833333333332
2013-06-12,105.12,105.76,103.42,103.46,2244853,MON,-0.0100468854655058,105.32633333333334
2013-06-13,103.39,105.45,102.59,105.44,2802743,MON,0.019137831045814846,105.35099999999998
