date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,41.06,41.18,40.95,41.18,14661718,MRK,,
2013-02-11,41.19,41.5,41.09,41.38,11411910,MRK,0.004856726566294387,
2013-02-12,41.37,41.57,41.13,41.45,9996613,MRK,0.0016916384726921286,
2013-02-13,41.42,41.49,41.01,41.15,15808788,MRK,-0.007237635705669584,
2013-02-14,41.04,41.22,40.825,41.19,16332453,MRK,0.000972053462940441,
2013-02-15,41.46,41.5,41.235,41.42,15580073,MRK,0.005583879582423015,
2013-02-19,41.6,42.22,41.58,42.22,13306056,MRK,0.01931434089811678,
2013-02-20,42.36,42.75,42.22,42.66,16801707,MRK,0.010421601136901888,
2013-02-21,42.5,42.57,42.27,42.5,11824527,MRK,-0.003750586029066962,
2013-02-22,42.58,43.27,42.53,42.97,15395688,MRK,0.011058823529411737,
2013-02-25,43.31,43.45,42.5099,42.52,19421768,MRK,-0.010472422620432761,
2013-02-26,42.75,42.8,42.1,42.42,13905591,MRK,-0.002351834430856101,
2013-02-27,42.27,43.15,42.27,42.97,12926836,MRK,0.012965582272512897,
2013-02-28,43.01,43.21,42.73,42.73,14214980,MRK,-0.005585292064230905,
2013-03-01,42.33,42.67,42.33,42.63,14820185,MRK,-0.0023402761525858724,
2013-03-04,42.92,43.35,42.76,43.34,14162147,MRK,0.016654937837203867,
2013-03-05,43.6,43.65,43.1,43.25,15118515,MRK,-0.0020766035994463175,
2013-03-06,43.3,43.74,43.06,43.68,18418124,MRK,0.0099421965317919,
2013-03-07,43.82,43.93,43.09,43.27,13741214,MRK,-0.009386446886446808,
2013-03-08,43.4,43.5,42.92,42.97,29273518,MRK,-0.0069332100762654085,
2013-03-11,42.95,43.67,42.87,43.66,38640997,MRK,0.016057714684663667,
2013-03-12,45.42,45.42,44.875,45.04,56009361,MRK,0.031607879065506245,
2013-03-13,44.54,44.73,44.48,44.59,17926541,MRK,-0.009991119005328503,
2013-03-14,44.71,44.75,43.6,44.27,25895477,MRK,-0.007176496972415345,
2013-03-15,43.83,44.09,43.79,44.09,24310813,MRK,-0.004065958888637897,
2013-03-18,43.78,43.94,43.57,43.63,12117418,MRK,-0.010433204808346582,
2013-03-19,43.7,43.84,43.6,43.7,15504006,MRK,0.0016044006417602632,
2013-03-20,44.0,44.29,43.88,44.12,14974237,MRK,0.009610983981693239,
2013-03-21,44.05,44.18,43.755,43.79,11904524,MRK,-0.007479601087941938,
2013-03-22,43.86,44.11,43.8,43.9,9960559,MRK,0.002511989038593273,42.95633333333333
2013-03-25,43.95,44.0,43.51,43.69,13117093,MRK,-0.004783599088838289,43.04
2013-03-26,43.95,44.4,43.9,44.39,12114054,MRK,0.016021972991531307,43.14033333333334
2013-03-27,44.13,44.25,43.91,44.1,10970269,MRK,-0.006533002928587501,43.22866666666667
2013-03-28,44.05,44.305,43.96,44.2,16648112,MRK,0.002267573696145157,43.33033333333333
2013-04-01,44.0,44.37,43.77,44.35,9903585,MRK,0.0033936651583710083,43.43566666666667
2013-04-02,44.51,45.0,44.4231,44.91,12787446,MRK,0.012626832018038221,43.552
2013-04-03,45.0,46.16,45.0,45.36,25872282,MRK,0.010020040080160384,43.656666666666666
2013-04-04,45.39,45.88,45.01,45.32,13967308,MRK,-0.0008818342151675297,43.74533333333333
2013-04-05,45.04,45.23,44.89,45.13,12602042,MRK,-0.004192409532215308,43.833
2013-04-08,45.09,45.48,44.96,45.48,10153531,MRK,0.0077553733658319145,43.91666666666667
2013-04-09,45.73,45.94,45.34,45.51,10582562,MRK,0.0006596306068601833,44.016333333333336
2013-04-10,45.91,46.97,45.78,46.84,18735016,MRK,0.029224346297517148,44.16366666666667
2013-04-11,46.68,47.51,46.68,47.21,17538011,MRK,0.007899231426131456,44.305
2013-04-12,46.67,47.13,46.65,47.11,10065148,MRK,-0.002118195297606469,44.451
2013-04-15,46.89,47.5,46.46,46.46,15349674,MRK,-0.013797495223943931,44.57866666666666
2013-04-16,46.64,47.05,46.5,46.96,10188703,MRK,0.01076194575979337,44.699333333333335
2013-04-17,46.72,46.91,46.41,46.76,11777200,MRK,-0.004258943781942139,44.81633333333333
2013-04-18,46.86,46.98,46.493,46.56,11272437,MRK,-0.004277159965782629,44.91233333333333
2013-04-19,46.86,47.49,46.66,47.49,12706152,MRK,0.019974226804123703,45.053
2013-04-22,47.45,47.97,47.18,47.92,14264916,MRK,0.009054537797431032,45.217999999999996
2013-04-23,47.95,48.695,47.93,48.63,17654201,MRK,0.014816360601001687,45.38366666666666
2013-04-24,48.67,48.79,47.865,47.95,15546163,MRK,-0.013983137980670362,45.48066666666667
2013-04-25,47.95,48.0,47.28,47.35,15955290,MRK,-0.012513034410844658,45.57266666666667
2013-04-26,47.27,48.07,47.11,47.87,10614177,MRK,0.010982048574445534,45.69266666666667
2013-04-29,47.88,48.12,47.72,47.82,11375812,MRK,-0.0010444955086692533,45.817
2013-04-30,47.7499,47.84,47.0,47.0,19745601,MRK,-0.01714763697197826,45.92933333333333
2013-05-01,44.8,46.305,44.6,45.69,39741703,MRK,-0.027872340425531963,45.995666666666665
2013-05-02,45.9,46.01,45.49,45.73,14245516,MRK,0.0008754650908294845,46.04933333333334
2013-05-03,46.25,46.38,45.4633,45.67,12878071,MRK,-0.0013120489831619324,46.112
2013-05-06,45.51,46.0,44.97,44.98,14097048,MRK,-0.015108386249178997,46.148
2013-05-07,45.1,45.3,44.88,45.27,14528643,MRK,0.006447309915518147,46.20066666666666
2013-05-08,45.12,45.6,44.97,44.99,18309476,MRK,-0.006185111552904818,46.22066666666667
2013-05-09,45.25,45.62,44.95,45.49,14177027,MRK,0.011113580795732384,46.267
2013-05-10,45.54,45.95,45.49,45.95,13923958,MRK,0.010112112552209295,46.32533333333333
2013-05-13,45.84,46.23,45.68,46.17,10246330,MRK,0.004787812840043501,46.385999999999996
2013-05-14,46.12,46.77,46.0,46.65,13418578,MRK,0.010396361273554188,46.444
2013-05-15,46.73,47.26,46.46,46.73,13204500,MRK,0.0017148981779206494,46.48966666666667
2013-05-16,46.58,46.7,45.01,46.37,11962795,MRK,-0.007703830515728642,46.52466666666667
2013-05-17,46.29,46.71,45.08,45.99,21736601,MRK,-0.008194953633814868,46.55333333333333
2013-05-20,45.96,46.02,45.1,45.21,16728562,MRK,-0.016960208741030682,46.544333333333334
2013-05-21,45.24,47.53,45.19,47.33,47027336,MRK,0.04689228046892275,46.605
2013-05-22,47.6,48.3,46.49,46.71,42629192,MRK,-0.013099514050285178,46.60066666666667
2013-05-23,46.46,47.44,46.42,47.33,22579672,MRK,0.013273388995932294,46.60466666666666
2013-05-24,47.05,47.16,46.6,47.16,15795941,MRK,-0.0035918022395943737,46.60633333333333
2013-05-28,47.94,48.64,47.52,47.62,17664246,MRK,0.009754028837998323,46.644999999999996
2013-05-29,47.29,47.465,46.51,46.87,16051889,MRK,-0.015749685006299873,46.642
2013-05-30,47.02,47.39,46.74,47.07,15203356,MRK,0.0042671218263282025,46.65233333333333
2013-05-31,46.93,47.675,46.6925,46.7,21732432,MRK,-0.007860633099638782,46.657000000000004
2013-06-03,48.93,49.36,48.31,48.45,37978012,MRK,0.03747323340471092,46.689
2013-06-04,48.2,50.16,48.17,49.44,37009910,MRK,0.020433436532507634,46.73966666666667
2013-06-05,49.02,49.73,48.475,48.73,24923052,MRK,-0.014360841423948239,46.743
2013-06-06,48.64,48.73,47.75,48.6,19899103,MRK,-0.0026677611327723264,46.76466666666667
2013-06-07,48.77,49.14,48.1,48.19,50431238,MRK,-0.008436213991769623,46.79266666666667
2013-06-10,48.65,48.89,48.36,48.46,48557576,MRK,0.005602822162274396,46.81233333333333
2013-06-11,48.07,48.2,47.55,47.56,54149805,MRK,-0.018572018159306616,46.80366666666667
2013-06-12,47.89,48.1,47.23,47.25,16853164,MRK,-0.00651808242220358,46.812000000000005
2013-06-13,46.74,47.94,46.49,47.9,14774462,MRK,0.013756613756613727,46.885666666666665
2013-06-14,47.77,48.53,47.5,47.95,13632287,MRK,0.0010438413361169992,46.959666666666664
2013-06-17,48.33,48.55,47.56,47.8,12484985,MRK,-0.003128258602711276,47.03066666666666
2013-06-18,47.88,48.05,47.66,47.75,11817205,MRK,-0.001046025104602451,47.123
2013-06-19,47.71,48.17,47.45,47.58,18000378,MRK,-0.0035602094240838053,47.2
2013-06-20,47.42,47.42,46.21,46.31,17828001,MRK,-0.02669188734762497,47.244
2013-06-21,46.87,47.6,46.67,47.0,24291414,MRK,0.014899589721442404,47.294333333333334
2013-06-24,46.47,46.86,46.06,46.41,18080497,MRK,-0.012553191489361775,47.30966666666667
2013-06-25,46.53,46.68,46.08,46.23,12026786,MRK,-0.003878474466709755,47.31166666666666
2013-06-26,46.6,46.91,46.28,46.69,11437121,MRK,0.009950248756218924,47.312999999999995
2013-06-27,47.03,47.36,46.87,47.28,11652692,MRK,0.012636538873420507,47.331333333333326
2013-06-28,47.46,47.48,46.445,46.45,16342062,MRK,-0.017554991539763077,47.333999999999996
2013-07-01,46.26,46.85,46.22,46.32,13112629,MRK,-0.002798708288482294,47.345
2013-07-02,46.09,46.73,46.03,46.55,11330851,MRK,0.004965457685664872,47.38966666666667
2013-07-03,46.48,46.73,46.16,46.55,6880733,MRK,0.0,47.36366666666667
2013-07-05,46.93,47.3001,46.6075,47.16,8102955,MRK,0.013104189044038657,47.37866666666666
2013-07-08,47.37,47.63,47.24,47.41,10977465,MRK,0.005301102629346905,47.38133333333334
2013-07-09,47.72,48.0,47.61,47.62,10317607,MRK,0.004429445264712104,47.39666666666667
2013-07-10,47.62,48.18,47.59,47.96,7780653,MRK,0.007139857202856015,47.408
2013-07-11,48.43,48.5,48.13,48.31,11442585,MRK,0.007297748123436226,47.456
2013-07-12,48.4,48.66,48.19,48.54,8859797,MRK,0.00476091906437584,47.505
2013-07-15,48.51,48.89,48.26,48.52,9655545,MRK,-0.0004120313143798109,47.565666666666665
2013-07-16,48.56,48.83,48.03,48.23,15273507,MRK,-0.0059769167353669874,47.55833333333333
2013-07-17,48.28,48.77,48.13,48.13,9508294,MRK,-0.0020733982998132764,47.51466666666666
2013-07-18,48.03,48.13,47.35,47.4,17823015,MRK,-0.015167255350093578,47.470333333333336
2013-07-19,47.47,47.92,47.2,47.79,14234646,MRK,0.008227848101265835,47.443333333333335
2013-07-22,47.85,48.25,47.55,47.72,11318859,MRK,-0.001464741577735934,47.42766666666667
2013-07-23,47.81,48.22,47.54,47.93,9242635,MRK,0.004400670578373865,47.41
2013-07-24,47.92,48.04,47.51,47.77,8941435,MRK,-0.003338201543918143,47.417
2013-07-25,47.53,48.19,47.3476,48.17,10041145,MRK,0.008373456144023416,47.44766666666666
2013-07-26,48.05,48.49,47.78,48.49,9846584,MRK,0.006643138883122281,47.467333333333336
2013-07-29,48.2699,48.79,48.15,48.34,10291622,MRK,-0.003093421323984297,47.480333333333334
2013-07-30,48.29,49.08,47.84,48.05,16778213,MRK,-0.005999172527927312,47.48866666666667
2013-07-31,48.5,48.725,47.97,48.17,21579484,MRK,0.002497398543184278,47.50266666666667
2013-08-01,48.44,48.68,48.04,48.58,13549263,MRK,0.008511521694000344,47.535999999999994
2013-08-02,48.44,48.54,48.18,48.54,8875192,MRK,-0.0008233841086866848,47.61033333333333
2013-08-05,48.39,48.66,48.07,48.53,6789115,MRK,-0.00020601565718990545,47.66133333333333
2013-08-06,48.48,48.59,48.095,48.44,9944498,MRK,-0.0018545229754791553,47.729
2013-08-07,48.35,48.75,48.35,48.55,9666489,MRK,0.002270850536746479,47.806333333333335
2013-08-08,48.66,48.84,48.19,48.47,8631430,MRK,-0.0016477857878475447,47.86566666666667
2013-08-09,48.44,48.78,48.26,48.39,7888152,MRK,-0.0016505054672993253,47.90266666666667
2013-08-12,48.16,48.81,48.09,48.47,9935143,MRK,0.001653234139284941,47.97
2013-08-13,48.52,48.85,48.08,48.43,7455131,MRK,-0.0008252527336496627,48.040333333333336
2013-08-14,48.55,48.76,48.41,48.57,8530956,MRK,0.002890770183770402,48.10766666666666
2013-08-15,48.28,48.36,47.85,47.97,11341520,MRK,-0.012353304508956175,48.154999999999994
2013-08-16,47.79,48.0,47.48,47.7,13200392,MRK,-0.0056285178236396925,48.173
2013-08-19,47.47,47.805,47.45,47.58,8378266,MRK,-0.002515723270440347,48.178666666666665
2013-08-20,47.65,48.38,47.56,47.56,14104363,MRK,-0.000420344682639681,48.17666666666666
2013-08-21,47.56,48.04,47.3,47.46,10800178,MRK,-0.0021026072329689114,48.160000000000004
2013-08-22,47.63,47.98,47.395,47.81,8630266,MRK,0.0073746312684366076,48.14333333333333
2013-08-23,47.98,47.98,47.45,47.73,9181807,MRK,-0.0016732901066723572,48.11633333333334
2013-08-26,47.8,47.9,47.53,47.62,9224677,MRK,-0.002304630211606944,48.08633333333333
2013-08-27,47.32,47.515,46.93,47.11,10842537,MRK,-0.010709785804283873,48.049
2013-08-28,46.78,47.4,46.47,47.09,9812176,MRK,-0.00042453831458280666,48.01433333333333
2013-08-29,46.97,47.4,46.79,47.1,9695414,MRK,0.00021235931195578699,48.00433333333333
2013-08-30,47.09,47.475,47.02,47.29,8326349,MRK,0.004033970276008444,47.98766666666667
2013-09-03,47.52,47.66,47.013,47.21,14212718,MRK,-0.0016916895749629582,47.970666666666666
2013-09-04,47.13,47.88,47.11,47.68,11065208,MRK,0.00995551789875024,47.962333333333326
2013-09-05,47.79,47.79,47.26,47.51,7898608,MRK,-0.003565436241610774,47.95366666666666
2013-09-06,47.57,47.82,47.06,47.49,26664867,MRK,-0.0004209640075772684,47.931000000000004
2013-09-09,47.6,47.85,47.48,47.74,29180217,MRK,0.005264266161297115,47.906
2013-09-10,47.86,48.4,47.86,47.98,30808575,MRK,0.005027230833682339,47.894
2013-09-11,48.03,48.51,47.96,48.14,13379397,MRK,0.0033347228011672302,47.897000000000006
2013-09-12,47.8,47.98,47.65,47.85,9502387,MRK,-0.006024096385542151,47.88633333333333
2013-09-13,47.88,47.99,47.67,47.79,7681026,MRK,-0.0012539184952978532,47.86
2013-09-16,48.25,48.445,48.1,48.19,9438125,MRK,0.008369951872776702,47.848333333333336
2013-09-17,48.11,48.23,47.94,48.01,7704535,MRK,-0.003735214774849548,47.831
2013-09-18,47.81,48.71,47.63,48.4,14008713,MRK,0.008123307644240796,47.82966666666666
2013-09-19,48.47,48.49,48.1,48.255,9328319,MRK,-0.002995867768594959,47.819833333333335
2013-09-20,48.33,48.4,47.87,48.01,27957080,MRK,-0.005077194073153135,47.8045
2013-09-23,47.79,48.06,47.54,47.68,12608359,MRK,-0.006873568006665243,47.780833333333334
2013-09-24,47.63,48.22,47.52,47.53,13123467,MRK,-0.0031459731543623864,47.749500000000005
