date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,34.11,34.53,34.04,34.53,5660341,MRO,,
2013-02-11,34.57,34.73,34.17,34.31,4659938,MRO,-0.006371271358239179,
2013-02-12,34.37,34.68,34.17,34.61,5129802,MRO,0.008743806470416705,
2013-02-13,34.67,35.0,34.66,34.96,5097163,MRO,0.010112684195319313,
2013-02-14,34.85,35.42,34.78,35.34,5101535,MRO,0.010869565217391377,
2013-02-15,35.22,35.37,34.17,34.66,7522719,MRO,-0.019241652518392948,
2013-02-19,34.98,35.86,34.93,35.71,8169333,MRO,0.03029428736295454,
2013-02-20,35.67,35.72,34.54,34.57,5735238,MRO,-0.03192383085970318,
2013-02-21,34.46,34.56,33.91,34.38,7724846,MRO,-0.005496094879953652,
2013-02-22,34.51,34.87,34.15,34.71,5303079,MRO,0.009598603839441486,
2013-02-25,34.94,34.96,32.94,32.94,8732707,MRO,-0.05099394987035445,
2013-02-26,33.06,33.17,32.2,32.86,7128920,MRO,-0.002428658166363033,
2013-02-27,32.84,33.55,32.8,33.42,4463628,MRO,0.01704199634814371,
2013-02-28,33.47,33.92,33.37,33.5,4419740,MRO,0.0023937761819269386,
2013-03-01,33.3,33.33,32.575,32.89,6030066,MRO,-0.01820895522388058,
2013-03-04,32.75,32.79,32.15,32.37,5221772,MRO,-0.015810276679841993,
2013-03-05,32.46,32.76,32.09,32.54,5018726,MRO,0.005251776336113739,
2013-03-06,32.74,32.875,32.5,32.75,3847437,MRO,0.006453595574677347,
2013-03-07,32.85,33.44,32.72,33.34,5377813,MRO,0.018015267175572624,
2013-03-08,33.61,33.76,33.41,33.51,5065652,MRO,0.005098980203959045,
2013-03-11,33.35,33.82,33.18,33.72,3193013,MRO,0.006266786034019722,
2013-03-12,33.71,34.15,33.56,34.07,3689311,MRO,0.010379596678529106,
2013-03-13,34.06,34.42,33.99,34.37,3746744,MRO,0.008805400645729298,
2013-03-14,34.49,34.85,34.4501,34.76,3867426,MRO,0.01134710503345943,
2013-03-15,34.61,35.25,34.58,35.07,5770098,MRO,0.008918296892980503,
2013-03-18,34.62,35.27,34.49,34.98,4470192,MRO,-0.0025662959794697294,
2013-03-19,34.87,35.02,33.711,33.96,7416256,MRO,-0.02915951972555735,
2013-03-20,34.45,34.72,34.12,34.6,5668085,MRO,0.018845700824499427,
2013-03-21,34.43,34.66,34.15,34.15,3831353,MRO,-0.013005780346820891,
2013-03-22,34.33,34.44,34.05,34.16,3465035,MRO,0.00029282576866758453,34.058
2013-03-25,34.37,34.43,33.57,33.72,5086984,MRO,-0.012880562060889864,34.031
2013-03-26,33.96,34.23,33.88,34.07,3598805,MRO,0.010379596678529106,34.022999999999996
2013-03-27,33.93,34.1,33.501,34.01,3431385,MRO,-0.0017610801291459428,34.003
2013-03-28,33.96,34.16,33.645,33.72,4422892,MRO,-0.008526903851808267,33.961666666666666
2013-04-01,33.82,33.9,33.38,33.6,2652312,MRO,-0.0035587188612098888,33.903666666666666
2013-04-02,33.64,33.9,33.42,33.57,3475063,MRO,-0.0008928571428571767,33.867333333333335
2013-04-03,33.87,33.95,33.07,33.19,5923151,MRO,-0.011319630622579761,33.78333333333333
2013-04-04,33.11,33.15,32.42,32.69,5019106,MRO,-0.015064778547755349,33.720666666666666
2013-04-05,32.1,32.69,31.84,32.48,4739711,MRO,-0.006423982869379042,33.657333333333334
2013-04-08,32.5,32.94,32.42,32.84,3224786,MRO,0.011083743842364734,33.595
2013-04-09,32.97,33.6,32.81,33.47,3180102,MRO,0.019183922046284878,33.61266666666667
2013-04-10,33.54,33.99,33.48,33.91,4784803,MRO,0.013146100985957506,33.647666666666666
2013-04-11,33.98,34.12,33.74,33.8,4022922,MRO,-0.003243880861102903,33.660333333333334
2013-04-12,33.5,33.57,32.25,32.54,6103861,MRO,-0.03727810650887568,33.62833333333334
2013-04-15,32.1,32.1,30.62,30.62,7584030,MRO,-0.05900430239704973,33.55266666666667
